global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	w_comp_cor_141	w_comp_cor_142	w_comp_cor_143	w_comp_cor_144	w_comp_cor_145	w_comp_cor_146	w_comp_cor_147	w_comp_cor_148	w_comp_cor_149	w_comp_cor_150	w_comp_cor_151	w_comp_cor_152	w_comp_cor_153	w_comp_cor_154	w_comp_cor_155	w_comp_cor_156	w_comp_cor_157	w_comp_cor_158	w_comp_cor_159	w_comp_cor_160	w_comp_cor_161	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
5341.266003270936	n/a	28529122.51769788	n/a	9324.084321825128	n/a	86938548.44050516	n/a	4988.202305983013	n/a	24882162.24541425	n/a	5010.9110332197615	8567.236968162695	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0080192	n/a	6.430756864000002e-05	n/a	0.122682	n/a	n/a	0.015050873124	0.0684408	n/a	0.00468414310464	n/a	0.000463052	n/a	2.14417154704e-07	n/a	-0.000468288	n/a	2.1929365094400001e-07	n/a	0.0007531219999999	n/a	n/a	5.671927468838493e-07	0.0
5320.420862894966	-20.845140375970004	28306878.15832802	434.51987729389487	9022.686367787814	-301.3979540373148	81408869.29146405	90840.7266978793	4985.2627392112045	-2.9395667718081318	24852844.5789676	8.641052805918479	5004.631704842603	8271.095237395257	1.133502	40.604439	0.0304793	0.0171696	-0.0320273723	-0.0021732226	0.0166279603	-0.0335927196	-0.0035513551	-0.0331572942	-0.2044690111	0.0678777662	0.3624734534	0.2185927237	0.084815396	0.0133949794	0.0423711665	-0.0182669999	0.0540816307	-0.081073117	0.0356543263	-0.0342568672	-0.0243155874	0.0131298474	-0.046670036	0.0345798954	0.0139802378	-0.0123335209	0.0146668444	-0.0304230079	0.0846286161	-0.0290740621	0.0100296158	-0.0208589528	0.0319876611	-0.0223221975	0.025252594	-0.0724965012	0.0161361712	-0.0099706906	-0.0257379348	0.0396133885	-0.0074929255	0.0422925807	-0.0082757838	0.0136893668	-0.0053188899	0.0111869475	-0.0082229234	0.0178699657	-0.0334192445	0.0296158942	-0.0618917564	0.0201064566	-0.0103561005	0.0170267452	-0.0047841216	0.0473281238	-0.0174823034	0.0186738938	-0.0153756509	0.0218934362	-0.0342624796	0.0531267914	0.0203516304	-0.0407122149	0.0045944333	-0.0620221899	0.0137887873	0.0892000819	-0.0341137874	0.020864442	0.0550736772	-0.0076493315	-0.090385144	0.0541888502	-0.0503808698	-0.0142126055	0.0433336621	0.0023444603	-0.0340325635	-0.0063343436	-0.0013231724	-0.0091501846	0.0370609126	-0.0743864519	-0.0115524352	0.0280570035	0.0047045885	0.0269920795	-0.0033672919	-0.0492820451	-0.0716677014	0.0738270502	-0.008916721	-0.0091109151	-0.0377389021	0.0465671649	0.0306626933	-0.0841916187	-0.034506908	0.00579005	-0.0665412618	0.0281635389	-0.0039677164	0.0428138584	-0.0113460882	0.0310042024	-0.046847178	0.0106292162	-0.0229867408	0.010570041	-0.0112188057	0.0240386932	-0.0662066058	0.0027933227	-0.0405568469	0.0129181688	-0.0695605006	0.0518040152	-0.0567144274	0.018014746	-0.0048017082	0.0276791519	-0.0630209869	0.0619867744	-0.1208642292	0.035333407	-0.0135303778	0.009818947	-0.0183280882	0.0147409225	-0.0032364292	0.0477083251	-0.0489217373	0.0051389083	-0.0336313201	0.0355048298	0.0525806088	-0.0784193667	0.009410143	-0.0343293212	0.012249985	-0.0093285056	0.0240580302	0.005595427	-0.0735605099	0.0119296258	-0.0440466358	0.0112223866	0.0041584929	-0.0062344353	-0.0447672044	0.0211609894	-0.0347521816	0.0372021419	-0.0023555896	-0.05265247	0.0147579305	0.0794097952	-0.034239898	0.013493352	0.0411160406	-0.0200922766	0.012319259	0.0452667224	-0.0573827641	0.0164877598	-0.0079150496	-0.0187010543	0.0076082271	0.0117387216	-0.0013961905	-0.0188425942	0.0008701931	0.0193646401	0.0382704163	-0.0625602828	0.0518239073	-0.0140179148	0.076943203	0.0117518151	-0.094553111	-0.00680982	-0.0181372074	-0.005538681	0.0502228336	-0.0188506534	0.026758445	-0.009805688	0.0187817828	0.0391881313	-0.0403399279	0.0682318467	-0.0235615187	0.006559931	-0.0440591041	0.0089455272	-0.0300924881	0.0066934621	-0.0758420536	0.001249603	0.0151648079	-0.0374408919	0.0136709691	0.0523660839	-0.0164992187	0.0011940457	-0.0114384837	0.0070481234	-0.0079050194	0.0080795049	-0.038090126	0.0229706053	-0.0383028944	0.0443727737	-0.0122672796	0.0351430518	-0.0331530263	0.0313547111	-0.0186982536	0.0155700979	-0.0226643597	0.0307875564	-0.0029209847	-0.0530912686	0.0192742037	-0.0480798278	0.0020459898	-0.0785238053	-0.004314172	-0.0166521996	0.0893996763	-0.0340382432	0.0222538075	0.0383757285	-0.0809921905	0.0290328736	0.062189272	-0.0179549439	-0.0280068951	0.0307590524	-0.0282345196	-0.0387686699	0.0124445087	0.0133821444	0.0028010352	-0.0805538416	0.0037106114	0.0183912898	0.0063018836	0.0040891208	0.0393745803	-0.0335191384	-0.0404679455	0.0775876652	-0.0504234321	-0.0234891837	-0.0259908139	0.0172040069	0.0579599587	-0.1052228853	-0.0264447728	-0.0514609844	-0.0583137827	0.0052023275	-0.0050022799	0.0258580626	-0.000958039	0.0131611177	-0.0280257635	0.0579613311	-0.0352065197	0.0149799698	-0.008751404	0.0402761984	-0.0664462157	0.0320252345	-0.0174330142	0.0502280964	-0.0504593096	0.0621330495	-0.0157984738	0.0056035695	-0.0193413347	0.029197211	-0.0477760395	0.0303352886	-0.1288425537	0.0365809235	-0.0107245645	0.0477706006	-0.0016224525	0.0055860927	-0.0043298479	0.0306330108	-0.0331105023	0.0070031769	-0.0172795295	0.0799204911	-0.0484700058	0.054951447	-0.0046279912	-0.0005417899	0.0141705501	-0.0100967344	0.0219415556	-0.0459506563	-0.0003866329	-0.037110519	0.0420783344	-0.0075726226	0.0314195133	0.0083199552	-0.0289517985	0.0201511809	-0.0432693191	0.0164407317	0.0507396986	-0.0577353786	0.0470757813	-0.0632222101	0.0050215708	0.0050723262	0.0507034587	-0.0200033516	0.0038235131	0.0343804923	-0.0260930287	-0.0069510762	0.03813522	-0.024652411	-0.0179237157	0.0156469601	0.0030406106	-0.0649634758	-0.0030817714	0.022942469	0.0109448621	-0.0594296785	0.0632260372	-0.0002695211	-0.0323830457	0.072164432	-0.0080128011	-0.0039662568	0.0532622319	0.0532618353	0.0532611743	0.0532602488	0.053259059	0.0	0.00712245	-0.00089675	5.07292940025e-05	8.041605625000015e-07	0.114961	-0.007721	5.961384100000009e-05	0.0132160315209999	0.0557936	-0.0126471999999999	0.00311292580096	0.0001599516678399	0.000592729	0.0001296769999999	3.51327667441e-07	1.6816124328999994e-08	-0.000454357	1.3931000000000013e-05	2.0644028344900002e-07	1.9407276100000035e-10	0.000712443	-4.067899999989999e-05	1.6547810409918632e-09	5.07575028249e-07	0.0
5328.684201821009	8.263338926042707	28394875.322736803	68.28277020665263	9011.93035188474	-10.756015903074513	81214888.6672214	115.69187810719184	4986.792170142386	1.5294309311811958	24868096.148193404	2.33915897325378	5006.696084840798	8185.529486377332	1.008372	36.122025	0.05816415	0.0260039	-0.0343782172	0.0180398694	0.0382988805	-0.0036939973	0.003288022	-0.0120799812	-0.24844195	-0.0055362283	0.3456524975	0.1883937565	0.07437973	0.0677193367	-0.004163065	-0.0241687341	0.0690199012	0.0071313797	-0.0141709647	0.058364405	0.0308071333	0.0278013961	-0.0358193207	-0.0019257943	0.0320584211	-0.0268243097	0.0137750161	0.0438607108	0.0187141895	-0.0317319851	0.066310683	-0.0834176579	0.0350242547	0.0304335752	-0.0118244636	-0.0428864138	0.0484090967	-0.0257983398	0.025016255	0.0725237048	0.0243814164	0.0161961333	0.0422981588	-0.0590439277	0.0529118843	0.0005662986	-0.0295774573	0.036454275	0.0234181819	-0.0048527455	0.0253605258	0.0218103926	-0.022142201	0.03665778	0.0240806833	-0.0228344247	-0.1058752543	0.0207585554	-0.0409043707	-0.0536786296	-0.0090988577	0.044085964	-0.0088533307	-0.0177737985	-0.0358038186	-0.0271626511	0.0021696933	-0.0253979859	0.0281005909	-0.0353313778	0.011591793	0.0106297808	0.0077373732	0.0518490647	0.0537122716	-0.0059388231	-0.0242618811	0.0024983351	-0.0077972946	-0.0711925154	0.030723087	-0.0105079895	-0.026196087	0.0050914137	-0.0036747515	0.0322947421	0.0682300231	0.0065610119	-0.0015008399	-0.0364215397	-0.0089185106	0.0097760721	0.033102651	0.0223926551	0.0234761504	-0.0044887685	0.0951278607	-0.0085841731	0.0196996044	0.0586695449	-0.1107001397	0.0527917485	-0.0241702098	-0.0032139031	-0.0141057657	-0.0225400422	-0.0448389346	0.0124585056	0.0595669679	0.046056369	0.0027145688	0.0162919451	-0.0654166573	0.0169139864	-0.0714384793	0.0439817586	-0.0847920477	-0.033802073	-0.0046869837	-0.015363688	0.0122039246	-0.0602232256	0.0466493338	-0.0161491438	-0.0186607954	1.19803e-05	0.0340048095	-0.0127624029	-0.0135893334	0.0258987127	0.0046063876	0.053111457	0.0194479317	0.0624922617	0.0350028397	0.0004216646	-0.0604580549	-0.0229992284	-0.0017986404	0.0144894088	-0.0033379968	-0.0909119441	-0.0304065594	-0.0079392261	-0.0061482178	0.0270145679	0.0374260323	-0.039058123	-0.0318496831	-0.0207776131	-0.0151684773	0.0007974645	0.0153318053	0.0066718528	-0.0132981774	0.037484186	-0.0220656055	0.0574305671	-0.0281763934	0.054423642	0.012699278	-0.0303545565	-0.0260097214	-0.0040546297	-0.0147067667	-0.0387078804	-0.0149835852	0.0439747013	0.0146952835	-0.0139478292	-0.0273085274	-0.0116460753	0.052177942	0.0100287703	-0.0090626751	-0.0226460902	0.0074302405	0.0963819175	0.0281061563	-0.0665242452	-0.0445652802	-0.0411731179	-0.0539648728	-0.0162060653	0.0398200566	0.0094040669	0.0439353366	-0.014069073	0.0035655714	-0.0541085953	0.0055152408	0.0424942711	-0.0602492064	-0.0376348466	-0.0712494104	-0.0118295962	0.0384469963	0.0759607411	-0.0660530334	-0.0351476079	-0.036370309	-0.0393609714	-0.0259668699	0.0175007784	0.0617381045	-0.0103967829	0.0235736355	0.0476106445	-0.0328922729	0.0371474528	0.0112186679	0.0014680037	0.0337100566	0.0185064929	0.0210810221	0.0150956922	0.0719687868	0.0184035896	-0.0632879876	0.0258566358	-0.0780083644	-0.0268321444	0.0170738135	-0.0475493655	-0.0283884341	-0.0273767401	0.0398936505	-0.0075596963	0.0328770001	0.0223881713	-0.0267746299	0.0355332605	0.0225940456	0.0205097338	0.0093206551	0.0349568176	-0.0013678825	0.063018452	0.0335403922	0.0028548448	-0.0602635054	0.0185962656	-0.0082914443	0.0092359753	-0.0414450553	-0.0032748886	-0.0016566932	0.031251067	-0.0293259607	-0.0584852245	0.0150746443	-0.0338456712	2.58458e-05	0.0115071448	0.0445474811	-0.0341632697	0.0071569389	0.0517021633	0.0601136344	-0.0063643454	-0.0052506127	-0.0369573293	-0.1129537696	0.0247340618	-0.0393798068	-0.0134162657	0.038352266	-0.0424856859	-0.034849794	0.0249920499	0.0166765864	0.0068326888	-0.0727432841	0.0118289283	-0.0627889316	-0.011282703	0.0621118875	0.0073269317	-0.0818187466	0.0164631386	0.0044012996	-0.0105255687	0.0170480099	0.0465738575	0.0866092151	-0.0151712827	0.0089965666	0.0004771812	0.0195140344	0.0172450405	-0.000197388	0.0346029295	0.0064959292	0.0429622013	0.0373026057	0.0453522112	0.0458273471	-0.0357567674	0.0226673087	0.0555376515	0.0079792418	0.0015969278	-0.0349890157	-0.0933599231	-0.0355765695	0.0007090153	0.0205630271	-0.0229441213	-0.0188860017	0.0677105502	0.0126926667	-0.0075662894	0.0109589469	-0.0059271944	-0.0037702772	0.0178471732	-0.0155249924	0.0012927217	-0.0111440023	-0.0833316309	0.0418971288	-0.0039046169	0.011473347	-0.0276736281	-0.0344699802	-0.0107055764	-0.0109893525	0.0432176942	0.0433430171	0.0084836892	-0.0263885864	-0.0270500255	-0.0224452176	-0.0480711707	0.0384701064	-0.0114853437	-0.03192304	0.0130790655	0.0303078302	0.0096147458	0.1001704572	-0.0080486005	-0.0669479559	0.0217379453	0.0532611743	0.0532576048	0.0532516558	0.0532433276	0.0532326205	0.0	-0.00220305	-0.0093255	4.853429302499999e-06	8.696495025000001e-05	0.0978318	-0.0171291999999999	0.0002934094926399	0.0095710610912399	0.070542	0.0147483999999999	0.0049761737639999	0.0002175153025599	0.000681786	8.905700000000003e-05	4.64832149796e-07	7.931149249000005e-09	-0.000282063	0.000172294	7.9559535969e-08	2.968522243600001e-08	0.0007903129999999	7.78699999999e-05	6.063736899984425e-09	6.245946379688419e-07	0.0
