global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
5184.210993902084	n/a	26876043.629295237	n/a	11695.76398285342	n/a	136790895.14261127	n/a	4777.390080817392	n/a	22823455.984292407	n/a	4792.952292917312	9672.197276419722	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0160204	n/a	0.00025665321616	n/a	-9.51765e-05	n/a	n/a	9.058566152250001e-09	-0.000202776	n/a	4.1118106176e-08	n/a	-0.000566047	n/a	3.20409206209e-07	n/a	-0.0	n/a	0.0	n/a	-0.000527657	n/a	n/a	2.78421909649e-07	0.0	0.0	0.0	0.0
5174.175901163343	-10.035092738740786	26772096.256179493	100.70308627512806	11718.97661536848	23.21263251506025	137334412.91155326	538.8263082792323	4782.723564551998	5.333483734605579	22874444.69492097	28.44604874730228	4798.655834904204	9711.760155696771	1.055429	29.367088	0.0353250005	0.0242807	-0.0817922056	-0.1541136414	-0.0342581536	0.0030820681	-0.0460484139	0.1312781409	-0.0540753307	0.0885373156	-0.0838704391	0.0899857403	-0.0793563333	0.0875790057	-0.1431959816	-0.0191515313	0.0224262007	-0.0161116137	0.0945204003	-0.0510627255	0.0966560472	-0.1346016157	0.0619487256	-0.0547924366	0.0993769387	-0.0584373031	0.0959248123	-0.0076445271	0.0308543607	0.1267730115	-0.0419232146	0.0487329333	0.0036666532	0.0022595314	0.0445786472	-0.0923657802	-0.0003353545	0.1869328578	0.184090319	-0.1040578928	0.1876652836	0.0963070415	0.0759691597	-0.0365274898	-0.031073052	-0.0442963194	-0.1071075725	0.0908294443	-0.1396332019	0.0080712473	0.0233602479	-0.0121662243	0.1028995549	-0.0586361956	0.0708034429	-0.1167458783	0.0510163725	-0.0782098129	0.0369415674	-0.1020047097	0.1056233527	-0.0098478359	0.0146542345	0.1684283533	-0.0357904081	-0.037114199	0.0341037646	0.0099192505	-0.1235756586	-0.021624053	-0.1073416701	0.1768795334	0.1036961602	-0.1326357772	0.1880193006	-0.1004426381	-0.0365301445	-0.010371777	-0.0256339851	-0.0095274111	-0.1213852856	0.1017440954	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	-0.0160204	0.0	0.00025665321616	0.0	0.0173846	0.0174797765	0.0003055425864899	0.00030222431716	-0.000198302	4.473999999999998e-06	3.9323683204e-08	2.0016675999999983e-11	-0.000922862	-0.000356815	8.51674271044e-07	1.2731694422500002e-07	1.05879e-22	1.05879e-22	1.1210362640999999e-44	1.1210362640999999e-44	-0.000527657	0.0	0.0	2.78421909649e-07	0.0	0.0	0.0	0.0
5169.403456439726	-4.7724447236169	26722732.095450982	22.776228639978783	11695.591431523711	-23.385183844768108	136786858.93313086	546.8668234536033	4779.208958325728	-3.5146062262692794	22840838.26734089	12.352456925730785	4794.803629052999	9626.751325209523	0.957435	26.640442	0.0090665179999999	0.00754847	-0.1329152193	-0.2172091373	-0.0341932791	-0.0268081535	-0.0773058092	0.1047213523	-0.1308545912	0.096269177	-0.1260264937	-0.1082287958	0.0314406753	0.0592340729	-0.0802404634	-0.05613443	-0.0028937268	-0.0514464827	-0.0297022754	-0.1089701718	-0.0409239682	-0.0572876365	-0.1377722941	0.1033942778	0.0607713046	-0.1133226539	-0.1393018072	-0.1573970727	0.0038580786	0.108884715	0.0781566398	-0.1710998341	0.045888644	0.0759901301	-0.0382579536	-0.0424363566	0.1292751801	0.1036485328	0.0142331247	-0.0241096432	-0.0316676752	-0.0629645038	0.0371070496	0.0371373596	0.1326237577	-0.1361517669	0.1164301157	0.1372915497	-0.0776763685	0.0321612543	0.0024194331	-0.0468390898	0.0061242896	-0.0337742367	0.1299845069	0.0456841837	-0.1430591921	0.1260439814	0.0157664751	-0.1558974428	-0.1225685384	-0.156070787	0.0086692074	0.1079337397	0.037748434	0.1930124958	0.0318204277	0.0678653771	-0.019545237	0.0387843811	-0.1303225815	0.0214295569	-0.0263880934	-0.0376088518	-0.0479580611	0.0625442424	0.0340978482	0.1205366078	-0.0863661564	0.0504519751	0.106112709	0.1489318056	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	-0.0160204	0.0	0.00025665321616	0.0	0.0173888	4.199999999999343e-06	1.7639999999994478e-11	0.00030237036544	-0.00327587	-0.003077568	1.07313242569e-05	9.471424794624e-06	-0.000803167	0.0001196949999999	6.45077229889e-07	1.4326893024999991e-08	-0.0	-1.05879e-22	0.0	1.1210362640999999e-44	-0.000527657	0.0	0.0	2.78421909649e-07	0.0	0.0	0.0	0.0
5174.066763491065	4.663307051338961	26770966.873062905	21.746432655067675	11698.346630472532	2.75519894882018	136851313.88668802	7.591121247579823	4775.857079241506	-3.3518790842226736	22808810.841341205	11.235093395249429	4791.166430909905	9643.918717498893	1.265775	35.219921	0.03576458	0.0236941	-0.1293264858	-0.0115916897	-0.0006782766	-0.1160817967	-0.0641368968	0.0440961944	-0.0375227968	-0.0482093561	-0.0766817301	0.032567752	0.0007138889	0.0346396088	0.0366289382	-0.0245484875	0.0515442826	-0.1957704417	0.0704199726	0.180095663	-0.0181916287	-0.0253897197	0.0086373918	0.0383075581	-0.0953974709	-0.0506716146	-0.0138809208	-0.0002603068	-0.1449732719	-0.0640840365	-0.0126590294	0.1150134955	-0.14030715	-0.0199609517	0.0078082521	-0.1665777601	0.0993822044	-0.0043177379	-0.155005553	-0.0792768664	-0.0449756754	0.0593631243	-0.0069970566	-0.0858156679	0.0742290102	0.1504963952	-0.1140273266	0.169798511	0.034736911	-0.0359750606	0.0680456687	-0.1658197191	-0.0002821963	-0.1510648472	-0.1640113688	-0.0232632715	0.0036433242	0.0567368647	-0.1143706515	-0.025887661	-0.0082244548	0.0138722881	0.1356907928	-0.0889439069	-0.007065858	-0.1016027542	-0.0718682015	-0.0050490492	-0.2242956801	0.0256862187	-0.0201148748	-0.0894155053	-0.1300232452	-0.0153780329	-0.0396250123	0.0174824651	-0.0551528395	-3.70124e-05	-0.0987835715	-0.136094872	-0.1206610881	0.1374092269	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	-0.0247294	-0.0087089999999999	0.00061154322436	7.584668099999997e-05	0.0173942	5.399999999999156e-06	2.915999999999088e-11	0.0003025581936399	-0.0140532	-0.01077733	0.00019749243024	0.0001161508419289	-0.00047771	0.000325457	2.282068441e-07	1.0592225884900003e-07	5.293960000000001e-23	5.293960000000001e-23	2.802601248160001e-45	2.802601248160001e-45	-0.000527657	0.0	0.0	2.78421909649e-07	0.0	0.0	0.0	0.0
5169.108203758006	-4.958559733058792	26719679.62215832	24.587314626312075	11759.528420031913	61.181789559381286	138286508.66153824	3743.211373688417	4774.181112414209	-1.6759668272970885	22792805.29413257	2.808864806200269	4790.692188407727	9709.897971842687	1.167424	32.48333	0.05030712	0.0281644	-0.0319526613	0.1540374266	-0.095975453	-0.0241002507	-0.0333961063	0.0043966305	0.110289267	-0.0969255968	-0.0096533035	0.0915644002	-0.0066957281	0.1047026475	0.0400398633	0.0683806565	0.0975644293	-0.0202034083	-0.0185589289	0.0906707162	0.1667493382	0.0753494683	-0.0085859281	-0.0269136174	0.0867059085	0.2263770448	0.1834357892	0.0639244803	-0.1875054584	0.0029304681	-0.0761182916	-0.012085189	0.1048385721	0.0095425202	-0.0888559927	-0.0485213324	0.0741902677	0.0074886504	-0.1315126345	0.2203749181	0.0145441149	0.1680992547	-0.1484887332	0.1050071378	0.0312495154	0.1020271895	0.1351494571	0.1288440073	0.0407792363	-0.0778448072	0.0976020508	-0.0181457088	-0.0432702259	0.0469963961	-0.0981381216	-0.1326655117	-0.0022286961	-0.0654726401	0.1672395947	0.2112670142	0.1541209839	0.0459522058	0.1724888233	-0.0133691778	-0.084558371	0.0449647413	0.1198143527	0.0332663102	-0.0091914752	0.0922083164	-0.0574222217	-0.0657398173	-0.0785733027	0.2379587264	-0.0438417076	-0.074607884	-0.2143269137	0.0140665848	0.1000579772	-0.1216841501	0.1454590689	0.1306333018	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	-0.0267509	-0.0020215	0.00071561065081	4.08646225000001e-06	0.0173776	-1.659999999999856e-05	2.7555999999995216e-10	0.00030198098176	-0.00387088	0.01018232	1.49837119744e-05	0.0001036796405824	-0.000624805	-0.0001470949999999	3.90381288025e-07	2.1636939024999996e-08	0.000212276	0.000212276	4.5061100176000014e-08	4.5061100176000014e-08	-0.00093002	-0.000402363	1.6189598376900006e-07	8.649372004000001e-07	0.0	0.0	0.0	0.0
5158.247275292614	-10.860928465392137	26607514.95306368	117.95976713036517	11706.302820125096	-53.22559990681657	137037525.71646878	2832.964485440512	4763.26168205285	-10.919430361358536	22688661.851712946	119.2339594165586	4781.201375924368	9734.536177700553	0.956727	26.620745	0.05440195	0.0300956	0.0070929167	0.0984672613	-0.1110327885	-0.0311003526	-0.0622988443	-0.0247716348	0.1463366877	-0.1021735029	0.068323627	-0.1112017912	-0.047770227	-0.0497491149	0.1015336091	0.048651509	0.0618426765	-0.0931741739	-0.3030864731	-0.0847747867	0.056400073	0.0315195859	-0.0317850307	-0.1054154897	-0.1385245728	-0.092019555	-0.0613209513	0.0254484188	0.1590235719	-0.0895194384	0.0129485779	0.0060583382	-0.0919217893	-0.0642876359	-0.0703821674	0.0496034509	-0.1626738689	-0.1386518373	0.0785816013	0.1069352157	-0.0395352821	-0.0147623619	-0.0275188414	-0.0292729281	-0.1567138338	-0.0340948638	0.0464327585	-0.0699727369	0.0959653504	-0.0469685088	0.0632488874	-0.0457343384	-0.3030962884	0.056524304	0.1236949101	-0.0211865743	-0.0412188632	-0.0781765714	-0.1273202051	-0.0330842593	-0.0506757279	0.0125848611	-0.1941745386	-0.1004896177	0.0255155123	-0.0392407087	-0.1252960951	-0.0585412748	0.105095293	0.0618172832	0.1471629251	-0.0108102886	0.1451215265	0.0921987436	-0.0395907362	-0.0192973606	0.0209015237	-0.1078962638	0.0747623603	0.0911392397	0.0234417761	-0.0453870467	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	-0.0237194	0.0030314999999999	0.00056260993636	9.189992249999995e-06	0.0199303	0.0025527	6.516277290000008e-06	0.00039721685809	-0.00650958	-0.0026387	4.23746317764e-05	6.96273769e-06	-0.000315863	0.000308942	9.9769434769e-08	9.5445159364e-08	-0.0	-0.000212276	0.0	4.5061100176000014e-08	-0.000527657	0.000402363	1.6189598376900006e-07	2.78421909649e-07	0.0	0.0	0.0	0.0
5159.451524401632	1.204249109017837	26619940.032650325	1.450215916570255	11647.208434628768	-59.09438549632796	135657464.31968752	3492.1463971886164	4767.034177405812	3.772495352962324	22724614.84855511	14.231721188122323	4782.260249367617	9617.1931440203	1.042554	29.008848	0.06974757	0.040804	-0.0526401175	0.202997719	0.0069548193	-0.042136177	-0.0942574733	-0.0559803224	0.0248791917	-0.1726075729	0.0398791153	-0.0085495044	-0.0240939485	-0.055806524	0.0692655202	0.0666272261	-0.1285830772	0.1146657528	-0.0488374182	-0.1303758714	0.0380894621	0.016067643	0.0904113977	-0.0128760346	-0.026368851	-0.0802468266	-0.0083381669	-0.007064949	-0.0278498765	-0.0352036552	-0.0406113236	0.134443107	0.0614120212	0.0434560415	-0.0397619853	-0.0555107898	-0.0192897331	-0.0966434644	0.2539275718	0.0164266061	-0.0498345264	0.0462142021	0.0826004191	0.0127234375	0.1299662423	-0.1388680731	-0.1962747075	-0.156191982	0.0692621664	-0.0686411684	-0.1332978886	0.0579202487	-0.0019304752	0.1341953477	0.1138738035	-0.0053755174	0.0876836955	-0.0159735245	-0.0485173601	-0.0685584446	0.0043970688	0.0019510011	0.0245509346	-0.0383275845	-0.03287478	-0.1237745834	0.0687529074	0.046799725	0.0127365149	0.0276864338	-0.0063241704	-0.0180982129	0.2773521469	-0.0537940459	-0.0547939182	-0.0668640023	0.0244316993	0.1246309668	-0.0874138026	0.0525263582	-0.1760253841	-0.1802243208	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	-0.0160281	0.0076913	0.00025689998961	5.9156095690000026e-05	0.0174067	-0.0025236	6.368556960000004e-06	0.00030299320489	-0.0124308	-0.00592122	0.00015452478864	3.506084628840001e-05	0.000277512	0.0005933749999999	7.7012910144e-08	3.52093890625e-07	0.000478854	0.000478854	2.29301153316e-07	2.29301153316e-07	-0.000527657	0.0	0.0	2.78421909649e-07	0.0	0.0	0.0	0.0
5181.249745855515	21.798221453883343	26845348.928927843	475.16245855254	11718.548573023836	71.3401383950677	137324380.658319	5089.415346227413	4786.59554778007	19.56137037425742	22911496.938027985	382.647210918876	4806.442317569653	9734.420687783002	1.41595	39.398518	0.03114688	0.0175224	0.0884069261	-0.0777576138	0.0661316674	0.1783984867	0.1020310286	0.008160084	-0.1339717941	0.0374161277	0.0233580352	0.0722562162	-0.0113601496	-0.0260820101	-0.1816481068	-0.0282607124	-0.0687158474	-0.0744853382	0.2014899383	0.0804341854	-0.0930838696	-0.0375096498	-0.015454922	-0.1652498122	-0.1233472319	-0.0029466311	0.0245968701	-0.0391800496	-0.0310882263	-0.0498669941	-0.1838880303	0.0842032889	-0.0126644964	0.0739237134	0.0914475325	0.1013465103	0.0458105807	-0.1101420845	0.0111897494	0.0553071086	-0.0489885006	-0.0236069616	-0.1423058725	0.1025106233	-0.1640838697	-0.0401223279	0.0026713299	-0.1349948363	-0.1795201498	0.0569232335	-0.0679539166	-0.0333313158	0.1459620035	-0.1584986502	-0.1003033154	0.0637464938	-0.0198084999	-0.1595605634	-0.1233003217	0.0455548564	0.0220665247	-0.0298605671	0.0107402804	-0.0764618624	-0.1608625948	-0.1156083397	-0.0411306967	0.0705543339	0.1064969671	-0.1271158362	-0.0035755815	-0.1178703593	0.0336121523	0.0423427145	-0.064033177	0.058485016	-0.0664478306	-0.0490954975	0.1851657917	0.1183423698	0.0130063316	-0.1284158991	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	-0.0303918	-0.0143637	0.00092366150724	0.00020631587769	0.00929347	-0.00811323	6.582450103290001e-05	8.636858464089999e-05	-0.0110309	0.0013999	0.00012168075481	1.959720010000002e-06	0.000276887	-6.249999999999745e-07	7.666641076900002e-08	3.906249999999682e-13	0.000334078	-0.000144776	1.1160811008400001e-07	2.0960090176e-08	-0.000527657	0.0	0.0	2.78421909649e-07	0.0	0.0	0.0	0.0
5171.056892901659	-10.192852953856343	26739829.38962576	103.89425133893802	11736.927464015049	18.37889099121276	137755466.29555073	337.7836340668814	4767.365727029485	-19.229820750584626	22727775.97525537	369.7860060996149	4787.809093188723	9748.990718450808	1.11306	30.970667	0.054832075	0.0239144	0.1309074938	0.0032836207	-0.0008470096	0.1722861142	0.1902457809	0.0718593617	-0.0087236317	0.1351927079	-0.0041115674	-0.0709662731	-0.0544630688	-0.0460139053	0.0627474341	0.0389056446	0.0639649459	0.2807035277	0.135756587	0.0487430257	-0.0207700904	0.0699020999	0.0172517962	0.2147418348	0.2080022871	0.0890846147	-0.1006578145	-0.0112226837	-0.0050988172	0.0479877483	0.0950841533	-0.1600282608	-0.0867388248	-0.0191580142	-0.0995512051	0.03237311	0.0478240322	-0.0710827968	-0.0063987968	-0.0312018592	0.0260984104	-0.1888938828	-0.016796305	-0.0674839768	-0.0455501345	0.0350514566	0.1175026806	-0.0485046253	0.064882345	0.0344624691	0.0361370204	0.2478913282	0.184345548	0.1024006929	-0.0814825683	0.0062483281	0.040490613	0.1925570085	0.2499276486	0.0274169584	-0.1095553131	-0.0059428433	0.0054545804	0.0298657958	0.0729085192	0.1610016413	-0.1103727341	-0.0232913494	0.0365435083	0.0927797349	-0.0083962954	-0.0798734633	0.0029991242	-0.0195188644	0.0346212394	0.1372168967	0.1097900795	-0.0901871504	-0.0241683936	0.0421912985	0.1156488001	-0.0344108745	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	-0.0160277	0.0143641	0.0002568871672899	0.00020632736881	0.00475241	-0.0045410599999999	2.06212259236e-05	2.25854008081e-05	-0.000191485	0.010839415	3.6666505225e-08	0.0001174929175422	0.000106597	-0.00017029	1.1362920409e-08	2.8998684100000007e-08	0.000233472	-0.000100606	5.4509174784e-08	1.0121567236000004e-08	-0.000758511	-0.000230854	5.3293569316000026e-08	5.753389371210001e-07	0.0	0.0	0.0	0.0
5159.786657475802	-11.270235425857209	26623398.35066531	127.01820655424682	11722.569470042914	-14.357993972134864	137418634.9799822	206.15199090386108	4761.890959077164	-5.474767952321599	22675605.506140828	29.97308413176764	4780.320507472103	9743.472418631189	1.189004	33.083794	0.030761595	0.0168765	0.1660373739	-0.0148460422	0.0379533332	-0.1339947534	0.1469461849	-0.1038064128	0.1130528364	-0.0078533897	-0.0158166083	-0.0601367234	-0.0034927773	0.0385150491	0.1180473265	-0.0862831195	0.1132300616	0.0658019689	-0.0535244563	0.0328734346	-0.0770716128	0.0135982046	-0.0775931152	0.0120406752	-0.1535507969	0.1520293023	-0.0935363389	0.0466218732	-0.0814020631	0.0107565098	0.1193285295	-0.0261223596	-0.0546029402	-0.0628575234	-0.119636692	0.031202711	0.0562214522	0.0728744637	0.0225423779	-0.1022285653	0.0084638834	-0.0649667035	0.1488255621	0.1173511769	-0.043979213	0.0297132284	-0.0832238908	-0.2278935732	0.1175108457	0.1008457638	0.1150372517	0.052809967	-0.0469775863	0.0367095049	-0.0342368054	0.0602545783	-0.0719323324	0.0342811999	-0.1130508123	0.1787986635	-0.1114044646	0.0506680713	0.0824196405	-0.0176186225	0.0948545435	0.0529854403	-0.0495319243	-0.056476074	-0.0037721218	0.1212249017	-0.0992510109	0.0484016936	-0.0278970353	-0.1049794775	0.0411839711	-0.0119560145	0.1517988259	0.1100838903	0.086005441	0.0283056673	-0.0602316141	-0.2302806206	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	-0.0160191	8.599999999997499e-06	0.00025661156481	7.395999999995697e-11	0.00308532	-0.00166709	2.7791890681000013e-06	9.5191995024e-06	-0.00993944	-0.009747955	9.879246751360002e-05	9.5022626682025e-05	0.000139762	3.316500000000001e-05	1.9533416644e-08	1.0999172250000006e-09	0.000356212	0.00012274	1.26886988944e-07	1.50651076e-08	-0.000527657	0.000230854	5.3293569316000026e-08	2.78421909649e-07	0.0	0.0	0.0	0.0
