TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,3,1,3,2,2.550000e+00,1.0,0.0,2.7997885e-06,67.331406,71.331604,71.33697,7.0,72.68034,1.343383,72.78078,3.6066172,76.38903,3.0,76.38918,77.39649,6.059525,77.39668,79.39844,--
2,2,5,2,2,2,2.550000e+00,1.0,1.0,--,--,--,79.59828,7.0,80.5308,0.9325231,80.63116,4.017477,84.65109,5.0,84.65121,85.658356,6.0600724,85.6585,87.66013,--
3,3,3,1,3,3,8.500000e-01,1.0,2.0,--,--,--,87.664055,7.0,89.01174,1.3476921,89.1121,1.9023079,91.016,1.0,91.01612,92.0217,4.357649,92.02185,95.02335,--
4,4,3,1,3,2,2.550000e+00,1.0,3.0,--,--,--,95.025055,2.0,95.76196,0.7369087,95.862404,4.2130914,100.07876,7.0,100.07887,101.08345,6.0583944,101.0836,103.08538,--
5,5,6,2,3,1,1.700000e+00,1.0,4.0,--,--,--,103.27569,7.0,104.5282,1.2525094,104.62857,2.8474908,107.47734,2.0,107.47746,108.48205,5.2063627,108.482216,109.48368,--
6,6,6,2,3,1,8.500000e-01,1.0,5.0,--,--,--,109.67038,2.0,111.228065,1.557689,111.32847,1.692311,113.02201,8.0,113.02214,114.02691,4.3565307,114.02706,115.02833,--
7,7,6,2,3,1,1.700000e+00,1.0,6.0,--,--,--,115.217094,2.0,116.7781,1.561004,116.87848,2.538996,119.41904,9.0,119.41916,120.42367,5.2065716,120.42382,121.42597,--
8,8,4,2,1,2,8.500000e-01,1.0,7.0,--,--,--,121.61444,7.0,123.3786,1.7641608,123.47901,1.4858392,124.96662,6.0,124.96674,125.97292,4.358481,125.973076,127.97514,--
9,9,1,1,1,2,1.700000e+00,1.0,8.0,--,--,--,127.97805,7.0,129.32855,1.3505096,129.42892,2.7494903,132.18132,7.0,132.18144,133.18515,5.207111,133.1853,135.18668,--
10,10,4,2,1,3,8.500000e-01,1.0,9.0,--,--,--,135.37848,2.0,137.03014,1.6516654,137.13048,1.5983346,138.73131,2.0,138.73143,139.73549,4.357017,139.73564,142.73729,--
11,11,3,1,3,2,8.500000e-01,1.0,10.0,--,--,--,142.74017,7.0,144.39505,1.6548709,144.49545,1.5951291,146.09334,1.0,146.09344,147.0982,4.358038,147.09836,149.10027,--
12,12,2,1,2,3,2.550000e+00,1.0,11.0,--,--,--,149.10193,7.0,150.86176,1.7598372,150.96214,3.190163,154.15532,5.0,154.15543,155.16046,6.0585465,155.16061,158.1623,--
13,13,5,2,2,3,1.700000e+00,1.0,12.0,--,--,--,158.3516,2.0,159.4949,1.1433051,159.59526,2.9566948,162.55438,5.0,162.55449,163.55911,5.2075143,163.55927,166.5606,--
14,14,3,1,3,1,8.500000e-01,1.0,13.0,--,--,--,166.56342,2.0,168.22836,1.6649523,168.32877,1.5850477,169.91724,8.0,169.91736,170.9222,4.358781,170.92235,171.92421,--
15,15,6,2,3,1,8.500000e-01,1.0,14.0,--,--,--,172.10896,7.0,174.07825,1.9692852,174.17862,1.2807148,175.46031,1.0,175.46042,176.46466,4.355698,176.46481,177.46637,--
16,16,6,2,3,2,1.700000e+00,1.0,15.0,--,--,--,177.65433,7.0,180.12999,2.4756677,180.23038,1.6243324,181.85724,4.0,181.85735,182.86249,5.208166,182.86266,184.86424,--
17,17,1,1,1,2,2.550000e+00,1.0,16.0,--,--,--,184.86711,2.0,186.21156,1.3444505,186.31194,3.6055496,189.91922,1.0,189.91934,190.92444,6.057339,190.92459,192.92589,--
18,18,1,1,1,1,1.700000e+00,1.0,17.0,--,--,--,192.92764,7.0,194.06358,1.1359406,194.16396,2.9640596,197.13058,9.0,197.1307,198.13464,5.2070007,198.1348,199.13641,--
19,19,4,2,1,3,2.550000e+00,1.0,18.0,--,--,--,199.32489,2.0,200.97838,1.6534872,201.0788,3.2965128,204.37724,3.0,204.37737,205.38187,6.0569806,205.38202,208.38385,--
20,20,3,1,3,4,1.700000e+00,1.0,19.0,--,--,--,208.3867,7.0,209.94507,1.5583549,210.04546,2.541645,212.58835,1.0,212.58847,213.5934,5.206689,213.59354,217.59563,--
21,21,5,2,2,2,8.500000e-01,1.0,20.0,--,--,--,217.78587,7.0,219.0448,1.2589324,219.14522,1.9910676,221.13846,5.0,221.13858,222.14351,4.357629,222.14365,224.145,--
22,22,4,2,1,3,2.550000e+00,1.0,21.0,--,--,--,224.33514,7.0,225.27795,0.9428204,225.37834,4.0071797,229.38812,9.0,229.38824,230.39824,6.0630946,230.39838,233.39972,--
23,23,6,2,3,1,1.700000e+00,1.0,22.0,--,--,--,233.588,2.0,234.82896,1.2409679,234.92934,2.8590322,237.78978,9.0,237.78989,238.79514,5.207148,238.79529,239.79646,--
24,24,3,1,3,3,2.550000e+00,1.0,23.0,--,--,--,239.79936,7.0,241.14502,1.3456616,241.24542,3.6043384,244.8523,2.0,244.8524,245.85602,6.056669,245.85619,248.85744,--
25,25,2,1,2,1,2.550000e+00,1.0,24.0,--,--,--,248.8591,2.0,250.2118,1.3527054,250.31221,3.5972946,253.91272,5.0,253.91284,254.9183,6.0591993,254.91846,255.91977,--
26,26,4,2,1,3,8.500000e-01,1.0,25.0,--,--,--,256.11026,7.0,258.0781,1.9678164,258.17844,1.2821836,259.46225,7.0,259.46237,260.46744,4.3571687,260.4676,263.469,--
27,27,1,1,1,4,8.500000e-01,1.0,26.0,--,--,--,263.4719,2.0,265.0279,1.5560217,265.1283,1.6939783,266.82315,2.0,266.82327,267.82678,4.3549137,267.82693,271.82858,--
28,28,1,1,1,3,2.550000e+00,1.0,27.0,--,--,--,271.83023,2.0,274.21133,2.3811083,274.3117,2.5688918,276.88275,2.0,276.88287,277.88638,6.0561757,277.88654,280.88803,--
29,29,1,1,1,3,2.550000e+00,1.0,28.0,--,--,--,280.88968,2.0,281.92807,1.0384064,282.0284,3.9115937,285.94205,4.0,285.94217,286.94647,6.0567913,286.94662,289.94824,--
30,30,3,1,3,4,8.500000e-01,1.0,29.0,--,--,--,289.9499,7.0,290.9952,1.0453047,291.0956,2.2046955,293.30228,1.0,293.3024,294.30743,4.3575335,294.3076,298.3088,--
31,31,6,2,3,4,1.700000e+00,1.0,30.0,--,--,--,298.4958,7.0,300.0449,1.5490865,300.14526,2.5509136,302.6974,1.0,302.6975,303.70114,5.205339,303.7013,307.70297,--
32,32,1,1,1,1,1.700000e+00,1.0,31.0,--,--,--,307.70578,7.0,309.1614,1.4556342,309.2618,2.6443658,311.90884,6.0,311.90897,312.91336,5.2075753,312.9135,313.91516,--
33,33,6,2,3,2,1.700000e+00,1.0,32.0,--,--,--,314.10217,2.0,315.14484,1.0426809,315.24524,3.0573192,318.30542,8.0,318.30554,319.31067,5.2085137,319.31082,321.31226,--
34,34,3,1,3,3,8.500000e-01,1.0,33.0,--,--,--,321.31528,2.0,322.97784,1.6625735,323.07822,1.5874265,324.66702,6.0,324.66714,325.67044,4.3551583,325.67056,328.6719,--
35,35,2,1,2,4,2.550000e+00,1.0,34.0,--,--,--,328.67358,7.0,330.02814,1.3545616,330.1285,3.5954385,333.7261,5.0,333.72623,334.73087,6.057297,334.73102,338.73233,--
36,36,2,1,2,2,8.500000e-01,1.0,35.0,--,--,--,338.73398,7.0,340.0778,1.3438263,340.1782,1.9061737,342.0869,5.0,342.08704,343.0911,4.357115,343.09125,345.09253,--
37,37,1,1,1,3,2.550000e+00,1.0,36.0,--,--,--,345.09427,7.0,347.16135,2.0670745,347.26172,2.8829255,350.14548,9.0,350.14557,351.15002,6.055771,351.15018,354.15176,--
38,38,6,2,3,1,8.500000e-01,1.0,37.0,--,--,--,354.34055,7.0,356.09445,1.7539067,356.19485,1.4960933,357.69348,1.0,357.6936,358.6985,4.357929,358.6986,359.69992,--
39,39,1,1,1,4,1.700000e+00,1.0,38.0,--,--,--,359.7029,7.0,361.56064,1.8577361,361.66107,2.2422638,363.90488,6.0,363.905,364.91052,5.2076077,364.91068,368.91202,--
40,40,1,1,1,1,1.700000e+00,1.0,39.0,--,--,--,368.9137,2.0,370.26114,1.3474197,370.36148,2.7525804,373.11597,3.0,373.1161,374.12167,5.2079716,374.12183,375.12344,--
41,41,5,2,2,1,2.550000e+00,1.0,40.0,--,--,--,375.3115,2.0,377.47763,2.1661282,377.578,2.783872,380.36343,5.0,380.36353,381.36823,6.056738,381.36838,382.37064,--
42,42,4,2,1,2,8.500000e-01,1.0,41.0,--,--,--,382.55673,2.0,383.81055,1.2538211,383.91095,1.9961789,385.9095,4.0,385.9096,386.91507,4.3583493,386.91522,388.91696,--
43,43,6,2,3,1,2.550000e+00,1.0,42.0,--,--,--,389.10318,7.0,390.7609,1.6576936,390.86127,3.2923064,394.15533,3.0,394.15546,395.16,6.056805,395.16016,396.16232,--
44,44,1,1,1,2,1.700000e+00,1.0,43.0,--,--,--,396.16516,2.0,397.92816,1.7629929,398.02856,2.3370073,400.3683,3.0,400.3684,401.37332,5.208161,401.37347,403.37482,--
45,45,6,2,3,2,1.700000e+00,1.0,44.0,--,--,--,403.56198,2.0,405.21295,1.650954,405.3133,2.449046,407.76407,6.0,407.7642,408.76874,5.2067575,408.7689,410.77036,--
46,46,4,2,1,1,8.500000e-01,1.0,45.0,--,--,--,410.96204,7.0,412.62793,1.6658978,412.7283,1.5841022,414.31503,8.0,414.31516,415.32034,4.3582864,415.32047,416.32233,--
47,47,4,2,1,4,1.700000e+00,1.0,46.0,--,--,--,416.50714,7.0,418.1609,1.653761,418.2613,2.446239,420.7103,8.0,420.71042,421.71484,5.2077255,421.715,425.7162,--
48,48,4,2,1,2,2.550000e+00,1.0,47.0,--,--,--,425.90494,2.0,426.94437,1.0394285,427.04474,3.9105716,430.95633,2.0,430.95648,431.96002,6.055078,431.96014,433.96188,--
49,49,4,2,1,4,1.700000e+00,1.0,48.0,--,--,--,434.14566,2.0,435.59448,1.4488192,435.6949,2.6511807,438.34827,3.0,438.3484,439.3538,5.208114,439.35394,443.35605,--
50,50,2,1,2,1,1.700000e+00,1.0,49.0,--,--,--,443.35883,7.0,444.61057,1.2517506,444.71094,2.8482494,447.56125,5.0,447.56137,448.56598,5.2071676,448.56613,449.56732,--
51,51,3,1,3,4,8.500000e-01,1.0,50.0,--,--,--,449.56897,2.0,450.61118,1.0422038,450.71158,2.207796,452.9217,6.0,452.9218,453.92722,4.3582363,453.92737,457.92957,--
52,52,4,2,1,3,2.550000e+00,1.0,51.0,--,--,--,458.11777,2.0,459.26074,1.14298,459.3611,3.80702,463.17126,1.0,463.17136,464.17688,6.059109,464.17703,467.17883,--
53,53,3,1,3,2,2.550000e+00,1.0,52.0,--,--,--,467.18167,7.0,468.32773,1.1460342,468.42807,3.8039658,472.2333,3.0,472.23343,473.23874,6.0570574,473.23892,475.24033,--
54,54,5,2,2,4,8.500000e-01,1.0,53.0,--,--,--,475.4282,7.0,476.67725,1.2490734,476.77765,2.0009265,478.7798,5.0,478.7799,479.7843,4.356128,479.78445,483.78574,487.78726
