TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,3,2.550000e+00,1.0,0.0,2.299901e-06,19.0594,23.059603,23.258186,7.0,24.511148,1.2529618,24.61159,3.6970384,28.310879,6.0,28.311028,29.319056,6.0608687,29.31924,32.32084,--
2,2,6,2,3,4,8.500000e-01,1.0,1.0,--,--,--,32.51362,7.0,34.278038,1.7644216,34.378426,1.4855784,35.865894,2.0,35.866016,36.873135,4.359518,36.87328,40.874836,--
3,3,1,1,1,2,2.550000e+00,1.0,2.0,--,--,--,40.880478,7.0,42.327873,1.4473935,42.428238,3.5026064,45.933784,9.0,45.933903,46.940037,6.059558,46.94018,48.942215,--
4,4,1,1,1,2,2.550000e+00,1.0,3.0,--,--,--,48.943813,7.0,49.778095,0.834281,49.878464,4.115719,53.996883,6.0,53.997,55.00124,6.0574236,55.001385,57.003178,--
5,5,3,1,3,4,2.550000e+00,1.0,4.0,--,--,--,57.0048,7.0,58.3624,1.3576012,58.46276,3.592399,62.057003,1.0,62.057125,63.062817,6.0580196,63.06297,67.06414,--
6,6,5,2,2,3,8.500000e-01,1.0,5.0,--,--,--,67.255714,2.0,68.09449,0.8387756,68.19486,2.4112244,70.607834,5.0,70.607956,71.61349,4.3577714,71.61364,74.61507,--
7,7,3,1,3,1,1.700000e+00,1.0,6.0,--,--,--,74.61787,2.0,75.76134,1.1434697,75.86171,2.9565303,78.82032,6.0,78.820435,79.82501,5.207149,79.825165,80.82723,--
8,8,1,1,1,3,2.550000e+00,1.0,7.0,--,--,--,80.82904,7.0,82.694084,1.8650422,82.79443,3.0849578,85.880875,6.0,85.88099,86.885704,6.0566645,86.88586,89.89003,--
9,9,4,2,1,3,2.550000e+00,1.0,8.0,--,--,--,90.07835,2.0,91.428085,1.3497413,91.52846,3.6002586,95.131935,3.0,95.13206,96.1367,6.0583563,96.13685,99.13803,--
10,10,1,1,1,1,8.500000e-01,1.0,9.0,--,--,--,99.140915,2.0,100.6941,1.5531814,100.79449,1.6968186,102.49299,4.0,102.4931,103.49811,4.357191,103.49826,104.50008,--
11,11,4,2,1,1,1.700000e+00,1.0,10.0,--,--,--,104.6908,2.0,105.42808,0.7372737,105.52845,3.3627262,108.89341,4.0,108.893524,109.898125,5.207317,109.89827,110.9,--
12,12,3,1,3,4,2.550000e+00,1.0,11.0,--,--,--,110.902794,0.0,113.374374,2.4715824,113.474754,2.4784176,115.955284,999.0,115.955414,116.96002,6.0572276,116.96017,120.96188,--
13,13,1,1,1,2,8.500000e-01,1.0,12.0,--,--,--,120.9636,2.0,121.69461,0.7310105,121.79499,2.5189896,124.31526,3.0,124.315384,125.32058,4.3569746,125.320724,127.32202,--
14,14,6,2,3,3,1.700000e+00,1.0,13.0,--,--,--,127.514114,7.0,129.37733,1.8632194,129.47774,2.2367806,131.71553,3.0,131.71565,132.721,5.2068863,132.72115,135.72331,--
15,15,6,2,3,4,1.700000e+00,1.0,14.0,--,--,--,135.91487,2.0,136.64444,0.7295656,136.74481,3.3704343,140.1172,8.0,140.11732,141.12279,5.207913,141.12292,145.12418,--
16,16,1,1,1,3,1.700000e+00,1.0,15.0,--,--,--,145.12698,2.0,146.37822,1.2512306,146.4786,2.8487694,149.329,2.0,149.32912,150.33508,5.2080994,150.33524,153.337,--
17,17,5,2,2,2,2.550000e+00,1.0,16.0,--,--,--,153.52742,0.0,156.00017,2.4727595,156.10056,2.4772406,158.58058,999.0,158.5807,159.58806,6.060642,159.58821,161.58972,--
18,18,4,2,1,2,8.500000e-01,1.0,17.0,--,--,--,161.77866,2.0,162.81271,1.0340598,162.9131,2.2159402,165.12991,2.0,165.13004,166.1347,4.356049,166.13484,168.13596,--
19,19,6,2,3,4,2.550000e+00,1.0,18.0,--,--,--,168.33598,2.0,170.09433,1.7583414,170.19467,3.1916585,173.38857,8.0,173.38869,174.39354,6.0575514,174.39369,178.3951,--
20,20,3,1,3,4,1.700000e+00,1.0,19.0,--,--,--,178.39793,7.0,179.3298,0.9318645,179.43015,3.1681354,182.60034,1.0,182.60045,183.60378,5.2058406,183.60393,187.60599,--
21,21,4,2,1,1,2.550000e+00,1.0,20.0,--,--,--,187.79713,7.0,188.94447,1.1473417,189.04485,3.8026583,192.84998,8.0,192.8501,193.85454,6.0574083,193.85469,194.85593,--
22,22,4,2,1,1,8.500000e-01,1.0,21.0,--,--,--,195.04518,2.0,196.59424,1.5490462,196.69466,1.7009538,198.39702,3.0,198.39714,199.40108,4.355884,199.40121,200.40305,--
23,23,4,2,1,1,8.500000e-01,1.0,22.0,--,--,--,200.59384,7.0,202.2445,1.650652,202.3449,1.599348,203.94656,7.0,203.94669,204.9511,4.3572545,204.95125,205.95241,--
24,24,1,1,1,2,2.550000e+00,1.0,23.0,--,--,--,205.95517,7.0,207.61078,1.6556019,207.71114,3.294398,211.00827,7.0,211.00838,212.01218,6.057001,212.01231,214.01395,--
25,25,2,1,2,3,8.500000e-01,1.0,24.0,--,--,--,214.0157,2.0,216.49382,2.4781253,216.5942,0.7718747,217.36783,5.0,217.36795,218.3732,4.3575053,218.37335,221.37488,--
