global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
6141.020951917781	n/a	n/a	37712138.33189316	10689.900429230407	n/a	114273971.18686044	n/a	5682.278474424147	n/a	n/a	32288288.660904013	5715.983337302929	9743.436720308213	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.00037989	n/a	1.4431641210000001e-07	n/a	0.0556044	n/a	n/a	0.0030918492993599	-0.00780404	n/a	n/a	6.09030403216e-05	-0.000563919	n/a	n/a	3.18004638561e-07	-0.00046173	n/a	n/a	2.131945929e-07	0.000356496	n/a	n/a	1.27089398016e-07
6102.737854235555	-38.28309768222607	1465.5955681468631	37243409.31751958	10540.177301998818	-149.7231272315894	111095337.55757108	22417.014828006704	5675.119815416296	-7.158659007851384	51.24639879069176	32206984.91933069	5708.051257293022	8914.094928144332	1.194476	42.640385	0.084630332	0.0505696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.000390032	1.0141999999999984e-05	1.52124961024e-07	1.0286016399999969e-10	0.0111378	-0.0444665999999999	0.0019772785155599	0.00012405058884	0.0179045	0.02570854	0.0006609290289316	0.00032057112025	-0.000382625	0.0001812939999999	3.286751443599999e-08	1.46401890625e-07	-0.000373534	8.819599999999997e-05	7.778534415999994e-09	1.3952764915600004e-07	0.000375907	1.9410999999999998e-05	3.7678692099999977e-10	1.4130607264899998e-07
6076.574110475537	-26.163743760017496	684.5414875398544	36924752.92010157	10461.005919915391	-79.17138208342658	109432644.85650486	6268.107740999919	5686.227940511184	11.108125094888235	123.3904431236858	32333188.19145006	5718.2585466730525	8683.620181277174	1.171119	41.806602	0.189845203	0.152499	-0.051879986	-0.0361516777	0.0230599729	-0.0909137511	-0.1313488981	0.0181136054	-0.0141232856	0.0356065214	-0.0387436524	-0.0752622285	-0.1348906002	-0.0137393218	-0.0856116282	-0.0524780084	0.0683402756	0.0306355563	-0.0608920139	0.0800202515	-0.2930135615	0.0681348932	0.0448626879	-0.1811494933	-0.1083172139	0.2194115477	-0.0322062109	0.0184479498	0.0323204723	0.0170127287	-0.0092146406	0.0295811604	-0.0853875533	-0.0585414681	0.1165237238	-0.0356548491	0.0579803499	-0.0607573754	0.0287834076	-0.0602566543	0.0090609635	-0.0416189003	0.0376324636	-0.0109955009	0.0121757521	-0.053609833	0.0187521279	-0.0636257867	0.0338026533	-0.0009108044	-0.0352107164	0.0443043965	-0.0730990226	0.0335088415	-0.0035609337	-0.0866962822	0.0016961442	0.0013348342	0.0819984957	-0.007633868	-0.0321189977	0.0384980605	-0.0009284357	0.0639279898	-0.0423752288	0.0349756851	-0.0278852691	0.0637854148	-0.003364713	0.0047375756	-0.0377600632	0.0699211849	-0.0192766833	0.0177032381	-0.0516915937	0.0620863957	-0.0636011771	0.0009179558	-0.0550845423	0.0017326184	-0.0466879785	0.007536426	-0.0890275407	0.0096817951	-0.0303218921	0.0613041619	-0.0068111438	-0.0535735357	0.0355174861	-0.0229475231	0.0610396682	0.0454787396	-0.0232318597	0.1167854637	0.0419796115	-0.0006638678	-0.0035986829	0.0182295992	-0.0123153527	-0.012215865	0.0353196555	-0.1174594199	-0.0772946318	0.055183124	-0.0598381434	-0.0094013422	0.0433785996	0.0016514581	0.0101297038	-0.0307455882	-0.0585988772	0.0691187514	-0.0270731222	-0.0815991367	0.0245271271	0.072531389	-0.0205380541	-0.0448625195	0.0325574624	-0.0504634863	-0.0080509893	-0.0283223502	0.0572378764	-0.0466247391	-0.0097526443	-0.0123035712	0.0363113486	0.0114389721	0.0804737813	-0.0398479335	-0.0898217473	0.0791235901	0.0081960258	-0.049768594	0.0482988959	0.0341641986	0.0450781688	-0.0864626074	-0.1388439303	0.0721286362	0.0158741393	-0.0114499158	0.0302609751	-0.0837390855	-0.0709831298	0.1065395594	-0.0160647843	0.0958571859	-0.0235175189	0.0346347832	-0.0636434776	0.0226743442	-0.0258912604	0.0358915709	-0.0163177292	0.0421312732	-0.0639201957	0.0468117157	-0.0369211397	0.0194911337	-0.0194008588	0.0800583447	-0.0603919274	0.0257163286	-0.0387477474	-0.0269012684	0.0462140145	-0.0148455968	-0.0196441046	-0.0831692668	0.0205079257	0.0314962605	-0.0149671916	0.0126046329	-0.0675761082	0.0162088087	-0.0041144013	0.0323731295	-0.0619716752	0.0068025367	-0.010678134	0.004060003	-0.013244891	0.0967663367	-0.0412161701	0.0469762086	-0.0120213477	0.0368752226	-0.002546246	0.0300368311	-0.0590237883	0.0645636751	-0.0723580643	0.0095266613	-0.0523066406	0.0874901346	-0.0853945208	0.002588168	0.0063931862	-0.0539145104	0.0476780046	-0.027677162	-0.0237981688	0.0262542672	-0.0894536553	0.0174274705	0.0004712921	-0.0248300402	0.0224571045	0.0095741088	0.0029890919	-0.0321948607	0.0329096819	0.169225939	-0.0169301598	-0.0102615394	-0.0281140654	0.057135836	-0.0649192767	-0.0007690447	0.0475081344	-0.0117477575	-0.0336656067	0.0914149441	-0.0604193326	-0.0589061489	0.0113222845	0.017483223	-0.0036720786	-0.0056483629	-0.0244388119	0.1036962452	0.003610496	-0.0407088423	0.0199562811	0.0246671564	-0.0410381291	-0.0167852526	-0.0098543211	-0.0773916303	0.0457013324	-0.0282024502	-0.064301895	0.025502841	0.0143601514	0.1102241975	-0.0400489315	-0.027887125	-0.0444744975	0.1064772	-0.009992336	0.0722623296	0.0722605064	0.0722574676	0.0722532135	0.072247744	0.0	0.0	0.000666785	0.000276753	4.446022362250001e-07	7.659222300900003e-08	0.160626	0.1494882	0.0223467219392399	0.025800711876	0.040216	0.0223115	0.00049780303225	0.001617326656	-0.000414633	-3.200800000000004e-05	1.0245120640000023e-09	1.7192052468900001e-07	-0.00046173	-8.819599999999997e-05	7.778534415999994e-09	2.131945929e-07	0.000611078	0.000235171	5.5305399241000034e-08	3.734163220840001e-07
6093.970320452516	17.396209976978753	302.6281215631351	37136474.26655614	10391.717774713732	-69.28814520165906	107987798.30930132	4800.847065486189	5686.367295525065	0.1393550138809587	0.0194198198937621	32334773.01961704	5719.17042566637	9523.498334395836	1.147863	40.976402	0.227770055	0.172435	0.1992703605	-0.0357063327	-0.6112212764	-0.0366328254	0.1575332574	-0.0297112873	0.040880064	-0.0064570282	-0.1030675543	-0.0422734465	-0.0354278746	-0.1731053352	0.0230356474	0.0732357133	0.071248571	0.0893764642	-0.0104164401	0.0060095072	-0.1791344815	0.1071085177	0.0420806872	-0.1123493458	-0.165079316	0.0708277837	0.0311376651	-0.0570095185	-0.0071507899	-0.0457667631	-0.0107345698	0.0302946116	-0.1229159517	-0.0702448278	-0.0019207339	-0.0523952002	-0.0291065945	-0.0874762621	0.0245003965	0.0122440709	-0.0188261502	-0.0229876339	0.0676565503	0.0008949364	-0.0119713159	-0.0548806898	0.0581513591	-0.1252094025	-0.0372801727	-0.0357100058	0.0497891226	0.0148872716	-0.0004135292	-0.0466804941	-0.0581170162	0.0132871037	-0.0528677674	-0.0078372621	0.0444546854	0.0847621315	0.0472703126	0.0557381348	0.0085306927	-0.0078154762	-0.0196962446	0.0116682209	-0.103155027	0.0507190443	-0.0228551094	-0.0164927188	0.0312967663	0.0444090908	0.0447995101	-0.0406736177	-0.0564377963	-0.0603822278	0.0360051078	0.0539014493	-0.0906251617	-0.0678941295	0.0374355856	-0.0513770166	-0.0004289067	-0.0073850285	-0.0283102955	0.0341103208	0.0620085596	0.0387215809	0.0342545257	-0.0334790112	0.0781943684	-0.0524234206	-0.0475618494	0.0897211397	0.0027641695	0.0174752707	0.0006606201	-0.086539649	0.0515995184	0.0943973113	0.0383961798	0.0193544609	-0.1325193578	0.0190694313	-0.0048304748	-0.0145429398	-0.1160846395	-0.023583288	-0.0605626588	-0.081167506	0.0627831012	-0.0610154394	0.0342397013	-0.0392449316	0.0473491779	0.0396245356	0.0048674485	0.0242609361	0.0267940577	0.0095704339	-0.0424775339	0.0129564679	-0.0321060118	-0.0178157204	-0.0162753085	-0.0217469723	0.0034985016	-0.0491344699	-0.0412315932	-0.0929728421	-0.1224620922	-0.0594787057	-0.1836230182	-0.0127445137	0.0471919518	0.0574128216	0.0326748401	-0.0329560153	0.0796739089	0.0076232264	-0.0479778824	-0.0147864155	0.0290730803	-0.1162089642	-0.0877083105	0.0103073973	0.0691109338	0.0217613136	-0.0627348905	0.031334919	0.0022074233	0.0182186443	-0.0220053946	0.0985164118	-0.0294074223	0.0227052112	-0.0272066688	0.07533525	-0.0097011953	0.1256043632	0.0169157055	-0.0043003006	0.0118696411	-0.0530597636	-0.0374583158	0.0355607581	0.0155767424	0.0466051596	0.022778244	-0.079400179	-0.0532702884	-0.0484542462	-0.0917913451	-0.0078951132	-0.018467761	0.0201835235	-0.0277742381	-0.0405425811	-0.0792442339	-0.0074628703	0.041614693	-0.0202890526	0.0384034697	0.0301794544	-0.0574507226	0.0321891507	0.0737264931	-0.0477602972	0.0038946435	-0.0952731043	-0.0703563545	-0.0233677342	0.0428989959	-0.0212486554	-0.035419274	0.0369864437	-0.0815440474	-0.0165060104	0.0074173293	0.0372718613	-0.0201846766	-0.0276134239	-0.0053007593	0.0509035153	0.0094341331	-0.01731551	-0.024549967	0.0120377951	0.1694174561	-0.043341378	0.0591010217	-0.0057244161	-0.01203448	0.0800463084	0.0499898485	0.1477191902	0.0411633343	0.0127897243	0.0296482492	0.1106270842	-0.0757395435	-0.0188383056	0.0161352356	-0.031808147	-0.0536234922	-0.0313830935	-0.0132507741	-0.0098279867	0.019441725	0.0513673018	0.0314026199	-0.0351984716	0.0062633077	-0.0199671375	-0.009739308	0.0025364481	0.0102725792	-0.0097553909	0.1092439715	-0.0013893684	0.0533985279	-0.0991709426	0.0294636744	0.1325653108	0.0117076873	0.1259514153	0.0203762559	0.0798889338	-0.0084288755	-0.1213052727	-0.0093594405	0.0722574676	0.0722410593	0.0722137149	0.0721754384	0.0721262358	0.0	0.0	-0.00688076	-0.0075475449999999	4.734485817759999e-05	5.696543552702499e-05	-0.00388571	-0.1645117099999999	0.027064102727124	1.5098742204100002e-05	-0.0084601	-0.0486761	0.00236936271121	7.157329201e-05	-0.00042291	-8.276999999999948e-06	6.850872899999912e-11	1.788528681e-07	-0.00046173	0.0	0.0	2.131945929e-07	0.000478661	-0.000132417	1.7534261889000006e-08	2.2911635292100002e-07
6064.427528346722	-29.542792105793524	872.7765654061361	36777281.24656954	10339.948331789952	-51.769442923779934	106914531.5040858	2680.075220638508	5673.522737145461	-12.844558379603768	164.98267996704936	32188860.248906527	5706.246771792349	8753.663879692156	1.135146	40.522446	0.158862391	0.11335	-0.0563887757	0.0495222866	-0.1063032427	-0.0208609511	-0.0742181946	0.019048328	0.0604733859	-0.0323279414	-0.0288862645	-0.0405260973	-0.0025964889	-0.1103400171	0.0164844498	-0.060452643	0.0583602916	0.0712806481	-0.0155473571	-0.0031377161	-0.1748856124	-0.0074498925	0.0656305881	-0.0742754866	-0.0189754267	0.1424058349	-0.1353372405	-0.0519897057	0.0420637038	0.0501590457	0.0040071634	0.0193771616	-0.0951044645	-0.0491132115	0.0406848726	0.0447794839	0.0483740994	-0.0576116803	0.0726028954	-0.0212440159	-0.0235727837	0.0086592444	-0.0391423302	0.0319406325	-0.0616783254	-0.0282731578	-0.0282562753	0.0311076782	0.0173648719	-0.0119100494	0.0365072571	0.0131286494	-0.054485415	0.061596652	0.0573853732	0.018219215	0.0494493269	-0.0138444062	0.0357329083	-0.0235385163	0.039069141	-0.0412214962	0.0316750255	0.0037088633	0.0063902493	0.0247756899	-0.0175300984	-0.0470161519	0.0061420614	-0.0341604402	0.0054700417	-0.0189649786	-0.0823353231	0.1207843916	0.0101205209	0.0486281028	0.1471441817	-0.0277678593	-0.069709931	0.0141325951	0.0777068636	-0.0103898043	-0.0555122794	-0.0301502391	0.0381236691	0.0289175974	0.0627252838	0.0056120577	0.0627816596	0.0368036493	-0.0407454689	0.0159252068	-0.0652185836	-0.1152428311	0.0624407482	-0.0039510977	-0.0162531938	-0.0774788767	-0.0200457686	-0.0095013234	0.0285282477	-0.0477753856	0.0446045108	-0.1480320832	-0.001241934	-0.0475518994	-0.050749308	-0.0194352554	0.0292701504	0.041837367	-0.0030849181	0.0709432621	-0.0340505152	-0.0562320356	0.044463485	0.0018343403	0.008141435	-0.020485987	-0.0471526594	0.0783384476	0.0728551552	0.0455832806	0.0106152787	0.035336661	-0.0675799565	0.0423222021	0.1062183877	-0.0445334897	-0.0808831023	0.0118869281	0.065163811	-0.1274100633	0.0229197355	-0.0119711668	-0.0010401613	-0.1444794061	0.1020706053	-0.0910478912	0.0941372542	-0.0681175841	0.0496086808	0.0049474198	0.0216897135	-0.0860557368	-0.0630429963	0.0160171668	-0.0496083309	0.0794185297	-0.0383014005	0.0756625968	0.0003388177	0.0457352178	-0.0018530248	-0.0171816687	-0.0058280847	-0.0653485615	-0.0242643224	0.0213549272	0.0255826859	-0.0193966074	0.0081292618	-0.0225943887	-0.0696091502	0.0528768589	0.0012777402	-0.0397219122	-0.0590390536	-0.0244675265	-0.007441711	-0.0075644501	0.0669302717	-0.0352564628	0.0101786392	-0.0156906645	0.0138051726	0.0257701192	-0.0426968462	-0.0319369962	0.0084474484	-0.0326257174	0.0083873469	0.043276189	0.0695828526	0.0293914344	0.1297116904	-0.0561979662	-0.0614561405	-0.0738396696	-0.032016496	0.0608833529	-0.0518617224	-0.129950067	-0.0131376952	0.0037266895	-0.0493446276	0.0079175955	-0.0312487659	0.0401835267	0.0036366808	0.0143551991	-0.0684503511	0.0327495519	0.1023145686	0.0555516191	0.0852587885	-0.0325983088	-0.0335004021	-0.0482305483	-0.0161067254	-0.014940661	-0.0715482948	-0.0254599411	-0.0333855375	-0.0279070111	0.0464940087	-0.1009171213	0.1053458762	0.0249656638	0.0290243564	-0.0100726053	0.0285155055	0.0407581883	0.0369793415	0.0054440962	0.0198014553	-0.0682378083	-0.0303805398	-0.0337700659	0.0053266071	-0.1019791665	0.1056626325	0.0041253155	-0.0492048599	0.0155476588	-0.0210301666	0.0495282895	0.0109956674	0.0026270033	0.164951686	0.0444857276	-0.0601639175	0.0011104268	0.0969335284	-0.1410823845	0.0558681778	-0.008538878	0.0154996906	0.0257807155	-0.1123010242	-0.0117460724	0.0901115729	0.072247744	0.0722021705	0.0721262358	0.072019972	0.0718834238	0.0	0.0	0.000564421	0.0074451809999999	3.18571065241e-07	5.543072012276099e-05	0.106617	0.11050271	0.0122108489173441	0.011367184689	0.0181389	0.0265989999999999	0.0007075068009999	0.00032901969321	-0.000597837	-0.000174927	3.059945532900002e-08	3.574090785690001e-07	-0.000364354	9.737599999999998e-05	9.482085375999996e-09	1.32753837316e-07	0.000464654	-1.4007000000000017e-05	1.9619604900000048e-10	2.15903339716e-07
