onset	duration	trial_type	response_time
4.199042	1.556352	guess_leftButton_face	1.556352
7.551856	1.006491	outcome_stranger_punish	n/a
9.568139	1.654847	guess_rightButton_computer	1.654847
14.621167	1.004250	outcome_computer_punish	n/a
17.818166	1.454391	guess_rightButton_face	1.454391
22.020295	1.006546	outcome_stranger_reward	n/a
27.031109	0.841593	guess_leftButton_computer	0.841593
30.384263	1.004016	outcome_computer_reward	n/a
32.391911	1.246757	guess_leftButton_computer	1.246757
35.744694	1.005525	outcome_computer_neutral	n/a
39.942002	0.730440	guess_rightButton_face	0.730440
44.994159	1.006196	outcome_stranger_punish	n/a
49.191457	1.764747	guess_leftButton_face	1.764747
52.544029	1.004310	outcome_stranger_punish	n/a
55.736954	1.868529	guess_leftButton_face	1.868529
60.789329	1.005920	outcome_stranger_reward	n/a
65.982514	2.172775	guess_leftButton_face	2.172775
71.035249	1.005775	outcome_stranger_punish	n/a
75.047105	1.042062	guess_rightButton_computer	1.042062
80.098409	1.004640	outcome_computer_reward	n/a
85.294369	1.445114	guess_rightButton_face	1.445114
88.646769	1.005575	outcome_stranger_neutral	n/a
92.848054	1.758163	guess_rightButton_face	1.758163
96.200259	1.006000	outcome_stranger_reward	n/a
98.211109	1.344591	guess_leftButton_computer	1.344591
103.264283	1.005981	outcome_computer_punish	n/a
106.462723	1.343513	guess_rightButton_face	1.343513
110.665383	1.004631	outcome_stranger_reward	n/a
112.674169	1.448119	guess_rightButton_computer	1.448119
117.726489	1.005770	outcome_computer_punish	n/a
121.922239	1.866411	guess_leftButton_face	1.866411
126.974299	1.005490	outcome_stranger_neutral	n/a
129.170019	1.652098	guess_leftButton_face	1.652098
132.522329	1.005540	outcome_stranger_reward	n/a
137.531959	1.040189	guess_rightButton_computer	1.040189
142.583979	1.004480	outcome_computer_punish	n/a
146.781119	1.141324	guess_leftButton_face	1.141324
150.983269	1.003970	outcome_stranger_punish	n/a
153.991559	1.347128	guess_leftButton_computer	1.347128
157.344289	1.004980	outcome_computer_reward	n/a
161.353039	0.635610	guess_rightButton_computer	0.635610
166.405239	1.008010	outcome_computer_reward	n/a
171.601939	1.353709	guess_rightButton_face	1.353709
175.804249	1.004980	outcome_stranger_reward	n/a
179.813379	1.142561	guess_leftButton_computer	1.142561
184.016019	1.004280	outcome_computer_punish	n/a
187.209119	0.829602	guess_rightButton_face	0.829602
192.261349	1.004960	outcome_stranger_neutral	n/a
195.270929	2.067907	guess_rightButton_computer	2.067907
198.624059	1.005150	outcome_computer_reward	n/a
201.822519	0.832864	guess_leftButton_face	0.832864
206.875129	1.004500	outcome_stranger_punish	n/a
208.883909	1.971534	guess_rightButton_computer	1.971534
212.236439	1.003790	outcome_computer_punish	n/a
215.243749	1.861447	guess_leftButton_computer	1.861447
219.446389	1.005890	outcome_computer_reward	n/a
221.645669	1.143095	guess_leftButton_face	1.143095
226.697389	1.004000	outcome_stranger_reward	n/a
230.707149	1.964736	guess_rightButton_computer	1.964736
234.909629	1.003630	outcome_computer_reward	n/a
238.103989	0.834655	guess_rightButton_face	0.834655
241.456339	1.004620	outcome_stranger_neutral	n/a
245.466069	2.171980	guess_leftButton_computer	2.171980
249.668919	1.005340	outcome_computer_punish	n/a
252.677739	1.761031	guess_leftButton_computer	1.761031
257.730229	1.005500	outcome_computer_neutral	n/a
260.738839	1.349779	guess_leftButton_computer	1.349779
264.942289	1.004040	outcome_computer_neutral	n/a
270.137339	1.550744	guess_leftButton_face	1.550744
273.489969	1.004580	outcome_stranger_punish	n/a
276.679489	0.942083	guess_leftButton_face	0.942083
280.030889	1.005040	outcome_stranger_punish	n/a
282.226489	1.861648	guess_leftButton_face	1.861648
285.579789	1.004420	outcome_stranger_reward	n/a
288.773659	1.148262	guess_rightButton_face	1.148262
292.126789	1.004500	outcome_stranger_reward	n/a
297.136209	1.138075	guess_leftButton_computer	1.138075
300.488719	1.004090	outcome_computer_reward	n/a
302.495949	1.142390	guess_leftButton_computer	1.142390
306.698429	1.005560	outcome_computer_punish	n/a
310.706989	1.650647	guess_rightButton_computer	1.650647
314.910319	1.005520	outcome_computer_reward	n/a
317.105449	1.766418	guess_rightButton_face	1.766418
322.158119	1.004610	outcome_stranger_punish	n/a
324.168949	1.969750	guess_rightButton_computer	1.969750
329.221869	1.004340	outcome_computer_punish	n/a
332.414889	1.139967	guess_rightButton_face	1.139967
336.618389	1.004120	outcome_stranger_punish	n/a
338.626839	1.244608	guess_rightButton_computer	1.244608
341.979469	1.003750	outcome_computer_punish	n/a
344.179089	1.659461	guess_leftButton_face	1.659461
348.382459	1.004880	outcome_stranger_reward	n/a
353.581689	1.356623	guess_rightButton_face	1.356623
357.784249	1.003660	outcome_stranger_reward	n/a
362.975959	1.962462	guess_leftButton_face	1.962462
368.028449	1.004610	outcome_stranger_punish	n/a
372.220869	1.033912	guess_leftButton_face	1.033912
376.424389	1.004940	outcome_stranger_neutral	n/a
380.434059	1.138253	guess_rightButton_computer	1.138253
384.636209	1.003660	outcome_computer_neutral	n/a
387.643749	0.727961	guess_rightButton_computer	0.727961
391.847909	1.005040	outcome_computer_reward	n/a
396.856609	0.931292	guess_rightButton_computer	0.931292
401.059369	1.004050	outcome_computer_reward	n/a
406.066689	1.654991	guess_rightButton_computer	1.654991
409.419889	1.005300	outcome_computer_neutral	n/a
413.428839	0.726098	guess_leftButton_computer	0.726098
418.481189	1.004870	outcome_computer_punish	n/a
