global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
5877.3030122851	n/a	34542690.69821551	n/a	10770.999884545805	n/a	n/a	116014438.51288576	5651.265587000421	n/a	n/a	31936802.734815214	5668.712128616869	8732.772348321456	n/a	n/a	n/a	n/a	-0.05556663	-0.0344655478	-0.010617502	-0.0702156859	0.1320672053	0.0170876321	0.1698936025	-0.120187035	-0.0917518635	-0.0910570473	0.1308154567	0.2280115283	-0.0244376823	0.2954065138	-0.0256060972	0.0811785862	-0.092158684	-0.1178860566	0.0867336164	-0.0287120261	0.0221829781	-0.0245410513	0.0704205898	0.0007488844	-0.0004820314	0.0424841359	-0.0094781812	0.0037057741	-0.0161192603	0.0178098743	-0.0057430373	0.0106538914	-0.0595242531	0.0014122572	-0.0425332414	0.1017167243	-0.005959495	0.0398146122	0.0209841099	-0.0082187677	-0.0413013087	0.0251549961	0.0291410598	-0.0539869854	0.0434152976	0.0776348744	0.0311798899	-0.0378123872	0.0476332419	-0.0590280069	0.0721896679	-0.0840171958	0.0577923149	-0.0838008241	0.0598148969	-0.0181845129	0.0149867597	-0.0021879321	0.0160904705	-0.0341540339	0.0121388316	-0.0159143031	0.0566334581	-0.0431769623	0.0383668036	-0.0217041835	0.0293021961	-0.0130325964	0.050061473	-0.0251393548	0.1017632726	-0.0126903134	0.0690301715	-0.0194400677	-0.0223997971	0.0534633471	-0.0785818927	0.0318856645	-0.0228642669	-0.0154240048	0.0123030956	0.05622953	-0.0648695421	0.1057225906	-0.0212599662	0.0690964358	0.0063990431	-0.0506403221	-0.0036846431	-0.0297079064	0.0582363795	-0.0349009684	-0.0069481835	0.0363106552	0.0955108739	-0.0663148166	0.0301636843	0.0032542014	0.0250457712	-0.0320380527	-0.01303525	0.0254352736	0.0632380351	-0.0227666483	-0.068906493	0.0609311891	0.0009785497	-0.0132709735	-0.0435293451	0.0340779709	0.0491239756	-0.0827066338	0.0514376534	0.0301483312	-0.0261426701	-0.0746171383	0.0256574843	0.0154609505	-0.0253550903	-0.0302904856	0.0813840404	-0.0859647798	0.1164338565	-0.0691688161	0.0600822696	-0.0322055106	0.0188534277	-0.0741963536	0.0058996791	-0.030385842	0.035251848	-0.0214331241	0.0200542816	-0.0258082118	0.005385985	-0.0172515754	0.0240859447	-0.0438660789	0.0767735792	-0.0162253088	0.0808734206	-0.0116135128	0.0054291866	0.0193446402	-0.002081167	-0.028716949	0.0482925755	-0.0044675109	-0.0549520846	0.0376857056	0.1162357518	-0.044391956	0.0364957891	-0.0248758259	0.0859037972	-0.0216324956	0.0062844016	-0.0694315806	0.0672722721	-0.0499916653	0.0403651421	-0.0240401867	0.0320247357	-0.0019966537	0.0358725992	-0.0250947867	0.0031578046	-0.0648990298	0.0340320774	-0.0165947094	0.0418652269	-0.030331329	0.0538360374	-0.0206536103	0.0027141321	-0.0938790209	0.0623340227	-0.0811848331	0.0029638126	0.0419941151	-0.0415309446	0.004895232	-0.0419034297	0.0174526787	0.0784195084	-0.0448519156	0.1127074993	0.0677338518	-0.0040511039	0.0009668931	0.0015951271	0.0536903536	-0.0584381707	0.0048452881	0.0348552335	-0.0821837695	0.0052851941	0.0218549049	-0.0223301539	-0.0274795061	0.0293328971	-0.1083496293	-0.0017809657	-0.009596968	-0.008833068	0.0453855373	-0.0190593064	-0.0522018398	0.036557524	0.0023943406	-0.017211891	-0.0694617965	0.0678512938	0.0142091553	0.031168551	-0.0681808322	0.0388230833	0.0005105854	0.0447160676	-0.0941710681	0.0363180496	0.032132601	-0.0402225042	0.0128833817	0.0720743971	0.0720725975	0.0720695981	0.072065399	0.0720600002	-0.0247946	n/a	0.00061477218916	n/a	-0.0776448	n/a	n/a	0.00602871496704	-0.0027194	n/a	7.395136359999999e-06	n/a	0.0014271	n/a	2.03661441e-06	n/a	0.000209507	n/a	4.3893183049e-08	n/a	-0.00117891	n/a	n/a	1.3898287881e-06	0.0
5840.335201216724	-36.96781106837534	34109515.26257119	1366.6190551870943	10660.604874790535	-110.39500975526973	12187.058178866097	113648496.29640771	5638.131732196596	-13.13385480382476	172.49814200795075	31788529.42960219	5652.977618241852	8740.241003234647	1.152319	41.70369	0.10207272	0.0752677999999999	-0.0689937426	0.0417997041	0.0284095858	-0.1172100869	0.090383715	0.0096164905	0.14405183	0.0084981886	-0.0983474423	-0.0501637453	0.124177515	0.1591015792	-0.024997457	0.2691064367	-0.0506551348	0.0337025746	-0.0408523434	-0.0335493036	0.0317315481	-0.0173184184	0.0245659054	0.1025846113	0.1080517392	0.0156060146	-0.0252929092	0.0059641322	-0.0291223681	-0.0164225988	0.0425165074	0.0047419497	-0.0444059351	-0.0407619604	-0.0156856179	0.0704616207	-0.032765629	0.0417993064	-0.0012323149	-0.0394217389	-0.0223337719	0.0319719615	0.0285821668	0.0458622676	0.009187085	-0.0080973738	0.0018390682	0.0512501524	0.1167763635	0.0071076179	-0.0033686721	-0.0615799153	0.004485999	-0.0189752925	0.1157061596	-0.073244272	0.0651481049	-0.0129351103	0.0403607224	0.0262760177	0.0710487626	0.0070366621	0.0537102754	0.0446442246	-0.0851041167	-0.0435332784	0.1187812492	-0.0864822536	0.0118636449	0.0047406676	0.0202912011	-0.0095907916	0.07670852	0.010684907	0.0055256172	-0.0070725339	-0.0516123686	0.0404263081	0.0630997659	-0.0168387716	0.0129206202	0.0388308506	-0.0080566638	-0.023402157	-0.0640209203	-0.0597989654	-0.0070853388	0.1101668183	-0.0475601316	-0.017742588	0.0119543568	-0.0219983045	-0.0211423496	0.0258218669	-0.0470488551	0.010239088	-0.0254143456	0.0123793504	0.0746797326	0.0006785544	-0.0044083843	0.0591639285	0.0449603562	-0.0392121693	-0.0411730442	0.0631923366	0.055467158	0.0030657124	0.096653471	0.0807377395	-0.0233407403	-0.0390153403	-0.0437344673	-0.0392760707	0.0870667761	-0.0156686209	-0.0649199169	-0.0576210945	-0.0204970923	-0.0459405022	0.0168320256	-0.050074379	0.0269761504	-0.0311145985	0.0484987909	-0.0149725307	0.0532085972	-0.0297697078	-0.1122165559	-0.0960255324	0.0133459877	0.0445594039	0.0185221629	-0.0295072074	-0.0352965243	-0.00386286	0.0269433914	0.0435729805	0.0290786189	0.0300209623	0.0210928241	-0.0756620085	0.0532808457	0.0171289765	-0.0368904313	-0.0030685276	0.0244152003	-0.0183509751	-0.0518019451	-0.0058441341	-0.0136800264	-0.0075721011	0.0495017358	-0.0372708544	0.0790486726	0.0712816882	-0.0235204966	-0.0505373221	-0.0064083134	-0.1193870759	0.0727227725	-0.0249761776	0.0691002807	-0.006152936	-0.0148468051	-0.0666365237	0.0234052444	-0.0452343672	0.0585129175	0.0465864193	0.0471391542	-0.0910951369	0.130971606	-0.0148066342	0.0627512368	-0.0452772298	-0.0168540814	-0.0554934367	-0.0220013831	-0.0416098362	-0.0064553347	0.0379587998	-0.0231766416	0.0658927743	0.0302508221	-0.0329859675	0.0219069482	-0.0360555654	-0.0407825387	0.0548004648	0.0612462288	-0.0364824668	-0.0873779941	-0.052501693	-0.0474442848	-0.0042646392	-0.0291359186	-0.0215602872	0.0089693472	-0.0465928021	0.0061223583	-0.0586847651	-0.0202701127	-0.0020403136	0.0670899379	-0.0315582553	-0.0157754155	-0.0657654136	-0.0097539328	0.0624167747	-0.0159776148	-0.0594150514	0.0084232281	0.0124969199	-0.0897594897	0.0124080366	0.0433388886	0.0826712937	-0.0319682042	0.0159407188	0.0949879555	-0.0448077242	-0.0459555693	0.0397080288	0.0347369138	-0.0327647483	0.0720695981	0.072053402	0.0720264112	0.0719886298	0.0719400635	-0.0244482	0.0003464	0.0005977144832399	1.1999296000000013e-07	-0.00482903	0.07281577	0.0053021363606929	2.33195307409e-05	-0.0184184	-0.015699	0.00033923745856	0.000246458601	0.00137655	-5.05499999999999e-05	1.8948899025e-06	2.55530249999999e-09	0.000183342	-2.6165000000000004e-05	3.3614288964e-08	6.846072250000001e-10	-0.000991394	0.0001875159999999	3.516225025599999e-08	9.828620632360002e-07	0.0
5827.342868126261	-12.992333090463037	33957924.902702	168.80071913354075	10466.920644178304	-193.68423061223075	37513.581187851785	109556427.77152596	5637.55967742234	-0.5720547742557756	0.3272466647488263	31782079.116498284	5654.219074290584	8457.752969837595	1.216838	44.038712	0.05653527	0.0361429	0.0176240869	-0.0282887801	0.049161665	-0.0346201369	-0.0123005368	0.011207962	0.0534982569	-0.0261393119	0.0125647388	-0.0749231639	0.0752425757	0.1354624379	0.0704502951	0.2154604909	-0.0207092624	0.0115718522	0.028191589	0.0227567755	0.0822362809	-0.0670909509	0.020011678	0.0086413866	-0.0205824794	0.0894244858	0.1043026248	-0.0200664117	0.0068374181	0.0605188118	0.0604156872	-0.0220813658	0.1167067007	-0.0347441253	-0.0028829444	0.0603258694	-0.0111143274	-0.0527002958	0.0408809141	-0.0297372776	0.0337132907	-0.0016631262	-0.0007876004	0.097679253	0.0176260929	0.0475284072	-0.0358711941	-0.0353805901	-0.0540746115	0.0736156825	-0.0792736986	0.0322187371	-0.0312918348	0.0547507162	0.0514753063	0.055183566	0.0143858237	-0.0175747585	-0.0036599974	-0.0349557352	-0.0561837297	0.0957541983	0.0952121616	0.0037702298	0.0209051079	-0.0928402134	0.0474777751	0.0357679188	-0.0485533577	0.0288815054	-0.0705299334	0.0493713655	0.0067948927	0.0053119789	0.0063174592	0.0602182713	0.0489825656	-0.0542758366	-0.0005408577	0.0342279051	0.0072782265	-0.0337483509	0.1238045371	-0.0492473295	0.0500629998	-0.0530628457	0.0042163645	0.0027361712	-0.0101894437	0.055006373	0.0526275702	0.0229426787	-0.053707689	-0.0618668107	-0.064201663	0.0238355456	0.0921404627	-0.0664316309	0.0686141877	-0.064923268	0.0240642004	0.0055963733	0.0042103333	-0.0105662817	-0.0766666736	0.0792869629	-0.010402086	-0.0080992712	0.0883078152	0.0024811903	-0.0118858392	-0.0628006812	-0.0601994848	-0.0951823912	0.022019679	-0.0007509382	-0.053636889	0.0312367648	0.0548607837	0.0023748024	0.0171473084	-0.0175897985	0.0077273449	0.0352947596	-0.0172559052	-0.0569390119	0.1013295558	-0.0083761426	-0.0185276187	0.0122993958	0.1072068449	-0.05899948	-0.0687070016	0.0021671879	-0.0082798531	0.1059949308	0.0455150893	-0.0777837943	-0.0193423388	0.025468549	-0.0305379396	-0.052783105	-0.0358233115	-0.0591639979	0.0303425787	-0.0179584145	0.0079619489	-0.0928812177	-0.0833461898	-0.0468496148	0.0210609135	-0.0310903146	-0.0993312605	0.0178040183	-0.0736298356	0.0647244111	-0.0531618293	0.0391130635	0.0032483019	-0.0320270948	-0.0444306103	0.0006193464	-0.00110817	0.0179415522	0.0272386997	-0.0722601111	-0.0648808575	-0.0978202814	-0.0469846573	-0.0278956323	0.1150226757	0.0288903453	0.0236668165	0.0020188688	-0.0746112589	0.0196000335	-0.0299836092	-0.0005728849	-0.0504996748	-0.0224688603	-0.0251726997	-0.0512798697	0.0604556544	-0.0522173771	0.003505516	-0.0186057095	-0.0095925374	-0.0671560493	-0.0032701399	-0.112693742	-0.0340405815	-0.0112383281	-0.0251301212	-0.0442077444	0.0195500814	-0.0395178292	-0.0161377671	-0.0221036453	-0.0455720148	-0.0910837409	-0.0146935665	-0.0390114143	0.0199063529	-0.1031238478	0.0035742412	-0.0511983895	0.0407675865	-0.0174360986	-0.1288561817	0.0684428854	0.0518205108	-0.0881166012	0.005299993	0.0384043161	-0.0722550991	-0.0395544378	0.0351147362	0.0114494761	0.0312826967	-0.0683988051	0.0655793234	-0.034804417	-0.0260673206	-0.0259824204	-0.0256230184	-0.0778881436	0.0720600002	0.0720150162	0.0719400635	0.0718351734	0.0717003896	-0.0244461	2.1000000000014063e-06	0.0005976118052099	4.4100000000059066e-12	-0.0381866	-0.03335757	0.0011127274763049	0.00145821641956	-0.0306354	-0.0122169999999999	0.00093852773316	0.0001492550889999	0.00122355	-0.000153	1.4970746024999998e-06	2.3409000000000044e-08	0.000234188	5.084600000000001e-05	5.4844019344e-08	2.585315716000001e-09	-0.00100672	-1.5325999999999968e-05	2.34886275999999e-10	1.0134851584e-06	0.0
5847.51513874398	20.172270617718823	34193433.29784003	406.9205018744821	10491.045762726746	24.12511854844161	582.0213449763612	110062041.1956268	5636.383347998129	-1.1763294242118718	1.3837509142666338	31768817.245590597	5653.468440401283	8410.347875182057	1.210924	43.82465	0.1881836	0.119153	-0.0413713871	-0.0042645519	-0.0255834188	0.0537075322	-0.0138980924	0.0129007253	0.0722094925	-0.0560563698	-0.0612317347	-0.0813399615	-0.0060510226	0.015643922	-0.0047119124	0.1301317454	-0.0356234232	-0.009212022	-0.019478412	-0.0255749402	0.0357755329	-0.0343541861	0.0427028144	-0.1218783837	-0.0216492323	-0.0030404992	0.0311392077	-0.0469695113	-0.0037758237	-0.0675365443	0.0336121983	0.0259560896	-0.020667026	-0.0272169795	-0.0617539907	0.0293434851	-0.014438441	0.0722160727	0.0177447932	0.0601476198	-0.0405974016	0.0116528148	-0.1150301953	0.0270082101	0.0318897415	0.0182110685	0.0154513572	0.0171427929	-0.0106262541	0.0053119571	0.0502248553	0.0141856203	0.0433285218	0.0129319516	-0.0270742735	-0.0778027318	0.0369201206	0.0219469805	0.1021840809	-0.0463694294	-0.0068242315	0.0240114118	-0.0644541723	0.0003971308	-0.0122533022	-0.0503197736	-0.0100996582	0.0528394696	0.0380177001	0.0653333842	-0.0176122111	0.0540906496	0.0161691366	-0.0726580059	0.0248743811	0.0487786523	0.0958526227	-0.0266061918	-0.0972780248	-0.0209946955	-0.098054265	-0.0076077772	-0.1022464941	0.0222525771	0.0205318427	-0.0220710178	-0.1078800098	-0.1055365116	0.0198830256	-0.0154554664	-0.0533741086	0.0688611937	0.0816028537	0.0189150604	0.0002862008	0.0014027215	0.0748325002	-0.0308444841	-0.0472163463	0.0381478319	-0.0300622026	-0.0268635327	-0.0400165354	0.0078627499	-0.0293125284	-0.0037854543	0.008089925	0.0739769177	-0.0197428473	0.0003937116	0.0807916291	0.0075180785	-0.0129262996	-0.0678720519	-0.0488916781	-0.1138462455	-0.0017276713	-0.0095894963	0.0819249218	0.1292348088	-0.0248486548	-0.0344472082	-0.0072817665	-0.0187817655	0.0216474339	-0.0214054918	0.0468960208	-0.024140085	0.1261883743	0.0180147514	0.0124501518	-0.0042136023	-0.0559574114	0.0021428549	-0.0702771074	-0.0466693707	0.013380896	0.0202587262	0.0299778123	-0.0025105622	0.0526267899	-0.022387324	0.0562803986	-0.050846049	-0.0190486473	0.0601307284	-0.0037282938	-0.1078138105	0.0827137753	-0.0005898316	0.0154790658	-0.0154916206	0.0156505943	-0.038472098	-0.0139002221	-0.0337075034	0.0321760866	0.0283420881	-0.027770137	0.0146556293	0.0677512193	0.0019658911	0.0767786409	0.0539743688	0.0134389138	-0.0025768653	-0.0436621028	0.0752150462	-0.0120263435	-0.0053673214	0.0551703792	-0.0138476615	-0.0040134192	-0.0775491639	-0.0804526531	0.0537170654	0.0036508081	-0.0489564078	0.0603584658	-0.0206523631	-0.0414751879	-0.0324582756	0.0215880715	-0.0438514909	-0.0815320682	0.1229055521	0.0016305825	0.1296424541	-0.0094846009	0.0250327812	-0.0494715009	-0.1029295094	0.0841528487	-0.0100592157	0.0320171987	0.0229747501	0.0569782475	0.0432281256	0.0881298572	0.0383492767	-0.034391059	0.0283186953	0.0362792207	-0.0470169758	-0.0317139128	0.0458521656	-0.0260789569	0.027713795	-0.010344946	-0.0233164772	-0.0025614466	-0.0376685074	0.0364848115	-0.0743134538	0.0104279711	-0.0024476795	-0.0654910806	-0.0186222027	0.0147204326	-0.1171819095	0.071393423	0.0311510303	0.112266974	-0.0578349781	0.0222232027	-0.0547856617	0.0720456043	0.0719574502	0.0718106065	0.0716051931	0.0713413775	-0.024658	-0.0002119	0.000608016964	4.490161000000041e-08	-0.144427	-0.1062404	0.01128702259216	0.020859158329	-0.0605183	-0.0298828999999999	0.0036624646348899	0.0008929877124099	0.00199441	0.00077086	3.9776712481e-06	5.942251395999999e-07	-2.6921100000000004e-23	-0.000234188	7.247456252100003e-46	5.4844019344e-08	-0.00103864	-3.191999999999995e-05	1.018886399999997e-09	1.0787730496e-06	0.0
5845.905149900896	-1.6099888430844658	34174607.02163781	2.5920640748564567	10454.133263189313	-36.91249953743318	1362.5326221010046	109288902.28452124	5641.561629153396	5.178281155267541	26.81459572299894	31827217.61553592	5657.650029189885	8592.058632146991	1.055179	38.188072	0.10887115	0.0532636	-0.0525872176	0.0321604757	-0.0486214091	-0.023930288	0.1006190749	-0.0140760537	0.0736137228	-0.0210885831	-0.0789432673	-0.03975971	-0.0360252332	0.041223575	-0.1094794806	0.0369687106	0.0172121402	0.0198812636	-0.1201484973	0.0085033884	-0.0510897257	-0.0358070515	-0.0082062273	0.0109670517	-0.0838883677	0.0784904979	-0.0339302206	-0.0604343289	0.0426055906	-0.0003515706	0.0915154123	-0.0037855267	-0.0368428765	0.0127739943	0.027364145	0.0213659729	-0.0256089217	0.0090901567	-0.0249257816	-0.0457327311	-0.0373869487	-0.0481154964	0.0298965718	-0.0015013534	0.0149108659	-0.0031365871	-0.0336948789	0.0071788097	-0.0361249351	-0.0157362065	-0.0998337305	-0.0596418938	0.0100844409	-0.0537261085	0.0377176608	0.0043816884	-0.0187256412	-0.0629160034	-0.0018710472	0.0575608839	-0.0548695158	0.0216051591	-0.066711424	0.050817282	-0.0449939064	-0.0415105473	-0.0186355405	0.019397907	-0.0588951189	-0.0126581668	0.0314678825	0.0549987546	0.0055504272	-0.0209637427	-0.1128354386	-0.0543393256	-0.0215879762	0.0456491423	-0.0098986203	0.0776869386	-0.0673290592	0.0426588075	-0.0518326297	-0.0535561324	0.0063760387	-0.087774672	-0.1395816392	0.0118485985	-0.0400655593	-0.0354679561	-0.0455122782	-0.0236424667	0.1102026194	0.0697829857	0.0017425576	0.0934045986	0.0401543693	0.0398584312	0.048543989	0.0292306986	-0.0628574592	0.0028781722	0.1140567722	-0.0019870418	-0.0084606759	-0.0752003849	-0.0155036601	0.0561332187	0.0007652552	0.0284131373	-0.0484436639	0.0292672534	-0.0187384032	0.0254281778	-0.0268142291	0.0030351233	0.0272200357	0.0921201009	-0.0395044809	-0.0217381935	0.1043572071	0.0154970926	0.0224228103	-0.1134826946	0.0061483717	0.0660982414	0.0267209876	0.0154549929	-0.0042058307	0.095326177	0.0749187611	0.0531507179	-0.0035742057	0.0547749591	-0.0460959236	0.0319939345	0.0493162498	0.0394706214	-0.040514023	-0.0049271177	0.001264477	-0.0349535313	0.017568439	0.051555162	-0.0287475772	-0.0104587735	-0.0484362257	0.0242455942	-0.0065845971	-0.0257467644	0.0092817959	0.0112029517	-0.0107001151	0.0752548108	-0.0190142444	0.0702533604	0.0334424864	-0.0423276749	0.0660950035	-0.0772140887	-0.0245593936	-0.0634634896	-0.0319561384	-0.0093359236	-0.0574526794	0.0544967134	-0.0597305203	0.0344495372	0.0164793483	0.0437215351	0.0214540521	-0.0083306506	-0.0259905723	0.0201903737	-0.0275127129	-0.0288002076	0.0596661989	-0.0663943227	-0.0196845471	0.0533113372	0.0883888544	-0.0206765437	-0.0119443442	0.0027489852	0.02218627	0.0257361403	0.1017051912	0.019513125	-0.0606566209	0.0447989087	-0.0657022153	-0.160012722	-0.0425712382	-0.0921512133	-0.0342770168	0.0224341334	0.0011028388	-0.0321540716	0.107557656	0.0732096083	-0.0599370112	-0.1140147218	-0.0055335547	-0.0012001176	0.0176125778	0.031643029	-0.0559518854	0.0075567806	0.0121740855	0.0974924425	0.0034492274	0.0704116174	0.0327082937	-0.0599205977	0.0383529386	0.0043249677	0.024027034	0.0336510407	0.0526304166	0.0320663213	-0.0531468554	0.0765372217	-0.0372355922	-0.0337873058	0.0313146909	-0.0532259847	0.0720264112	0.0718807194	0.071638118	0.0712989339	0.0708636247	-0.0148026	0.0098553999999999	0.00021911696676	9.712890915999997e-05	-0.155662	-0.0112349999999999	0.0001262252249999	0.024230658244	-0.090689	-0.0301707	0.008224494721	0.00091027113849	0.00258667	0.00059226	6.690861688900001e-06	3.507719076000004e-07	-0.000254969	-0.000254969	6.500919096100001e-08	6.500919096100001e-08	-0.000733668	0.0003049719999999	9.300792078399997e-08	5.382687342240001e-07	0.0
