global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
5211.475945259579	n/a	n/a	27159481.528019223	11039.88928503161	n/a	121879155.42575574	n/a	4808.642674789774	n/a	n/a	23123044.373809356	4845.463302631497	8658.136551246034	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0223904	n/a	n/a	0.00050133001216	0.0302971	n/a	0.00091791426841	n/a	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0
5201.522314720965	-9.953630538613652	99.0747608992223	27055834.39054015	10893.83889839569	-146.0503866359195	118675725.94419904	21330.71543650157	4810.358895458741	1.716220668967253	2.9454133845904056	23139552.70311904	4847.338369608949	8579.892456341659	1.276702	48.026539	0.0838148479999999	0.0412414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0098136	-0.0125768	0.00015817589824	9.630674496e-05	0.000527552	-0.029769548	2.78311112704e-07	0.0008862259881243	0.0211964	0.0211964	0.00044928737296	0.00044928737296	0.00015477	0.00015477	2.3953752900000003e-08	2.3953752900000003e-08	-0.0	0.0	0.0	0.0	-0.000250672	-0.000250672	6.283645158400001e-08	6.283645158400001e-08	0.0
5183.695763180497	-17.826551540468245	317.78593982497074	26870701.76521544	10763.165946059024	-130.67295233666664	115845741.18240464	17075.420472380752	4807.04918443718	-3.30971102156127	10.954187046244147	23107721.86159816	4843.549094830963	8486.391681770143	1.252142	47.102642	0.193085798	0.115486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.007103	-0.0027106	7.347352360000003e-06	5.0452609e-05	0.107422	0.106894448	0.011539486084	0.0114264230132247	0.0474909	0.0262945	0.00069140073025	0.00225538558281	-0.000293246	-0.000448016	2.0071833625600002e-07	8.5993216516e-08	-0.000485835	-0.000485835	2.36035647225e-07	2.36035647225e-07	-0.000460546	-0.0002098739999999	2.12102618116e-07	4.4047095875999996e-08	0.0
5169.967276311538	-13.728486868959408	188.4713517111909	26728561.63813214	10667.240046382714	-95.9258996763092	113790010.2071511	9201.778228709338	4795.257806674046	-11.791377763133823	139.0365895529268	22994497.432468385	4832.03332310913	8436.321475251647	1.194054	44.9175	0.12937435	0.0802058999999999	-0.0192024321	-0.0605729461	-0.0331271721	-0.0014567095	0.0536034702	0.0722930284	0.0046694112	0.080141725	0.0866549412	-0.1106819857	-0.0120198606	-0.1164088845	0.0710937844	0.3274024261	0.1704282939	0.06760554	-0.2134045899	0.0322225607	0.0681559106	-0.0758079374	-0.0431550852	-0.0428999738	-0.0059401184	0.01826279	-0.0182754602	0.0653784544	-0.035818612	0.0189318239	-0.068165564	0.0053871472	-0.0563789363	0.0647217886	-0.0446755487	0.0456242483	-0.013981978	0.0372211836	-0.0218988645	0.0260444236	-0.0476990361	0.1300338391	-0.0375565502	0.0555394921	-0.0443297737	0.0263306138	-0.0313632621	-0.0181089478	0.0371426401	-0.0191638925	-0.0390407035	0.020270906	-0.0203702679	0.0002614008	-0.106332928	0.0041188767	-0.0048154987	0.0432689452	-0.0130034024	0.0169438033	-0.0149633769	0.0689850035	-0.0138574274	0.0792247653	-0.0463887286	0.1295689082	-0.017299167	0.009585528	-0.0518653493	0.0456248331	-0.0035283938	0.0256669289	-0.0592718314	0.0348301517	-0.0697101095	0.0337128761	-0.1011312014	0.0441817848	-0.1056731559	0.0233784791	-0.0010656686	-0.0003006951	-0.0093773719	0.0437758698	-0.0784894998	0.0251079112	-0.0608143064	-0.0269663366	0.0300603099	-0.0107336638	0.0943147064	0.0076570586	-0.016190422	-0.061728622	0.0621571352	-0.0217209323	-0.0092864626	-0.0377783674	0.0135011632	0.0521116541	-0.0653344042	0.0413286063	0.0008147798	-0.0142441165	-0.0674056235	0.0101832178	0.0644478017	-0.0951179414	-0.0480673244	0.0866511073	-0.0220167391	0.0130909242	0.0203401419	0.0526204141	-0.0533096434	0.0471710874	0.0003483753	0.0128952275	0.0475775713	-0.0076786622	-0.0181233714	-0.027754096	0.0315456263	-0.0511168431	-0.0257956477	0.0252328336	-0.0387985388	-0.0144915784	-0.0328753021	0.0425871652	0.0785461083	0.0379375515	-0.0141461661	-0.0671052208	0.0638850991	0.0188701527	-0.0152572991	0.0076025665	-0.0360218207	-0.1060332244	0.0149401295	-0.0405168545	0.0179013726	0.0224850339	-0.034615415	0.0385707154	-0.0061164199	0.0395971192	-0.0616566625	0.008359106	-0.012629601	0.021350576	-0.1091153238	0.0580753088	-0.0326768565	0.0673429267	-0.0936268715	0.0094060514	-0.0003072905	-0.0459781535	0.0268870433	-0.0086229741	-0.0178669294	-0.021876358	-0.0183793201	0.0707857942	-0.079519026	0.0816402554	-0.0447742618	0.0407755978	-0.0246751015	0.033525871	-0.0081550226	0.0575861062	-0.0163429233	0.0782471274	-0.029787861	0.0955719325	-0.0865651235	0.057744027	-0.0761863469	0.0405725454	-0.0322275452	0.0305848693	-0.040657799	0.0275451617	-0.0510213024	0.0158658038	-0.1001708875	0.0233613325	-0.0540696994	0.0202625001	0.0394774335	-0.0221985875	0.0109037772	-0.0384091633	-0.0091826472	0.0562121113	-0.0958165076	0.0372757632	-0.019091738	-0.0063622739	-0.0818977029	0.043107235	-0.0248724598	0.0461560021	-0.0236877324	-0.0718890393	0.0024652898	0.0161696901	0.0093076208	-0.0284326374	-0.0559867142	0.0087708615	0.0774665555	-0.0261206804	0.0817666891	0.0062400618	-0.0147779835	-0.0144205552	-0.01265233	0.136777221	-0.039907822	0.0376989101	0.0061059245	0.0236384933	-0.0761038377	0.0124394145	0.0250865832	0.0322847353	-0.0588148712	0.0417669257	0.0018438756	0.0166107272	0.0288685529	-0.0437777499	0.023842868	0.0001234178	0.0675377308	-0.0182986388	-0.0281019955	0.0420075234	0.0388187452	-0.0035992555	-0.0046342481	-0.0481254043	-0.069822113	0.0516593197	0.0723568488	0.0723550136	0.0723519549	0.0723476729	0.0723421676	0.0	0.0	0.0	0.0211025	0.0139995	0.00019598600025	0.00044531550625	0.0350322	-0.0723898	0.00122725503684	0.00524028314404	0.0176024	-0.0298885	0.00089332243225	0.00030984448576	-0.000309428	-1.6182000000000002e-05	2.618571240000001e-10	9.5745687184e-08	-0.000605803	-0.000119968	3.669972748090001e-07	1.4392321024000009e-08	-0.000334765	0.000125781	1.12067605225e-07	1.5820859960999997e-08	0.0
5160.708441296798	-9.258835014739816	85.72602583017205	26632911.616072025	10587.961387007375	-79.27865937533898	112104926.33275914	6285.105832351022	4803.735966835151	8.478160161104825	71.87919971734499	23075879.239065643	4840.571438252355	8403.056154505717	1.101512	41.436306	0.07696965	0.0473945	0.0627929959	-0.0089650495	-0.0092870249	0.017624177	0.0312910048	-0.024071876	0.0103597473	0.0705308441	0.1531707011	-0.048924685	0.0109182854	-0.0082425599	0.1307782886	0.1985612072	0.1500690859	0.0102665443	-0.0708124513	-0.0805178715	0.0443374804	-0.0464232944	0.0404807347	-0.102825077	0.0327373497	0.0080972568	0.0969709864	0.0191521891	-0.0431537557	0.0466029456	0.0059371516	0.0512042278	-0.0490946269	-0.0396486221	0.0002213104	0.0295492213	-0.0385059223	-0.0181119264	-0.0073196663	-0.0119652113	-0.1066161932	0.0747397103	0.0540176074	-0.0029584985	0.0033703929	-0.1006023445	-0.1007097264	0.0919328709	-0.009325852	-0.0313790333	-0.0248476065	0.0266852822	0.063417678	-0.048003411	-0.0105046648	-0.0562038833	0.0429311429	0.0261080894	-0.0710881786	0.0237318278	0.0129186102	0.0404939973	0.0364310535	0.0100755992	0.0540128554	0.065037266	0.0042918281	0.0389629493	0.0250766525	-0.0090201565	0.0197986108	0.0540864016	0.0269031685	-0.047806138	0.0530932036	-0.087546577	-0.0036549794	-0.0970109029	-0.0829443987	0.0120057894	-0.0688155667	0.0002853596	0.0766000732	0.0614715422	-0.0259573594	0.0197374202	-0.0248173299	-0.0011053294	0.0372873653	0.0297176928	-0.0438397486	-0.0375571837	-0.0866832979	-0.0863862947	0.1313093057	0.0255571351	0.022188548	0.1500396858	-0.0242954958	-0.0351866966	-0.0891640567	-0.026028275	0.0516158139	-0.0163666223	-0.0090379624	0.0990585183	-0.0229678728	-0.0722781916	-0.0121511395	0.0111147493	-0.089453138	0.0117481369	0.0418130303	0.027198042	-0.038351576	-0.0503146922	0.041290892	0.0216605444	-0.0191519701	-0.0117842491	-0.033547518	-0.0170213083	0.0523135398	-0.0011417106	-0.0844319394	-0.0190482965	-0.008974403	-0.0112718485	-0.0843118911	-0.0004476014	0.1272224449	0.152352878	0.0488413426	0.0118302227	-0.0487438133	0.0163728514	0.0231790902	0.0451687955	0.0742227624	-0.0390802656	-0.0183531986	0.0492122193	0.0402812218	0.0063308759	0.0669185739	0.0455566979	0.0108839707	0.0146704976	-0.0201709503	-0.0329138624	-0.0050638155	-0.0399449694	-0.0967122503	-0.0249285073	-0.0178809373	0.0670680685	0.0402805349	0.117538869	0.0567225044	0.0774135548	0.0929054582	0.0009708608	0.0170198669	-0.0384550094	-0.0804794774	0.0020434197	-0.0134853645	0.00081109	-0.0242928791	-0.061355729	-0.0145692065	0.0979521382	-0.0429078035	0.0663364509	-0.0301561165	9.11512e-05	-0.0107138522	0.0117691736	-0.0265468548	0.0651474773	-0.0044182935	0.0172839259	0.018073049	-0.0355637911	0.0216412838	0.0015299095	0.0556601832	-0.0872707288	0.0167567926	0.0545738555	0.0768857479	0.0698682656	0.0745493784	0.0087489389	-0.0617880578	0.0545080273	-0.0327827192	-0.0130973718	-0.0523022365	0.0262759565	-0.0368428462	-0.0061512215	0.0501784806	0.0782489797	-0.1235880848	0.0304297022	-0.1250254112	-0.1164401623	0.0151128575	0.0291587621	0.008134447	0.130899437	-0.0752133027	0.019729101	-0.0499177497	0.0407254346	-0.0072218317	0.0542892805	0.0121617809	0.0408459642	0.0474147381	0.0831131577	0.0846989963	0.0466736943	0.0085074612	0.0132477194	-0.0688671915	-0.043783973	0.0478846809	-0.0144803956	-0.0088698731	-0.0309465478	0.0426874	0.0436629562	0.0235905389	0.0148279592	0.0918899364	0.0177959731	0.0056827166	-0.0476153734	-0.0710617032	0.0278893853	0.1683567358	0.0553233974	-0.0344911543	-0.0135238757	-0.0243080244	-0.0587066361	0.0723519549	0.072335439	0.0723079153	0.0722693879	0.0722198628	0.0	0.0	0.0	0.0170713	-0.0040311999999999	1.6250573439999988e-05	0.00029142928369	-0.00632935	-0.04136155	4.00606714225e-05	0.0017107778184024	0.0197814	0.002179	4.7480410000000015e-06	0.00039130378596	0.000160125	0.000469553	2.20480019809e-07	2.5640015625e-08	-0.00054528	6.052300000000005e-05	2.973302784e-07	3.6630335290000045e-09	-0.000276883	5.788199999999999e-05	7.666419568900002e-08	3.350325923999998e-09	0.0
5150.197663977362	-10.510777319435874	110.47643985876758	26524535.978037875	10575.878519926124	-12.082867081251608	111849206.46823478	145.99567690319373	4801.542099812458	-2.193867022692757	4.813052513258782	23054806.53627143	4838.390383582508	8370.456954220688	1.198087	45.069206	0.15144117	0.100402	-0.0602474315	0.04772208	-0.0238921172	0.0001973734	0.0486275274	0.0645804036	-0.0340994242	-0.0226948926	0.0902034072	-0.0320649022	-0.0668382016	-0.0315781989	0.0320589589	0.1106385409	0.1601505699	0.0227315876	-0.1229980188	-0.0017292882	0.0837143383	-0.0596683647	-0.0107307391	0.012315047	0.0300608306	-0.0031095314	-0.0252976382	-0.0550675989	-0.0521273533	0.0558487011	0.045148076	0.048274996	0.0334593731	0.0113541818	-0.0231292787	0.0184291808	0.0523623435	-0.0265959591	-0.0218055751	-0.066794012	0.0307334716	-0.0316482218	0.0427187098	-0.0335850516	-0.0766256095	0.0336131742	0.0283904513	0.0775714809	0.0084940044	0.0123877965	0.0930344246	-0.0084778697	0.0318357677	-0.0496141493	-0.0015505699	-0.0389095508	-0.0556168362	0.1267004009	0.0846714362	-0.0227140913	-0.0097326528	0.0776026904	-0.0368361885	0.0419227524	-0.0471429423	-0.0727084119	0.0145395838	0.0189661303	-0.0440137331	-0.0326599698	0.0338041376	0.0155041364	0.0623311982	-0.0293335006	0.0032341333	0.0532102505	0.0092070395	-0.0975567148	-0.0550967084	-0.0050715395	-0.0558605326	0.0710539877	-0.0110534619	0.0175290042	0.0005405606	-0.0828979264	0.0543093354	0.0082525204	-0.0377886627	0.0113219796	-0.0860224704	0.0760631281	-0.1089545416	0.0043248546	-0.0802059562	0.0210758743	0.0651259804	0.0749556943	0.0323357942	-0.0093265595	0.0422151887	-0.0056736836	-0.0550547036	-0.0122746733	-0.0936137042	-0.0430503267	-0.0630097377	-0.1543895041	0.0513489219	0.126169112	0.0092107493	0.0505069232	-0.0497434494	-0.0306928658	0.0505837748	0.0492319253	-0.0556526183	-0.0183450278	0.0395284045	-0.0854496166	0.0504643455	0.0187311055	0.0935971908	-0.0175561757	0.0259272231	-0.0784671116	0.0548381239	0.0222615825	0.0353264399	-0.0369877502	0.0251020271	-0.0257878901	-0.0530899575	0.0889375546	-0.0695179369	-0.1075749927	0.0180202948	-0.0392951114	-0.0392263854	0.0105767753	-0.0627892124	0.0473008429	0.052983502	0.0374080521	0.0385085139	-0.0330973037	0.0114394471	0.0195956814	0.0405837759	0.0027791555	0.0210813833	-0.0561631742	0.0396683787	0.0097729424	0.1111922364	0.0148054805	-0.0456577093	-0.0216372904	-0.0185552537	0.059799433	0.0268657429	-0.0467139295	0.1021170752	-0.015853169	-0.0349036952	0.0206334876	0.0563363924	0.1003326746	-0.0557625449	0.0034849308	-0.053601561	-0.0823204383	0.0260963819	0.0516264042	0.0303414405	0.055540552	-0.0419801777	-0.0162857714	0.0328437918	-0.0789336044	-0.0223804205	-0.0320397365	-0.0495856143	-0.031385237	0.0330212594	-0.0300459215	-0.0170705045	0.028522338	0.037519091	0.0764461265	0.0236525018	0.0560709387	0.0720010677	0.0472260665	-0.016717042	0.0497656202	-0.0053556112	0.0308517059	0.1024815428	-0.0168836122	0.0079913019	0.0085808418	0.0470028826	0.0708185358	-0.0514667029	0.0254041586	0.0289702585	0.097011094	0.0768170541	0.0321555037	0.0054959029	0.1137091248	0.0896725955	-0.0100250677	-0.0008697844	-0.0215111764	0.0846883631	-0.056018562	-0.0639909887	0.1068077068	0.0870148729	0.052282068	-0.1075384891	0.0687433129	0.0005356941	0.0707441534	0.0250542501	0.0021952204	-0.0817797978	0.0254161336	-0.1055274089	-0.0298303181	-0.0071217281	0.0054693605	0.0702815563	-0.0030803334	0.0342504801	0.0196089472	-0.0989548493	-0.0173458371	0.0851609799	-0.0217597928	0.00496954	-0.0478252848	0.0645731656	0.01329668	0.07562912	-0.0706772907	0.0723421676	0.0722962952	0.0722198628	0.0721129027	0.0719754601	0.0	0.0	0.0	0.00846088	-0.00861042	7.413933257640002e-05	7.158649037440001e-05	0.0886441	0.09497345	0.00785777646481	0.0090199562049025	0.04556	0.0257786	0.00066453621796	0.0020757136	-0.000188787	-0.000348912	1.21739583744e-07	3.5640531369e-08	-0.000485835	5.9444999999999984e-05	2.36035647225e-07	3.533708024999998e-09	-0.0003101	-3.321699999999999e-05	9.616201000000001e-08	1.1033690889999994e-09	0.0
