global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
4973.923068669754	n/a	n/a	24739910.69304514	11699.427908399624	n/a	n/a	136876613.38384	4789.056649749748	n/a	22935063.594512284	n/a	4905.140806041516	8663.244573327092	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125839	n/a	0.015835453921	n/a	-0.0296937	n/a	0.00088171581969	n/a	0.146734	n/a	n/a	0.021530866756	0.00176691	n/a	3.1219709481e-06	n/a	0.00237141	n/a	n/a	5.6235853881000005e-06	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0
4870.155090682748	-103.7679779870059	10767.793255511742	23718410.607303083	11359.444289323876	-339.9836190757487	115588.8612398438	129036974.5622528	4761.136667211462	-27.919982538286604	22668422.363865465	779.5254249382289	4873.11180552644	8329.013408730174	1.491426	63.314857	0.19082392	0.106997	0.0093679587	-0.0665671049	0.0225244273	-0.0281841161	0.0774300297	-0.0811969502	0.02521566	-0.121614292	0.0090533598	-0.1631372902	0.0644076656	-0.4109474012	0.0294866379	-0.2209414745	0.2524599182	-0.1053916969	0.1089516642	-0.1333677344	0.1193536679	-0.1713406032	-0.0757705227	0.1064526182	-0.0770606761	0.0007230499	-0.1255585381	0.1579724985	-0.1464882228	0.0921038627	-0.01757325	0.016456802	-0.0276603684	0.0592910875	-0.0129153708	0.0711416418	-0.0446350954	0.0175167726	-0.0428660888	0.1100662673	-0.0109304985	-0.0047754274	-0.007874945	0.1093263199	-0.0339023354	-0.152338272	0.0729678266	-0.0508830111	-0.0448608681	-0.1483200006	0.0839460867	0.0153236182	-0.0139337065	-0.1270233682	0.0215443849	0.0727503082	0.1585650202	-0.1411893507	-0.0252011555	0.1113521714	0.0062611062	-0.1694953563	-0.0637019499	-0.0987962268	0.0485590864	0.0938657318	-0.1359900114	-0.0177673238	0.1209769403	-0.0543161137	0.0564852201	-0.0125469886	-0.1550500427	0.0805901908	-0.0414830697	0.0982973821	-0.1412689552	0.0299674821	-0.1401672233	0.0822084748	-0.1129429851	0.0558890018	-0.0400062903	0.0019581792	-0.0499041568	0.1177863842	0.0087070715	-0.0206425465	0.0145387059	0.1105181528	-0.1533976495	0.110205808	0.0724915464	-0.0459284654	-0.0013755312	0.1287276546	0.010563431	-0.191957498	-0.014100607	-0.0624904756	0.0226516656	0.1311586575	0.0248119186	-0.167839502	0.1178346227	0.0591964371	-0.1022511376	-0.0225852512	-0.0987793483	0.1420918651	0.0468093164	0.1454382661	-0.1083300982	0.0375911433	0.0368392123	0.1056816832	0.0818117479	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.12182	-0.004019	0.0148401124	1.615236100000007e-05	-0.0319538	-0.0022600999999999	0.00102104533444	5.108052009999989e-06	0.0885356	-0.0581984	0.0033870537625599	0.00783855246736	6.72326e-05	-0.0016996774	4.52022250276e-09	2.8889032640707603e-06	0.00272679	0.00035538	1.2629494440000013e-07	7.435383704100001e-06	0.000471871	0.000471871	2.22662240641e-07	2.22662240641e-07	0.0	0.0	0.0	0.0
4840.956146340132	-29.198944342615505	852.578350723158	23434856.410788305	11217.851062447076	-141.59322687679924	20048.641897384743	125840182.459245	4754.260897727484	-6.87576948397782	22602996.68366054	47.27620599680061	4866.8920129312	8290.655344024146	1.164261	49.42585	0.11839253	0.059043	-0.1400176699	-0.1077346261	-0.0217075792	0.0368678176	0.0609474565	0.0059468608	-0.1460604653	-0.0163963687	-0.0655838359	-0.066320925	0.410192649	-0.3289922698	-0.0904871552	-0.1245729204	-0.0802400684	0.0494315681	-0.0818716029	-0.0553873929	-0.1467475478	-0.0320819229	-0.0233338996	-0.0689433239	-0.1369350631	-0.0363138039	0.016319649	-0.1065071741	-0.0019074292	-0.1143203628	0.0877888256	-0.0022138829	0.0458355506	0.2660850863	0.1005316878	-0.0946430376	0.0824688553	0.0927051593	-0.0441930632	-0.051887863	0.0021271122	0.1206208224	-0.0600496749	0.0523986456	0.0638698388	-0.0116515703	0.0036458108	0.0974147134	0.0060169056	0.0305887575	-0.033364626	0.0525462621	-0.169695847	-0.0886128129	-0.1518703882	-0.2066292405	0.0494157018	-0.0742487312	0.0256534991	-0.0486441866	-0.0195097017	-0.0819104989	0.0545144446	0.0653590445	-0.0298611088	0.1425914273	-0.0852248934	0.0722637113	-0.0803500828	0.0789497571	-0.0319973895	0.1102765491	-0.0752598667	0.0787588024	0.2312565566	-0.1737952156	-0.225451983	0.0915848005	-0.0487063548	0.022868788	-0.1337321489	-0.1324573985	0.082023575	-0.0513945293	0.0289758186	-0.0648515633	0.0116951203	-0.0798553338	0.0919868498	0.0244634356	0.012352548	0.1066624862	-0.0337158378	-0.0570792963	-0.0746730359	-0.0291663235	-0.0371521351	-0.0229885861	0.19671391	0.1075217724	0.0653211565	0.0933314613	-0.0142986382	0.1457086082	0.017316578	-0.0085673975	-0.0183311087	0.0213416982	-0.0565843905	-0.0160082452	0.013741016	-0.0558382577	-0.0679054696	-0.0767480662	0.0783527566	-0.0021587571	0.1023117796	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.113413	-0.0084069999999999	0.012862508569	7.067764899999997e-05	-0.0568966	-0.0249428	0.00323722309156	0.00062214327184	0.0795899999999999	-0.0089456000000001	8.002375936000195e-05	0.0063345680999999	-0.000492956	-0.0005601886	2.430056179360001e-07	3.1381126756996e-07	0.00185281	-0.00087398	7.638410404000002e-07	3.4329048961000005e-06	0.000384097	-8.777399999999999e-05	7.704275075999999e-09	1.4753050540900005e-07	0.0	0.0	0.0	0.0
4854.814509318051	13.85836297791866	192.05422442774653	23569223.91988507	11142.661105407233	-75.18995703984365	5653.529639653533	124158896.50995514	4756.79010214746	2.5292044199759403	22627052.07588804	6.396874998025832	4865.401627169499	8077.905518268378	1.22653	52.06934	0.1478227	0.0947268	0.0283740613	-0.0523783068	0.0099839512	0.1403630616	-0.1141971145	-0.1011030862	0.0575968919	-0.0416553443	0.0536701053	-0.0718449324	0.2622977172	-0.0802602466	-0.0052349184	0.1117358226	-0.1445198993	-0.1821747211	0.0349598043	0.0970868499	-0.0711135834	0.1062713861	-0.1264725701	0.079110632	-0.1501534495	-0.1340523396	0.0826028223	-0.1394420293	-0.0635158546	-0.1712208563	0.0650001584	-0.0068526918	0.2894695575	0.1390384414	-0.0455321913	-0.0831983737	0.0996833692	-0.1057066543	-0.0232877927	0.071198131	-0.083961314	-0.0265520599	0.0018979736	-0.0166632621	-0.1068127222	-0.0495731024	0.0195242367	-0.0826915286	-0.1144593082	0.0122215391	-0.0620115929	0.0164430256	-0.1288272723	0.1054061949	0.0177491492	0.0040796616	0.0804959116	0.0421162485	-0.1083620564	-0.0208152972	0.1586965741	0.0728232844	0.0005184555	-0.0512402034	0.093967244	-0.0014032458	-0.0541844783	0.0452016643	-0.0439260301	-0.122905651	0.1204738733	0.1244730265	-0.0433090076	-0.0771095276	0.2290136054	-0.1391653822	-0.1722248006	0.1095925055	0.1113731995	0.1665934712	0.0720049128	-0.0326987972	0.1400190139	0.1238314234	0.0328201961	-0.0174758426	0.0522579934	0.0438402279	-0.1214104305	0.013187703	0.0263199369	0.0637945288	0.0563269537	-0.0848442656	0.1244413143	0.0175148746	-0.0851681059	-0.0295026719	0.1414677347	-0.1163083968	0.0589781261	-0.1224478226	0.030031527	-0.0377870173	-0.0516477347	0.0200851088	0.1085141777	-0.0743855052	0.0754212739	-0.0573074725	-0.0528150741	0.1592875417	0.0288685486	-0.1202503734	-0.0327270993	-0.031822242	-0.0834911302	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.0736205	-0.0397924999999999	0.00541997802025	0.0015834430562499	-0.0415829	0.0153137	0.00172913757241	0.00023450940769	0.0787005	-0.0008894999999998	7.91210249999805e-07	0.00619376870025	-0.000672248	-0.0001792919999999	4.5191737350400005e-07	3.2145621263999984e-08	0.00028763	-0.00156518	2.4497884324000005e-06	8.27310169e-08	0.000476165	9.2068e-05	8.476516624e-09	2.2673310722500002e-07	0.0	0.0	0.0	0.0
4896.526129921984	41.71162060393272	1739.8592934064245	23975968.14100876	11170.174124055568	27.513018648334764	756.9661951436165	124772789.96172056	4775.874282782853	19.08418063539284	22808975.164946627	364.2059505243031	4883.180388530676	8129.389722199643	1.17124	49.722137	0.09932075	0.0544703	0.0428362384	0.0935593744	-0.0826498376	0.1745083663	-0.0770602868	-0.0291582884	-0.0714912313	-0.1049445603	0.1570657487	-0.0166947473	-0.0313251693	0.0908882855	0.0362878818	0.1975247109	0.1127722748	-0.3265116761	0.1409295341	0.1576306178	0.0425478629	0.094258047	-0.1004140577	0.1700197527	0.0423042437	0.0488020878	-0.0540305773	0.1825307177	0.1119175734	0.1145083861	0.0879770181	-0.102138511	0.0172901721	0.1302093572	0.0834336628	-0.0154121451	0.0810446737	-0.0761266506	-0.0141488699	0.0818716146	-0.0009201045	-0.0343625278	0.2170069161	0.0850581841	-0.0960677022	0.090226913	-0.0994154505	-0.0606948784	-0.0423129076	0.0674804432	0.0415460009	-0.0644692959	0.0738322504	0.1705471323	0.0880368512	0.11872213	-0.1002288549	0.0549651063	-0.1078196572	-0.1051161406	0.0102693772	0.0200327092	-0.062098832	-0.0767396761	0.0449442402	-0.0574062037	-0.0784362428	-0.0304848302	0.116858767	-0.1327034528	0.1292391407	-0.0774791432	0.0140408779	0.0262450298	-0.1987394797	0.0151410017	0.0704138214	0.1407602382	-0.1143957821	0.1033698821	-0.1716273427	-0.0508059063	0.0141935668	0.1922644437	-0.0003482554	-0.0753046995	0.0302494654	0.1128171427	-0.0532152898	-0.14632413	-0.1293442484	-0.0845277142	-0.026397697	-0.0986628493	0.0292943474	-0.0030588375	0.0749024121	0.0908400457	-0.1374080939	-0.0616906819	-0.0374022582	-0.2289588645	-0.0679326033	-0.0174109059	-0.0430153585	0.0695512429	0.0652220364	0.0516266284	0.0499083154	0.0123242185	0.018724041	0.0831619394	-0.0788836258	0.0742786123	-0.0420942478	-0.0446889279	0.1731858166	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0485083	-0.0251122	0.00235305516889	0.00063062258884	-0.0380426	0.0035402999999999	0.00144723941476	1.2533724089999974e-05	0.0957293	0.0170287999999999	0.0002899800294399	0.00916409887849	0.000230466	0.000902714	5.3114577156e-08	8.14892565796e-07	0.00042536	0.00013773	1.8969552900000005e-08	1.809311296e-07	0.00044382	-3.234500000000003e-05	1.046199025000002e-09	1.969761924e-07	0.0	0.0	0.0	0.0
4897.942638546078	1.416508624094604	2.006496682134388	23989842.09048772	11234.665152905309	64.49102884974127	4159.092802098161	126217701.09790486	4784.670692124892	8.796409342039624	22893073.632078897	77.37681731272197	4894.128618917997	8199.952846847624	1.111588	47.189751	0.1504603649999999	0.0716105	0.0468531622	0.0774677091	0.0627558093	-0.0338667765	-0.0797788332	0.0134076096	0.1075500454	0.0743948226	-0.0100956459	-0.1020955651	-0.1794835308	-0.0465280454	-0.0484438052	-0.0960431002	0.0993548703	-0.1517620105	0.1196320391	-0.0209431842	0.096151743	0.2065562996	0.1481825322	0.0086237175	0.2078085014	-0.0198182432	-0.1641020905	0.0087679809	0.1793387854	0.1475048458	0.099881887	0.0420355764	-0.2145306173	0.1293746606	0.0402070501	-0.0075232795	0.0351498195	0.079096256	-0.0454372377	0.1358350518	-0.0156053457	-0.0630368694	-0.2311201571	-0.0966228826	-0.0439308491	-0.000776443	0.0040309235	0.0084476729	0.0043478336	-0.0726328266	-0.1141973878	-0.0223361218	-0.0776475271	0.0374945415	0.0999990666	0.0959822104	0.038369793	-0.0102496108	0.0292376205	-0.0623122212	-0.0981914921	0.024453008	0.0118079528	0.0729257335	-0.0117614011	-0.0150032268	0.1199390277	0.0750650657	0.0069091939	0.1496637284	-0.038767845	-0.232982893	-0.0647692038	-0.0139237513	-0.1350918933	-0.1302802295	0.0770415054	0.0010756584	-0.1980871321	-0.028024397	-0.1868173979	0.0497623881	-0.0798735882	-0.01414645	0.0486213974	0.0524045182	0.0202233642	-0.1388604395	-0.0466422633	0.1279767994	0.2094756218	-0.1537861033	0.0278462735	0.0180811051	-0.0159679923	-0.0281303312	-0.1172455996	-0.0203761652	-0.0183459858	-0.0807765994	0.0810200128	-0.038710439	-0.085617136	-0.0465440488	0.0721446575	0.0031301366	0.0627631834	0.0651030119	0.0306489827	-0.0444189194	0.0114219143	-0.0640359293	-0.0185614066	0.0335313618	-0.0288095766	-0.0911822788	-0.0684358051	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0293783	-0.0191299999999999	0.00086308451089	0.0003659568999999	-0.074382	-0.0363394	0.005532681924	0.00132055199236	0.0440373	-0.051692	0.002672062864	0.00193928379129	8.58557e-05	-0.0001446102999999	7.371201222490001e-09	2.0912138866089997e-08	0.000147811	-0.000277549	7.7033447401e-08	2.1848091721e-08	0.0	-0.00044382	1.969761924e-07	0.0	0.0	0.0	0.0	0.0
4890.950574424331	-6.992064121747717	48.88896068263167	23921397.521461688	11208.052531166257	-26.61262173905197	708.2316358258618	125620441.54138234	4765.957963137041	-18.712728987851733	22714355.30638937	350.16622617278654	4874.205611071641	8299.158737001711	1.195225	50.740368	0.131194695	0.0690578	-0.1310311183	-0.1567800407	0.0310058998	0.0061575378	0.0717113908	0.057886308	-0.1252498663	-0.0787563981	-0.0996570521	0.06686687	-0.0625146233	-0.0094273702	-0.107703763	0.0268389201	-0.038741195	-0.0412869639	0.0117070384	0.0697593947	0.0018445752	0.1148524012	0.0675095284	0.0125481617	0.0178385079	2.1969e-05	0.0886414072	0.0401720721	-0.0943008765	0.0413194895	-0.0807928717	0.112621401	-0.0405070355	0.0001491314	-0.052069024	0.0512488235	0.0231260421	-0.1573228932	0.1641056599	0.0040164941	-0.0535766378	0.1559553105	0.0105109257	-0.0865987333	0.0204657155	0.0024324458	-0.1504621629	0.0909561775	-0.1023082243	0.1214330341	-0.0926798854	0.1292719275	-0.0484323469	0.0806829226	-0.0580200633	-0.1114796088	-0.0804708953	-0.0708480561	0.1219976418	0.0702674704	-0.1362252388	-0.0612529335	0.0408578076	-0.0007606251	-0.0033800875	-0.0218570028	0.1610267596	0.0010846804	0.1059978361	0.0241919039	0.0336839199	0.0217497853	0.0746368175	-0.0747178071	0.0607075367	0.1483806243	-0.0166056579	-0.082913634	-0.0353871833	0.0121658619	0.0764065488	0.1545180554	-0.0495384448	0.0331304151	-0.0193042826	-0.1171185249	-0.1289957713	-0.0523137755	0.064337257	-0.0366647454	0.0788357137	0.078020839	0.1208303869	-0.089853191	-0.0616182708	-0.0133130319	-0.0015024758	0.171573539	0.1550189521	-0.0149312861	-0.1163259361	-0.0488729566	0.0235627813	0.2021287982	0.1584248321	-0.0258413661	-0.1434477736	0.022654703	0.0278282643	0.0262712265	-0.0044326072	-0.0449605716	-0.0706506369	0.096958132	-0.1099744047	0.0037969582	-0.1005220904	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	-0.024094	-0.0534723	0.000580520836	0.00285928686729	-0.0453496	0.0290324	0.0020565862201599	0.00084288024976	0.0407039	-0.0033334	1.111155556e-05	0.00165680747521	-0.000201547	-0.0002874027	4.0621193209e-08	8.260031196729e-08	-1.84872e-05	-0.0001662982	2.7655091323240006e-08	3.4177656384000005e-10	-0.000453431	-0.000453431	2.05599671761e-07	2.05599671761e-07	0.0	0.0	0.0	0.0
4889.633077689173	-1.3174967351578744	1.735797647151658	23908511.63443209	11197.723222722529	-10.329308443728223	106.69461292567516	125389005.3726994	4768.946494917234	2.9885317801936253	22742850.671383373	8.93132220122728	4879.218704791876	8266.208055346384	1.159249	49.213089	0.0355624799999999	0.0184083	-0.0338908644	0.0863735544	-0.1481087371	0.0064879972	0.0922277472	0.0340331546	-0.0915305725	0.0695074683	0.0940964568	0.1089949585	-0.0401175338	0.0541111339	0.0188841572	0.0899581635	-0.0088043115	-0.0099845771	-0.0638316557	0.0287814558	-0.0959548744	-0.1230044993	0.0062034405	0.0035385551	-0.0011689997	0.0734521532	0.1750785565	0.0447116721	-0.0467073044	-0.0444042861	0.051127519	-0.0913384551	-0.044452059	-0.0297193368	-0.0805003175	-0.0118690764	-0.0511299198	0.1332681446	-0.070143561	-0.0578830719	-0.1889850094	0.1035764943	-0.0914318659	0.1372587493	0.1228396543	-0.0154249431	-0.1392257753	0.0436455402	0.0680223185	-0.0064905731	0.1359501864	0.1143464995	-0.0240746828	0.0068341743	0.1442312553	-0.0504987714	-0.1259392283	-0.0318788499	-0.0959896961	0.0141626777	0.0239947721	-0.0045550711	0.102064238	-0.0321648564	0.0358295014	-0.0618157385	0.0696709726	0.0819561917	-0.0269732106	-0.012527376	0.0318718076	0.0581711275	0.147833998	-0.0071980301	0.0194174137	0.0845375208	-0.0034867903	0.0784369103	0.0371589089	0.0058240668	0.042147915	-0.0433758678	0.0011681023	-0.1987842881	0.1121271846	0.0421988959	0.062805058	-0.2297111441	0.0036817599	0.0111062026	0.0078942724	0.0851555658	-0.0593508948	-0.0880237658	-0.121825472	-0.0318628636	0.1923788474	-0.0420981999	-0.0668936898	-0.0388442258	-0.0431528514	0.0011798349	-0.1555388997	0.0750183181	-0.0830272419	0.0616044863	-0.0767257581	-0.0404434931	0.066404164	-0.096223123	-0.0604542506	0.0829387074	0.0088848487	0.0040559724	-0.0406178085	-0.0821621219	-0.0760789015	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	-0.030739	-0.0066449999999999	0.000944886121	4.415602499999998e-05	-0.0568013	-0.0114517	0.00322638768169	0.00013114143289	0.0288768	-0.0118271	0.00013988029441	0.00083386957824	-0.000201547	0.0	4.0621193209e-08	0.0	-5.62128e-05	-3.77256e-05	1.4232208953599995e-09	3.15987888384e-09	-0.000528479	-7.504799999999998e-05	5.632202303999997e-09	2.79290053441e-07	0.0	0.0	0.0	0.0
4887.307767429705	-2.3253102594680968	5.407067802787587	23885777.213578723	11172.116832614069	-25.60639010845989	655.6872143866326	124816194.5215786	4770.566640240573	1.6201453233388747	22758306.06897623	2.624870868736827	4878.785543260355	8248.619565242048	1.11697	47.418247	0.053814265	0.0350779	0.0571266426	0.0002635142	0.0686293288	-0.0186606503	0.076003303	-0.0038654313	0.1142716411	-0.0687834668	-0.0265002784	0.0361656091	-0.0337799213	0.0412316806	0.125915302	0.0136024871	0.0183773946	0.1161248852	-0.0517944685	-0.0176113777	-0.0481435375	0.0028850637	0.0204526106	0.1898521251	0.1064114298	-0.0497268025	-0.0445711836	-0.0606550446	0.063354373	-0.0336725808	-0.1450651816	0.0506021786	-0.1644640174	-0.1118183341	-0.0584823019	0.0873779149	-0.1294042959	-0.0790822114	0.0525318574	-0.0233586082	-0.0561855494	0.029832911	-0.0200740764	0.0582234684	0.0497930099	-0.04927665	0.0352576338	-0.0533354973	0.2549833095	0.0307056436	-0.0252684334	-0.0432464243	-0.0687121669	0.113000118	-0.0320129853	0.0547886067	0.0114648939	0.1102917392	0.067802299	0.155486733	0.0567671405	0.0458179677	0.150780134	-0.0553175945	0.1581691311	0.0422533521	0.0036024964	0.0439859211	0.0240459752	-0.0572232854	0.1728055602	-0.1184294673	-0.023446716	-0.0737058383	-0.0545008932	-0.0423885342	0.090864478	-0.1483024587	0.0602790864	-0.1110903098	0.0665049072	0.1816773626	-0.171365947	-0.0323461739	0.0392874128	-0.0279011105	-0.043748066	-0.1058779938	0.0845925228	0.0247080907	-0.0407282078	0.0183975364	-0.0284267459	0.174004806	0.0583853224	-0.1082921922	0.1368837993	-0.0043975713	-0.0160522773	0.0156857188	0.1404901642	-0.0647900598	0.1115083774	-0.0855071111	0.0233738602	-0.0841938594	-0.1447133044	-0.0534041068	0.046796247	-0.1265432926	-0.056992018	0.1222533728	-0.0344454169	-0.0510286153	0.0251768825	-0.0516959637	0.010486607	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	-0.038672	-0.0079329999999999	0.001495523584	6.293248899999998e-05	-0.0231402	0.0336611	0.0005354688560399	0.00113306965321	0.022208	-0.0066688	4.447289344000003e-05	0.0004931952639999	-0.0001101	9.1447e-05	1.212201e-08	8.362553808999998e-09	-3.66325e-05	1.95803e-05	3.8338814809e-10	1.34194005625e-09	-0.000528479	0.0	0.0	2.79290053441e-07	0.0	0.0	0.0	0.0
4885.726369098225	-1.5813983314792497	2.500820682805354	23870322.15370173	11196.907012523374	24.790179909305152	614.5530199357169	125370726.6470951	4772.068102848519	1.501462607945541	22772633.97822426	2.254389963058625	4882.152477804588	8227.838340301085	1.115824	47.369583	0.0308557099999999	0.01917	-0.1312124599	-0.0786725733	-0.0103555696	0.0748387238	-0.0034592756	0.0940395411	-0.0903354319	-0.1170580435	-0.0688258484	-0.0113509228	-0.0338233887	0.088413881	-0.0042265787	-0.0126046164	-0.1318749466	0.124760814	0.04326432	0.0411913965	0.1158692095	-0.0159437784	-0.0172169754	-0.0036874658	0.1263741184	0.2484666341	0.0623658539	-0.0783651243	-0.0532374855	-0.1472902505	0.0393410731	-0.0313912435	0.0511055573	0.0547247132	0.0915193433	0.0142403708	0.2092095518	0.1355692657	-0.0372101495	-0.1197332088	0.1102462067	-0.0688903941	-0.1397552922	-0.12304686	0.1134182125	0.0726745527	0.1131482788	-0.0605790365	0.0684553951	0.0027736643	0.0329148531	-0.0456076795	0.1204561145	-0.0367933656	-0.0862358624	0.1354691234	-0.0848639574	-0.0662347241	0.208066554	0.0196966386	-0.0340583362	0.0271564368	-0.033597245	0.0818808206	-0.0215890593	-0.0759558287	-0.0018479495	0.0557814275	0.0594185999	0.0554383192	0.0144743988	-0.079402109	0.227248925	0.2107737579	0.1376436186	0.0107932221	-0.098523332	0.0618682087	0.068583867	-0.0283207697	-0.0145797933	-0.1324602736	0.0083639493	-0.0899460761	-0.1591580166	-0.1216549894	0.0738142712	0.0323003423	-0.0406084868	-0.0056938673	0.1909264656	-0.1033038111	-0.1358852136	0.1811880959	-0.0273451616	0.0352283994	-0.0157408261	0.0499222812	-0.1609761515	0.0338258726	-0.0038899237	0.0815565632	0.0599207699	-0.035088526	0.1992691183	-0.0339295921	0.0528372585	-0.0048888881	-0.0174494004	0.0282874071	0.0149486898	-0.072075314	0.0626807874	-0.0513761203	-0.0975741114	-0.0689746939	0.079780561	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.040656	-0.0019839999999999	0.0016529103359999	3.936255999999999e-06	-0.0103659	0.0127742999999999	0.00010745188281	0.0001631827404899	0.0213892	-0.0008187999999999	6.704334399999968e-07	0.00045749787664	-0.000357302	-0.0002472019999999	1.2766471920399998e-07	6.1108828804e-08	2.17377e-05	5.83702e-05	3.40708024804e-09	4.7252760129e-10	-0.000528479	0.0	0.0	2.79290053441e-07	0.0	0.0	0.0	0.0
