global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
5464.965515065942	n/a	29865848.080859955	n/a	10884.55555030125	n/a	n/a	118473549.52759372	5152.1726955461045	n/a	n/a	26544883.484730814	5219.215197079952	7470.243870252624	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0828958	n/a	0.00687171365764	n/a	-0.660565	n/a	n/a	0.4363461192249999	0.148309	n/a	n/a	0.0219955594809999	-0.0281858	n/a	0.00079443932164	n/a	0.00107653	n/a	1.1589168409e-06	n/a	0.000762237	n/a	5.81005244169e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5399.183614694364	-65.78190037157765	29151183.705184106	4327.258416496167	10709.53830931343	-175.0172409878196	30631.03464298852	114694210.79865196	5122.279073548011	-29.89362199809329	893.6286361648873	26237742.90730787	5186.716823481105	7322.319482167117	1.437759	54.224789	0.4463748	0.340688	0.1697229513	-0.149022746	0.0944504475	-0.1471546652	0.0822267701	-0.0579077459	-0.063733754	0.0938521532	-0.0782604334	0.0977932229	-0.0848026423	0.4739003362	-0.3051730244	0.1909893096	-0.0955996572	0.1392396442	-0.0997693365	0.3600784134	-0.01119032	0.1622974976	0.0309056581	-0.0817271846	0.100207235	-0.1907045914	0.0612087573	-0.0561909918	0.0628204555	-0.0324812073	0.0321009986	-0.0530445277	0.1355940367	-0.0488503024	0.0425599875	-0.1268497072	-0.0923586789	0.0695557822	-0.0897620061	0.0290875283	0.0728086815	-0.0538019169	-0.1126808128	0.0143502387	0.0776274272	-0.004024865	-0.0732526701	-0.0963347539	0.1474676487	-0.0186233285	-0.0435602433	-0.0196648939	-0.153670851	0.2087456139	-0.1613821699	-0.0720595975	-0.0878766658	0.1187337123	0.0001186729	-0.0693209939	-0.1000241824	-0.1057681129	0.0354723587	-0.152815667	0.1497325199	-0.3056899333	0.1374286402	-0.1341738894	0.1904950966	-0.1523037502	0.0110781594	-0.1286999188	0.0623854679	-0.0066117996	0.0773043455	-0.0103432572	0.1344499071	-0.0876544513	0.0457082326	-0.0948828835	0.0550697282	-0.035198291	0.0554478706	0.1018452195	-0.0821978921	-0.0037207984	0.099536359	0.0332726793	-0.0755655829	-0.0817460816	0.0392843854	0.03544747	0.0148216086	-0.1965673335	0.0831259951	0.0462801096	-0.082579044	-0.1335687236	-0.0694227051	0.1299490483	-0.2181078645	-0.0154009852	-0.0393926173	-0.0891181641	0.0575967824	0.1020542047	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	-0.0872412999999999	-0.0043454999999998	0.0076110444256899	1.888337024999905e-05	-0.717279	-0.056714	0.003216477796	0.514489163841	0.122701	-0.0256079999999999	0.0006557696639999	0.015055535401	-0.0219811	0.0062047	0.00048316875721	3.849830209e-05	0.000664657	-0.000411873	4.41768927649e-07	1.69639368129e-07	0.00133981	0.000577573	1.7950908361000005e-06	3.3359057032900005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5383.421001973017	-15.762612721347068	28981221.684484165	248.45995980317244	10600.324361997033	-109.21394731639704	11927.686288428746	112366876.5795478	5108.035209072906	-14.24386447510551	202.8876751851728	26092023.69712848	5169.882904354113	7198.022598607292	1.300983	49.066315	0.2624259499999999	0.160367	0.1132392964	-0.1177581533	0.1763956214	-0.09469321	0.0124085487	0.0217932059	0.0451853029	0.0985379305	0.0229855212	-0.1214136303	-0.1778489146	0.3205591192	-0.1196223368	0.1565609965	-0.0301209092	0.1508637358	-0.0348583467	0.0774400286	0.0877147977	0.3671603581	-0.0881624281	-0.0884581298	-0.0601378697	-0.1296665372	0.0330451807	-0.1875189172	0.1534161778	-0.0515813102	0.0721699637	0.1401080616	-0.0644637619	0.1389006017	0.1359177056	-0.0292764323	-0.0284761427	-0.0914189337	0.0795063289	0.1057037216	-0.1238916365	0.0839410466	-0.0253198361	0.1193402959	-0.1159433952	0.0551203772	-0.0054909864	-0.0092635748	-0.0853264556	0.0491113953	0.0307965148	-0.0461711687	0.0300335663	0.0868830155	0.0139388168	0.0515743415	-0.03228373	-0.1198916893	0.0279234248	0.1091248276	0.0013321336	-0.1160264391	-0.0489036895	-0.0673026801	0.0305658956	-0.1027448777	0.2868641244	-0.2498431203	0.1225894024	0.1286409186	-0.0076390908	-0.1373946565	0.1807412926	-0.1373660818	0.0978742725	0.0059114085	-0.0714103381	-0.0762537576	0.0973200679	0.1262369414	0.1198932871	-0.0154593545	-0.0615141043	0.0149483232	0.1514651883	-0.1212929405	0.0061422934	-0.0871011876	0.0900910494	0.0511230132	-0.0773268295	-0.0053366334	-0.0832706013	0.038915327	-0.0983394886	0.0653905538	0.0071553226	-0.0230384542	-0.0370584048	0.081474036	0.0083274141	-0.0261951493	0.1278329479	0.0132016755	0.0054466229	-0.1377837904	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	-0.0769042999999999	0.0103369999999999	0.0059142713584899	0.0001068535689999	-0.7376899999999998	-0.0204109999999998	0.0004166089209999	0.5441865360999998	0.143653	0.020952	0.0004389863039999	0.020636184409	-0.0190833	0.0028977999999999	0.00036417233889	8.397244839999994e-06	0.000913528	0.000248871	8.345334067840001e-07	6.1936774641e-08	0.000271962	-0.001067848	7.3963329444e-08	1.1402993511040004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5353.931519228231	-29.489482744786077	28664582.71258552	869.6295925550355	10529.978036761284	-70.34632523574874	4948.60547417374	110880437.45467502	5098.188601417709	-9.846607655196747	96.95568231537922	25991527.01562545	5159.165741294425	7218.529206541238	1.391017	52.461899	0.6504984500000001	0.480188	0.0943708646	-0.1223371615	0.0157406015	-0.15465836	0.0728384671	-0.0994083267	0.0089749393	0.0406391937	-0.0563352081	-0.0635394887	0.1612331204	0.1449056093	-0.1443937261	0.0049311942	0.0390207815	0.0244313809	-0.2685819927	-0.1246500266	-0.2381844222	-0.0140034917	-0.1516118437	0.0877414108	0.0051693665	-0.0969058253	0.0704816593	0.0736192405	0.1535627956	0.0761382811	-0.1351823765	-0.0133553669	0.0587451061	0.0724434354	0.1219674886	-0.1052694011	0.0929442076	0.0843998956	-0.0181634919	0.0656432941	0.1382393157	0.0530227466	0.1542132012	-0.0725792543	-0.0906513908	0.0585362288	-0.1259013141	0.1021600408	-0.0740166581	0.157962086	0.0224190874	-0.0817170631	0.051387278	-0.0203001231	0.1062331623	0.1110703949	0.0437839037	-0.0449438072	0.084936354	0.0821560567	0.0666278568	0.0736469706	0.0122149143	-0.2487950951	-0.2403731514	-0.0293136481	0.0212119395	0.0414515437	-0.1102234329	-0.0069316714	-0.0321978619	-0.1369546102	-0.0580173162	0.0163112841	0.1633138901	0.1257156751	0.0169392858	-0.0188564417	-0.1147543452	0.0608417111	0.1392000529	0.1091812266	0.0752205051	0.0908589132	-0.0470850566	0.2818679247	-0.0240452297	-0.04091486	-0.0094134157	0.1370742823	0.1080480543	-0.0357974903	-0.0312995149	0.1113719485	-0.1640572648	0.0385844591	-0.0066540424	-0.0103386879	-0.002247342	-0.0454927582	0.1873552139	-0.0287843909	0.0739354003	-0.0320252228	0.0923549528	-0.0616696532	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	-0.0618689	0.0150353999999999	0.00382776078721	0.0002260632531599	-0.266926	0.4707639999999998	0.2216187436959998	0.071249489476	0.12706	-0.0165929999999999	0.0002753276489999	0.0161442436	-0.0174833	0.0016	0.00030566577889	2.560000000000002e-06	0.000180557	-0.000732971	3.2600830249e-08	5.37246486841e-07	0.000901112	0.00062915	8.120028365440001e-07	3.958297225e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5350.284766258554	-3.646752969677436	28625547.080058347	13.2988072218512	10501.38508271737	-28.592954043913775	817.5570209573652	110279088.6555189	5127.140638739658	28.95203732194932	838.2204650915463	26287571.12941571	5187.804442089454	7209.844709385201	1.1347	42.794956	0.31930095	0.194955	0.0424897144	-0.1269717192	-0.0750849902	-0.2056493377	0.0624643516	-0.0843250512	0.0649746808	0.0532238244	0.0056430308	-0.0837235146	0.1987434034	0.1362592495	0.02717565	-0.0374676422	-0.1759821517	0.0162296555	-0.0923548556	0.1376226085	-0.3241533633	0.0164800742	0.019949054	-0.1399218136	0.1893944445	0.0708858209	-0.0671417558	0.0949771139	-0.1210984685	-0.0983217296	0.0769574735	-0.1223540723	-0.1043345264	-0.1094010827	-0.0013585053	0.2055517391	-0.0009194238	0.0403885504	0.0448312209	-0.0956575594	-0.0476992015	-0.0582748089	0.0283861192	-0.0204079453	0.0613250269	-0.0630874906	0.0765227057	-0.1166285045	-0.004508278	-0.0121578296	0.1208837713	-0.0754405814	0.0187263362	-0.0441009238	6.95857e-05	0.1334485464	0.1664639039	-0.1280950119	0.0112996494	-0.080868146	0.2067526166	-0.0426177152	0.1666153689	-0.0683634594	-0.091983129	-0.278733621	-0.0091754596	0.1502687916	0.1169777433	-0.1273184159	0.0204322875	0.1983156938	-0.099075405	-0.074158785	0.0065177595	-0.2424684503	-0.021449362	0.1713449443	-0.1990506962	-0.0077402796	-0.0674640006	-0.0340310718	0.0507106728	-0.0896794168	0.0076438331	-0.0250573622	-0.1479900951	0.0660467236	-0.0149424803	-0.0534568774	-0.0876213644	-0.0149914483	-0.0050717947	-0.0594071805	0.0144988256	0.1247668942	0.0216526726	-0.0390211512	0.0363063428	-0.0133507184	0.2062400701	-0.0113798133	0.0980973669	0.1057623111	-0.113871372	0.0696736376	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	-0.0564076	0.0054612999999999	0.00318181733776	2.9825797689999947e-05	-0.416461	-0.149535	0.022360716225	0.173439764521	0.127235	0.0001749999999999	3.0624999999993255e-08	0.0161887452249999	-0.0153874	0.0020958999999999	0.00023677207876	4.392796809999998e-06	0.000594555	0.0004139979999999	3.53495648025e-07	1.7139434400399996e-07	0.000128417	-0.000772695	1.6490925889e-08	5.97057563025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5327.867519969666	-22.417246288887327	28386172.31034772	502.53293117663264	10461.245508433256	-40.13957428411413	1611.185423709917	109437657.58771496	5108.180957359602	-18.95968138005628	359.4695180332529	26093512.69313126	5172.2333690132655	7084.831011102098	1.226384	46.252811	0.3774152	0.241915	0.0211908527	-0.0692828996	0.1513261009	-0.1431053907	0.0892265613	0.021603724	0.1703972917	0.1164127813	-0.1033901548	-0.0505064623	-0.0034514364	0.0963105839	0.1127926384	-0.1241807898	-0.0061307331	0.010363399	-0.095507267	-0.1504836739	-0.0368701677	-0.1373562975	-0.1711742588	-0.0554103072	0.0228188385	0.0222024638	-0.0514510956	0.0263077086	-0.0937394782	-0.0198143353	-0.0160476719	-0.0144984143	0.1374174201	-0.0329947728	-0.0579724351	-0.0928671401	0.0077513689	-0.0764681424	0.0985638185	-0.0454132023	0.0037112236	0.1659133337	-0.1656125045	0.1469835887	-0.1127631945	-0.0703686076	-0.0305547247	-0.0037940949	-0.1124375165	-0.0654702167	-0.0322419607	0.0974997012	0.1303270722	-0.0980375333	-0.0359641097	-0.1454320744	-0.0611079875	-0.0933640598	-0.0445898708	0.0482953035	-0.0415301099	0.0617598489	0.0489368598	-0.1437838275	-0.2104858006	0.0217236466	-0.1292161815	-0.0877804145	-0.0508047159	0.0642537591	-0.0216814036	0.0544728159	-0.0357048436	0.0657188166	-0.1296002977	0.0308524764	0.1056470681	-0.0990675764	0.0795658211	-0.1023601279	-0.0196206227	0.0153063449	-0.0438817317	-0.1405178307	0.0740102252	-0.0518840772	0.1320602459	-0.1350875113	0.0024675334	0.0001741693	-0.0860583493	-0.08176189	0.0651160124	0.0374424148	0.051538343	-0.0634294484	0.123468596	0.0987767599	0.1494500312	0.0206593772	-0.0944728788	0.0775263554	0.052727846	0.0102235251	-0.0021510075	-0.0797776578	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	-0.0474388	0.0089687999999999	0.00225043974544	8.043937343999999e-05	-0.180629	0.235832	0.055616732224	0.032626835641	0.167116	0.039881	0.001590494161	0.0279277574559999	-0.0144166	0.0009708	0.00020783835556	9.424526400000016e-07	0.000844555	0.00025	7.13273148025e-07	6.25e-08	-0.000505451	-0.000633868	2.55480713401e-07	4.01788641424e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5346.570323054675	18.70280308500878	28585814.21936897	349.794843236614	10452.397407872584	-8.84810056067181	78.2888835317608	109252611.57210152	5109.843671856577	1.6627144969752408	2.764619498451628	26110502.350812707	5174.850794603559	7083.613838373349	1.180069	44.506062	0.2978714	0.177791	-0.0163556349	-0.0345512261	0.0779632077	-0.0122923515	0.0548834964	-0.1604575932	0.111892161	0.0898789202	-0.1319048608	-0.0505402921	0.0325658941	-0.1369144169	-0.02342314	-0.0859089301	-0.0064368039	0.0464492275	-0.0801570753	-0.1337658672	0.0015987274	-0.1354439237	-0.0727269525	-0.1068847613	-0.0266235358	-0.0116779099	-0.1087043089	-0.0593259735	-0.0544592483	-0.1145410124	-0.0135741753	-0.1302814039	-0.2152023737	0.2256861991	-0.0851350646	0.1230611824	-0.0576775954	-0.0449102741	0.0764946761	0.1367775429	-0.0448379692	-0.0896442211	0.10694801	0.0338219666	0.0927932669	0.0964975727	0.0116348204	-0.0275166314	-0.0197406731	0.0543117651	-0.0899891134	0.0120065035	-0.0197901842	-0.0857976622	-0.0521713912	0.0386809192	0.1215478728	0.1912672754	-0.1158953122	-0.0906794397	-0.1561442803	-0.0031101741	0.026101735	-0.1121514548	-0.1034092865	0.0866095378	-0.1537133468	-0.0225392781	0.0377548777	0.1094873447	-0.0692024303	0.0633046814	0.0556533367	-0.0769143984	-0.0498600744	-0.0956317604	0.091547898	0.2117348018	0.0561895079	0.2707524048	-0.0938533859	-0.0155928706	-0.0457409293	0.1014398629	0.1702894055	0.0074569278	-0.0449889752	0.0945668861	0.0958378625	-0.0352287342	0.0642872683	0.0401194883	-0.0930614624	-0.0225409684	-0.0122614272	-0.1054301255	-0.0778371772	0.0155810462	0.0793492352	-0.0170289525	0.0390519202	-0.0354592477	-0.178159179	0.100852138	0.0399138982	0.1467340815	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	-0.0419448	0.005494	0.0017593662470399	3.0184036000000064e-05	-0.0799193	0.1007097	0.01014244367409	0.0063870945124899	0.17949	0.012374	0.000153115876	0.0322166601	-0.0115215	0.0028950999999999	0.00013274496225	8.381604009999997e-06	0.000450625	-0.0003939299999999	2.03062890625e-07	1.5518084489999996e-07	-0.0008022949999999	-0.0002968439999999	6.436772670248395e-07	8.811636033594065e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5382.768556945151	36.19823389047633	28974197.337637387	1310.3121367896292	10582.95913419359	130.56172632100606	17046.364379921288	111999024.03601156	5109.139738642107	-0.7039332144704531	0.4955219704347049	26103308.868971936	5170.709879008087	7208.127466875637	1.151419	43.42551	0.1525931999999999	0.111362	0.0211141626	-0.0452495179	-0.0566402423	-0.096015867	-0.0352797118	-0.0839399294	0.0198538168	0.0419774245	0.0451067566	-0.160551485	0.1000552935	-0.0837465526	0.0332509577	-0.0601622983	0.0003416025	0.0293695994	-0.0247033434	-0.1238105813	-0.0350459832	-0.0833984062	0.0257196737	0.0667672966	-0.1307603841	0.1373518154	0.1081022443	-0.096534836	0.0930106131	-0.1228833771	-0.0011960694	-0.1629826932	0.0492459678	0.0573483673	-0.0142912972	0.0292707936	0.0853593581	-0.0844216752	-0.1618612591	-0.1118294683	0.0090689853	-0.1222676551	0.0167136541	9.65926e-05	0.1963681693	-0.0239532392	0.1604100105	-0.1467907598	0.0118844235	-0.0890057479	0.0403000249	0.0375226986	3.07536e-05	-0.0911356113	-0.1077930033	-0.1779082399	-0.0041115568	0.0569010678	-0.1167722623	0.1348409407	-0.0511583377	-0.0467193294	-0.0324528348	-0.0241335598	-0.0136858292	0.1025730836	-0.0348907587	0.1567861842	-0.1290087798	0.1663701388	0.063512722	-0.0267803672	0.0065742988	-0.0621564113	0.0873305921	-0.0867964361	0.1695502045	0.0794080921	-0.0394302652	0.0001635093	-0.0407460406	0.1417520425	-0.1532022754	0.0109734272	-0.1760682542	-0.0361560747	-0.0375541853	0.079041645	-0.015613721	-0.1703101612	-0.117601015	0.0306318777	-0.0672070343	-0.1092441902	0.0518537713	-0.0477842701	0.03231508	0.0128236414	0.0950941232	-0.0311252645	-0.141914169	0.0773784776	-0.1407580497	0.0130723502	-0.0753221188	-0.1552129737	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	-0.0444321	-0.0024873	0.00197421151041	6.186661290000024e-06	-0.186201	-0.1062817	0.01129579975489	0.034670812401	0.209172	0.0296819999999999	0.0008810211239999	0.043752925584	-0.0116822	-0.0001606999999999	0.00013647379684	2.5824489999999915e-08	0.000445677	-4.948000000000008e-06	1.9862798832900002e-07	2.4482704000000077e-11	-0.000919491	-0.0001171960000001	8.454636990810001e-07	1.3734902416023449e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5403.940458665401	21.17190172024948	29202572.480800822	448.2494224519029	10601.976812722904	19.017678529313343	361.6720966443057	112401912.3375141	5112.591745935336	3.452007293229144	11.916354352507202	26138594.360606126	5175.169389953479	7210.227471730401	1.084199	40.890335	0.1595756	0.0824222	0.0063224469	-0.022475502	0.0372382789	0.0866355078	-0.0523512837	-0.0373450593	-0.0186373441	0.0595115382	-0.0003197671	-0.0328636266	0.0396702779	-0.188312452	-0.0129843953	-0.036867807	-0.0579793081	0.008056992	-0.0878145322	-0.0806680233	0.0409337585	-0.1263701425	0.0714486933	0.0783652193	0.065343377	0.0273421877	-0.0554686799	-0.0079518002	-0.0396716813	-0.0384804707	0.1486564412	0.1123004238	0.0114867226	-0.1449127546	-0.266461036	-0.0621707077	0.0211755243	0.0516480774	-0.0638280571	0.0784040427	0.1603076066	-0.0923521479	-0.0040087008	-0.1243491565	-0.1143185799	-0.1018212241	-0.0879422902	-0.1176335447	-0.0842701111	-0.0497139649	-0.0288166982	0.1869826259	0.0822842476	-0.0007364328	0.0273435566	-0.1017321795	-0.084550042	-0.0160717986	-0.0324624848	0.0379024793	-0.1319657908	-0.0500487116	0.0487847375	-0.0596237304	-0.0221790405	0.1198383933	-0.0722912563	0.0729574275	-0.0355099569	-0.0795141575	-0.0145135695	0.0907990312	0.0173396254	-0.0092412549	-0.003807465	-0.0825889365	-0.0893124465	-0.0697980977	0.1344233913	-0.1428754589	-0.2477602244	-0.055193861	0.0448842975	0.060639889	-0.0836833997	0.0872624516	0.1044005351	0.0534361822	-0.1916853383	0.1205233263	0.0168848496	-0.177898411	-0.0882268639	-0.0131294649	0.0807199346	-0.1132601063	0.1843791699	0.0770683425	0.0003467476	0.0140371246	-0.1304561596	0.0706394932	-0.0021976458	-0.0091825045	0.0683502224	-0.0639323961	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	-0.0282717	0.0161604	0.00079928902089	0.00026115852816	-0.124874	0.061327	0.003761000929	0.015593515876	0.209302	0.0001299999999999	1.6899999999997723e-08	0.043807327204	-0.010964	0.0007182	0.000120209296	5.158112400000006e-07	0.000844555	0.0003988779999999	7.13273148025e-07	1.59103658884e-07	-0.000397405	0.000522086	1.57930734025e-07	2.725737913960001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5412.525207016908	8.584748351507187	29295429.116593424	73.69790425870536	10659.77876603748	57.80195331457617	3341.065806980442	113630883.34086354	5116.565571562559	3.97382562722305	15.791290115574668	26179243.248099297	5178.904096477802	7271.596265811695	1.08855	41.054436	0.3162896500000001	0.212997	0.0395937696	-0.0093458669	-0.0013894464	0.0419689312	-0.1388873043	0.0527842588	-0.0374261996	0.0586673451	0.1252204046	-0.1237276837	-0.0186984228	-0.1322468537	0.0639384673	0.0071530587	-0.035128815	0.047629266	-0.0264429428	0.2033739049	0.0032708966	0.0360218127	0.0147423865	-0.00226275	-0.0120889434	0.1573594866	0.0589775174	0.1580627883	-0.09384153	0.1100783116	-0.0334241873	-0.0334174282	-0.0357057591	0.0304549077	0.0384162531	-0.0585108358	-0.1200902101	-0.0820424433	-0.1337503805	-0.0219682866	-0.0359730524	0.0487444516	-0.0081430377	0.0722335029	0.055730377	0.0915414373	0.1098472717	-0.01379028	0.0219797178	-0.0273028542	0.0575247898	0.0012865966	-0.1000378834	-0.0511207238	0.1813805423	-0.0404595944	-0.1172465983	0.0543173871	0.1297842166	0.0865398331	0.0371887941	-0.0923571447	-0.0165987866	-0.0344409325	0.1251108203	-0.1204826468	0.0562714847	0.0356942126	0.0063069589	-0.0150700964	0.0904700701	0.0896120566	-0.2064029945	0.1417250146	-0.0517385335	0.0281116517	-0.0098857987	0.0330316533	-0.0025476133	0.0273298488	0.081502048	-0.0993283285	-0.0888517107	0.080975865	-0.0948112946	-0.0676823086	0.0289245592	-0.0573662225	0.1049803357	-0.0875047178	-0.0797385712	0.0650803142	-0.0478649288	0.0748784394	0.0264539586	0.0103603754	0.0057104748	-0.0125631792	-0.1240141808	-0.1778396482	0.0175210006	-0.044863291	0.0003211322	-0.1644258906	0.0317973337	-0.0955891901	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.0340481	-0.0057763999999999	0.0011592731136099	3.336679695999997e-05	-0.322882	-0.198008	0.039207168064	0.104252785924	0.209477	0.000175	3.0625000000002976e-08	0.0438806135289999	-0.0100308	0.0009332	0.0001006169486399	8.708622400000007e-07	0.000272445	-0.00057211	7.4226278025e-08	3.2730985210000005e-07	-0.0011387	-0.000741295	1.29663769e-06	5.495182770250002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
