global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
4082.273194415161	n/a	n/a	16664954.433840564	9672.227148541931	n/a	n/a	93551978.01299158	3864.473392626265	n/a	14934154.602316355	n/a	4259.3000835259245	7216.554209424563	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0451991	n/a	0.0020429586408099	n/a	-5.94332e-05	n/a	3.53230526224e-09	n/a	-0.0554914	n/a	n/a	0.00307929547396	0.000306192	n/a	n/a	9.3753540864e-08	-0.0	n/a	0.0	n/a	-0.000649879	n/a	4.22342714641e-07	n/a	0.0	0.0	0.0
4066.233025704733	-16.040168710428134	257.2870122589977	16534251.019331869	9695.030387037154	22.803238495222104	519.9876858699793	93993614.20557378	3856.8445678710937	-7.628824755171536	14875250.020716764	58.19896714511804	4264.922279441318	7216.822243795345	1.133929	39.837723	0.0393766718	0.0228587	-0.0791339216	-0.0150672798	0.155458368	0.1121292106	-0.1432497764	-0.0689125063	-0.0590534546	0.1982866796	-0.0439620431	0.0353800406	-0.1629484786	0.0823613352	-0.1841573943	0.097482401	-0.0061532532	0.0491893954	0.0084677815	-0.0519804631	0.1391432952	-0.0624124032	0.0436501213	-0.0225908346	0.0779118358	-0.0065427191	0.147174069	-0.0926703536	0.0422103623	-0.1339133124	0.0167623181	-0.1331255004	-0.0594155523	0.0896334265	-0.0702843169	0.1124678253	0.0231412182	0.0223257928	0.0156708024	-0.1043231107	-0.035780318	0.0245044595	0.2244415992	-0.0102997542	-0.0052653661	-0.0912361562	0.0589144511	0.0377682364	-0.1119825435	-0.0258597222	-0.0579330557	0.2750918249	-0.0203509883	0.0648751211	-0.0295370825	0.0359510667	-0.1690149168	0.0387868545	-0.0412403922	0.0542166954	-0.063575337	0.0052164775	-0.195954117	0.0888607477	-0.1735712643	0.0587215477	-0.0557846771	-0.1381832897	0.0180804572	0.0460054073	-0.1102661093	0.1235964056	0.0175643544	0.0443725225	-0.0635603365	-0.0098145014	0.0805742463	0.0682091381	-0.1265042906	0.0811618806	0.028412521	0.0251485046	0.0288259426	-0.0926985559	-0.0135066134	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	-0.0594292	-0.0142301	0.00353182981264	0.00020249574601	-5.43114e-05	5.121799999999996e-06	2.9497281699600003e-09	2.6232835239999955e-11	-0.0555696	-7.819999999999355e-05	6.115239999998992e-09	0.0030879804441599	0.0006322	0.0003260079999999	1.0628121606399998e-07	3.9967684e-07	-0.0	0.0	0.0	0.0	-0.000474622	0.000175257	2.25266042884e-07	3.0715016049e-08	0.0	0.0	0.0
4060.8039218953554	-5.429103809377466	29.475168172996916	16490128.4920807	9639.640745445802	-55.38964159135139	3068.012395618364	92922673.7012589	3855.23408254704	-1.6104853240535704	14862829.83123232	2.593662978991933	4263.142340500025	7172.519916992537	1.137738	39.971535	0.0482147472999999	0.0364376	0.0262806812	0.0359083943	-0.1664033029	0.1312319349	-0.0838897626	0.0524820273	-0.0100651601	-0.0180443381	-0.1563494347	-0.0768535804	0.0505577064	0.0527406231	-0.0394611515	0.0814914385	-0.1659821382	-0.0050531777	-0.1268533804	-0.1397108298	-0.0768232223	0.0469742008	-0.0050554625	0.0420761928	0.0622806111	-0.0790373666	-0.0614037645	-0.004032739	-0.1432511057	0.0157190402	0.3072113664	0.0701847767	0.0082284592	0.1440428437	0.0896869372	-0.0215511418	-0.114548127	0.0080795722	0.0929020191	0.0081275219	-0.137894888	0.0470560153	0.0432364651	0.1644126262	0.0114067736	-0.0744029736	0.0511380863	-0.117498553	-0.032576201	0.0426347082	0.1034405443	0.0489341113	0.0303974412	-0.0647614085	0.2313869405	-0.1841988937	0.0786442553	-0.1732784981	-0.0346961541	-0.1511492447	0.1389073759	-0.1428263909	0.0189677181	0.1288122089	-0.0452291889	-0.0527197198	-0.0993091479	-0.1576312185	0.051020987	0.0782607594	0.0736496908	-0.12268025	0.0340046398	0.0904503289	-0.0145986702	-0.0291718562	-0.004009554	0.0260675435	0.0554091219	0.1529376526	-0.0182309001	0.0920926786	-0.0471152996	-0.1915528969	0.038581586	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	-0.0488967	0.0105325	0.00239088727089	0.00011093355625	-2.39141e-05	3.0397300000000005e-05	5.7188417881e-10	9.239958472900003e-10	-0.0497102	0.0058593999999999	3.433256835999993e-05	0.00247110398404	0.0	-0.0006322	3.9967684e-07	0.0	-0.0	0.0	0.0	0.0	-0.000478271	-3.648999999999992e-06	2.28743149441e-07	1.331520099999994e-11	0.0	0.0	0.0
4068.488238727855	7.684316832499462	59.04872518223457	16552596.548666883	9674.819746300294	35.17900085449219	1237.562101120362	93602137.12340207	3859.884989305953	4.650906758912697	14898712.130669417	21.630933680099808	4268.825285275573	7197.765590517933	1.069693	37.580944	0.0584647497999999	0.0481647	-0.0734219041	-0.0499695078	0.0508977414	0.1532292375	-0.0480571052	-0.0303945124	-0.0338265624	0.1096231782	-0.0342883904	-0.0873214121	-0.0613503549	0.0726102363	-0.1628822849	-0.1009219975	0.0417612132	0.0633418604	0.0680939354	0.0805533277	-0.0204079441	-0.016428617	0.1077837463	-0.0112338602	-0.1135834165	0.1278283715	-0.1576406678	0.1427415368	-0.0489518917	0.0340175906	0.114156213	0.0952601651	0.1948650429	-0.2341609982	-0.2712180355	0.0115267886	0.0645652789	0.0029904052	0.0333890878	0.0667860432	-0.1362098917	-0.0800205426	0.0224079788	-0.0086514496	0.0586512515	-0.0522365346	0.1691463171	0.1245495198	-0.1789941734	-0.0420326472	-0.0065238404	0.0058154191	-0.0361893075	0.0147595624	-0.0879185508	0.0044039271	0.031009666	0.0272416981	0.1199116468	-0.0829466179	0.1403249743	0.0286871953	0.1338348142	0.045867169	0.1551937783	-0.2821458527	0.1613623281	0.1443072366	-0.0782390491	0.0341172346	-0.0978968214	0.0796097689	-0.1142190502	-0.0579148514	0.0700850421	-0.1405909894	0.1061109878	0.0333482837	0.0275924844	0.0952862302	0.1599518882	-0.0873597382	0.0287672099	-0.1166070467	0.1273471187	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	-0.0451987	0.003698	0.00204292248169	1.3675204e-05	-3.05189e-05	-6.604799999999998e-06	9.314032572099998e-10	4.362338303999997e-11	-0.0555518	-0.0058415999999999	3.412429055999994e-05	0.0030860024832399	0.000881617	0.000881617	7.77248534689e-07	7.77248534689e-07	5.01119e-05	5.01119e-05	2.5112025216099998e-09	2.5112025216099998e-09	-0.000431629	4.6642000000000005e-05	1.86303593641e-07	2.175476164e-09	0.0	0.0	0.0
4054.0635860432976	-14.42465268455726	208.07060507010493	16435431.559682244	9649.359760008838	-25.45998629145652	648.2109019611537	93110143.7780778	3857.851338303257	-2.033651002695933	14883016.94844823	4.135736400766175	4272.358668483722	7216.025252382168	1.084127	38.088055	0.0635263911	0.0435315	-0.0520749842	-0.0793710673	-0.1489299259	-0.0007644201	-0.093289341	0.0401201481	0.1119978898	-0.0265273419	-0.153329233	0.0328750868	-0.1129168145	0.0066740664	0.0351466192	0.0385823284	-0.0047138656	-0.0573953914	0.0038000628	-0.0296531156	0.0745824627	-0.0918229262	0.0667051998	0.1049655232	-0.0367999294	-0.0770454492	-0.0780910912	-0.163582504	0.1517314988	0.0889912082	-0.15428196	0.0009320506	-0.1346500114	0.0198770624	0.2567692842	0.0153392706	0.0731876164	-0.0287158487	0.1180318533	-0.163645683	0.0638824655	0.1398116878	0.112625428	0.1645173973	-0.0656990236	-0.0026230471	-0.1665022615	0.1184717639	0.2106860569	0.0461101576	-0.0170820587	-0.0810131197	-0.0996399034	-0.105296803	0.0210680685	-0.0456016092	-0.1110831819	0.0868855074	-0.1398672574	0.0031137092	0.097165922	-0.0581463117	-0.1275511096	-0.0485311133	0.0367894976	0.2327793214	-0.0708540798	0.0171548889	0.0624879684	-0.029524721	0.0703608468	0.0144496161	0.0513194541	0.081214515	-0.3397615155	0.034487019	-0.0427732459	-0.0248235043	0.0251800669	0.0201607842	-0.1285952833	0.0878299222	0.1166062344	0.2347609114	-0.0593008092	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	-0.0452162	-1.7499999999996685e-05	0.0020445047424399	3.06249999999884e-10	-3.3355e-05	-2.836100000000005e-06	1.112556025e-09	8.043463210000028e-12	-0.029812	0.0257397999999999	0.0006625373040399	0.000888755344	0.000320668	-0.000560949	3.146637806010001e-07	1.02827966224e-07	0.000181318	0.0001312061	3.2876217124e-08	1.7215040677210003e-08	-0.000368459	6.316999999999998e-05	1.3576203468100002e-07	3.990448899999997e-09	0.0	0.0	0.0
4048.8446666990126	-5.218919344285041	27.237119122152603	16393143.135057038	9652.940731382188	3.580971373350621	12.823355976756636	93179264.7635773	3856.399715283891	-1.4516230193657975	14871818.764041675	2.1072093903526747	4264.569119272508	7110.170761764985	1.161238	40.797123	0.0393910385	0.0217045	0.0127215372	0.1253507448	0.0321381176	0.0039379077	0.0707035785	-0.0521420395	-0.0908547538	-0.0168837156	0.0617929581	0.0089278662	0.0592026653	-0.0315155775	0.0369649813	0.1263208717	-0.0218545121	-0.1679218065	0.0787592523	-0.0786059436	-0.1910364049	0.021312368	-0.2321040033	-0.1629282002	-0.0203325436	-0.0758678151	-0.1210059263	-0.0243388963	0.0169047746	0.2053227898	-0.1589483555	0.0590091706	-0.0088989663	0.1142548342	-0.1293946494	-0.0975176021	0.0636551912	0.0422492595	0.0150554898	-0.0809724067	-0.0101756689	-0.0166087915	-0.0636469029	0.1074239951	0.0265711278	0.0392927526	0.1764642964	0.1154559963	-0.0014248894	-0.164426121	0.0015509221	-0.1222234981	-0.0145344086	0.0446379495	0.0826796409	0.1207240503	0.2331949503	0.0559741956	0.1002677252	-0.0273955082	-0.0684073602	-0.0277112914	-0.0385560782	-0.0608885933	0.1344974698	0.2301556444	0.188520259	-0.0257715329	-0.1489011961	-0.1126139462	-0.0609243622	-0.0901970312	-0.1795535151	-0.028014111	-0.0537540097	0.0433980872	0.0105221978	0.0669076165	0.1956592091	0.1337209319	0.0563627134	-0.219505282	-0.0833276381	0.0705474519	-0.0807672383	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	-0.0618862	-0.01667	0.00382990175044	0.0002778889	-1.60165e-05	1.73385e-05	2.5652827225000007e-10	3.0062358225e-10	-0.0297943	1.7700000000002436e-05	3.1329000000008624e-10	0.00088770031249	0.000190795	-0.0001298729999999	1.686699612899999e-08	3.6402732025e-08	-0.00011242	-0.000293738	1.26382564e-08	8.628201264399999e-08	-0.00033835	3.010900000000001e-05	1.144807225e-07	9.065518810000003e-10	0.0	0.0	0.0
4049.017909393645	0.1732426946323357	0.0300130312434727	16394546.030590482	9667.847743915514	14.907012533325542	222.2190226687248	93467279.9995323	3860.4735590545215	4.073843770630447	14903256.100159084	16.596203067504497	4269.049615812149	7186.471567318702	1.106186	38.863033	0.0499018066	0.0255235	-0.0533793748	-0.0408096464	0.1325707365	-0.1077673347	-0.0578143153	-0.0621545279	0.0138808766	0.0894367418	0.0509034248	0.106657826	-0.0442065031	0.1010733452	-0.0250122186	0.0512333068	0.1839799395	0.0563582269	0.1133114342	-0.0290006586	-0.0698649099	-0.2129002938	-0.0952003529	0.0657314824	0.0518556362	0.1541909797	0.2194189726	-0.0770202129	0.0853321398	0.0893836001	-0.0501578607	-0.0251878208	0.1792078739	-0.1236625718	0.0066664922	0.1022537457	-0.0468233124	-0.1360861347	-0.1587604137	0.0382100651	0.0038619536	-0.0347890945	-0.0628548473	-0.1149617835	0.0024176747	-0.0550823557	-0.0346613586	-0.0164383783	0.0820240109	-0.0895050159	0.0332594765	0.0143026358	-0.0297776922	0.1454627744	-0.0585152438	0.1488723918	0.0323584733	0.1091874575	-0.2029044231	-0.0038010898	-0.0966149352	0.1365278845	-0.0329530072	0.102815869	0.0353481023	-0.0188405482	0.1916698123	0.1186698511	0.112924433	-0.0611965525	0.0949220824	0.1886946513	0.1357162811	-0.0530644726	0.1614106088	-0.0272304299	-0.0226808494	0.0156869851	-0.0448383196	-0.0223809279	-0.0034621797	-0.0811069579	-0.0329082495	0.1036404595	-0.0711051531	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	-0.0553584	0.0065278	0.00306455245056	4.261217284e-05	-3.97231e-05	-2.37066e-05	1.57792467361e-09	5.620028835599999e-10	-0.0467554	-0.0169611	0.00028767891321	0.00218606742916	0.000403739	0.000212944	4.5345147136e-08	1.6300518012100005e-07	-0.0	0.00011242	0.0	1.26382564e-08	-0.00054077	-0.0002024199999999	2.924321929e-07	4.0973856399999994e-08	0.0	0.0	0.0
4041.984784204582	-7.033125189062957	49.46484992503186	16337640.995741362	9648.157786264166	-19.689957651347868	387.6944323118725	93086948.66864984	3858.369492393816	-2.1040666607054845	14887015.139835311	4.427096512692328	4278.096662574106	7152.280817321458	1.099706	38.635365	0.0616218569	0.0344303	-0.0909426823	-0.1116384402	-0.126811718	-0.0992810201	0.0994531975	0.0053565758	0.2082736348	-0.0645141723	-0.0603880101	-0.0585871008	0.0211837539	0.0931585845	0.0828418568	0.0470914199	0.0646680298	-0.01980598	0.0101304313	-0.0810939658	0.0356078009	0.1227688953	0.1245830612	-0.0540737263	-0.0976452871	0.0437962088	-0.1370762241	0.0025590298	-0.1310284963	-0.1396220901	-0.1438330042	0.0166131677	-0.058207147	-0.088793737	-0.1171372128	0.028382025	-0.0861373045	-0.0772246249	-0.1172155627	0.0546442368	0.0287899383	-0.1137979239	0.0423626354	-0.1025952765	0.0875101374	0.0924911329	-0.2464112926	-0.1640730572	-0.1064002305	0.0463514868	0.1659226464	-0.0790493361	-0.1608386441	-0.0770295311	0.0417139006	-0.0868872658	-0.0470361082	0.0115811081	0.2035443024	0.0586528493	0.0920309318	0.0466159403	0.0495191798	-0.1674075836	-0.1079958929	-0.0382672115	0.0761096601	0.0686795629	-0.029802862	0.0604830073	-0.0911431371	0.0430317564	0.0214392484	0.0895259663	0.1706785507	0.0178908788	0.1203061062	-0.0900181914	-0.1255778608	-0.178970951	-0.1166994156	0.1043313907	-0.1402029199	-0.037315863	0.2239619509	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	-0.0298043	0.0255541	0.00088829629849	0.00065301202681	-0.00956908	-0.0095293569	9.156729204640002e-05	9.080864292757762e-05	-0.0298046	0.0169508	0.00028732962064	0.00088831418116	0.000320669	-8.307000000000003e-05	6.9006249000000046e-09	1.02828607561e-07	-0.0	0.0	0.0	0.0	-0.000432088	0.0001086819999999	1.8670003974400005e-07	1.1811777123999994e-08	0.0	0.0	0.0
4046.2799854321015	4.295201227519556	18.448753584885495	16372381.720508408	9630.779330409525	-17.378455854641288	302.01072789171604	92751910.51104334	3863.1548271071742	4.785334713358225	14923965.218201462	22.89942831887124	4267.403374871257	7122.278093254379	1.111272	39.041721	0.01116781	0.00935645	0.1049511957	0.0657870323	-0.0456456822	-0.0557910997	0.0806779368	0.0774652027	-0.0784993408	-0.1229942416	0.0265448216	-0.0460328312	0.0429273501	0.0842317634	0.1346136266	0.0185193117	0.0361342041	0.0026637947	0.0312511575	0.0579062463	-0.0082947327	-0.0471252406	-0.0858743924	-0.1696116584	-0.1096858559	-0.0956361751	0.0470896374	0.0981959235	-0.0600590396	-0.1353619206	0.1669019876	0.1373683416	-0.0740825224	-0.0818112058	0.1686804884	-0.0265395376	0.0939820644	-0.0977112926	-0.1975742543	-0.0277476763	0.0284870497	0.0740961318	-0.0398845063	-0.0356144671	-0.082460529	0.1988510723	-0.0428887191	-0.1335381019	0.0793108085	0.0859760677	0.0088838475	0.0972350871	0.1213238436	-0.0665506879	-0.0155156188	0.1097576493	0.0847085467	0.0623987433	0.1614489311	-0.023969724	-0.0620911751	-0.0790199485	0.1684940537	0.0686532781	-0.1295289712	-0.0331173668	-0.1592418001	0.1145121224	0.2192197569	0.0506839561	0.0754590458	0.0632147334	-0.0794376321	0.0104442287	-0.0153987248	-0.0237322795	-0.0149252783	-0.1059300705	0.035154513	-0.1492892463	-0.1274701402	-0.0301952898	-0.0096630949	-0.0035020267	-0.0964622124	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	-0.0298137	-9.399999999999686e-06	0.00088885670769	8.835999999999409e-11	-0.00957094	-1.8599999999993624e-06	9.16028924836e-05	3.459599999997628e-12	-0.0298031	1.5000000000015e-06	2.2500000000045005e-12	0.0008882247696099	0.000371196	5.0527000000000026e-05	2.5529777290000028e-09	1.37786470416e-07	1.40683e-23	1.40683e-23	1.9791706489000003e-46	1.9791706489000003e-46	-0.000259514	0.000172574	6.734751619600003e-08	2.9781785476e-08	0.0	0.0	0.0
4030.594431616739	-15.68555381536271	246.0365984946397	16245691.472179862	9616.300344604955	-14.478985804569676	209.64102992893012	92473232.31764938	3861.9944028182767	-1.1604242888975025	14915000.767399698	1.3465845302632735	4268.795591259923	7083.295504994418	0.994588	34.942303	0.02659331	0.0164469	0.109573803	0.1336691171	-0.0065261382	-0.160900427	0.1182911315	-0.0026212178	-0.0579157995	-0.1844668538	0.1497278983	0.0333258769	-0.0160214452	-0.1464365482	0.0123401364	0.0564432837	0.0376448694	-0.1081162097	0.0241941701	0.1414549171	0.0580151283	-0.0384421415	0.1221632032	0.154879829	0.0666606912	-0.203388758	0.0415513898	-0.0482066067	0.0267656457	-0.0222887271	0.0052915007	-0.079086884	0.1593447857	0.0877066875	0.0731576836	-0.1433690124	-0.0150325101	0.0124157741	-0.0003948961	0.1341477104	0.0767636661	0.0195982198	-0.0714805607	-0.174102411	0.0092843995	-0.1047754774	-0.208757398	-0.0587405478	0.0824021828	-0.0446625813	-0.059435393	-0.0522094513	0.0556025707	0.0049461835	-0.1338615066	0.0502944606	-0.0928677315	0.0234447763	-0.1645721071	0.0529327278	-0.0738015306	-0.1761203066	-0.0237422258	-0.1463845128	0.063730633	-0.1623561671	-0.0513197912	-0.0332633919	0.0359454792	-0.1638753016	0.1786783247	-0.1258805245	0.0433051081	-0.062870969	0.1300298903	0.0524519532	-0.1650724682	0.0526818443	-0.20370738	-0.0504351651	-0.1200949614	-0.0290113771	-0.0361328235	0.1076877349	-0.075286841	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	-0.0298345	-2.0800000000001373e-05	0.00089009739025	4.3264000000005704e-10	-0.0163026	-0.00673166	0.00026577476676	4.5315246355600005e-05	-0.0164511	0.013352	0.0001782759039999	0.00027063869121	0.000320669	-5.0527000000000026e-05	2.5529777290000028e-09	1.02828607561e-07	-0.0	-1.40683e-23	0.0	1.9791706489000003e-46	-0.000338764	-7.925e-05	1.1476104769600001e-07	6.2805625000000005e-09	0.0	0.0	0.0
