global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	t_comp_cor_14	t_comp_cor_15	t_comp_cor_16	t_comp_cor_17	t_comp_cor_18	t_comp_cor_19	t_comp_cor_20	t_comp_cor_21	t_comp_cor_22	t_comp_cor_23	t_comp_cor_24	t_comp_cor_25	t_comp_cor_26	t_comp_cor_27	t_comp_cor_28	t_comp_cor_29	t_comp_cor_30	t_comp_cor_31	t_comp_cor_32	t_comp_cor_33	t_comp_cor_34	t_comp_cor_35	t_comp_cor_36	t_comp_cor_37	t_comp_cor_38	t_comp_cor_39	t_comp_cor_40	t_comp_cor_41	t_comp_cor_42	t_comp_cor_43	t_comp_cor_44	t_comp_cor_45	t_comp_cor_46	t_comp_cor_47	t_comp_cor_48	t_comp_cor_49	t_comp_cor_50	t_comp_cor_51	t_comp_cor_52	t_comp_cor_53	t_comp_cor_54	t_comp_cor_55	t_comp_cor_56	t_comp_cor_57	t_comp_cor_58	t_comp_cor_59	t_comp_cor_60	t_comp_cor_61	t_comp_cor_62	t_comp_cor_63	t_comp_cor_64	t_comp_cor_65	t_comp_cor_66	t_comp_cor_67	t_comp_cor_68	t_comp_cor_69	t_comp_cor_70	t_comp_cor_71	t_comp_cor_72	t_comp_cor_73	t_comp_cor_74	t_comp_cor_75	t_comp_cor_76	t_comp_cor_77	t_comp_cor_78	t_comp_cor_79	t_comp_cor_80	t_comp_cor_81	t_comp_cor_82	t_comp_cor_83	t_comp_cor_84	t_comp_cor_85	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
3195.813353375459	n/a	10213222.989612896	n/a	6469.414767658686	n/a	n/a	41853327.436000295	3306.978825204032	n/a	n/a	10936108.95034784	3513.6699378972244	4756.707788727046	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.00271291	n/a	7.359880668099999e-06	n/a	-0.18215	n/a	0.0331786225	n/a	0.336292	n/a	n/a	0.1130923092639999	-0.00306149	n/a	n/a	9.3727210201e-06	-0.00328561	n/a	1.07952330721e-05	n/a	-0.000674418	n/a	4.5483963872400006e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3182.28338013676	-13.529973238698858	10126927.511494644	183.0601758399073	6371.03386818715	-98.3808994715364	9678.80138082855	40590072.54958772	3308.7657701546805	1.786944950648376	3.193172256647727	10947930.921747295	3507.355927425828	4700.143133804915	1.124934	68.922516	0.39095711	0.238759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0160598	-0.0187727099999999	0.00025791717604	0.000352414640744	-0.173371	0.008779	0.030057503641	7.707084100000016e-05	0.51222	0.175928	0.030950661184	0.2623693284	-0.00515897	-0.0020974799999999	4.399422350399998e-06	2.66149714609e-05	-0.00167074	0.00161487	2.7913721476e-06	2.6078051169e-06	-0.00063722	3.7198000000000005e-05	4.060493284e-07	1.3836912040000004e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3173.0292178443606	-9.254162292399542	10068114.417293994	85.63951973406954	6337.271226295763	-33.76264189138692	1139.915987486035	40161006.59563621	3297.464589287894	-11.30118086678658	127.71668898382308	10873272.717607578	3495.819806421787	4714.582112554956	1.073612	65.778137	0.23768805	0.113201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0100354	0.0260952	0.00010070925316	0.00068095946304	-0.132096	0.041275	0.0174493532159999	0.001703625625	0.496254	-0.015966	0.000254913156	0.2462680325159999	-0.00388112	0.0012778499999999	1.632900622499999e-06	1.50630924544e-05	-0.00269314	-0.0010224	7.253003059600001e-06	1.0453017600000002e-06	0.000149567	0.000786787	2.2370287489e-08	6.190337833689999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3161.434017952208	-11.595199892152776	9994665.04986544	134.4486605389798	6264.960114323637	-72.31111197212613	5228.896914645363	39249725.23406604	3292.5700018964494	-4.894587391444475	23.956985732487222	10841017.217388384	3483.9398011126405	4633.580318241219	1.051134	64.400917	0.05546612	0.0325385	-0.0283369323	0.055797454	-0.0312086917	0.0152363492	-0.0274144131	0.0409096488	-0.0055634695	0.00255907	-0.018378512	0.0057801635	-0.0258288185	0.012466169	-0.0197925306	0.0489191104	0.014339103	-0.0050704232	0.0492373029	-0.0042106557	0.0033565348	-0.0173371015	0.031229521	-0.1152806119	-0.0047191773	0.0011612214	-0.0328996593	0.00523628	-0.0327160433	0.0124288079	-0.0527449392	0.0003722413	-0.0219197155	0.0481179334	-0.0214599001	0.0838194954	-0.1120771693	0.0694138177	-0.0247498978	0.0915118107	-0.0087111697	0.0463281748	-0.0817791099	0.0528496838	0.0289963724	-0.0235752679	-0.0163530269	0.0366018332	0.0289797969	-0.0633351139	0.0210295183	0.0404394239	-0.0505034165	-0.033640419	0.037295967	0.0033464113	0.0270444784	-0.0136916776	-0.0072446423	-0.0012620311	-0.0081204837	0.0260739182	0.0256738197	0.0224024801	-0.0988658018	0.0535768251	-0.0350930765	0.0294239333	-0.0072497738	0.0067854214	-0.0686914016	0.0191762911	-0.006035999	0.0420462206	-0.0147851943	0.0072735444	-0.0079287622	0.016568742	-0.0296687162	0.0553683022	-0.0704271821	0.0303565401	-0.0221642985	0.0498420435	-0.0269838415	0.0463417319	-0.1033616998	0.0061691869	0.0256144103	0.0642721976	0.0085840388	-0.0418270748	-0.0061579603	-0.0014021349	0.002748373	0.106099303	-0.1073628504	-0.0244667121	-0.0022532747	-0.1201757487	-0.0235003921	0.0185793456	0.0197517131	-0.0409959505	-0.0663142104	-0.0263305685	0.0357550059	0.0357612797	-0.0345682685	-0.0295539052	0.0366976099	-0.0505732864	0.0748482693	0.006376443	-0.0597917349	0.0564760589	0.1610732434	0.0935216138	-0.0702589974	0.0038430472	-0.0152380942	-0.0261657966	0.0746995627	-0.0634214799	0.0310162874	-0.0269186639	-0.0551933973	0.0445420216	-0.0837246133	0.0256662406	0.0478194368	0.0529941241	-0.0347098754	0.0267442251	0.017379189	0.0385456669	0.0393761085	-0.0452453263	0.0006316825	-0.0169485673	0.0324099746	-0.077720074	0.0072655643	-0.0146672946	0.0265448573	-0.0125204371	0.0245657569	-0.03885401	-0.016372537	0.095787101	-0.0445607023	0.0177185185	-0.0454786762	0.0173083615	-0.0196180588	0.0603434938	-0.0284453625	0.0119926735	-0.0164072376	0.0204035918	-0.0152564628	0.0029789404	-0.0101604313	0.0088690843	-0.0213468498	0.0157319803	-0.0206116907	-0.0552524508	0.0330044033	0.0076564663	-0.0252762809	0.0614023905	0.0053429017	0.0360282692	-0.065040306	0.0646118679	-0.0276026339	-0.0007027901	-0.0322383652	0.0437169666	-0.0146381722	-0.0385741414	0.0169007597	0.0498734271	-0.0241136646	-0.0315807987	0.0012831782	-0.0076116901	0.0439404067	-0.126906315	0.0404364653	-0.0441460523	0.0304497369	-0.0056402208	0.0359889885	-0.0288838158	0.0499720005	-0.0513981525	0.0002992969	-0.0086317132	0.0542033556	-0.0466709996	0.0094848579	-0.0304404812	0.0217939764	-0.0193680749	0.0154226442	-0.064898999	0.043593295	-0.010693141	0.0173320743	-0.0173735309	0.017399908	-0.02503379	0.0169566944	-0.0872916248	0.0042548678	0.007347912	-0.026025603	0.023073359	-0.0432062209	0.0505395113	-0.0012888687	-0.0059952163	0.0187343781	0.0094501166	-0.0126086455	0.0254799065	-0.0431555464	-0.0161864824	0.0134286588	-0.0269568127	0.0288852288	0.0184456163	-0.0434465462	0.0030398396	0.0033180916	0.0382512635	-0.0042165568	-0.0584571626	0.0370043892	0.0158759045	-0.0513858438	0.0394555522	0.0447288003	-0.0171031945	-0.0097790454	0.0419794221	0.0580839429	-0.0012935974	-0.0070335779	-0.0522655554	0.03197787	-0.0221394024	0.0060340873	0.0311547329	-0.0320799728	-0.0143334821	0.0450380709	0.0210612651	-0.0336231723	-0.0184383919	0.0447690285	-0.0334715536	0.0340259415	-0.0525787255	0.0352801859	-0.0237113428	-0.0110147195	0.0455440549	-0.0432158661	0.0275974633	-0.0306201414	0.0101934622	-0.0032906617	0.0375553356	-0.0642627018	0.0640337802	-0.0276143394	0.0391299734	-0.0053324421	0.0221078311	-0.0085538904	0.0524307616	-0.0011417536	0.0369474504	-0.0285514003	0.032644423	-0.0377625287	0.0089242557	-0.0247982416	0.0186346339	-0.0699026472	0.0045086936	0.0161006061	-0.0250776439	0.0441946788	-0.0395706017	0.0630641382	0.0488021576	-0.013196509	-0.0063794085	-0.0047713341	0.0552204459	-0.0450502021	-0.0019834488	0.0013451977	0.0033038335	0.0542537188	-0.0354177588	-0.0024495478	-0.0462088707	0.0958585453	-0.0484963463	0.0099259373	-0.0359350759	0.0167451793	-0.0538558751	0.0171631682	-0.0269844969	0.0324817553	-0.0374430311	0.0020891038	-0.0339781828	0.0124769989	-0.0237333342	0.0611984454	-0.001817701	0.0327527572	-0.0786991427	0.003376992	-0.0341309274	0.0630309028	-0.0064678444	0.0048479846	-0.0107562468	0.0271057708	-0.0299271929	0.0138246543	-0.0695012709	0.0168395282	-0.0160197845	0.0445080897	-0.0184690973	0.0734082099	0.0385976857	-0.0006192245	-0.0052353473	0.0374855771	-0.0414517745	0.0525058733	-0.0172826338	-0.0063769212	0.037367049	0.0080320827	-0.0194302742	-0.0137284968	0.0126056627	-0.0118044111	0.0215871606	0.0397297567	-0.0054540142	0.0183348962	-0.0366634343	-0.0035582923	0.0403615994	0.0006238155	0.005512123	-0.0807357663	0.0126907448	0.0049958013	0.0495545434	-0.00049432	-0.0263122427	0.0805109152	-0.0213741006	-0.0158151071	0.0138112791	0.0313881819	-0.0259949755	-0.0506916341	0.0194346746	-0.0490043963	-0.0238801325	0.0171895312	0.0149684818	0.0195237192	-0.0191969481	-0.0269092514	0.020052825	0.0170830666	0.0631820918	0.0631811602	0.0631796074	0.0631774336	0.0631746388	0.0	0.0	0.0	0.00403122	-0.00600418	1.6250734688400003e-05	3.60501774724e-05	-0.13102	0.0010759999999999	0.0171662403999999	1.1577759999999864e-06	0.506718	0.010464	0.000109495296	0.256763131524	-0.00439157	-0.00051045	2.605592025e-07	1.92858870649e-05	-0.00254734	0.0001458	6.4889410756e-06	2.125764000000005e-08	4.73782e-05	-0.0001021887999999	2.24469383524e-09	1.044255084544e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
