global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	t_comp_cor_14	t_comp_cor_15	t_comp_cor_16	t_comp_cor_17	t_comp_cor_18	t_comp_cor_19	t_comp_cor_20	t_comp_cor_21	t_comp_cor_22	t_comp_cor_23	t_comp_cor_24	t_comp_cor_25	t_comp_cor_26	t_comp_cor_27	t_comp_cor_28	t_comp_cor_29	t_comp_cor_30	t_comp_cor_31	t_comp_cor_32	t_comp_cor_33	t_comp_cor_34	t_comp_cor_35	t_comp_cor_36	t_comp_cor_37	t_comp_cor_38	t_comp_cor_39	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
3340.0563750128176	n/a	11155976.588263763	n/a	7873.904647793905	n/a	n/a	61998374.40255045	3363.1156066672047	n/a	11310546.58380852	n/a	3473.3738742562227	6691.9600639265145	n/a	n/a	n/a	n/a	-0.0207110097	-0.0704325991	-0.122490778	0.0117869903	-0.0539319184	0.0962068819	0.0317118668	-0.0628716998	0.0229057509	-0.0094702539	0.0217156401	-0.1446619444	0.0954222909	-0.1253783754	0.0492337134	-0.1007547191	0.2181199268	-0.0932886046	0.0871636559	-0.0648248332	0.0761492169	-0.0039964	0.155682451	-0.0844236846	0.1377655362	-0.1008514421	0.0642125772	-0.0587425359	0.0380208579	0.048355957	-0.0949249771	0.0268110696	-0.0374423384	0.0382658737	-0.070530744	0.0518377757	-0.0195592915	0.0744823332	-0.003713683	0.0308409014	-0.2679868888	-0.1249413944	0.0673331408	-0.0918114173	0.0775118967	0.1982951643	-0.1827146375	-0.1840078164	0.0465927276	0.1281235934	0.0502454876	-0.0153279077	0.1149020295	-0.0137282954	-0.0077266765	0.0131181227	0.1159623307	0.0119293254	-0.0468788207	0.0028576281	-0.0932763257	-0.0028394616	0.0126186167	-0.0256132788	-0.1267622888	-0.0755453227	0.0299190331	0.1063890347	0.070070791	-0.0120653154	-0.0524217731	0.0398480486	0.0274542585	-0.0428074518	0.1053352006	0.0232796792	0.0397808393	-0.0029588436	0.0027873891	0.0305317389	0.0679661489	-0.0206386581	0.0347970731	-0.0237050778	-0.0113926857	0.0185844982	-0.0448408891	-0.0062196319	-0.0305911925	-0.0052381302	0.0208887222	0.0153808904	-0.0381314066	8.503e-05	-0.0215188072	0.0302501281	0.0844020047	0.0115785496	0.0459840014	-0.0582393414	0.0368620072	-0.0711352623	0.0071673527	0.0074284845	-0.0323515664	0.0007213218	-0.0132497729	0.0246725379	-0.0562731339	0.0153048449	-0.0146346595	0.0206304104	-0.0452535413	0.0197720245	-0.0520388009	0.0089694784	-0.0110498371	0.0157891027	-0.0420750536	0.0589851361	-0.0695707414	0.0048168397	-0.0421881799	0.0227405545	0.0151044891	-0.0080964655	0.0123645983	-0.0228855266	-0.0174768396	0.004874049	0.0098863914	-0.0097889998	-0.0044207806	0.0176018283	0.0025472088	-0.0080905862	-0.0082651983	-0.0182205867	0.0395437717	-0.0823612129	-0.0092908037	0.0093623362	0.0061300402	0.013350419	-0.0260542178	0.0342603773	-0.0229658617	0.0757235756	-0.0010592008	0.0095339121	-0.0623914573	0.0979012037	-0.0137870085	0.0341052183	-0.0658179708	0.050559478	-0.0470436569	0.0392732403	-0.003407756	0.0294401258	-0.038691971	0.0205141726	-0.0326949874	0.0216900723	-0.0468972404	0.0093517312	-0.0425158069	0.0009373831	0.0481214634	-0.0301657611	0.00559972	-0.0187338864	0.0086346673	-0.0417304165	0.0566900345	-0.0197611839	0.035546851	-0.0130886622	0.0133671716	-0.0326327884	0.0572707829	0.0347453885	-0.0648799086	0.0206540724	0.0742454844	-0.0362847393	-0.0164314061	0.0920404722	0.0301683921	-0.0618430835	0.0598524587	0.0206031257	-0.007549752	-0.105230799	0.0014234375	0.0811104982	-0.0236321757	-0.0385154985	0.017313675	-0.0737189474	-0.0350420958	0.0273654837	0.0609600806	-0.016281463	-0.002135116	0.0453013634	0.0057342419	0.0119308563	-0.0423834218	-0.0360296474	0.0695469485	-0.0020990077	-0.0107322989	-0.0427855923	0.0244526237	0.0271085202	-0.0947480475	0.0278947596	0.0831816308	-0.0015552241	-0.042788791	0.012945705	0.0477251803	-0.0099042423	-0.0332535939	0.0064925204	0.0414297646	-0.0097651304	-0.0572266325	0.0474985989	0.0092787246	0.028993612	-0.0156960981	-0.0093251376	0.098451405	0.0335851566	-0.0495504137	0.0386738333	-0.0231473293	0.0358711835	-0.0213219968	0.0925428058	0.0012162431	-0.0170965734	0.0496351112	-0.026554016	0.0688820631	-0.0139368933	0.0092724632	-0.0444195296	0.0357599737	-0.0308923134	0.0412693413	-0.0158675385	0.0457064425	-0.052071463	0.0047531871	-0.0463645743	0.0187111378	-0.0139083884	0.0035138591	0.0238183323	-0.0316757267	0.0276529358	-0.0084078591	-0.0179595091	0.0167945418	0.0152240302	-0.0453453978	0.0405632202	0.0208257026	-0.0043786721	-0.0198981064	0.0161134653	0.0126367769	-0.0141443552	-0.0601104303	0.0010080209	0.0580474646	-0.0197235766	-0.0296638268	-0.0014976367	0.0030718682	-0.0484927389	0.018710647	-0.0226893868	0.049228691	-0.1007981858	0.0252347842	-0.006178561	0.0124172542	-0.0202728041	0.0076694822	-0.0403205469	0.0270836316	-0.0626493814	0.0544687813	-0.0339207891	0.0283447449	-0.0443872692	0.0090703411	-0.0256640739	0.0275526207	-0.0013289766	0.026092282	-0.0051091109	0.0226517382	-0.0479678644	0.1006182157	-0.0132913543	0.022103999	-0.0428804456	0.0444842737	-0.0212194571	-0.0213100484	0.0183836955	-0.0419801885	0.0154512259	0.0418703669	-0.0389995412	0.0731636284	0.0113839065	-0.0370285352	0.0542793523	0.0210438907	-0.0261253229	-0.0391669929	0.0781086606	-0.0822236376	0.0490126415	0.0119151645	0.0579022899	-0.0062286547	-0.0490712816	0.0245969694	0.0771435897	-0.0259931137	0.0251684322	0.0454496248	0.0529067684	-0.0170599112	-0.1072362745	0.038455838	0.0244365828	-0.0032887127	-0.0348226428	0.0005152592	0.0778091888	-0.0260059313	0.0648575118	0.0182044807	-0.0063666604	-0.0318985868	0.0026684955	0.0447787034	-0.0347075445	-0.087511342	0.0965367912	0.0789604989	-0.0150376737	-0.0533774996	0.0190478035	0.023624591	-0.0331576391	-0.0068168101	-0.0615612934	0.0072828202	0.0115814903	-0.0973666735	0.0364337309	0.0163281006	0.0038021522	-0.0085212186	0.0629937729	0.062992855	0.0629913253	0.0629891837	0.0629864303	0.0238277	n/a	n/a	0.00056775928729	0.136709	n/a	n/a	0.018689350681	0.310858	n/a	0.096632696164	n/a	0.000744941	n/a	5.549370934810001e-07	n/a	0.000165464	n/a	n/a	2.7378335295999997e-08	0.0	n/a	0.0	n/a
3326.9477660460625	-13.108608966755128	11068581.437998883	171.83562904329293	7822.175037591805	-51.72961020209914	2675.9525716611192	61186422.31872437	3346.989188026252	-16.12641864095258	11202336.62476463	260.06137818326283	3455.714099759834	6595.589855139136	1.042331	65.957855	0.1502866999999999	0.0754619	-0.0254960545	-0.0811370917	-0.0358818113	0.0189233256	-0.0678316843	0.078225558	0.0142334877	-0.0745619834	0.0741672186	0.0451108536	0.0297539983	-0.1014403502	0.1092846759	-0.1562140905	0.1332660875	-0.0863023033	0.2046979524	-0.006561648	-0.0059661632	-0.0594376403	0.0811304866	0.0500935225	0.1502245667	-0.0784735497	0.0691746206	-0.1001024103	0.0374402467	-0.0544091551	0.0478750706	-0.0374748279	-0.0186770718	0.060312903	-0.046775317	0.0029535001	-0.014700596	0.0650965648	0.0198882347	0.0657730327	0.026956156	0.0305814515	-0.2021097011	-0.084622653	0.0795892159	-0.0166284671	0.1238579699	0.2166275863	-0.1770365684	-0.218490853	0.0450351475	0.1094268962	0.0099879403	0.0045932993	0.0347095895	-0.020695789	0.0372000261	0.0248431513	0.0207992936	0.0347957444	0.0354572483	0.1295818755	-0.0072157099	0.0033879599	0.0061051476	0.0737532013	0.0692019944	0.0301451182	-0.0344396789	-0.0229614927	-0.0337212717	-0.0057115782	-0.0407170884	-0.0670649898	-0.0042257412	0.0597702784	-0.0478121037	0.0379196891	-0.1158198642	-0.0396524025	0.0104107585	0.0115805326	-0.0208330668	-0.0522922899	-0.0010857702	0.0059951602	0.0236746018	-0.0194303904	-0.0155789429	0.0036093463	-0.1228990132	0.0346946041	0.0082183802	-0.0550792045	-0.0396056296	-0.0188907696	0.0178400064	0.0056948589	0.0166443559	0.0940255647	0.0557218338	-0.0329408191	-0.0501551235	-0.0133280244	-0.0028647474	-0.0129439857	0.0253807123	0.0050892533	-0.0064144317	0.0673887635	0.0029327119	0.0070089996	-0.0256575517	-0.0166330597	0.0239314777	-0.0509737635	-0.0602142422	0.0113504481	0.0250574355	0.0230670965	0.0118041425	0.0096190095	-0.1175478503	-0.0450202274	0.0075472586	0.0785442205	0.0463830536	0.0690242641	0.0149725914	-0.033831877	-0.019671391	0.0012998893	0.0106470461	-0.0153160567	0.0403346346	-0.0293062179	0.019882403	-0.0422615918	0.0629121117	-0.0139096594	0.0299579516	-0.021967674	-0.0265621034	0.0009853842	-0.0274492463	-0.0072539457	0.01637955	0.0079451808	0.0245087546	0.0621471076	0.0021111579	0.0757762457	-0.0477858135	-0.0008624216	0.0414231726	0.048891297	-0.0190849746	0.0359111189	0.0054641668	0.0545231132	-0.0458622492	0.0344383618	-0.0275429062	-0.0580626982	0.0315930523	0.0268906115	-0.0737011299	0.0354419579	0.0761320703	0.0530503744	0.0412777841	-0.0177386845	-0.048933576	0.0029277168	0.0209140688	-0.1310414527	0.0081024515	-0.012683868	0.0318792195	-0.012821665	0.0405227116	-0.0151422193	0.0061061525	-0.01330035	-0.0267730335	-0.0162279584	0.0593246722	0.1126302735	0.0165331751	0.0871803163	0.019577039	-0.0089731084	-0.0266029112	-0.0191233306	-0.0270150318	0.005797625	-0.0128679156	-0.103439254	-0.0404467809	0.0462408944	0.0342259772	-0.0434341378	0.0276049703	-0.0251561703	-0.0527233006	0.0015182211	-0.0403154862	0.0503901235	0.0614063317	-0.013259503	0.00224659	-0.0556819166	-0.0190319566	0.033677844	0.0191501009	-0.0285394845	0.0257436472	-0.0384374599	-0.0228558749	0.0329489665	-0.0026525255	0.0017218292	0.0070854505	-0.0324971807	-0.0078433697	0.0042685399	-0.0625917386	0.0727038996	0.0354386037	0.0402649898	-0.0665903599	0.024702877	-0.0301895374	-0.0248348241	0.0491268693	-0.0468367261	0.0234708202	0.0787925082	0.0222528494	0.0646255109	-0.0013712101	-0.0500541093	-0.0320594511	0.0423452668	-0.0087168548	-0.0042026416	0.0071504426	0.0427237186	0.0267418326	-0.0341143034	-0.0358473393	-0.0421657337	0.0033198906	0.0238782272	0.056904602	-0.0875607153	0.0565304641	-0.0246143266	0.0107535219	-0.0276800601	0.054794903	-0.0277633432	-0.0292894283	0.0495441297	0.0679752045	0.0820645831	0.0171210444	-0.0583069196	0.0720155218	0.0466665188	-0.0024216501	-0.0145075936	-0.0170235947	-0.0314563117	-0.0295799875	-0.0066475009	0.0585701957	-0.0451005882	-0.0283470665	-0.0133450432	0.004791994	0.0267780925	-0.0614457853	0.020449226	-0.0295296464	-0.0498178198	0.0095784423	-0.0287258973	0.0104663602	-0.063488434	-0.031812778	-0.056514781	-0.0353528571	0.0028303659	0.0030460643	-0.004389081	-0.0376864186	-0.0060540913	0.0734986789	-0.0038537797	0.0296064512	-0.0495372762	0.0153842859	0.0405924017	-0.0114551985	-0.038296316	-0.1109471002	-0.0253462081	0.0028296026	0.0666173013	0.0447022764	-0.0764472515	0.0194836134	-0.0881944703	0.0529736609	-0.0112053732	-0.0057661507	0.0266858377	-0.0367720634	0.0116504915	0.0096463264	0.006470265	0.0465630347	0.0257440865	-0.0898986683	0.0323652846	-0.052659004	-0.1037760352	0.0087500921	-0.003574447	0.0437646906	-0.0040103294	-0.0128846194	-0.0461596149	0.0123810479	0.000882317	-0.0347719909	-0.0207763135	-0.0319914009	0.0298370282	-0.0009765865	-0.0249753387	-0.0255118512	-0.0117599356	-0.0294160804	-0.0687890737	0.0283371128	-0.0869487356	-0.1294152507	0.0119976998	0.0718538746	0.0357151447	0.0055266507	0.0291265322	-0.0064222346	-0.0104548279	0.0331351135	0.0301871999	0.0038008957	0.0340249072	0.0124901862	-0.0352563675	-0.0218955383	0.0181168624	0.0128751083	-0.041882341	-0.1109765239	-0.037090331	0.0239941381	0.0194754438	-0.0341656273	0.0183421794	-0.0070520022	-0.0331561764	-0.0244449189	0.0629913253	0.062983065	0.0629692986	0.0629500274	0.0629252529	0.0268158	0.0029881	8.928741610000003e-06	0.00071908712964	0.105406	-0.031303	0.000979877809	0.0111104248359999	0.368372	0.0575139999999999	0.135697930384	0.0033078601959999	0.00169157	0.000946629	2.8614090649e-06	8.96106463641e-07	0.000388467	0.000223003	4.9730338009e-08	1.50906610089e-07	0.0	0.0	0.0	0.0
3320.4443490041863	-6.503417041876219	11025350.674833834	42.29443322056603	7684.595639297386	-137.57939829441966	18928.090835054565	59053010.1395084	3342.8926106078657	-4.09657741838646	11174931.006056672	16.781946544833872	3448.8724264455395	6516.9931883307445	1.057212	66.899574	0.17876227	0.101244	-0.0274057292	-0.0638694172	0.0246168183	-0.0083891652	-0.0399286938	0.0885862827	-0.0155315115	-0.0460093065	-0.047871197	-0.0638806088	0.0252289686	-0.0676116197	0.0309137297	-0.1015299649	0.0093380503	-0.0750430718	0.1396174116	-0.0213624652	0.01196297	-0.0640844869	-0.0228681386	-0.0426849558	0.0312023538	-0.081063852	0.0679195176	-0.0702291846	0.0672004801	-0.0465834962	-0.0011145647	-0.0324473288	-0.0758688478	-0.0429161873	0.0156626505	0.0401096666	-0.0887031464	0.0172006366	-0.0200064544	0.0552726971	0.056756595	-0.0106107022	-0.1433837166	-0.0555198241	0.0279830123	0.0460692795	0.0975659358	0.1104649419	-0.1427871972	-0.140219838	0.0526310634	0.0751699757	0.0542042255	0.1210444242	0.0061954371	-0.0162439204	0.0958999351	-0.0475258397	0.0363716616	-0.0062211517	-0.0217716518	-0.0205699368	-0.0158155781	0.0087950456	0.0344095389	-0.0264659679	-0.0444309744	0.0014748336	0.0345600628	0.0044070579	0.0114683643	0.0124368923	0.0330821328	-0.109428974	0.05619733	-0.0259761191	0.0397089375	-0.0110898168	0.0403625116	-0.0165294302	-0.0791186917	-0.0158031659	-0.0073168557	0.0199825675	0.067656895	0.0102026558	-0.0233048002	-0.0485609817	-0.0172796448	-0.1147329617	0.0248468326	0.0062869482	-0.0055316147	-0.0007419857	0.0457313582	0.0498665949	-0.0302353439	-0.0393573565	-0.0306929812	0.0398343456	0.032904081	-0.030858053	-0.0312745209	0.0020263915	0.0453858984	-0.0259650398	0.0065702643	0.0129163916	-0.0266732226	0.0594306577	-0.0506371791	-0.0050062216	-0.0181282558	-0.0441925523	-0.0274234729	-0.0718024229	-0.008667117	-0.0113447491	0.0041710456	0.0480826468	0.0545265326	-0.0012183795	-0.008311105	0.0547448752	-0.041322324	0.0420298532	-0.0637157	0.03643424	0.0173146477	0.0095867705	0.0027677805	-0.078332309	0.1002148755	-0.0302276947	0.0321024153	-0.0899979177	0.0152180333	-0.0713685313	-0.003275316	0.0145008921	-0.0432536445	0.018001059	-0.0096942144	0.0049532103	0.003617827	0.0094894749	0.0484994236	-0.0688952985	-0.0648335313	0.060896056	-0.0698735835	-0.0785098206	-0.0229147825	-0.0014402949	0.0231706037	0.0326392465	0.0366650203	-0.0372158346	-0.0100432568	0.06076347	-0.0619884659	0.0305382512	-0.0359107446	0.0205186936	0.0014203929	-0.0606791793	-0.0812564651	0.0011647664	0.0046923604	-0.013847584	0.0553614881	-0.0027860556	-0.0577701309	-0.002786212	0.0529965831	0.1079695497	0.0482682543	0.0360103024	-0.0497890403	-0.071546401	-0.0380418821	0.0831206569	-0.0043664486	-0.0482765388	0.0184689633	0.0454199797	0.0060047766	0.0053359365	-0.0083528061	-0.0610299794	-0.0096129669	0.015640247	-0.0160934088	0.0075393744	0.0074419066	0.0172868167	0.0123631487	0.0158364957	0.0609723007	-0.0004776466	0.082515296	-0.0287251519	0.0393764928	-0.0364679276	0.0079785296	0.0062679411	0.002751906	-0.0304948049	0.0605096915	0.0851487371	-0.0249862277	0.0438207096	-0.0225920906	-0.0216276711	-0.0065342156	-0.0064576675	0.0359307135	0.0005492642	-0.0972745925	0.0716156964	0.0402337396	0.03699289	0.0372803826	-0.0319339592	-0.0970916871	-0.0032726761	0.0305689853	-0.0524593878	0.0421763182	0.0129200803	-0.0359248405	-0.0436003815	0.0140651113	0.0212827047	-0.0020352625	-0.0057966185	-0.0250542759	0.0375141823	0.0059924808	0.028244431	0.011905972	-0.0102384192	-0.0574984626	0.0124143496	0.0248958633	-0.0019121822	0.0140007574	0.0281502516	0.0436627285	-0.0265763718	-0.0108808648	-0.0430286895	-0.0510215583	0.0554811152	0.0325937287	-0.0261817051	0.0428233429	-0.0066272259	0.072558071	-0.0229167083	0.0022952017	0.0640566758	0.0159014661	0.0446191657	0.0259783247	0.0213974999	0.0713159536	9.71408e-05	-0.0432482972	-0.0648486342	0.0973291767	-0.0387441269	0.0489439554	-0.0445184488	-0.0466415332	0.0352884722	0.0201533096	-0.0720696869	0.0122889422	-0.009996478	-0.0107706616	-0.0088089014	-0.040006709	0.0281612353	0.0267524078	-0.0568279921	0.049582894	-0.0523770283	-0.0045470595	0.0463907486	-0.0354356894	-0.0645434803	-0.0052266491	-0.092019206	0.0160395915	0.0302820851	-0.0024200099	-0.0043531565	0.013061304	-0.0558987187	0.048802189	0.006313078	-0.0420449713	-0.049857696	-0.0424501007	-0.0387932455	0.0337890501	-0.0898636076	0.0367913549	-0.0410659698	0.0829892442	0.0300010391	-0.0485635769	0.0544334486	0.0473856856	0.055052977	-0.0264801611	0.0114136693	0.087668187	0.1067684832	-0.0261819089	0.0407694516	-0.0958601587	-0.0834786899	0.0166275731	-0.0724174904	-0.0318878129	0.0397455308	0.0188914695	-0.0086770045	0.0495752483	0.0020938222	-0.006086157	-0.0014669726	0.0137892333	0.014458112	0.063549115	-0.0428995683	-0.0454233621	-0.0276734265	0.0407857229	-0.0110773818	0.0233199085	0.0518611083	-0.0295960671	-0.0407519402	-0.0286940595	-0.054903088	-0.0407333521	0.036733314	-0.0295125029	0.0412327401	0.0062669768	0.0017702033	0.0274633215	-0.0512393002	0.0647023642	-0.0716892589	0.0029005359	0.0469555807	-0.0457221992	0.0272058329	0.0339926946	-0.1343728617	-0.0291957753	-0.0105740011	-0.0415370202	-0.0278629683	-0.0458524302	0.011255789	-0.018605992	0.0285059273	0.0068496537	-0.0640301456	0.0088061323	0.0629864303	0.0629634865	0.0629252529	0.062871739	0.0628029577	-0.00196252	-0.02877832	0.0008281917020224	3.8514847504000006e-06	0.135691	0.030285	0.000917181225	0.018412047481	0.374675	0.006303	0.1403813556249999	3.972780900000004e-05	0.00182455	0.00013298	3.3289827025e-06	1.76836804e-08	-0.00143799	-0.001826457	3.3359451728490003e-06	2.0678152401000004e-06	0.000308482	0.000308482	9.516114432400001e-08	9.516114432400001e-08
