Trialn,TrialType,Partner,Feedback,ITI,ISI
1,3,1,3,2,2.550000e+00
2,1,1,1,4,1.700000e+00
3,3,1,3,3,1.700000e+00
4,2,1,2,3,8.500000e-01
5,1,1,1,3,1.700000e+00
6,6,2,3,4,1.700000e+00
7,1,1,1,2,2.550000e+00
8,6,2,3,1,1.700000e+00
9,6,2,3,2,8.500000e-01
10,5,2,2,1,8.500000e-01
11,3,1,3,4,2.550000e+00
12,6,2,3,1,8.500000e-01
13,1,1,1,3,8.500000e-01
14,6,2,3,4,1.700000e+00
15,2,1,2,3,2.550000e+00
16,6,2,3,4,2.550000e+00
17,1,1,1,1,1.700000e+00
18,4,2,1,1,2.550000e+00
19,4,2,1,2,8.500000e-01
20,4,2,1,2,1.700000e+00
21,3,1,3,1,1.700000e+00
22,1,1,1,1,1.700000e+00
23,1,1,1,3,2.550000e+00
24,4,2,1,1,2.550000e+00
25,4,2,1,2,2.550000e+00
26,6,2,3,1,1.700000e+00
27,3,1,3,4,2.550000e+00
28,5,2,2,4,8.500000e-01
29,6,2,3,2,1.700000e+00
30,3,1,3,1,8.500000e-01
31,6,2,3,1,1.700000e+00
32,3,1,3,2,2.550000e+00
33,4,2,1,1,2.550000e+00
34,4,2,1,4,8.500000e-01
35,4,2,1,3,2.550000e+00
36,1,1,1,3,2.550000e+00
37,5,2,2,1,8.500000e-01
38,4,2,1,3,2.550000e+00
39,3,1,3,1,8.500000e-01
40,2,1,2,2,8.500000e-01
41,2,1,2,4,8.500000e-01
42,6,2,3,3,8.500000e-01
43,3,1,3,1,1.700000e+00
44,2,1,2,3,1.700000e+00
45,6,2,3,4,8.500000e-01
46,4,2,1,2,2.550000e+00
47,3,1,3,3,1.700000e+00
48,4,2,1,4,8.500000e-01
49,1,1,1,3,2.550000e+00
50,1,1,1,4,2.550000e+00
51,5,2,2,4,8.500000e-01
52,1,1,1,3,1.700000e+00
53,5,2,2,2,8.500000e-01
54,3,1,3,4,1.700000e+00
