Trialn,TrialType,Partner,Feedback,ITI,ISI
1,1,1,1,3,2.550000e+00
2,3,1,3,1,8.500000e-01
3,1,1,1,3,2.550000e+00
4,5,2,2,1,8.500000e-01
5,4,2,1,2,2.550000e+00
6,2,1,2,4,8.500000e-01
7,4,2,1,2,1.700000e+00
8,3,1,3,3,1.700000e+00
9,5,2,2,1,8.500000e-01
10,6,2,3,2,8.500000e-01
11,6,2,3,4,8.500000e-01
12,3,1,3,4,2.550000e+00
13,6,2,3,1,1.700000e+00
14,4,2,1,1,2.550000e+00
15,1,1,1,3,1.700000e+00
16,4,2,1,2,8.500000e-01
17,3,1,3,1,1.700000e+00
18,1,1,1,4,2.550000e+00
19,3,1,3,2,2.550000e+00
20,4,2,1,3,2.550000e+00
21,2,1,2,2,8.500000e-01
22,1,1,1,1,1.700000e+00
23,6,2,3,2,1.700000e+00
24,2,1,2,3,1.700000e+00
25,2,1,2,3,2.550000e+00
26,6,2,3,1,1.700000e+00
27,1,1,1,2,2.550000e+00
28,2,1,2,3,8.500000e-01
29,5,2,2,4,8.500000e-01
30,3,1,3,1,1.700000e+00
31,4,2,1,3,2.550000e+00
32,4,2,1,4,8.500000e-01
33,6,2,3,4,1.700000e+00
34,4,2,1,1,2.550000e+00
35,3,1,3,3,1.700000e+00
36,6,2,3,1,8.500000e-01
37,4,2,1,4,8.500000e-01
38,3,1,3,1,8.500000e-01
39,3,1,3,4,2.550000e+00
40,1,1,1,3,1.700000e+00
41,5,2,2,4,8.500000e-01
42,1,1,1,4,1.700000e+00
43,6,2,3,4,2.550000e+00
44,1,1,1,1,1.700000e+00
45,1,1,1,3,2.550000e+00
46,6,2,3,4,1.700000e+00
47,6,2,3,3,8.500000e-01
48,5,2,2,2,8.500000e-01
49,4,2,1,1,2.550000e+00
50,6,2,3,1,1.700000e+00
51,3,1,3,4,1.700000e+00
52,1,1,1,3,8.500000e-01
53,4,2,1,2,2.550000e+00
54,3,1,3,2,2.550000e+00
