global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
4146.291697627508	n/a	17191734.841814805	n/a	8834.162873960246	n/a	n/a	78042433.68365754	4096.456530865157	n/a	16780956.109267797	n/a	4197.1154757421655	6231.042020975166	n/a	n/a	n/a	n/a	-0.0668103505	-4.26996e-05	0.0070152509	-0.129889482	-0.3128061327	0.2536654434	-0.4527918049	0.0792114471	-0.0449627132	0.180334682	0.0813328143	-0.1078205823	-0.0380981799	-0.085709788	-0.0067119365	0.017956324	-0.0497195338	-0.0291678893	-0.0087781361	0.0424958483	-0.0492203009	0.1335984484	0.0033656417	-0.0866714755	-0.0212910884	-0.0035243581	0.0165840859	-0.0024653073	0.0486495776	-0.0516100571	0.0803827755	-0.0014179775	-0.0106708801	0.0256402243	0.0084703468	-0.0261778788	0.0447057893	0.0068963876	0.0094889164	-0.0179914084	-0.0086313962	0.0219948182	-0.0259181455	-0.0383798901	-0.0036130464	0.0010446401	-0.0088842241	0.0204242239	-0.0585818555	0.0094929321	-0.0391534614	0.027545406	-0.0567280874	0.054301839	-0.0908121582	0.0327390639	-0.0405058912	0.0265635315	-0.0395909167	0.0267806983	-0.071741253	0.0497630628	-0.0441582149	0.0261459085	-0.008221627	-0.0367009702	0.0754591193	0.0081715407	-0.0269285661	-0.0068715355	0.0846109633	0.033110518	-0.006265639	0.0058735898	-0.0060680593	0.000102053	-0.0146107421	0.0214518815	-0.0107049024	0.0580718722	-0.0133907534	0.100363024	-0.0316715585	0.0371032191	-0.0320902085	0.079337057	-0.00245154	0.0007456097	-0.0569178028	0.0029959158	-0.0452316218	0.0548931511	-0.0612865292	0.050745811	-0.0134957975	0.0341178422	-0.0269539772	0.0487784217	-0.0492801733	0.0256271274	-0.0656859379	0.0430977726	0.0198110802	-0.0519395092	-0.0207421729	0.0214046427	-0.0346918303	-0.0553427509	0.0222159657	-0.0065707524	-0.05673927	0.0165921251	-0.0188873747	-0.0046434921	0.0462263998	-0.0185674344	-0.0052816279	0.0219733622	0.0093404634	0.0929419026	-0.1270910051	-0.0314241288	0.0883947616	-0.0072391824	-0.0561684345	0.0256325413	0.0540986322	-0.0461856933	-0.0094240008	0.0313232869	0.0470483832	-0.0272189682	-0.0098541893	0.0929742609	0.0046578198	-0.0052921463	-0.0415456971	0.0063752896	0.0488477945	-0.0405524406	-0.0780796	0.0421420328	0.0269846775	0.0043318644	-0.0338101031	-0.0461306116	-0.0492732278	0.0316719714	0.0227566712	0.0127871845	-0.0554084446	-0.0076631112	0.0412428248	0.0751180028	-0.0344464318	-0.0519020736	0.0395515353	-0.0485157199	0.0821571267	-0.2676153025	-0.1330378882	0.0309306044	-0.0382306238	-0.0906796172	0.0174392735	-0.0593769056	0.0213190976	-0.0184432494	0.0565328232	-0.0007633474	0.0230392726	-0.0421316334	0.073006764	-0.098011868	0.0465362753	-0.0360911028	0.0320098688	-0.0110955485	0.026422867	0.0311994859	-0.0485160672	-0.0273786988	0.0477030611	-0.007968354	-0.0543647902	0.0840235159	0.0343441606	-0.040506423	0.0222773963	-0.0129111019	0.0074054061	-0.0606184637	0.0337786179	-0.033724669	0.0399801881	-0.0426808222	0.0370350545	-0.054829663	0.0203398002	-0.0220296469	0.0647314873	-0.0028378439	0.0030883653	-0.0713700229	0.0288176397	-0.0366290905	0.0213433671	-0.0327093289	0.0153893474	-0.0168621184	0.0671996648	-0.0720455089	0.0100789816	-0.0572784524	-0.0022483473	0.0730954402	-0.0320918142	-0.0600343256	0.0377371965	-0.0664046602	0.0334321748	0.0063329072	-0.0128916827	-0.013763638	0.0181728346	-0.0512234946	0.0738921808	0.0860462193	-0.0186503325	-0.0406254318	0.0151492071	0.0146162847	-0.0110562134	-0.1321865908	0.0428889914	-0.0577917676	-0.0111974976	0.1018209227	0.0026593511	0.0088827724	-0.0191635318	-0.0765690521	0.1158389298	-0.015951188	-0.0314295443	0.047461492	0.0449243321	-0.0548849339	-0.0491076179	0.026435841	0.0223606843	-0.0618296033	-0.0322773051	0.054939522	-0.0594078522	-0.0126869766	-0.0222279543	0.0446542696	0.0199791508	0.0021317513	-0.0209072832	-0.033029949	-0.01533378	0.0091107037	0.03338944	0.013514683	-0.0534792394	-0.0777238886	0.0191194796	0.0856160751	-0.0698021448	0.0720743971	0.0720725975	0.0720695981	0.072065399	0.0720600002	0.0101774	n/a	n/a	0.00010357947076	0.0334723	n/a	n/a	0.00112039486729	0.00352254	n/a	1.24082880516e-05	n/a	-0.00023977	n/a	5.74896529e-08	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0
4134.712470651388	-11.57922697612048	17095847.214960102	134.07849736451624	8708.88580498404	-125.27706897620556	15694.344011268964	75844691.96425252	4090.343337430122	-6.1131934350351	16730908.61805899	37.37113397415625	4187.438915918237	6195.437625473587	0.985274	42.307793	0.05423127	0.038978	-0.0659855796	0.0366641178	-0.0099935087	-0.1483003992	-0.2345592073	0.2133723257	-0.2452808878	0.0147296234	-0.001821292	0.0680281417	-0.0554860693	-0.0388557348	-0.0503882731	-0.1037950743	0.0048929034	0.0463456077	0.0184718291	-0.0063573641	-0.0472692213	0.0526003247	0.0597530729	0.0377386336	0.0892138315	0.0163263895	0.0350689862	-0.0035714352	-0.036290008	0.0508228262	0.0271293462	0.0184919693	0.0333558891	-0.0160228894	0.0418307092	0.0396529047	-0.0283524583	0.0246758505	-0.064546876	0.0021688224	-0.0153723931	-0.0087266829	-0.0449881059	0.0077378273	-0.0479795454	0.0279123765	0.0746904348	-0.0441486759	0.0219974899	0.0095768179	-0.0770620065	0.0486586332	0.0025176626	-0.0117216193	-0.0769204164	0.0328710286	-0.0057844205	-0.0510682353	-0.0407005135	-0.0557113782	-0.0007767352	-0.0496892993	0.0916901082	0.0544389785	0.0409107713	0.0124210407	0.030463513	-0.0232347899	-0.0110666194	0.0477554114	0.0169421013	0.040943387	0.1215903996	0.0348581233	0.0137794455	-0.0179602254	-0.0361493992	0.0157921409	0.0433664139	-0.0016594202	-0.0050803961	0.0345912985	0.0349229552	0.0569025701	0.0396442629	-0.0058419373	-0.0753792191	0.0354684671	-0.0190067552	-0.0281622454	-0.0309424806	-0.0779831692	-0.0205208159	-0.0018938479	0.0023366788	-0.0458353024	0.0380838254	0.0130469034	0.0760203901	0.0043713168	-0.0096155209	-0.0165798719	-0.0748766086	0.0333744756	-0.062078226	0.1361965936	-0.053167344	0.0250918701	0.0928628538	0.0239838931	-0.0243370151	-0.0377260049	-0.0655493425	-0.0196794415	0.0453464242	-0.030956314	-0.0106492095	-0.0612270409	-0.024314224	-0.0180023018	0.0342528192	0.0347442018	0.0363240655	0.0061185875	0.0286701877	0.0099975942	0.0229192057	0.0569361865	0.0523544564	-0.019544116	0.0422563337	0.0444738883	0.0203028316	0.0712904284	-0.0029097339	-0.000439189	-0.0718144539	-0.0055302199	0.0306256318	-0.0266466513	0.1094276065	-0.0115869999	-0.0372005011	-0.0236224447	-0.0324605543	0.0472987992	0.0404787233	-0.0097123501	0.0398389882	0.0529346512	-0.0285338082	0.0203062853	0.0162841476	-0.0877286981	-0.0547391791	0.129444666	-0.0722796117	-0.0894749657	-0.0654190723	-0.0191795346	0.1551157661	-0.1960814434	-0.0586826626	0.0279455772	-0.065425734	-0.0440350931	-0.0429719904	-0.0468755832	-0.009212548	-0.0289412372	-0.0343486022	0.0049390286	0.0624633763	-0.0432297144	-0.0723609209	-0.0607534301	0.0167942591	0.0988118767	0.0298117941	0.0065007379	0.0343896736	-0.0221051717	-0.1374728155	0.0692199801	0.0108049475	-0.0259601567	-0.0109768728	0.026781351	-0.0346448342	-0.0674020162	0.0163449033	0.0095289494	0.0095917863	-0.0107995495	-0.0375637981	-0.0384686982	0.044752094	-0.012348538	0.0270236195	-0.009936086	0.0404861562	-0.0718395609	0.0920648811	-0.0204580861	-0.0509863319	-0.0046377117	-0.0119002849	-0.0266406621	-0.0147061453	0.0352681351	-0.0646972271	0.0281544907	-0.0473615484	0.1009064746	-0.0469985345	-0.0116915592	-0.0092226859	0.052465824	-0.1212264698	-0.0438439368	-0.0601371678	0.0537565029	0.0202678268	0.0171482638	0.0236392208	-0.0564041817	-0.0725430967	-0.0512190339	0.0743256112	0.0003505771	-0.0122645285	0.0131308091	0.0002820951	0.0291258357	-0.0048094372	-0.0157629444	-0.0603079692	-0.0087818982	0.0137547843	-0.0039456824	-0.0215753711	-0.0203425727	0.0157224362	-0.0316901656	0.0660358647	-0.0412213034	-0.0313290432	-0.0476936761	-0.0017480229	-0.0793936187	-0.0354073777	0.0935267787	0.038487072	-0.026503234	0.0181234047	-0.0074541846	0.0771405078	-0.0316072776	0.0309300018	-0.0150064903	-0.0389679188	-0.0542114242	-0.020728935	0.021928711	0.0406285681	0.0104818036	0.0161638811	0.0246973663	-0.0269109215	0.0025212592	0.1601260125	0.1148068712	0.0550798356	0.0720695981	0.072053402	0.0720264112	0.0719886298	0.0719400635	0.0141092	0.0039318	1.5459051240000008e-05	0.00019906952464	0.0694038	0.0359315	0.0012910726922499	0.00481688745444	0.00424201	0.00071947	1.79946488401e-05	5.176370809000004e-07	-0.00051274	-0.00027297	2.629023076000001e-07	7.451262090000002e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4126.433590229153	-8.278880422234579	17027454.17457146	68.539861045659	8680.054068892337	-28.831736091702624	831.2690060615877	75343338.63889442	4088.6123123450825	-1.7310250850396187	16716750.640659802	2.99644784503642	4185.643901212871	6147.323365000246	1.041442	44.719662	0.0911765399999999	0.0637496	-0.0251957975	0.0538179675	-0.1115788873	-0.0891092095	-0.2089200326	0.1775656249	-0.204999327	0.0005744031	0.0998571123	0.0707139882	0.0196541497	0.0095795932	-0.0058361246	-0.0231933957	-0.0011286443	0.0375010052	0.0158558399	0.0309579768	0.0748683882	-0.049387258	-0.0121295263	0.0062174847	0.0246179136	0.0646808877	-0.0373143268	0.0715303988	0.0527148312	-0.0269848308	-0.0319668731	-0.0325639343	-0.0499324808	-0.0061374491	-0.0078078439	-0.0380020906	0.0430153619	-0.0075008032	-0.0184079534	0.0326682384	-0.0609921735	0.0461991556	0.0315891678	0.0639570263	0.0309412346	0.0455401032	-0.0401584163	0.0175011461	-0.1335647448	-0.019396223	0.0173117948	0.0233915498	-0.062835455	-0.0656515047	0.0078073529	-0.0287269352	0.0583365467	-0.0712885867	0.0402097806	0.0044679152	-0.0345794714	-0.057977318	0.07207685	-0.0511323567	-0.0184233625	-0.0055635231	-0.0783540542	-0.1006675273	0.0432379827	-0.0867564898	0.0139753572	0.0445345561	0.0743018233	-0.0289260749	-0.0401823515	-0.0272496232	-0.063171726	-0.0507246144	0.0051145251	-0.0207450054	-0.0272589728	0.054279083	0.0275140773	0.0441641375	-0.0446496664	0.0650206131	-0.0212522136	-0.0221656835	-0.0177661288	0.0373143311	-0.0988121915	-0.0558336643	0.0991372103	-0.1037719671	-0.0604930303	-0.0735759293	0.1496334108	-0.0347367998	-0.0528365199	-0.0013902439	0.0703912943	-0.0145450627	-0.0283610304	0.0357706586	-0.0179120209	0.0560786939	-0.0882127243	-0.0765397763	0.0632492039	0.0348892431	0.0085371758	0.0258686309	0.0404113858	0.0759835814	-0.0140258133	-0.0231400458	0.0329433932	0.0190298825	-0.0024436175	-0.0151009357	-0.0269428798	-0.0641980239	0.0637369602	0.0022971269	0.04820363	-0.0239011637	0.068595045	-0.0238703075	0.0376034348	-0.0075615264	-0.0150401214	-0.1022808265	0.027550933	0.0015799254	-0.0589785017	0.008011148	0.005277566	0.0777365931	0.0610892831	0.0635293841	-0.0475071127	-0.0276896755	-0.071714829	-0.040015712	0.0493268688	-0.0241745985	0.0008468788	0.0409916967	-0.0056340989	-0.0473544302	0.0767909206	-0.0602946994	-0.0167610081	-0.0141701141	-0.0213201417	-0.0193685201	0.01283067	0.0023562662	0.0261871622	0.0577364292	0.0443711505	-0.1368758857	-0.1316054807	-0.0754253468	0.0598778254	-0.0200762009	-0.0234282336	-0.0096577615	-0.1000506746	0.0065710198	-0.0356158499	0.0719960667	0.0440398987	-0.0845599424	0.0036370094	-0.1048668622	0.026676873	0.0814953102	-0.1143444431	-0.0320699052	0.0877636181	-0.0441046469	-0.0263754984	-0.0326208837	0.0841034389	0.0583306022	0.0324557779	0.0104718601	0.0245813963	-0.0966276302	0.0282833346	0.0193002768	-0.0561151266	-0.0797826616	-0.0145781549	-0.0978796222	-0.0081078413	0.0129212388	-0.0029149325	-0.0679313759	-0.022844522	-0.0128216238	-0.0338933934	0.0625757994	-0.0642950058	-0.026245214	0.0562094263	0.0006308386	-0.1462534382	0.0868653624	-0.0673987538	0.0584779766	0.0412999105	0.1053981579	0.0168995931	0.0399074353	-0.0104639932	0.0042613734	-0.0127768412	0.0470789527	-0.0390787476	0.0282679237	0.0378534361	-0.0143822122	-0.0157999397	0.0520468286	0.032122791	0.0621005585	-0.0632552618	0.032392851	-0.0216059778	0.0756401385	-0.021001191	0.0705949788	0.0180584118	0.082560478	-0.0401973366	0.0316159015	0.0504118984	-0.0151961057	0.0097700335	-0.0270731717	-0.0427868218	-0.0284963295	0.0660608767	0.0711215103	0.0286938798	-0.0041406257	0.0287330906	-0.0184874778	0.0933041942	-0.0346508741	0.0962775122	-0.0745370256	-0.0225783708	-0.0289494008	-0.0685279967	0.0138954114	0.0086637805	-0.0451382287	-0.0112840096	0.0251357286	0.0131280968	-0.0288416652	-0.0750306794	0.0093343776	0.026886139	-0.0414165981	0.0026639243	0.0814139521	0.0250014142	0.0005454169	-0.0536902811	0.0720600002	0.0720150162	0.0719400635	0.0718351734	0.0717003896	0.0	-0.0141092	0.00019906952464	0.0	0.129928	0.0605241999999999	0.0036631787856399	0.0168812851839999	0.0188401	0.0145980899999999	0.0003549493680099	0.000213104231648	-0.000473839	3.890100000000004e-05	2.24523397921e-07	1.513287801000003e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4124.233655405879	-2.1999348232739067	17009303.24438254	4.839713226653195	8577.561636371258	-102.49243252107954	10504.698724088044	73574563.62574798	4099.987519553304	11.375207208221582	16809897.660492856	129.39533902997624	4193.672078936871	6101.280581795201	1.064302	45.701256	0.1249441599999999	0.091297	0.0115279598	0.0652524442	-0.0556579531	-0.110455743	-0.1838519885	0.0750547115	-0.0640248462	-0.0082464719	0.0124554406	0.0180033361	0.0139885026	0.0365342745	0.0587915871	0.0963409309	-0.0400801569	0.0125557774	-0.1056031252	-0.0462185036	0.0096976572	-0.0349217975	-0.0091109798	-0.0113213313	-0.0250560794	0.1292908194	0.0026595446	-0.0093479922	0.0247100547	-0.0615169171	0.0123833779	-0.0011581393	-0.1047216982	-0.0056379986	-0.073749639	-0.0063093258	-0.0058739041	0.0049231425	-0.0208222097	-0.0757120173	-0.0095082426	0.0259211637	0.0210860051	-0.1049998791	0.0329850033	0.0464920178	-0.027985037	-0.0769699292	-0.007044858	0.0351776561	0.0143063915	-0.0706294742	0.0188266007	-0.0252990999	-0.0282355158	0.0628009821	-0.1241084385	0.0137040935	-0.0251347742	-0.0384296919	-0.0257335407	0.0239368905	-0.0709052453	-0.0442962617	-0.0513331752	0.0373990343	0.0018329287	-0.0618069107	0.0115753822	0.0426007067	0.0600143876	-0.0351275895	0.0555377118	-0.0582252411	-0.0036023292	0.0073028697	0.0472700652	0.0245874218	0.0240817341	-0.0146559382	0.006276194	0.0990682202	0.0049500046	0.0511629921	0.0420075146	0.1019517692	0.0032565263	0.0144079955	0.0138108176	0.074536392	0.0038066277	-0.0263779277	-0.0065825631	0.0927905565	-0.0723622812	0.0364589187	-0.0105820339	-0.0559535142	-0.0088265492	0.0475106554	-0.022543007	0.0449919372	-0.0353127281	0.0233741491	-0.0031431726	0.064904415	0.0007547824	0.0328857519	0.0528146525	0.0046696951	0.0005965401	0.043021006	0.0486940443	-0.0167935825	0.0207235422	0.0468307791	0.02024923	-0.0222400162	0.0498637437	-0.0455934972	0.0243016031	-0.0392862602	-0.0736551004	-0.0465784307	0.0115280185	0.0306130459	-0.0762809	-0.0159389673	-0.0938308168	-0.0829031889	0.0315305049	0.012377087	-0.0412167645	0.0100963757	-0.0028032235	0.0620970845	-0.0392156565	0.1351633577	-0.1002523539	0.0434931871	0.0111376629	-0.0343636934	0.1096049505	-0.0241999994	-0.0128886341	0.0174968012	0.0470107496	-0.0444573159	-0.0401603543	-0.001527758	0.0439933991	0.0331245544	0.1028882599	-0.0431142867	0.0403098375	-0.0158039502	-0.0298365478	0.0421749031	0.2097574722	0.0504896316	0.0290517609	-0.1851864434	-0.0219125258	-0.0364192809	-0.0218416818	-0.0241858076	0.0549056529	-0.114501524	0.0283747355	0.0312220717	0.0664740663	0.0105839879	0.0131412045	-0.0103045557	-0.0120571746	-0.0553858601	0.0072239542	-0.0614884259	-0.0405529909	-0.0136861395	0.008370934	0.022028145	0.0212118895	-0.0284972499	-0.0010269857	0.031610212	-0.1352476364	-0.0538482044	0.0130039026	0.0013487727	0.0041659649	0.0063165811	0.0274021221	-0.0083699505	-0.0094702429	-0.060409759	0.0241260971	0.0477544826	0.0063022646	0.0030169299	0.0298715212	0.0048555841	-0.0223070027	0.0155662184	0.003299513	-0.0271607941	-0.0349593913	-0.0986556632	0.0445078942	-0.0214577381	-0.0022604262	0.0392230554	-0.0016221615	-0.0834531011	-0.0243685589	-0.0362675237	0.0086876865	0.0296491443	-0.0083795784	-0.0726759747	-0.0559521489	0.0393283526	-0.044340251	0.0187705561	0.0600910347	0.0396947271	-0.0344348739	0.0247057262	0.0017206862	-0.0420164841	-0.0267285916	0.0005626686	0.0536755574	-0.0331390163	-0.0315484112	0.0098525473	0.1166658252	-0.0748039153	-0.05283714	-0.0050541099	0.048375805	0.0572260778	0.0097116011	-0.0110215059	-0.0773764815	0.0430936591	-0.068727525	-0.0220834919	0.0877920817	-0.0332439096	0.0911868363	-0.0015990135	-0.0964371646	-0.07515535	-0.0164991269	-0.0416283725	0.0561817498	0.0607048157	0.02430411	-0.0465525165	0.0187335712	0.0345838386	-0.0317330642	-0.051152331	-0.0408415998	0.0583296427	0.0078781932	0.0994771412	-0.0626918443	-0.0036422992	-0.0779279737	-0.0139371493	0.0781622962	0.0720456043	0.0719574502	0.0718106065	0.0716051931	0.0713413775	-0.00286516	-0.00286516	8.2091418256e-06	8.2091418256e-06	0.0403888	-0.0895391999999999	0.0080172683366399	0.00163125516544	0.0122281	-0.0066119999999999	0.00014952642961	4.371854399999997e-05	-0.000584963	-0.0001111239999999	3.42181711369e-07	1.2348543375999997e-08	-0.000225038	-0.000225038	5.0642101444e-08	5.0642101444e-08	-0.000182394	-0.000182394	3.3267571236e-08	3.3267571236e-08
