global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	t_comp_cor_14	t_comp_cor_15	t_comp_cor_16	t_comp_cor_17	t_comp_cor_18	t_comp_cor_19	t_comp_cor_20	t_comp_cor_21	t_comp_cor_22	t_comp_cor_23	t_comp_cor_24	t_comp_cor_25	t_comp_cor_26	t_comp_cor_27	t_comp_cor_28	t_comp_cor_29	t_comp_cor_30	t_comp_cor_31	t_comp_cor_32	t_comp_cor_33	t_comp_cor_34	t_comp_cor_35	t_comp_cor_36	t_comp_cor_37	t_comp_cor_38	t_comp_cor_39	t_comp_cor_40	t_comp_cor_41	t_comp_cor_42	t_comp_cor_43	t_comp_cor_44	t_comp_cor_45	t_comp_cor_46	t_comp_cor_47	t_comp_cor_48	t_comp_cor_49	t_comp_cor_50	t_comp_cor_51	t_comp_cor_52	t_comp_cor_53	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	c_comp_cor_56	c_comp_cor_57	c_comp_cor_58	c_comp_cor_59	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
4471.910709620166	n/a	19997985.394815534	n/a	9482.315254969906	n/a	89914302.594635	n/a	4206.5570329122975	n/a	n/a	17695122.07114391	4512.043490459237	5072.05799397013	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0352761	n/a	0.0012444032312099	n/a	0.00955796	n/a	n/a	9.135459936160002e-05	0.0873043	n/a	n/a	0.00762204079849	0.000429429	n/a	1.84409266041e-07	n/a	0.000371916	n/a	n/a	1.38321511056e-07	0.000676038	n/a	n/a	4.5702737744400003e-07	0.0	0.0
4450.930080292902	-20.98062932726407	19810778.57965618	440.18680696805313	9318.643803103756	-163.67145186615016	86837122.32912403	26788.34415597351	4214.182723283768	7.6256903714702275	58.15115364153374	17759336.025223393	4503.357829545697	4984.220932195576	1.071658	62.669399	0.09089661	0.0666443	-0.0091595821	-0.0801689572	0.026016243	0.0513478471	0.0497267592	-0.0382935088	0.0209905199	-0.0130786451	0.05529894	-0.0549923356	0.1409328498	-0.0241096164	0.0050932487	-0.0445047718	0.0096000313	-0.0394829318	0.0477375845	-0.0391866248	-0.0236936754	0.0235258273	-0.0154575439	0.0152718528	-0.0707457699	0.0357182625	-0.0856817842	0.0209257068	-0.0160739724	0.0570856599	-0.1303873888	0.0028265917	0.0320739766	-0.0427929645	0.0271670778	-0.027189167	0.0267225702	0.0036600624	0.051210746	-0.0476136538	-0.0417024167	0.0313262844	-0.0387587192	-0.0082953843	0.0358094147	0.0260377495	-0.0737286266	0.0502880918	-0.000410157	0.0736762617	-0.0386038111	0.0030200742	-0.1010615261	0.0231640838	-0.0409478922	0.0529895727	-0.2467412929	-0.0693275692	0.035957056	-0.2527639043	0.0410661564	-0.4227404455	0.0570273322	-0.1691269501	0.105044528	0.1540031719	-0.0915286476	0.1023760925	-0.0769787836	0.0467617024	-0.0075233646	0.0316616854	-0.0571455031	0.0037833647	-0.0998922355	0.0360039068	-0.1223816528	0.0362264204	-0.0492992822	0.0015705781	-0.0349501676	0.1420377451	-0.0487573179	0.0854069812	-0.0368192124	0.0480563304	-0.0160564788	0.0250395443	-0.0224312353	0.0566919098	-0.0396137901	-0.0768492128	0.0118460322	0.1072073142	-0.0115510856	-0.0146282791	0.0471894949	0.0047195945	0.0547441627	-0.0552609934	0.017176534	-0.0278651067	0.0372044398	-0.0322065514	0.0142874532	-0.0453797161	0.0620975369	-0.041268149	0.0419211976	-0.0453535352	0.0672134108	-0.0163499987	0.0423390297	-0.0523548651	0.0176121767	-0.0006639824	-0.0745895451	0.030376603	-0.036079655	0.0095655346	-0.0374738065	0.0192873671	-0.0307032864	0.0805292296	-0.0218216903	0.0509865478	-0.0560235236	0.0270999979	-0.057723561	0.0246452103	-0.0541566731	0.0620497077	-0.0017597599	0.0399578223	-0.0692333079	0.0558166477	-0.0049452871	-0.0147956108	0.0144933742	-0.0493200046	-0.0183978194	0.0299688799	-0.0475291444	-0.0052041024	-0.0015386824	0.0468798481	-0.0048984053	0.0623306552	-0.0005139102	0.0843757624	-0.0233718073	0.0811134723	-0.0130024978	0.016055896	-0.0300551526	0.0427277812	-0.0135887026	0.06186014	-0.0091700838	0.086376831	-0.0721536454	0.0046493557	-0.018117978	0.0218893106	-0.0110187716	0.0386000029	-0.0676926715	0.0640699692	-0.0477929697	0.0647360889	-0.0626128899	0.0848177494	-0.0392923199	0.0625056475	-0.012653441	0.0411749891	0.0193817471	-0.1059811318	-0.071292414	0.0272977354	0.0062558062	0.0789687627	-0.0786706032	0.0056556923	0.0351039992	-0.0373055285	-0.0182820171	0.0814198327	-0.0062032832	-0.0403398117	0.009151208	0.0524868676	-0.0950373215	0.1192117697	-0.0236008451	-0.0002645699	-0.0022364481	-0.0307856209	0.0300579308	-0.0120322261	-0.030855612	0.0765405624	0.0031006906	-0.0499275125	-0.0077811772	0.0303506021	0.0535401461	-0.0311517218	-0.0390390776	0.0644508804	0.0030687974	-0.0579052723	-0.0375165855	-0.0275760929	0.0531993552	-0.0444178462	-0.0098834023	-0.0614930528	0.0428690921	0.0142552264	0.0795175493	-0.0397097569	-0.0147839031	0.0114028892	0.0981702308	-0.0421826749	-0.0168951177	-0.0180267742	0.0129139798	-0.0551626329	0.101939163	-0.0807912513	-0.1001203776	0.0391260906	-0.0553828825	0.1268069732	-0.2039669007	0.0322544467	-0.0472661807	0.1209694642	-0.0192117359	0.0348615289	-0.0449042193	0.0447056145	-0.0205031759	0.082304774	-0.0031411301	0.0496398925	-0.0300808793	-0.0828006217	0.0615007488	-0.0799457592	0.0206825718	-0.0049452359	-0.0385663124	0.008795772	-0.0054184732	-0.017734087	0.0568390863	-0.048982689	0.0574478982	-0.0333288426	0.0073023193	-0.0955384307	0.1015799481	-0.0108753537	0.0018087252	-0.0990487975	0.0588611126	-0.100760843	0.0228134145	-0.0845401137	0.0587135581	-0.0016496917	0.0041118524	-0.1123846869	0.0764415895	-0.0248760438	0.0277120262	-0.02529002	0.0062421482	-0.0695456769	0.0494369629	-0.001597114	-0.0797238883	0.0314086494	-0.0476443518	0.0938725616	-0.0379570879	-0.00050934	0.0521782507	-0.0287184504	0.0512289699	0.0231136195	-0.1418178027	0.0389563442	0.0319338484	-0.0900502699	0.0539719381	0.0180808151	-0.0180073138	-0.0043012147	-0.0001523482	0.0361294802	-0.0158617523	-0.0339143501	0.0069755281	0.0594112887	-0.082215914	-0.0593510215	0.0359995842	-0.0044320973	-0.0241995017	0.0049627933	0.0375560453	0.0634851314	-0.0736145072	0.0423020537	0.0150728864	-0.0276178759	-0.0271242371	0.0136733589	0.0780740971	-0.0229358179	-0.0237117628	-0.018970476	-0.0417934305	0.0509545642	0.0275958355	-0.0727448639	-0.0656029397	0.0444657738	0.0075864589	0.030625942	-0.0445874631	0.0230751359	0.0033630865	0.004985454	0.0641803916	-0.0983230061	0.0380836906	0.0151139207	0.0104981141	0.0721681798	0.0721663684	0.0721633495	0.072159123	0.0721536891	0.0	-0.026184	0.0090920999999999	0.0006856018559999	8.266628240999998e-05	-0.0540985	-0.06365646	0.0040521448997316	0.00292664770225	0.0960235	0.0087191999999999	7.602444863999994e-05	0.00922051255225	0.000388778	-4.0651e-05	1.51148333284e-07	1.6525038010000002e-09	0.000268692	-0.000103224	1.0655194176000002e-08	7.2195390864e-08	0.000631336	-4.470199999999998e-05	1.998268803999998e-09	3.98585144896e-07	0.0	0.0
4441.991161300793	-8.938918992109393	19731285.47707436	79.904272747494	9199.800562825689	-118.84324027806724	84636330.39576785	14123.715759790424	4208.397385409004	-5.785337874764082	33.470134325179785	17710608.553517338	4494.807478841586	4993.603456977105	1.047475	61.255238	0.230144985	0.127976	-0.0896067238	0.0205271859	0.0594907963	0.0334449307	0.0097180972	0.0615961822	-0.0279668782	0.0049460597	-0.1045294539	0.0342757568	0.125394858	-0.1348942536	-0.079047905	0.0248532826	-0.0081357861	0.0596927413	-0.1075796847	0.0603495964	-0.0413062477	-0.0950285138	0.0275733741	0.0200378022	-0.075956633	0.0432592201	-0.0928320534	0.060305425	0.024662937	0.1749938152	-0.0872422835	-0.0715780616	0.0274236237	-0.0765059464	0.102833201	0.0295026317	0.0540009079	0.0176921562	-0.0195658477	-0.0388666252	-0.0105983438	0.0586849543	0.0375629701	-0.0071266676	0.0056525845	-0.036549793	-0.0357080866	-0.0523939901	-0.0681800115	-0.0562270607	-0.0470304814	-0.0357626421	-0.0549779496	0.0292875849	0.0438951249	-0.1156280319	-0.1533394977	0.0618764424	-0.0261949405	-0.0964315561	-0.021180668	-0.3270297609	0.015097766	-0.1818667626	0.0517856566	0.0406147625	-0.0251135512	0.0417925754	-0.0293168368	-0.092743711	-0.001947419	-0.0009090035	-0.019780083	-0.0291148819	-0.0663119338	0.0120714184	0.0236427517	0.0644193851	0.0168674817	0.1100752272	0.0852326023	-0.0741288603	0.1206688276	-0.0696723793	-0.0610470501	-0.0513306116	-0.0413496437	-0.0418770206	0.0475666661	0.0180519052	0.0772211423	0.0376413762	0.0097003148	0.0017471743	0.01425586	-0.0782449233	0.0501653634	0.033655618	0.0114702027	0.0915444708	0.0417446384	-0.0556498589	-0.0928605314	-0.0091500208	-0.0272588256	0.0677330238	-0.0766355467	0.1037973463	-0.0104055292	0.0882127585	-0.0699445016	0.0006157436	-0.0255953096	0.0419731062	-0.0655745604	0.0005453668	0.0160768166	0.1062131965	0.0087983802	-0.0135213791	0.0343318269	-0.0216338074	0.0235731499	0.0203343315	-0.0228267004	0.0015473784	-0.0267251661	-0.0122522911	-0.0177243377	-0.0483719869	0.007904433	-0.0102525584	-0.0587495008	0.0855476393	-0.0390918416	0.0232459292	0.0603485094	0.0369721787	0.0395624967	-0.0406848854	-0.0063163061	-0.0132954124	0.0526636029	0.0147021858	0.0168530977	0.0387188196	0.0500410965	0.0165585859	0.0249177855	0.0011486846	0.0588094523	0.0704687449	-0.0534388937	0.002170777	0.0211425016	0.1032096489	-0.002293056	0.0262639945	0.004840196	0.0047099257	-0.0946831647	-0.0122495766	-0.0979049948	-0.0757537191	0.0115831217	0.0119829679	-0.0697858368	0.0053443752	-0.0281435741	0.0094824674	0.0547142367	-0.0145526796	0.0044344063	0.099753392	0.0207460213	-0.0179457389	0.0065095142	-0.0527234016	0.0196966348	-0.0495858864	0.0054007411	-0.066181374	-0.0001580298	-0.051501976	-0.0096040583	-0.0100971015	-0.035590976	0.0190051301	0.0280663694	-0.0418163404	-0.0216507562	0.0105018348	0.0485503875	0.1000826729	-0.0705917346	0.0237821573	0.0367728938	0.0190063844	-0.010774479	-0.0631175695	-0.0363859378	0.0283066563	-0.0310308179	-0.0343809501	-0.0473875422	-0.0118901381	-0.0278231738	0.1064515754	0.0116176002	0.0281567016	-0.0137255837	-0.0074384088	-0.091185085	-0.0451286642	-0.022925046	-0.0185419179	-0.0993354006	0.0126321621	-0.0066476498	0.0579682233	0.0105480116	-0.0038328052	0.0190028355	0.031941712	-0.0195874012	0.0204500202	0.0022408258	0.0529029697	0.0095581569	0.0392477865	0.1201091646	-0.0259256149	0.0371265778	0.0058720283	-0.0114414392	0.1098527319	-0.0793655128	0.0323711392	-0.0050820552	0.0572969386	0.028303528	0.0356241897	-0.0332652193	0.0283418799	-0.0626789466	0.0695826289	-0.0517307682	0.0506463477	-0.0885997938	0.0132638294	0.0048256461	-0.0394207753	-0.0346600098	0.007900915	0.0020417574	0.0372908967	-0.0198488862	0.0147219716	0.0142061385	0.0323927365	-0.0204405848	-0.0316634901	-0.008969783	-0.0570180276	0.0018238212	-0.0431625375	-0.0737979864	-0.0674213146	0.0805977671	0.0104901456	-0.0301359795	-0.0616043226	0.0726965861	-0.0523650606	-0.0655681767	-0.0232506887	-0.0725902343	-0.0381384209	0.0651219938	0.0282818706	0.010352529	-0.0835898007	-0.0277693027	-0.0542445098	0.0011119247	-0.048445324	0.0249892972	-0.0143181315	-0.0545621721	0.0038418405	0.005231041	0.0577816948	0.0350668529	-0.0248836429	-0.1135179905	-0.0340827335	-0.0132470493	0.0293030711	0.0059128154	-0.0080604403	-0.0097613642	-0.0321574959	-0.0414951303	0.0318181944	0.0142792795	-0.0702013798	0.0388214075	0.0688497285	0.0282385329	0.0025513528	-0.0318706145	-0.0372465375	0.0406492491	0.0179711489	-0.0113037626	0.0647476448	0.026674157	0.096484549	0.0164476555	0.0411621164	-0.0229226829	-0.0206563276	-0.0173988765	0.0719194407	-0.1095342394	-0.0147491492	0.0272038736	0.0067489624	-0.114650344	-0.0179447032	0.0262330791	0.0688381631	-0.0077390026	-0.0719986871	-0.0319784889	-0.0493704303	-0.0214750452	0.0065601665	0.0087470092	-0.0738077665	-0.0068716106	-0.0131069353	-0.0304028184	0.0721633495	0.0721470478	0.072119881	0.0720818532	0.0720329701	0.0	-0.0356915	-0.0095075	0.00127388317225	9.039255625000004e-05	0.0787666	0.1328651	0.01765313479801	0.00620417727556	0.124781	0.0287575	0.00082699380625	0.015570297961	-0.000113354	-0.000502132	1.2849129316e-08	2.52136545424e-07	5.21593e-05	-0.0002165327	4.6886410169290015e-08	2.72059257649e-09	0.000169703	-0.000461633	2.1310502668900001e-07	2.8799108209e-08	0.0	0.0
