global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
3783.606333680476	n/a	14315676.888267012	n/a	8078.3584654257775	n/a	65259875.49591632	n/a	3630.382162978444	n/a	n/a	13179674.649272043	3901.3418461594624	6702.21102772105	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0336298	n/a	0.00113096344804	n/a	-0.0265244	n/a	n/a	0.00070354379536	0.48511	n/a	n/a	0.2353317120999999	-0.000866542	n/a	7.50895037764e-07	n/a	7.379809999999999e-23	n/a	n/a	5.4461595636099985e-45	-0.000680667	n/a	n/a	4.6330756488900003e-07	0.0	0.0
3775.467104110257	-8.139229570218959	14254151.85421869	66.2470579967267	8004.325727208195	-74.03273821758285	64069230.347247	5480.846327993152	3645.8157321352255	15.433569156781688	238.195056917163	13291972.35268471	3913.167963426061	6656.933030891071	1.01438	40.119114	0.0754347999999999	0.0413984	-0.0275438198	-0.027522443	-0.0502639517	0.0601335594	-0.019670451	0.0052940061	-0.0850762071	0.0055089067	-0.0334497159	0.1393176662	-0.110928344	0.128532561	-0.0569950946	0.0532332948	-0.1472723007	0.0054634802	-0.0758550489	0.1801678161	-0.019303223	0.2586610636	-0.0184877881	0.0344144931	-0.037847548	0.0631036731	-0.0052248454	0.0513546448	-0.0537415882	0.0680508117	-0.0820650685	0.1736366884	-0.0099348921	-0.0220736039	-0.0127962894	0.064052919	0.0102405158	-0.0118417186	0.0191187282	-0.0103499531	0.0446132466	-0.0176371724	0.0237712666	-0.0489664323	0.0335771259	-0.02297326	0.0429353891	-0.0296565819	0.0695640549	0.0106971922	0.0698895664	-0.0773295806	0.0045603397	-0.0038811154	0.0675546177	-0.0393903584	0.055559675	-0.0159652062	0.0050467575	-0.0239828229	0.0343808231	-0.0180992191	0.0013077623	-0.0861630502	0.0385447319	-0.0141026581	0.0655676398	-0.0252339354	0.0747657633	-0.0646847416	0.0533756197	-0.0747957378	0.0727786921	-0.0062686881	-0.0038825618	0.0331139911	-0.0182186806	-0.0167366658	0.1386876403	-0.0743876658	-0.0041203856	0.0473814137	0.0787622916	-0.021928686	0.0015958025	0.1189677813	-0.0128815247	-0.0069680388	0.0373950858	0.0052018746	0.0102452837	-0.0527931695	0.0478532991	0.019549023	0.0477893375	-0.0376643775	0.0023291942	0.0302149232	-0.0471189079	-0.0332520495	0.0164249886	0.0153472713	0.0035880425	0.0794109124	-0.0222607133	-0.0010430833	0.0070566731	0.0600835376	-0.0284148682	-0.0431197633	0.0403249468	0.00135143	0.0453456388	-0.001117054	-0.0037568423	-0.1401699369	0.0576149479	-0.065676489	-0.0189589562	0.0407166666	0.0196831414	-0.0328845676	0.0537034971	-0.0721989997	0.0634969615	-0.0147277801	0.0063311623	-0.0178996891	0.0074813133	-0.0025061093	0.071419169	-0.0570455105	0.0209556796	-0.0242505144	0.002485648	0.0760702139	-0.0126016044	-0.0032550669	0.0312189051	-0.0159936551	0.0223141158	-0.0575285696	0.0305189437	-0.1001604166	0.044140901	-0.015447465	0.0244181543	-0.0086652444	0.0091280844	-0.0281283216	0.0943820336	-0.0358059101	0.0579638522	-0.0388171037	0.02285045	-0.0148246064	0.1213410962	-0.0839033106	0.0670683429	-0.0569050733	0.0259420374	-0.0597307949	0.0874750518	0.085416258	-0.0067427827	-0.0017734323	-0.0183910701	0.021124905	-0.0127018363	-0.0171741473	0.1047360079	0.0885260853	-0.0227456569	0.096108877	-0.0385958069	-0.026972683	0.0056245965	0.0061526034	0.0064831665	0.0585767807	-0.0207614212	-0.0354472312	0.066010568	0.0083682754	-0.0511972326	0.0455854782	0.0006435218	-0.0607565775	-0.0189241005	-0.019237385	0.006137464	0.0471851469	-0.0584713522	-0.0096715052	-0.0171350428	0.022953641	0.0041784477	-0.0446020401	-0.0022975634	-0.0002938274	-0.0123503885	-0.0278250883	0.0531368125	0.1523848161	-0.125820105	0.0855906817	0.0855864312	0.0855793473	0.0855694302	0.0855566802	0.0	0.048528	0.0148982	0.002354966784	0.00022195636324	-0.039317	-0.0127925999999999	0.0001636506147599	0.001545826489	0.482572	-0.0025379999999999	6.441443999999922e-06	0.232875735184	-0.00142699	-0.000560448	2.0363004601e-06	3.14101960704e-07	0.000207989	0.000207989	4.3259424121e-08	4.3259424121e-08	-0.000544984	0.000135683	1.8409876489000013e-08	2.97007560256e-07	0.0	0.0
3774.731284538991	-0.7358195712658926	14248596.270477382	0.541430441457922	7989.637854370493	-14.687872837701434	63834313.04398994	215.7336084964876	3655.065700050033	9.249967914807256	85.56190642496372	13359505.271682236	3920.955515144324	6687.704318501684	0.992091	39.237583	0.14792462	0.0686097	-0.0400336725	0.0049165183	0.070471657	-0.073041503	0.0390848233	0.018928836	-0.0694401923	-0.0285009375	-0.0444166628	0.0091357902	-0.1584399061	0.0230089188	-0.0123916785	0.0756689472	-0.0246014922	-0.0408591085	-0.1275658391	0.0983084544	-0.0171390119	0.1300648432	-0.1266700165	-0.0211519418	-0.0585485241	0.0396960067	-0.0404055933	0.1456018843	-0.0086135724	0.0776859297	0.0771003407	0.0974355356	-0.2117864464	0.0743004172	-0.0653484659	0.0834058172	-0.0028469839	-0.0749746351	0.0022910565	-0.0097089672	0.0816765139	0.0361835266	0.0407092024	0.0104569389	-0.0531756917	-0.0397050203	0.0279326541	-0.0520251685	0.0185357473	-0.0407446386	0.0842449061	0.0564696697	0.0256396966	-0.0044296334	0.1047954111	0.0476132774	-0.0032286519	-0.0760751446	-0.0414933739	-0.0157967703	0.0779984446	-0.0534508168	-6.8994e-05	-0.0404718121	0.0219735095	0.0236193011	0.0804297371	0.0468798306	0.0361402323	-0.0591447564	-0.0385045944	-0.0228060411	0.0296640757	0.0236033745	-0.0235563675	0.0083710979	-0.0051802422	-0.0284815296	0.0156896587	-0.0178536944	0.0009580684	0.0333946914	-0.0645916916	0.0429155306	0.0678330928	-0.0327801182	0.0054911475	0.0598018947	-0.0542107094	0.0942544392	-0.0439497902	0.0237676592	-0.0737392877	-0.0022397947	-0.0025095818	-0.0586015789	-0.0177165625	-0.0689475263	0.0013066797	-0.000381079	-0.0935487418	0.0668038646	-0.0611090271	0.0354608087	0.0189128449	0.0693919838	-0.0092635668	-0.0479720827	-0.0395732383	0.0014455275	0.0307450758	-0.0097142479	0.0384164527	-0.0231619208	0.061431405	-0.0874156755	-0.062989622	0.0764297304	-0.1182392585	-0.0536720462	0.0869813422	-0.0215334951	0.0774882974	-0.0246324565	0.0266592465	0.0403881283	0.0612545635	0.0526434693	-0.0300390281	0.0646922554	0.0365100623	-0.0265800262	0.0694163747	-0.015095815	-0.0518103842	0.0269803914	0.0158036631	4.65182e-05	-0.0061897697	-0.1274277736	0.0410720106	-0.005961474	-0.0268777119	0.031600636	0.0001686021	-0.0100172752	0.0229648572	-0.0650622714	0.0658212207	-0.0305836889	0.0159339893	-0.0996272873	0.0469875304	0.0031563788	0.0975310307	-0.003656154	0.0633083558	-0.0316827338	0.0780168115	0.0094387229	-0.0392193645	0.0118779106	-0.0428339087	0.0753036522	-0.0312124822	0.0026302294	-0.0038693417	0.002208098	0.0291779886	0.0410794433	-0.0353925368	0.0726275167	-0.0288104913	-0.0275517662	0.0573017086	0.0441956718	0.0792604163	-0.1190312297	-0.0396532884	-0.0066269773	0.0962690915	-0.0706584811	-0.0284759338	0.0118985179	0.0457585119	0.0273704827	0.0365504462	-0.0525386931	0.0389470791	-0.0135107985	0.015746857	0.0477041055	-0.0105150845	-0.0355414747	0.0106952691	-0.0628224356	0.0113325711	-0.0265707354	0.0393607058	-0.0113632576	-0.0021147451	-0.1541170713	0.0329221112	0.0770214973	0.0358605993	0.0855793473	0.0855410976	0.0854773608	0.0853881558	0.0852735093	0.0	0.0271239	-0.0214041	0.00073570595121	0.00045813549681	-0.00905008	0.0302669199999999	0.0009160864462863	8.19039480064e-05	0.504745	0.022173	0.0004916419289999	0.254767515025	-0.00113722	0.0002897699999999	1.2932693284e-06	8.396665289999999e-08	-0.000783604	-0.000991593	9.83256677649e-07	6.140352288160001e-07	-0.000745233	-0.000200249	4.0099662001e-08	5.55372224289e-07	0.0	0.0
3756.72573309566	-18.005551443331115	14112988.233703123	324.1998827784432	7925.181503374229	-64.45635099626452	62808501.861425	4154.62118375365	3651.018710390261	-4.046989659771953	16.378125306301104	13329937.623619763	3914.2269499306367	6610.315029631452	1.024247	40.509365	0.09424972	0.0441209	-0.0014132955	0.0827182818	0.022011726	0.0238830278	0.0378938338	-0.0364848252	-0.0187966303	-0.022394815	-0.1190665153	0.0192863507	-0.0368093727	-0.0353901261	-0.0512583458	0.0348685353	-0.0808912749	0.0157309844	-0.1248852651	0.041523616	0.0186763158	0.0337424598	-0.0508242778	0.0053441224	-0.0346224257	-0.0008122914	-0.012317951	0.0340703388	0.0988372823	-0.0594070593	0.0736909765	0.0714054473	-0.0582688536	0.0392061259	-0.0286069528	0.0443922623	0.0030809641	-0.0337071162	0.0605882047	-0.0229876675	-0.1086909589	0.0674037198	-0.0706163344	-0.0309149663	0.041186222	-0.0834711343	-0.0485147278	0.0040429814	-0.0656776403	-0.0339890013	-0.128629832	0.115021851	0.0198323476	0.0373642167	-0.0016804805	0.0422990597	-0.050053438	-0.1038548387	0.0450727187	0.0246002731	-0.0617372413	-0.0131056417	0.0476157967	-0.0508349049	0.1166304231	0.0341308398	0.0783508643	-0.0269702706	0.0187765539	0.0104017107	-0.0086913081	0.0293555189	0.0709022009	-0.1128192968	0.010723997	0.0382780804	0.0626073453	-0.1574738399	0.0338930791	0.0394851341	-0.035840005	-0.041090972	-0.0107319495	-0.1498136516	-0.1058323746	-0.0236495596	-0.0052003445	0.0189469517	-0.1900382151	0.0206444962	-0.0841210914	0.0049440977	-0.0101216642	0.0570142816	-0.0532441523	0.0087092139	0.052867525	-0.0311625209	0.0801053683	0.0744880822	-0.0214966928	-0.0052933735	0.0473797225	-0.0043675189	-0.0565872617	-0.000989914	-0.0099215054	0.06661546	-0.0192945303	0.0310254646	-0.0459017284	-0.0108328524	0.0629451458	0.038411093	-0.0247098956	0.0930033139	-0.02336327	0.0139061278	0.0216302747	-0.0506468327	0.0470656989	-0.0065854148	-0.0485616675	-0.0459056036	0.0070272313	0.0481520809	-0.0020565487	-0.0502145214	-0.0741400606	-0.0898209463	-0.0221005239	0.0227177373	-0.0468410257	0.0295417531	-0.1149616508	-0.050349086	-0.0147572524	-0.0377734183	-0.0683205767	0.0927958879	0.0486976267	0.1475908801	-0.0060531649	0.0927794462	0.0571561046	0.0400230767	0.0430806854	0.0032570487	-0.0045613395	-0.0481689409	0.1160880168	-0.0577641642	0.0348551588	-0.0484453683	0.0430941235	0.0119824269	-0.0163007322	0.019581914	-0.0086458648	0.0532487888	0.1801232451	-0.0596949331	0.1070374615	-0.0026671241	-0.0178873003	0.0273588447	0.0815327525	-0.0227617185	0.0846440632	0.0420392927	0.0286180528	-0.084256694	0.1244998276	0.0233418894	0.0507617131	0.1486749594	0.0693124371	-0.05302253	-0.0886578654	-0.0382925949	0.0124961004	-0.0071102901	0.0609913811	-0.0526399199	0.0957402546	0.0288045952	-0.0571034627	-0.0107057545	0.0884726712	-0.0133904515	0.0273962107	-0.1134098973	-0.059573094	0.0329753934	0.0667016617	0.0227198195	0.0306802706	0.0315520849	-0.0482442566	-0.0308006285	-0.0107629439	-0.019113943	-0.0052561189	-0.0777817226	0.0080848376	0.0855566802	0.0854504545	0.0852735093	0.0850259911	0.0847081048	0.0	0.03416	0.0070361	0.0011669056	4.950670321000005e-05	-0.0174198	-0.0083697199999999	7.005221287839998e-05	0.00030344943204	0.527004	0.022259	0.000495463081	0.277733216016	-0.00132865	-0.00019143	1.7653108225e-06	3.664544490000001e-08	-0.000238343	0.000545261	2.97309558121e-07	5.680738564899999e-08	-0.00114024	-0.000395007	1.5603053004900005e-07	1.3001472576e-06	0.0	0.0
3759.5223183465177	2.796585250857788	14134008.062145576	7.820889065315318	7914.729792099469	-10.451711274759871	62642947.6819469	109.23826857094264	3648.856088792268	-2.162621597992711	4.676932176104547	13314150.756716408	3914.030981673481	6587.598661189123	1.072118	42.402657	0.09071739	0.0431579	0.0210239502	-0.066444715	-0.0480632079	0.0364922691	-0.0154252506	0.0261453752	0.0079244868	0.0333552807	0.015070035	0.0697769955	-0.0479412965	0.036160079	0.0082079285	-0.0391523922	-0.007822815	0.0570574588	0.0418178889	0.075673843	-0.0009734236	0.1673596134	-0.0236916718	0.101714575	-0.118543358	0.0669449707	-0.0797722738	0.1136551652	0.0347913544	-0.0704697702	0.0109003997	0.0023029511	0.0067848797	-0.0685449576	-0.0546841752	-0.0379464802	0.011779523	-0.0483028167	-0.0371499584	0.0264837907	-0.0365614445	-0.0875724919	-0.068329694	0.084120508	0.0517971218	-0.1139883056	-0.0288964481	0.0764519836	-0.0108947563	-0.0467898964	-0.0717427475	-0.1029850859	0.0440881199	-0.0636650111	0.0877900872	-0.0362974034	0.0970253096	0.0551659889	-0.0376853048	-0.0800166568	-0.0113848777	-0.0440720604	-0.0605973397	-0.0185650995	-0.083520118	-0.0345097578	0.023832585	-0.0880660314	-0.0241507019	-0.0736097056	-0.0672045709	0.0017978021	-0.0610182962	-0.006424898	0.0305466795	0.1011532883	-0.0145150153	0.0802159777	-0.0426925174	-0.1126973024	-0.0897755622	0.0517174478	-0.02504515	0.0063947052	-0.0332091677	0.0497192166	0.0502589731	0.0372738156	0.0394242947	-0.0001843405	0.0808279422	-0.044817342	0.0049391465	-0.036514432	-0.0389502654	0.0064563794	-0.0332443924	0.0386400349	-0.0145823215	0.0200280612	0.0161209009	0.0845521292	-0.0897355299	0.1149891416	-0.0406534627	0.0669652533	-0.1026253688	0.0567577886	-0.0868209176	-0.0467646846	-0.005635046	-0.0432524842	-0.1048778921	-0.0795247809	0.1267421989	0.0266745567	0.0170815164	0.0054696492	-0.0462118441	0.0655733128	0.0211252121	-0.044764626	0.0118718339	0.0015060798	0.0293462402	-0.0167738135	-0.0633091306	0.0305209841	-0.0788597806	0.0826291714	-0.0618004307	0.0207803736	-0.1611348983	-0.0509359509	-0.0424717112	0.0391662924	0.0426097387	-0.0944364488	0.1408091662	-0.0419411177	-0.0470525009	0.0017306391	0.0216094132	-0.0121447004	0.0648752557	-0.12371162	-0.0838916906	0.0341404346	0.0599205876	0.0017077867	-0.1038020257	0.0517643916	0.0164437141	0.0994332954	0.009418922	0.0788219439	-0.0020206206	-0.0282338868	0.0561778734	0.0618620204	-0.0572963684	-0.0598689659	0.0511832905	-0.0192823565	-0.0492605484	0.0486262188	-0.0322609356	-0.0041286366	-0.0514431785	-0.0285648359	-0.0512155549	0.0196105532	0.083378774	0.090484402	0.0261429723	-0.0595250967	-0.0373380669	-0.0084648109	0.0321468835	0.0831517733	-0.0165168774	-0.0357782042	-0.0571675167	0.0615017514	-0.0459922341	0.0972350647	0.0492977098	-0.0445785778	0.0960056919	-0.1364443549	-0.0149519214	0.0080957853	-0.0426559991	-0.0392276035	0.0390055996	-0.0330829928	-0.0690696593	-0.0554128569	0.0021308751	0.0044544935	0.0768451773	0.1247558894	0.0966914654	0.0499979332	0.0848175415	0.0855226832	0.0853145497	0.0849680357	0.0844837033	0.083862338	0.0	0.0404044	0.0062443999999999	0.00163251553936	3.899253135999997e-05	-0.0363748	-0.018955	0.000359292025	0.0013231260750399	0.499296	-0.027708	0.000767733264	0.249296495616	-0.00127347	5.517999999999994e-05	1.6217258409000002e-06	3.044832399999994e-09	-5.31372e-05	0.0001852058	3.430118835364e-08	2.8235620238399995e-09	-0.000624426	0.000515814	2.660640825960001e-07	3.8990782947600005e-07	0.0	0.0
3762.6916811636943	3.169362817176534	14157848.687498469	10.044860666901176	7909.51736254369	-5.212429555778726	62560464.90838009	27.16942187395561	3641.311267081701	-7.544821710567248	56.9243346442469	13259147.743776144	3907.457330151139	6602.824249183068	1.098	43.4263	0.1386237849999999	0.0708639	-0.0044059072	0.026392884	0.0532031243	-0.1047189811	0.039027365	0.0052719377	-0.0068051742	-0.0575164459	-0.0235091642	-0.019403013	-0.0960454993	-0.0520131125	0.0016126436	0.016796775	0.0562520561	0.0012922358	-0.0678186559	0.0308667866	-0.0596456929	-0.0383273653	-0.0515189246	-0.0939290699	-0.0955131152	-0.0238075213	0.0345632496	0.0306586866	0.0273138637	0.1119365589	0.0733628718	-0.0935955897	-0.0815590299	0.0785074143	0.0018714052	0.0343080441	-0.070263873	0.0128438844	-0.0038003947	0.0055424501	-0.1180850477	-0.1258912568	-0.0610404887	-0.0565039716	0.0623094601	0.0125705743	-0.1064837454	0.102871247	0.0469909608	0.0801891987	-0.1212707661	-0.0762790056	-0.0489170131	0.0295984858	0.064969099	0.1078703707	-0.1192415215	-0.0822609862	0.0794801689	0.002703542	-0.0391494136	0.04401134	-0.0204493464	-0.1084465542	-0.0754461175	-0.0240133019	0.019788466	0.0091761894	-0.0291415427	0.048740738	0.1549954069	-0.00923896	-0.0248046984	-0.0893295693	0.0518466765	0.0396527653	0.001716446	-0.0290562091	-0.0352148429	-0.0117486621	-0.015054557	0.0457178515	-0.0052615311	0.0676146153	0.1012887546	-0.0476580308	-0.0565577104	-0.0621284858	-0.1045104732	-0.0167230871	0.0168714596	0.0506477028	-0.0548107116	0.1249026389	-0.1168808435	-0.0265047122	-0.049753435	-0.0945819174	-0.0145717009	-0.0891355342	0.0786593648	0.0137874768	0.0083272329	-0.0666764197	-0.0439942242	0.0746648729	0.0844849437	-0.0604944451	-0.0236905685	-0.0152816759	0.0968763951	-0.0009439757	-0.0364889891	-0.0776574704	-0.0058770467	0.0005725912	-0.049900068	0.0844471813	-0.0580514969	-0.0799654619	0.0616988891	0.0087133391	0.0186617734	-0.0272886103	-0.0110512417	-0.067360068	-0.0214805765	-0.0018406045	0.0257393784	-0.0309688047	0.0150706866	0.0720650563	-0.1439275239	0.0118992373	0.0813891928	0.0980666138	-0.0129269398	-0.1625250626	0.0736232479	0.1046125054	0.0890650495	0.0961765052	0.1145321637	0.1139766918	-0.0043526314	-0.0103202979	0.0584954593	0.0114949491	-0.0762997609	0.0891844507	0.06792502	0.0327041838	0.1033427705	-0.0349908577	-0.0462045556	0.0400452614	0.071592194	-0.0836135194	-0.0227574205	-0.0556123117	-0.0942038236	-0.0435962697	0.0966030559	-0.1300152648	-0.0438880363	-0.0655052453	0.020568872	-0.0170614158	0.0350815949	0.0724396351	-0.0306898295	-0.0096725596	-0.0579281892	-0.0371499691	0.096559035	0.0688877758	0.0194472621	0.0241444575	0.0038321385	-0.1140301009	0.0516506535	-0.0324262804	-0.0414069077	0.0245598951	0.1102837464	-0.005120726	-0.051936756	0.0030472742	-0.0832519531	0.0774332045	-0.1197841624	0.0369693959	0.0863342738	0.01285205	0.1301913995	0.0564624868	-0.016749082	-0.0516725954	-0.0145797995	0.0134932988	-0.1106899556	-0.0313019501	0.0052572143	-0.0512217754	0.121286471	0.0854773608	0.0851334554	0.0845613042	0.0837624412	0.0827390082	0.0	0.015666	-0.0247384	0.000245423556	0.00061198843456	0.00693906	0.0433138599999999	0.0018760904680995	4.81505536836e-05	0.54941	0.0501139999999999	0.0025114129959999	0.3018513480999999	-0.0014109	-0.00013743	1.9906388100000004e-06	1.888700490000001e-08	5.08663e-05	0.0001040035	1.0816728012249998e-08	2.5873804756899997e-09	-0.000792143	-0.000167717	2.8128992089000022e-08	6.274905324490001e-07	0.0	0.0
