TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,3,2.550000e+00,1.0,0.0,2.6000198e-06,58.393105,62.393112,62.582508,7.0,63.526237,0.943732,63.626713,4.006268,67.63476,7.0,67.63492,68.64254,6.0600348,68.642746,71.644066,--
2,2,4,2,1,1,2.550000e+00,1.0,1.0,--,--,--,71.828995,2.0,72.761154,0.9321613,72.86152,4.0178385,76.87996,4.0,76.88008,77.88562,6.056627,77.88577,78.887184,--
3,3,5,2,2,3,1.700000e+00,1.0,2.0,--,--,--,79.07134,2.0,79.69602,0.6246801,79.79643,3.4753199,83.273315,5.0,83.27344,84.28061,5.20927,84.28076,87.28196,--
4,4,6,2,3,1,2.550000e+00,1.0,3.0,--,--,--,87.467224,2.0,88.193214,0.7259904,88.293564,4.2240095,92.52025,6.0,92.52036,93.52737,6.0601435,93.52751,94.52982,--
5,5,2,1,2,3,8.500000e-01,1.0,4.0,--,--,--,94.53613,2.0,95.15947,0.6233361,95.2598,2.626664,97.888245,5.0,97.88837,98.89325,4.357118,98.8934,101.8952,--
6,6,4,2,1,2,8.500000e-01,1.0,5.0,--,--,--,102.08319,2.0,102.70955,0.6263569,102.80995,2.6236432,105.43607,1.0,105.436195,106.441666,4.3584743,106.44182,108.444855,--
7,7,1,1,1,4,2.550000e+00,1.0,6.0,--,--,--,108.44787,2.0,108.97686,0.5289972,109.07724,4.421003,113.50083,4.0,113.50095,114.50424,6.056379,114.5044,118.50728,--
8,8,3,1,3,4,8.500000e-01,1.0,7.0,--,--,--,118.508965,2.0,119.04346,0.5344956,119.143845,2.7155044,121.861,9.0,121.86112,122.86736,4.358397,122.867516,126.86868,--
9,9,1,1,1,4,8.500000e-01,1.0,8.0,--,--,--,126.87034,7.0,127.71024,0.8398998,127.81064,2.4101002,130.22377,6.0,130.22389,131.22838,4.3580422,131.22855,135.23187,--
10,10,5,2,2,2,2.550000e+00,1.0,9.0,--,--,--,135.41711,2.0,136.04288,0.6257634,136.14326,4.3242364,140.46928,5.0,140.4694,141.47401,6.056899,141.47417,143.47554,--
