global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	non_steady_state_outlier01	non_steady_state_outlier02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
5836.267834012635	n/a	n/a	34062022.230330534	12931.84565814734	n/a	167232632.1261442	n/a	5108.771338814714	n/a	n/a	26099544.59229469	6028.916599258157	8659.041468436635	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.01237	n/a	n/a	0.0001530169	0.188801	n/a	0.0356458176009999	n/a	0.173939	n/a	n/a	0.030254775721	-0.00499696	n/a	n/a	2.49696092416e-05	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5837.189525615766	0.9216916031309664	0.8495154112821311	34072781.55795841	12849.532432255664	-82.31322589167576	165110483.72759017	6775.467156694041	5117.512948311745	8.741609497031277	76.41573659858742	26188938.776138373	6036.029048054164	8601.854754297747	1.337178	51.770809	0.33336215	0.203769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0113416	0.0010284	1.057606560000001e-06	0.00012863189056	0.0587159	-0.1300851	0.00344755691281	0.01692213324201	0.0283578	-0.1455812	0.02119388579344	0.0008041648208399	-0.00441159	0.00058537	3.426580369e-07	1.94621263281e-05	0.000355263	0.000355263	1.26211799169e-07	1.26211799169e-07	-0.000192716	-0.000192716	3.7139456656e-08	3.7139456656e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5788.292327166307	-48.89719844945921	2390.936016205796	33504328.06473234	12620.13105727901	-229.40137497665452	159267707.90289822	52624.99084117967	5104.935150805738	-12.5777975060073	158.20099010212346	26060362.893932004	6009.618756351237	8528.014077043534	1.180069	45.688126	0.06473295	0.0289893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-5.06e-05	0.011291	0.000127486681	2.5603599999999996e-09	0.0553745	-0.0033414	0.00306633525025	1.1164953960000007e-05	0.0420644	0.0137066	0.00018787088356	0.00176941374736	-0.00423169	0.0001799	3.2364010000000074e-08	1.79072002561e-05	-0.0	-0.000355263	1.26211799169e-07	0.0	0.0	0.000192716	3.7139456656e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5753.45597234052	-34.83635482578666	1213.571617548109	33102255.6256608	12463.081302534076	-157.04975474493403	155328395.55357447	24664.62546544393	5092.686646219012	-12.248504586726083	150.02586461104994	25935457.276577447	5981.111680030386	8350.11099921652	1.146187	44.376305	0.21418863	0.114599	-0.0120452158	-0.0821898699	-0.0248558013	-0.0381673279	-0.0249060529	-0.1281482132	0.003846635	-0.1364164259	0.0021452824	-0.0961084719	0.0058569801	-0.0794161631	0.0412513653	-0.0156316746	0.0310250195	-0.0421911861	0.0540602227	0.0026913016	-0.0177714844	0.0883315678	-0.3591148067	0.0630797689	-0.1185941048	0.2110631239	-0.121872231	0.0988308356	-0.0528980042	0.0999550234	-0.0760868256	0.0222595057	-0.0088700706	0.0284359652	-0.0227547745	0.0192835232	-0.0518379532	0.0157578152	-0.0293186698	-0.0651378066	0.0209028297	-0.007835355	0.0243322849	-0.0327643287	0.041081384	-0.0054172627	0.0547651843	-0.0196257011	0.0116409024	-0.0350424567	0.0477088726	-0.0750111262	0.0251318985	-0.075583774	0.0071669197	0.0021986819	-0.0357386461	0.0738071381	0.0204493759	-0.0603219862	-0.0094346739	0.0614359053	9.58815e-05	-0.0209519739	0.0302160007	-0.0044737523	0.0284637043	-0.1015210458	0.0430766571	-0.0044838783	0.0132572993	-0.0141438575	0.0503619933	-0.0229971692	0.0369867999	-0.1250903297	0.0758755213	-0.0979338761	0.1017923396	-0.0229850672	0.006975138	-0.0068462438	0.0253343797	-0.0252631777	0.0456559306	-0.030013671	0.0191847943	-0.0081877124	0.0752943686	-0.0949774141	0.0506270383	-0.021599754	-0.0122514676	0.0281641149	-0.0414192201	0.020733681	0.0208862932	-0.0486378674	-0.0211522859	0.04880533	0.052223715	-0.0766980033	0.0188026145	-0.0095762394	-0.024975852	0.0272924542	-0.0159385971	-0.0197466167	0.0314203088	0.0089008637	0.0393950304	-0.0528337956	0.0784553677	0.0174091004	-0.0056634244	-0.1558428994	0.0496428095	0.0484493645	-0.1508324436	0.0633545463	0.0080355426	-0.0400842744	-0.0220929609	-0.0166083422	0.0802518839	-0.0099411515	-0.0068334213	-0.0916102059	0.0079878723	0.0350891608	-0.0491040553	-0.0268262663	0.0398467693	0.0595341383	-0.0322078206	-0.0006723367	0.0073321555	0.0269887979	-0.0613646613	0.0567811503	-0.1314156499	0.0902725482	-0.0677539071	0.0019458619	-0.0262678362	0.0670560729	0.0873170489	-0.0681926046	0.0476455578	-0.0468649993	0.0080468188	-0.0691991468	0.0439528413	-0.0023758093	0.0946359531	-0.0074810124	0.0579140856	-0.0458114257	0.071477645	-0.0507783563	0.0342095731	0.0315587253	-0.0638799592	0.012545086	0.0164984627	0.0704016862	-0.0287607526	-0.0518819597	0.0257078021	-0.0087268372	0.0586112196	-0.0372821658	0.0294375443	-0.0833731414	0.0631171247	-0.0885740715	0.0125383094	-0.0445598511	0.0027605205	-0.1180882476	0.0676590054	-0.064031919	0.0379517671	-0.0450661941	0.1137422563	-0.0026050622	0.0042545172	-0.0760826545	0.0606237381	-0.1168968659	0.0366477558	-0.0148848669	0.0081285717	-0.0159623802	0.0653915892	-0.046546262	0.0184076972	0.0488142416	-0.04866845	0.0474094215	0.0141171996	-0.0867733016	0.0975734003	-0.0054245424	-0.0106197369	0.0291253423	0.0861975042	-0.0377802098	-0.0172589627	0.1110169892	-0.0434267015	-0.0254200943	0.0884209002	-0.0419956589	-0.0279670542	0.0008957874	0.0673528314	-0.0855131111	-0.003821277	-0.0039491465	0.0579874016	-0.0547665397	-0.0388063578	0.092327401	0.025414535	-0.0570873325	-0.0290651487	0.040254715	0.0027856715	0.0162078168	-0.0621734144	0.0800816356	0.0497215797	0.029901424	-0.011817608	-0.0682793522	0.0723568488	0.0723550136	0.0723519549	0.0723476729	0.0723421676	0.0	0.0	0.0	-0.00370388	-0.00365328	1.33464547584e-05	1.37187270544e-05	0.149248	0.0938735	0.022274965504	0.00881223400225	0.0892426	0.0471782	0.00222578255524	0.00796424165476	-0.00321741	0.0010142799999999	1.0287639183999996e-06	1.03517271081e-05	0.000375393	0.000375393	1.40919904449e-07	1.40919904449e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5732.3975027733695	-21.058469567150496	443.4591405106036	32860381.129802365	12401.213552761714	-61.867749772362	153790097.5812008	3827.618461895599	5067.457444554451	-25.229201664560605	636.5126166310677	25679124.95237033	5956.238145350163	8321.547566810043	1.125729	43.584259	0.26275825	0.190604	-0.0034759321	0.0414283427	0.0206807771	0.0503471516	-0.0121333418	-0.0842814802	-0.0388838649	-0.0420887636	0.00875928	-0.0931557778	0.0771301352	0.005691026	-0.0585718314	-0.0550722416	-0.0618207493	-0.0615772609	-0.0178742566	0.1160536912	0.007388489	-0.1074909153	-0.1898036371	0.056347808	-0.1073878397	0.0735576931	0.0042166644	-0.0518184381	0.0163836698	0.1172217804	-0.056090812	0.0885852126	0.0280276191	-0.0573581656	-0.0522980854	0.1197972618	0.0317328385	0.0194034495	0.0210836328	-0.050734434	-0.0228350475	0.0370072589	0.0240256089	0.1092107614	-0.0747406074	0.0275802772	0.0778196893	-0.0195624243	-0.0222512547	-0.0124877946	-0.0702616299	-0.0617686855	-0.0511030963	-0.0723210395	0.0233615592	-0.1117332437	0.0059273316	0.085717997	-0.0520335094	0.0087556186	0.1374742134	0.0478476824	-0.0588395866	0.0485558343	-0.0074002065	-0.060628018	0.0601741128	-0.0021987553	0.0273903656	0.0421285566	0.0213172914	0.0274924145	-0.0363247369	0.0307262554	-0.0092851882	-0.02248001	0.0732540133	-0.0413443986	-0.0261297548	0.0560559425	0.002361196	-0.1295278923	-0.0288790023	-0.0480554641	0.0823961985	0.030601278	-0.0737314835	0.003219723	0.1181128132	0.0757593962	-0.0397783849	0.0227304185	-0.0640144432	-0.0297471155	0.0463580203	-0.0076584083	-0.0292402966	-0.0514521818	0.0143294196	0.0343382407	0.0728420327	-0.0076905214	-0.0172210755	-0.0725471417	-0.0006762901	-0.0071040869	-0.0195396473	0.0467447989	0.1418776852	-0.0072518023	-0.0932100605	0.0912207311	-0.0686021015	0.0588926653	0.0094258747	-0.0853951326	0.0051804427	-0.0281262675	0.0548630377	-0.0106981726	-0.0235488174	-0.0758359333	0.0136959966	-0.0844587431	0.0881435643	0.0350021699	0.0623320149	-0.0093699826	0.008903673	0.0950131482	0.0074560066	-0.0107168316	-0.0236725672	-0.0425452459	-0.0477073224	0.0114056657	-0.0130921999	-0.0464680327	-0.004316322	0.0196875621	-0.0129092351	0.0939193093	-0.0733211262	0.106214838	-0.0640691836	0.0026548309	0.1803499059	-0.059655364	0.0100810605	-0.0081419153	0.0615708307	-0.0137923674	0.0638923586	0.0602171948	-0.0137250491	-0.0836325466	0.0888427419	-0.0240439858	0.0149995616	-0.140036382	-0.0245237959	-0.007879756	-0.0777297075	0.0866094503	0.048284667	-0.0513576196	-0.0852593705	0.0513911774	-0.0942762328	0.0163665371	0.0340913393	-0.0295519784	0.0275250911	0.0120308606	0.05496493	0.0230143863	0.0973936978	0.0231338842	0.0435272475	0.0301950648	0.0603624061	0.0276366992	0.0469195866	-0.0008746648	0.0148613299	-0.0309586381	0.0554087624	-0.0384006682	-0.0322168246	-0.019170693	-0.0066583425	-0.0713973018	0.0061644662	-0.0619241886	-0.0298640226	-0.1758287117	-0.0618769632	0.0764432695	-0.0535425883	-0.0157125043	-0.0350755156	0.0392886251	0.0056619841	-0.1039596525	-0.0482713348	-0.0520561694	-0.0360577338	-0.0272517323	0.0047407323	0.0131267367	0.029595595	-0.0327137504	-0.1034438013	-0.080054889	-0.1022059253	-0.0115068205	-0.0221411403	-0.0805223311	-0.0513331965	0.0616034732	-0.0168691264	-0.0178287356	0.0011029724	-0.0241489967	-0.0494016278	0.0242268658	0.0021058312	-0.0338103059	-0.0213086714	-0.0015106822	-0.1265454692	-0.0250444989	0.0926863651	0.0063387314	-0.0125496576	0.0114984692	0.0723519549	0.072335439	0.0723079153	0.0722693879	0.0722198628	0.0	0.0	0.0	-0.00531453	-0.0016106499999999	2.594193422499998e-06	2.82442291209e-05	0.333882	0.184634	0.111477189924	0.034089713956	0.111348	0.0221053999999999	0.0004886487091599	0.012398377104	-0.00392177	-0.0007043599999999	4.961230095999997e-07	1.53802799329e-05	0.000275919	-9.9474e-05	9.895076676e-09	7.613129456100002e-08	-0.00028433	-0.00028433	8.08435489e-08	8.08435489e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5726.933874649363	-5.463628124006391	29.8512322774336	32797771.604606368	12388.76640942446	-12.447143337254602	153481533.1472838	154.93137725816163	5076.961344809423	9.503900254971995	90.32412005645676	25775536.496689107	5961.880706090059	8301.951695047908	1.061152	41.084076	0.0711565749999999	0.0434652	-0.0093794541	0.0782469579	-0.0920277809	-0.0132481191	-0.0105664447	-0.1074454828	-0.0956885439	-0.0529910588	0.0380094655	-0.0502551449	-0.0102163151	-0.0282526959	-0.0263135776	-0.0204702651	0.0215946871	-0.0078208712	0.0975016233	0.1170238739	0.017431728	-0.0011677879	-0.1330632148	0.0478131643	-0.0517367878	-0.031609292	0.0055523127	0.0340444629	0.0403559031	0.1013677872	-0.0948205934	0.0181756394	0.0098764708	-0.0883258803	-0.0185243727	-0.0310312951	0.045153716	-0.010898683	0.0385125781	0.0015160876	-0.0456976359	0.039182678	0.0551583552	0.0091454661	-0.0427850192	0.0320333719	-0.0262103227	0.0691921414	-0.0477552314	0.039082675	-0.0091969894	-0.0208730375	-0.1219363	-0.0455713429	0.0201287182	0.0209599444	-0.0573736518	0.0330680886	-0.0372983498	0.0401032224	0.0788021473	0.0159029995	0.0447913221	0.0626155375	-0.0969161892	-0.0017273331	-0.0632101283	-0.0328419211	0.0287314743	-0.0212285491	0.0659595692	-0.0458957529	0.0231676486	0.0529068154	0.0023780346	0.0200931072	-0.0941094134	0.0924353985	-0.1551946182	0.015409223	0.0208072026	0.0147066053	-0.1166948388	0.0711538379	0.0382882602	-0.0125564537	0.0097181012	-0.0143512448	-0.0773832791	-0.0211534981	-0.0312755682	0.0004018278	0.0102690561	0.0282603224	0.0351188746	0.0136652709	0.0404419649	-0.0184540216	0.0348208056	-0.0500226836	0.0170907971	-0.0554742088	0.0320370966	0.0234446196	0.043684903	0.0113810571	0.0709708437	-0.0150158096	-0.0237241978	0.0336075627	0.0296360737	0.0298574701	0.0107121463	-0.0445590255	-0.048798027	-0.1312599912	-0.0638241449	-0.0217476715	-0.003798979	0.0454574098	-0.0942469735	0.0426801044	0.0068955502	-0.0016606926	-0.003199982	-0.0045643303	-0.0261199902	-0.0204377556	-0.0085444198	-0.1093578856	0.0140647722	-0.0368333642	-0.0816631993	0.0244043066	0.0274760261	-0.0034833314	-0.0392636747	-0.0702380612	-0.0061872886	0.0438784472	-0.0232016268	0.0411940629	0.0467283064	0.0348688733	-0.1085348831	0.0691544471	0.0230372264	-0.0575519021	-0.042406591	-0.0342668269	0.0226714624	0.0546014018	-0.0024571175	0.0409282612	-0.0732798007	-0.0233796143	-0.010923871	-0.0635449548	-0.0227593185	-0.0397489796	-0.0372732691	0.0690123146	0.0094580606	-0.0548526909	0.0700970392	-0.0430784014	-0.1135878253	0.0110299897	0.0366027468	0.004826434	-0.0025579995	0.0115239185	-0.0394857293	-0.0208919316	-0.0471180638	0.1027796789	-0.0099431546	-0.078671953	0.0827741593	0.0605992803	0.009538572	0.0063330506	0.0526083152	-0.1263194885	-0.035569628	-0.057088447	-0.0538167952	0.0070726433	-0.0986569921	0.043031918	0.0051813261	0.1008867607	0.0349711044	-0.0507934994	-0.0558031391	-0.0021792753	-0.00101855	-0.013751042	0.0092719669	0.0446388673	-0.0135190369	-0.0335777911	0.0100618983	-0.0095438784	0.0111882709	0.0513943484	-0.0106931928	-0.1211426423	0.0188554218	-0.0118469362	0.0167074248	0.0132747026	0.0397774194	-0.0281302049	0.0526591622	0.034227829	0.0211674882	0.0155605909	-0.1118172825	-0.0145484035	0.0148711886	-0.0233130762	-0.0426126114	-0.0185779654	0.0265077768	0.0287019313	-0.0120816939	-0.0348061925	0.0555300996	0.005983263	-0.0196950901	-0.0315312955	0.0043134239	-0.1127022217	-0.1060515596	0.0037487408	0.0723421676	0.0722962952	0.0722198628	0.0721129027	0.0719754601	0.0	0.0	0.0	-0.00250533	0.0028091999999999	7.891604639999997e-06	6.2766784089000005e-06	0.342923	0.0090409999999999	0.1175961839289999	8.173968099999938e-05	0.0742757	-0.0370723	0.00137435542729	0.00551687961049	-0.00374669	0.0001750799999999	3.0653006399999926e-08	1.40376859561e-05	0.000260408	-1.5511000000000008e-05	2.4059112100000017e-10	6.7812326464e-08	-3.02395e-05	0.0002540905	6.456198219025e-08	9.144273602499999e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
