TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,5,2,2,3,1.700000e+00,1.0,0.0,2.4000183e-06,58.313778,62.313023,62.509007,7.0,63.04533,0.5363232,63.145756,3.5636768,66.710785,5.0,66.71094,67.71885,5.20984,67.71904,70.72098,--
2,2,6,2,3,1,2.550000e+00,1.0,1.0,--,--,--,70.913315,7.0,71.44526,0.5319436,71.545616,4.4180565,75.966194,4.0,75.96632,76.9733,6.0599875,76.97345,77.97546,--
3,3,6,2,3,1,1.700000e+00,1.0,2.0,--,--,--,78.16656,7.0,78.99612,0.8295573,79.0965,3.2704427,82.36936,3.0,82.369484,83.37447,5.207917,83.374626,84.3763,--
4,4,1,1,1,3,2.550000e+00,1.0,3.0,--,--,--,84.38319,7.0,85.01116,0.6279779,85.11164,4.322022,89.43703,6.0,89.43715,90.442825,6.059639,90.44298,93.44504,--
5,5,4,2,1,4,1.700000e+00,1.0,4.0,--,--,--,93.63788,2.0,94.16147,0.5235886,94.26182,3.5764115,97.8405,2.0,97.840614,98.84508,5.2072034,98.84522,102.84645,--
6,6,3,1,3,2,2.550000e+00,1.0,5.0,--,--,--,102.84928,2.0,103.37852,0.5292296,103.47888,4.42077,107.90062,9.0,107.90074,108.90588,6.056596,108.90603,110.90724,--
7,7,4,2,1,1,8.500000e-01,1.0,6.0,--,--,--,111.09718,2.0,111.62831,0.5311317,111.72868,2.7188683,114.44942,4.0,114.44953,115.45402,4.3568335,115.45417,116.45533,--
8,8,1,1,1,3,2.550000e+00,1.0,7.0,--,--,--,116.45817,7.0,117.080475,0.6223066,117.180855,4.3276935,121.50958,6.0,121.509705,122.51413,6.055963,122.51428,125.51598,--
9,9,4,2,1,2,8.500000e-01,1.0,8.0,--,--,--,125.70646,2.0,126.22822,0.5217554,126.32861,2.7282445,129.05998,2.0,129.0601,130.06358,4.357118,130.06374,132.06598,--
10,10,6,2,3,1,8.500000e-01,1.0,9.0,--,--,--,132.25925,7.0,132.89471,0.6354761,132.9951,2.614524,135.61209,2.0,135.61221,136.6167,4.357464,136.61687,137.61906,--
11,11,5,2,2,4,8.500000e-01,1.0,10.0,--,--,--,137.8075,2.0,138.54507,0.7375895,138.64543,2.5124104,141.16037,5.0,141.1605,142.16661,4.359114,142.16676,146.16794,--
12,12,4,2,1,3,8.500000e-01,1.0,11.0,--,--,--,146.35765,2.0,146.99466,0.6370015,147.09502,2.6129985,149.70897,4.0,149.70909,150.71362,4.3559656,150.71378,153.71526,--
13,13,2,1,2,1,1.700000e+00,1.0,12.0,--,--,--,153.71808,2.0,154.1449,0.4268143,154.24525,3.6731856,157.92114,5.0,157.92126,158.92674,5.2086544,158.9269,159.92831,--
14,14,6,2,3,2,1.700000e+00,1.0,13.0,--,--,--,160.11885,2.0,160.74435,0.6255075,160.84471,3.4744925,164.32199,6.0,164.32211,165.32713,5.208293,165.32729,167.3295,--
15,15,3,1,3,3,8.500000e-01,1.0,14.0,--,--,--,167.3324,2.0,167.86171,0.5293244,167.96211,2.7206757,170.68512,9.0,170.68524,171.68861,4.356225,171.68877,174.69008,--
16,16,1,1,1,2,2.550000e+00,1.0,15.0,--,--,--,174.6918,7.0,175.21294,0.5211223,175.31328,4.428878,179.74387,7.0,179.74399,180.75856,6.066757,180.75873,182.75996,--
17,17,3,1,3,1,8.500000e-01,1.0,16.0,--,--,--,182.76161,2.0,183.29489,0.5332805,183.39526,2.7167194,186.11464,6.0,186.11476,187.11919,4.3575673,187.11934,188.12077,--
18,18,3,1,3,3,2.550000e+00,1.0,17.0,--,--,--,188.12245,2.0,188.86156,0.7391056,188.96193,4.2108946,193.17538,9.0,193.1755,194.17943,6.0569773,194.17958,197.181,--
19,19,3,1,3,4,1.700000e+00,1.0,18.0,--,--,--,197.18271,7.0,197.8111,0.6283908,197.91147,3.471609,201.38489,2.0,201.38501,202.38847,5.2057724,202.38863,206.3899,--
20,20,2,1,2,3,2.550000e+00,1.0,19.0,--,--,--,206.39159,2.0,207.01352,0.621927,207.11389,4.328073,211.44354,5.0,211.44366,212.44806,6.0564795,212.44821,215.45009,--
21,21,5,2,2,1,2.550000e+00,1.0,20.0,--,--,--,215.64505,7.0,216.27783,0.6327912,216.37822,4.317209,220.69798,5.0,220.6981,221.70184,6.056801,221.702,222.70409,--
22,22,1,1,1,3,2.550000e+00,1.0,21.0,--,--,--,222.70688,2.0,223.32962,0.6227288,223.42998,4.327271,227.7589,4.0,227.75902,228.77199,6.0650992,228.77213,231.77388,--
23,23,1,1,1,1,1.700000e+00,1.0,22.0,--,--,--,231.77553,7.0,232.51149,0.7359732,232.61186,3.3640268,235.97897,7.0,235.9791,236.98386,5.208325,236.98401,237.98582,--
24,24,3,1,3,2,2.550000e+00,1.0,23.0,--,--,--,237.98753,2.0,238.51161,0.5240855,238.61198,4.4259143,243.04065,7.0,243.04077,244.04517,6.057638,244.04532,246.04816,--
25,25,1,1,1,1,1.700000e+00,1.0,24.0,--,--,--,246.04991,7.0,246.47798,0.4280765,246.57834,3.6719234,250.2521,9.0,250.25224,251.25696,5.2070413,251.25711,252.2589,--
26,26,4,2,1,2,8.500000e-01,1.0,25.0,--,--,--,252.45032,2.0,253.07758,0.627244,253.17795,2.622756,255.80287,3.0,255.803,256.80646,4.356139,256.8066,258.80807,--
27,27,1,1,1,4,8.500000e-01,1.0,26.0,--,--,--,258.81094,2.0,259.22803,0.4170841,259.32837,2.8329158,262.16333,2.0,262.16345,263.1681,4.357144,263.16824,267.1702,--
28,28,6,2,3,1,8.500000e-01,1.0,27.0,--,--,--,267.3626,7.0,267.8948,0.5322049,267.99518,2.7177951,270.71573,1.0,270.71588,271.7215,4.35888,271.72165,272.72296,--
29,29,4,2,1,2,2.550000e+00,1.0,28.0,--,--,--,272.91254,2.0,273.5443,0.6317503,273.64465,4.3182497,277.96494,3.0,277.96506,278.97028,6.057741,278.97043,280.97275,--
30,30,6,2,3,1,8.500000e-01,1.0,29.0,--,--,--,281.16803,2.0,281.69443,0.526419,281.7948,2.723581,284.51996,9.0,284.52008,285.52487,4.356867,285.52502,286.52634,--
31,31,4,2,1,3,8.500000e-01,1.0,30.0,--,--,--,286.717,7.0,287.54636,0.8293401,287.6467,2.42066,290.06943,6.0,290.06955,291.07477,4.357741,291.07492,294.0766,--
32,32,1,1,1,4,1.700000e+00,1.0,31.0,--,--,--,294.07947,2.0,294.81107,0.7315778,294.9114,3.3684223,298.28152,1.0,298.28165,299.28598,5.206515,299.28613,303.28754,--
33,33,4,2,1,3,2.550000e+00,1.0,32.0,--,--,--,303.47604,2.0,303.99658,0.5205374,304.09692,4.4294624,308.52774,1.0,308.52786,309.53326,6.0572233,309.53342,312.53485,--
34,34,2,1,2,2,8.500000e-01,1.0,33.0,--,--,--,312.53772,2.0,313.17755,0.6398384,313.27792,2.6101615,315.8898,5.0,315.8899,316.895,4.3572683,316.89514,318.89734,--
35,35,6,2,3,4,1.700000e+00,1.0,34.0,--,--,--,319.09042,2.0,319.61127,0.5208376,319.7116,3.5791624,323.29272,7.0,323.29285,324.2975,5.207057,324.2976,328.29886,--
36,36,1,1,1,2,1.700000e+00,1.0,35.0,--,--,--,328.30173,2.0,328.94427,0.6425482,329.04468,3.4574518,332.50415,1.0,332.50427,333.50897,5.2072225,333.50912,335.5111,--
