global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
3924.795224808903	n/a	n/a	15404017.55668277	7907.309269456979	n/a	n/a	62525539.88284026	3663.769216378374	n/a	13423204.870881803	n/a	4022.6241786388496	6596.467616638851	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00621115	n/a	n/a	3.85783843225e-05	0.143802	n/a	n/a	0.020679015204	0.0727975	n/a	0.00529947600625	n/a	-0.00135595	n/a	1.8386004025e-06	n/a	-0.000236049	n/a	5.5719130401e-08	n/a	0.000177615	n/a	3.1547088225e-08	n/a
3893.7982014845375	-30.997023324365728	960.815454971273	15161664.433884218	7744.003390116864	-163.3058793401151	26668.81022704823	59969588.50614148	3680.971346382538	17.20213000416379	13549550.052889273	295.91327668015214	4044.189803260442	6299.68161611088	1.180035	66.148087	0.20943828	0.122722	-0.0263543714	-0.0283699226	-0.0082497027	0.0258432256	-0.0483719809	-0.0758291944	0.3196544777	0.0051504515	-0.1794501227	0.4236844271	-0.0050852236	0.0033220897	-0.0560119407	0.017450349	0.1388546794	-0.1346602973	0.0421419997	-0.1392292179	0.0810349184	-0.0389942973	0.0654581675	-0.0663468979	0.0796556359	-0.0423997206	0.0695537909	-0.0048657339	-0.0383728953	-0.1144964996	0.1033270507	-0.0873349554	0.0204532589	-0.0946634911	0.0227746363	-0.0453974806	0.0697913347	-0.0135084168	0.0295420684	-0.0445587456	0.0659216475	-0.0006080361	-0.0152969522	0.0623296942	-0.0358955926	0.0144925926	0.0879853159	-0.0172887407	-0.0767520235	0.0365136066	-0.0180329989	-0.1763324663	0.0918573844	0.0466698365	-0.1284156117	0.0063327312	-0.0434406245	0.0623120323	-0.0630488098	0.0307205617	-0.0784154422	0.0032011607	-0.0190171035	0.0032296967	-0.0482372156	0.0333421805	-0.0151994025	0.0023055437	-0.0172955249	0.0578453028	-0.0506805974	0.0515901498	-0.0133882668	0.0322610215	0.0142358967	-0.0904409817	0.0255974461	0.0083259844	-0.0471910289	0.0180718094	0.0558186098	-0.0601801632	-0.0071251509	0.000673541	-0.0311210798	0.0526902545	-0.0858664553	0.034298297	-0.0744608105	0.0100851197	-0.0547543943	0.1110169893	-0.0500646435	0.0171077895	-0.0609035805	0.0532537036	-0.0236695557	0.0344979705	-0.0475864123	0.0244367742	-0.0502922065	0.1139197796	-0.0877276241	0.0295737701	-0.0475063232	0.0347727288	-0.0067879354	0.0006680451	0.0338151741	-0.0223239073	0.0358654532	-0.0901478952	0.0026983401	-0.1121772538	0.0614520758	-0.0155628271	-0.0163172919	0.0095959815	0.0608493268	-0.0190423686	0.0284793812	-0.075261523	-0.0072774108	0.0799822301	0.0494560978	-0.0230010572	0.0411735786	-0.0153932822	-0.0385623309	0.0419612835	-0.078793386	-0.0202148824	0.0688886669	0.077277045	-0.0963374596	-0.0096370946	0.0296050218	0.0291345412	-0.0101916119	-0.0241574259	0.0391812122	-0.0524498998	0.0133356851	0.0018009938	0.0264499168	-0.00466758	-0.0601180017	0.0078164243	0.0750059026	-0.0223751636	-0.000293257	-0.0742001396	-0.2553550871	0.0648154484	0.238352436	-0.1324030173	0.0709093649	-0.0657937649	0.0706955634	-0.0063377395	-0.0031101932	0.0921736618	-0.0353346268	0.1167002726	-0.0663969793	0.013921475	-0.0160936433	0.036066319	-0.0108962559	0.0729785277	-0.0745410453	0.0395811813	-0.0174891696	0.0145998466	-0.0619615842	-0.0236261106	0.0175030684	0.1052263005	-0.0217269451	0.0005828771	0.0710776124	-0.0100920175	-0.0242162733	0.1103589266	0.0202219369	-0.035642583	0.0345344362	-0.0469486579	0.1719080336	-0.0264923182	0.0688866107	-0.023684799	0.0428691994	-0.0098334056	0.0725771993	-0.0329404058	0.158513396	-0.0234261122	0.0461997123	-0.0015348898	0.0729809657	-0.0123297565	0.0665611893	-0.1018327062	0.0267212015	-0.0832474978	0.0079870824	-0.0156170628	0.0207302584	-0.0032033658	0.0297800199	0.0363632059	-0.0912444802	0.0532003087	0.0174293075	-0.0437659247	0.0383931451	-0.0115370923	-0.0468518598	0.0187760842	-0.0334785296	-0.0634204108	0.0150697075	-0.0174341357	0.012008336	0.0501596151	-0.0459206601	0.0670152326	-0.0457581492	-0.0155282674	0.0441997212	-0.0300728898	-0.0061257831	-0.0889771535	0.0835689763	-0.0063956684	-0.0160628586	-0.0102225492	0.0271834122	0.0105318345	-0.0379324381	-0.0399207853	0.0401349924	-0.0552451664	-0.0337377092	-0.0020442778	0.0329977774	0.0050175588	-0.0234956219	-0.0220599392	0.072652323	0.0510889607	0.0721681798	0.0721663684	0.0721633495	0.072159123	0.0721536891	0.0	0.00342433	0.00963548	9.28424748304e-05	1.17260359489e-05	0.0735027	-0.0702993	0.00494199158049	0.00540264690729	-0.0166635	-0.089461	0.00027767223225	0.008003270521	-0.000760598	0.000595352	5.78509317604e-07	3.5444400390400005e-07	-0.000440806	-0.000204757	1.9430992963600001e-07	4.1925429049000017e-08	0.000178356	7.41000000000012e-07	3.1810862736000006e-08	5.49081000000018e-13
3888.4515662089448	-5.346635275592689	28.58650877021211	15120055.582752796	7646.268720236169	-97.73466988069411	9552.06569668826	58465425.34206207	3667.308376286051	-13.662970096486788	13449150.726777831	186.67675185749215	4014.03274884594	6298.161938758868	1.074285	60.220142	0.302913413	0.189867	0.0176008199	0.0038228131	0.023050342	0.1220045758	0.0418917783	0.0068506089	0.2187312494	-0.0483137822	-0.0872016387	0.3334844706	0.0676726707	-0.0350442606	-0.0600525673	0.2259540218	0.0137905675	0.0150482333	-0.0784546882	-0.057539595	0.096280684	0.0662284195	0.0441196933	-0.0031223329	0.029043885	-0.074716732	0.0215551006	0.0902755926	-0.0077782731	0.0436078715	0.0085980617	0.0714908414	0.0252769557	-0.086204851	0.0411817279	0.0238562702	-0.0525062596	0.0507444888	0.0441603804	-0.0178217159	-0.0995526202	-0.007940639	0.0208949683	-0.0294064401	-0.0804273771	-0.0302879986	-0.0495015859	0.00308192	-0.0103554719	-0.075145759	0.0274531137	-0.2283369747	0.0150821567	0.0563684683	-0.0564673046	-0.0296586763	-0.0474782957	-0.0237858063	-0.0515727802	-0.0339950756	-0.1139197195	0.0620372432	-0.0672394777	-0.0244993296	-0.0568075334	0.0814177117	-0.0457817025	0.0808974484	-0.048881342	0.0111239974	0.086266462	0.0350732594	0.0074194903	-0.0096947117	0.0324551753	-0.0252369793	0.0183620232	0.0307862604	-0.0619835594	0.0077519366	0.0651653759	0.020304965	0.0786198685	-0.0248816953	-0.0723676142	-0.0731786024	-0.0080636185	-0.032239522	0.0832976594	-0.0779831401	0.0372016756	0.0466591382	-0.0389346526	-0.0793802489	-0.0075577885	0.0386633716	0.0541170115	-0.0120577524	-0.0531785498	0.0015245247	0.0197131629	-0.0123869997	0.0342887403	-0.0482824111	-0.0233888812	0.0355700042	0.0555122332	-0.0010134779	0.0125996061	-0.0460049052	-0.0027788297	0.0114889175	-0.0649330724	-0.0763844873	0.0206339686	0.0475997001	0.0345362228	-0.0035157079	0.0848678687	0.1097690836	-0.0282295049	-0.029967174	-0.0461390479	0.0197754099	0.0336344818	0.0067259558	-0.0364434729	0.0513623436	-0.0145068394	-0.017284562	-0.1130940241	0.0919606636	-0.0153755207	0.0082355746	0.0309274026	0.0070881752	0.0156519408	0.0778448362	-0.0488359684	-0.1019082883	0.0385271004	-0.0386411053	-0.0461095439	0.0945884949	-0.0606635174	0.0263203311	-0.0807252653	0.0617818066	0.0157501771	0.0403888499	0.0216159546	0.0638841647	-0.2003377181	0.1422721344	0.1500965678	-0.1019228954	0.0003464667	-0.027300557	0.0804411738	0.0147963469	-0.0373068032	0.0100725662	-0.02571809	0.1936455984	-0.0718667613	0.0010958445	0.0223599463	-0.0446535035	-0.0571748334	-0.0022336496	-0.0225314229	-0.0300316696	0.0306979143	0.0686658003	-0.0353583097	-0.0614877707	-0.033344073	0.0665062037	0.0006110881	0.1160071306	-0.0719368866	-0.0412991182	-0.0215757033	0.010119859	0.0027811723	0.0274712116	-0.0544169575	-0.0966859811	0.0393889937	-0.0538114701	0.1365168793	-0.0339725605	0.0123961891	-0.0146971985	-0.058954014	-0.0082511092	-0.0579010306	0.0498736819	0.0085206268	-0.0110925325	-0.0222590985	-0.0550061383	0.0930139951	0.0104638565	0.1086453942	-0.1084228289	-0.0102044409	-0.0047449335	0.0398204514	0.0946024782	0.0370214589	0.0169328018	0.0358789259	0.0512575234	0.0154865342	-0.0741142021	0.0449514206	-0.0201741546	-0.0525561262	0.052367217	0.0344247126	0.0108000322	0.0030012341	-0.002017008	-0.0699062224	-0.0342239105	-0.0347138492	0.0399300235	-0.0248871542	-0.0072232448	0.0324605585	-0.0306320347	0.0661745423	-0.1376835867	-0.068004984	0.0017998901	-0.0787525366	0.0428071163	-0.0856982986	0.0092453073	-0.0131596438	-0.0291747613	-0.0034648641	-0.0198389653	0.0436562829	-0.0342204335	-0.0413221016	0.0308092488	0.0274727546	0.007783558	-0.0471891886	0.0423539818	0.0721633495	0.0721470478	0.072119881	0.0720818532	0.0720329701	0.0	0.000438767	-0.002985563	8.913586426969e-06	1.9251648028900001e-07	0.235736	0.1622333	0.02631964362889	0.055571461696	0.0752033	0.0918668	0.00565553633089	0.00843950894224	-0.00122797	-0.000467372	1.5079103209000002e-06	2.184365863840001e-07	-0.000184996	0.00025581	3.4223520016e-08	6.543875610000003e-08	0.000371729	0.000193373	1.38182449441e-07	3.7393117129e-08
3903.169709607355	14.71814339841012	216.62374509616345	15234733.781996364	7649.874127951013	3.60540771484375	12.998964790254831	58520574.17349427	3678.2080260436833	10.899649757632233	13529214.28285217	118.8023648390524	4029.120120719753	6302.90082272508	1.078998	60.484375	0.1763644929999999	0.11334	0.0888490264	0.0213867905	0.0191206579	0.0093926644	0.0646845621	-0.1090250375	0.1675090879	-0.0161109153	-0.0674019698	0.186224137	0.0639235727	0.0254446613	-0.0157192546	0.0726016973	0.0279148167	0.0200296804	-0.0555186351	-0.1190171037	0.1221226671	0.006396104	0.0465497941	0.0248961815	0.0057028849	0.0701803167	0.0891105847	0.1570466454	-0.0886092892	-0.0320851258	0.0321119522	-0.0779767454	0.0490839304	0.0622292615	0.0173774812	0.0136060992	-0.0911042415	-0.0155973461	-0.0170426751	-0.002779254	0.0412717791	-0.0729088435	0.0457027225	-0.0181275387	0.0005161353	-0.0166415228	0.0152285601	-0.0025441126	0.0212253091	-0.0577949694	0.0302692058	-0.1789815117	0.0691419167	-0.0872206714	0.0032762689	-0.0628384019	-0.0628258775	-0.0656543637	-0.0368400802	0.0122143193	-0.1289145572	-0.0820124258	-0.0594483932	0.0245412674	-0.0134759787	0.0790293473	0.0070637526	0.0029116634	-0.0239276177	-0.0026936521	0.0363584935	0.133677845	-0.1046374583	-0.0104448099	-0.0266682862	0.0624923844	0.0132592926	0.0115304346	-0.0515102572	-0.0019583475	-0.0203097482	0.0158828258	0.0838811836	0.032527973	0.0644726323	0.0049933316	0.069294253	-0.0617513349	0.0200619918	-0.024531733	0.012436344	-0.014941346	-0.0283868623	0.031209235	-0.0046113217	0.0528784304	0.0101729354	0.1079070804	-0.0344398197	0.0369830204	0.0017265873	0.0043865687	-0.0146472896	-0.0445057042	-0.0163462406	0.0404990477	0.0046324844	-0.0737840471	0.0072923697	0.0095839722	0.0185867271	0.0160866205	0.0624845016	0.0132735723	0.0485320542	0.0437689992	0.082813257	0.0001234822	0.0637704536	0.0316155794	0.0531868473	0.003226695	0.0120433923	-0.0096715966	0.0273778376	0.0613637413	0.0338122473	-0.050538371	-0.0194434541	-0.0445350806	0.0142677319	-0.0470992109	-0.0163125329	-0.0183999068	0.0125315729	-0.0589120007	0.0022422467	-0.0015529821	-0.0113634943	0.0524601572	-0.0075422142	0.0211001813	0.0549121349	0.0379237339	0.004391979	0.0102413158	0.057389522	-0.0900277786	0.0125001753	0.0023853592	0.0674173012	-0.0201061223	-0.2450799721	-0.0117242928	0.0366327933	-0.1126306162	0.0093648621	0.042076596	0.1120623455	-0.0059949152	-0.0291903066	0.0623240402	0.0383416527	0.0962580516	-0.0717778163	-0.0346127372	-0.0653651096	-0.0429448908	-0.0428325211	0.033096171	-0.0237038609	-0.005755619	0.1293402753	-0.035749933	0.01837578	0.0140973562	-0.0098682821	-0.0007842443	-0.018656922	0.0323508846	-0.0466784674	-0.0207166117	-0.0616921278	-0.0712860025	-0.0496494441	0.050910323	-0.0232636946	0.0031232411	-0.00110255	0.048466343	0.0151885766	0.0287379478	-0.034147589	-0.0363706027	0.0284236229	0.0699189087	0.0323806657	0.0350586123	-0.0101148613	0.029461347	-0.0279076491	0.0260686782	0.0075064625	0.0770651441	-0.0195058837	-0.020478201	0.0319706075	-0.0582052132	-0.0066571284	-0.056414966	0.1101412637	-0.0257305604	-0.0217348341	-0.0283327057	0.0036866433	-0.0027795595	0.0534716251	0.0063096897	-0.0224770734	0.0349812978	0.0276392547	-0.0160930554	0.0701305548	-0.0308050459	-0.0450000756	-0.0119354999	0.0825850036	0.016796511	0.0558153538	0.0190199728	-0.0174769645	-0.0367706713	0.0840096697	0.0569714614	0.0310413196	0.0437915649	-0.0250087935	-0.019476499	0.0698231971	-0.0216748422	0.0044475849	0.0225931089	-0.0027410609	0.0140148924	0.0170200661	0.063010091	-0.0063371778	-0.0092497413	-0.0051011016	-0.0259870365	0.0172383221	-0.0535114753	0.0721536891	0.0721084116	0.0720329701	0.0719273963	0.0717917343	0.0	0.000234674	-0.000204093	4.1653952649e-08	5.5071886276e-08	0.342493	0.1067569999999999	0.0113970570489999	0.117301455049	0.0354118	-0.0397915	0.00125399557924	0.00158336347225	-0.0016211	-0.00039313	2.6279652100000003e-06	1.545511969e-07	-0.0	0.000184996	0.0	3.4223520016e-08	0.000357617	-1.411199999999999e-05	1.27889918689e-07	1.9914854399999968e-10
3910.4637822104487	7.2940726030938094	53.2034951392037	15291726.991979647	7653.022000967738	3.1478730167245885	9.90910452942276	58568745.74729624	3694.477612249282	16.2695862055989	13649164.827411158	264.6994353014139	4041.518713958768	6322.486960530932	1.234323	69.191261	0.411121676	0.266106	-0.0248994614	0.0600539144	-0.0803013961	-0.004924172	-0.037184558	-0.0914058191	0.2577065656	-0.0030342591	-0.0638002153	-0.003535456	-0.0131894002	-0.0708130651	0.0864704941	-0.0347998853	-0.0041134764	0.0346947015	0.0422683989	0.096470438	0.0923023589	-0.0995439112	-0.025834682	-0.0155335273	-0.0512837311	0.079284832	0.0500584262	-0.0102665856	-0.0808174162	-0.026522522	-0.0912165091	0.135101339	-0.0558311755	-0.0715747015	0.0167473037	-0.0101990878	0.0751216707	-0.025214769	0.0036202558	0.0426429508	0.0106924805	0.0248223156	-0.0188657562	-0.0186842281	0.0575309389	0.112419837	0.0607504014	-0.0041933071	0.019328203	0.0312607935	0.0297463082	0.0445469081	0.0398593052	-0.0852292192	-0.0088254934	0.0367194459	0.0217209201	-0.0227744064	0.0215446983	0.0164500212	-0.0428094561	-0.0296737689	0.0258615003	-0.038377664	0.1084498437	-0.0481860758	0.0690175837	-0.039334349	-0.0540588181	-0.0079398068	-0.0592608546	0.0658638719	-0.1314606677	-0.0068652456	0.016047631	-0.0655078826	-0.0347784876	-0.0394224949	-0.01995668	-0.0421760974	-0.084203698	-0.1123292386	0.0376920879	0.0426539403	0.0849056198	0.0341708826	-0.0710921287	0.0097330208	-0.0794368905	0.0512286601	0.0569694235	0.0555520344	-0.0069326508	0.0461695365	-0.0194742166	-0.0272354914	-0.0738770706	0.0877269109	0.0715381407	0.0541006117	-0.0231534479	-0.1096190556	0.013342405	-0.0273182286	0.078857419	-0.0134224138	0.0581569806	0.0462218431	0.0619831583	-0.0356285671	0.0235451383	-0.0606042681	-0.07218238	0.010161905	-0.0309868865	0.0518278056	-0.0310548713	-0.0492357944	-0.0536086127	0.0260344389	0.0942000199	0.007751144	-0.1339103334	0.0303438416	0.0428981719	-0.0674309573	0.0089772628	0.0351670533	-0.0153677533	-0.0009007531	0.0065451948	0.0227074405	-0.0183294772	0.0444480959	0.0679992532	-0.0163513806	0.0093128594	-0.0209459727	-0.0065038805	-0.0662198858	0.0858562416	0.0728190296	0.0696673844	0.0290719769	0.0799257761	0.0405461024	-0.0315706919	0.0680213774	0.0422025821	0.0419413928	0.083801648	-0.0993250565	-0.0366109965	-0.0745724201	0.0509189568	-0.0799369631	0.0679828813	-0.0362286764	0.0375894796	-0.0384090281	-0.0700055202	0.0376113868	0.0177640045	-0.0668405424	0.0737903285	-0.0630898965	-0.0307800583	0.0579919125	-0.0668456741	0.0681247149	-0.0089195132	0.1553364822	0.0992719096	-0.0784664174	-0.0372789663	-0.0827309297	0.0116178824	0.0286676565	-0.0341437547	-0.0656998702	0.0597856175	-0.0110924932	-0.0566640889	-0.031465828	-0.047483951	-0.0319212735	-0.0305568995	0.0305210578	-0.0280846034	0.1154091507	-0.0386774561	0.0625560593	0.0390474202	0.1180432819	0.0229694257	-0.0087995323	0.1185050948	-0.0262640184	-0.0250761241	-0.0829554372	0.0226567234	-0.0102442295	0.0520028535	0.1236601676	-0.0050967342	0.0672995705	-0.0524213797	0.0020375007	-0.0132537345	0.0350091422	-0.0710588096	-0.0214318673	-0.0471786544	0.0887476597	-0.0115531133	-0.0094954531	-0.0447807186	-0.0511686082	0.0059786052	0.0639377226	0.0063204505	0.036234011	-0.0471254317	-0.0378777425	-0.1086256828	0.0314569851	0.0106086594	-0.0395012686	-0.0656547087	0.0223309535	-0.0017026326	0.0327050787	-0.0261982483	-0.0308128624	-0.0327267191	0.0106890202	0.0382928964	-0.0009270785	0.011775894	0.0561903809	0.0339087637	0.0668154659	0.0344984329	-0.0977551803	0.0405873052	-0.000375446	-0.0094317702	-0.086295408	-0.0663348564	-0.0615128833	-0.0320718944	0.009857361	0.0721391992	0.0720504702	0.0719026694	0.0716959178	0.0714303851	0.0	0.0114807	0.011246026	0.0001264731007926	0.00013180647249	0.112033	-0.23046	0.0531118115999999	0.012551393089	-0.0808046	-0.1162164	0.00652938338116	0.0135062516289599	-0.000563395	0.001057705	3.17413926025e-07	1.1187398670250002e-06	-3.94538e-23	-3.94538e-23	1.5566023344399998e-45	1.5566023344399998e-45	0.000363897	6.280000000000001e-06	1.3242102660900002e-07	3.943840000000001e-11
