global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	c_comp_cor_56	c_comp_cor_57	c_comp_cor_58	c_comp_cor_59	c_comp_cor_60	c_comp_cor_61	c_comp_cor_62	c_comp_cor_63	c_comp_cor_64	c_comp_cor_65	c_comp_cor_66	c_comp_cor_67	c_comp_cor_68	c_comp_cor_69	c_comp_cor_70	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
4463.922272616029	n/a	19926602.05595745	n/a	11782.46273868756	n/a	n/a	138826428.18856075	4297.078119358922	n/a	18464880.36387321	n/a	5307.623301265387	8615.760924514743	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0283899	n/a	0.0008059864220099	n/a	0.0517267	n/a	n/a	0.00267565149289	0.289116	n/a	0.0835880614559999	n/a	-0.000235547	n/a	5.5482389209000015e-08	n/a	-0.0007239549999999	n/a	5.241108420248553e-07	n/a	0.000439737	n/a	n/a	1.93368629169e-07
4439.738400291928	-24.183872324100776	19711277.063026726	584.8596805884074	11582.398283917304	-200.0644547702559	40025.78606251977	134151950.00729053	4286.784706931548	-10.293412427374278	18376523.123582195	105.95433940002324	5274.079451908114	8439.58327611519	1.18921	46.554043	0.0312563999999999	0.0191637	-0.0069632078	-0.0479587484	-0.0121822097	0.049171489	-0.0497824366	0.0181700981	-0.0887605394	-0.1186561817	0.0400704717	-0.0651808188	0.1134075061	-0.4580802667	0.1394617934	-0.1496128364	0.01935962	-0.1136390484	0.0043908112	-0.0797106411	0.2014921067	-0.0027226592	0.0287585233	-0.0609185912	0.014362535	0.0556498583	-0.0494075407	0.0380311593	-0.0342638997	0.0508978839	-0.0561406286	0.0746889192	-0.0464308512	0.076816545	-0.0209192842	0.0519174095	0.0423527034	-0.0942006549	0.0407656129	-0.099314711	0.0002675356	-0.0057405036	0.0573749596	-0.015840263	0.0956363495	-0.0210309605	0.0251420298	-0.0780874458	0.0603035456	-0.0048411596	0.0405722618	-0.0136199573	-0.0535773002	0.128037117	-0.0311629322	0.0452852374	-0.0447613101	-0.0064871303	0.0271194007	0.014498437	-0.0603959884	0.0287759919	0.030514798	0.0755848794	-0.0287266922	-0.0426637518	0.029328863	0.0008615721	-0.0688713683	-0.0323312772	0.0367820432	-0.0873127612	-0.0007855267	-0.0297445118	-0.0241841954	0.0318130465	0.0092154676	0.0422209408	-0.0252485426	-0.0142681155	0.072177237	-0.0431934507	0.0397443914	0.0002253887	-0.0182598207	0.0504934463	-0.0048620259	0.0311874586	-0.0244965648	0.0243426589	-0.0026982067	0.0055637514	-0.0048609361	0.050346727	-0.0215922123	0.0199508012	-0.005369925	0.0544659287	-0.0409793897	0.0092933126	-0.0229985432	0.1066872255	-0.0661204547	0.0143069087	-0.0046225449	0.030312911	-0.0435251055	0.0160212018	-0.035342669	0.0321404708	-0.0168356403	0.0450165882	0.0194405236	-0.059609831	-0.0074853067	-0.0284553641	0.006480972	0.0667212811	-0.0165327814	-0.0287060985	0.0467817367	-0.0704840266	-0.0302421635	0.053457803	-0.0372656808	-0.0152648497	-0.0314150301	0.0266469195	0.0163982802	0.0600039757	-0.0301943108	-0.0082335878	0.0364210343	0.014299893	-0.0514508623	0.0481995666	-0.0240851183	0.0229559195	-0.0315771471	0.0409570247	-0.0064193797	0.0406658414	-0.0025269213	0.0538461749	-0.0458833003	0.0215302586	-0.0654973436	0.0137381839	-0.0118944538	0.0073447607	-0.0372143127	0.0042009415	-0.0522517713	0.0672803712	-0.0488752107	0.0425379893	-0.0088316751	0.0098120764	-0.0515441701	0.0304495952	-0.0184072276	0.0120348313	0.0168917864	-0.0109967052	0.04120976	-0.0478405604	-0.0194173856	0.0152400781	0.0525174202	-0.1159897742	0.0372964421	-0.0790341078	0.0012597905	0.0150226753	0.0637454815	-0.0239786242	0.0322190492	0.0008136775	0.0638536337	-0.0739192565	0.1284422905	-0.0280616847	-0.0690833539	0.0014055461	0.0001112329	0.0810653906	-0.1045775737	0.0256570717	0.0326649245	-0.0300267357	-0.0073788275	0.0131884732	0.0037478184	0.0131347917	-0.0152482515	0.0056876718	0.0174945146	-0.0140553167	-0.003430864	-0.0317196496	0.006442473	0.031475139	-0.0692776092	-0.0169558235	0.034897034	-0.021415666	-0.0445082548	0.0705562071	0.0774951949	-0.0364654003	-0.0382837178	0.0671223646	0.0147874155	0.0197521476	-0.0680867439	0.0233444933	0.0121781813	0.0105788906	-0.0500833858	0.0379098888	0.0188367079	0.0176811121	-0.0354595488	0.0004358968	-0.2468042882	0.0540178462	0.0815482596	-0.0193111058	0.0141311371	-0.2389285498	0.2431345403	-0.0073726303	0.0674519965	-0.0208766755	0.0062524541	-0.0205180453	0.0210564701	-0.0058290966	0.0598194684	-0.0050647566	0.0377603419	-0.0587773036	0.0898384714	-0.0522000102	0.0319674243	-0.0428255553	0.1027275656	-0.0649004434	0.0294066164	-0.0451381207	0.0260794718	-0.0591899999	0.0519444735	-0.0239829491	0.0595925902	0.0124048438	-0.0485407459	0.0611258682	0.0009729509	-0.0032502248	-0.0017509579	0.0396977028	0.0077837959	-0.0100068189	-0.0435868745	0.0476037142	0.0153797272	0.0219934894	-0.0429800739	-0.0238180237	0.0540151923	0.0277685155	0.0657886469	0.0331819489	-0.0182757164	0.041220195	-0.0229314588	0.0248127293	-0.0473794267	0.0471849384	-0.0370772118	0.0296806423	-0.0118624202	0.0335950966	-0.0102374465	0.0487747727	-0.0093815927	0.011930034	-0.0190163543	0.0451483878	-0.0020955862	0.0547300035	-0.0312447456	0.0490178997	-0.0803689912	0.0029066138	-0.0199863788	0.0647650114	-0.0012676195	-0.0620128514	0.0920413651	-0.0051290342	-0.0626535105	0.0175839734	-0.041003602	0.0416150347	-0.0288424712	0.0022861174	0.0098873686	-0.0369196682	-0.0170633707	0.0626326419	-0.0167885884	0.0411543687	0.0386637422	-0.0123755427	-0.0738268623	0.0391356017	-0.0678936207	-0.0198836276	0.0982195494	0.0490490797	-0.0172115944	-0.0284855063	0.0718270175	-0.022666014	-0.0659757032	0.0097812797	0.0505170633	-0.0389999196	-0.0001884386	0.0270722992	0.0061092452	-0.0422134331	0.0494910418	0.0100534996	-0.0325744233	-0.0205152754	-0.0282596924	0.0039028161	0.0822306632	-0.0220595181	0.0094083413	0.0031113863	0.0547893927	-0.1061637484	-0.0787953858	0.0182398398	0.0007723071	-0.0264327923	-0.0525994097	0.0365777482	0.0076088069	-0.0194704495	-0.0119817721	-0.0131768253	0.0521241209	0.0041921591	0.0046901388	-0.0383273198	-0.0218000923	0.0150530046	0.0359561977	-0.0091726094	-0.0418619886	0.0195219756	0.0077998343	0.0630563586	0.0630554362	0.0630538989	0.0630517466	0.0630489795	0.0	-0.031964	-0.0035741	0.001021697296	1.277419081e-05	0.0532233	0.0014966	2.2398115600000023e-06	0.00283271966289	0.269952	-0.0191639999999999	0.072874082304	0.0003672588959999	-0.000348025	-0.000112478	1.21121400625e-07	1.2651300484000001e-08	-0.000713058	1.0896999999899983e-05	5.084517113640001e-07	1.1874460899782024e-10	0.000422678	-1.7058999999999987e-05	2.9100948099999955e-10	1.7865669168400004e-07
4433.477010645757	-6.261389646170755	19655718.40392444	39.20500030117434	11469.944546859268	-112.4537370580365	12645.84297831801	131559627.90802664	4281.413509280755	-5.371197650792965	18330501.637451746	28.849764203883865	5254.349206254013	8387.795843970942	1.107689	43.362732	0.07202938	0.0360441	0.0428599456	-0.0578014177	-0.0580635102	-0.0064419943	-0.0247015959	0.0061365778	-0.0708794806	-0.0311252463	0.0367234058	-0.0485617542	0.070764458	-0.3876942088	0.1611491914	-0.0737739641	0.0241776313	-0.1060759885	0.0327089488	-0.0125489724	0.0656423168	0.0475899479	0.0921677294	0.0095300732	0.0016937854	-0.0295215749	-0.0393279468	-0.0148061469	0.0642126264	-0.0161100588	0.0905089658	-0.0121977844	-0.036621734	-0.0307174606	0.0385215824	-0.0666850301	-0.0432593489	0.0024663846	-0.0179377902	0.0670121127	-0.0099468715	0.0564641494	-0.03417607	-0.0328344942	-0.1114238698	0.0165637878	-0.0937743457	-0.0079143028	0.020901294	0.0504162322	-0.0171990941	-0.0650312582	0.1040767812	-0.0297301057	-0.0120991192	-0.0394821931	0.0348082794	-0.0149699994	-0.0316132733	-0.0054268705	0.0265855294	-0.0282108883	0.0487876719	0.0114781727	0.0415439241	0.0072831727	-0.0474867803	0.0537889605	0.083568548	0.0845550041	-0.0398625732	0.0339478547	0.0510365415	-0.0437157799	-0.0053308921	0.0173000353	-0.0609465365	0.0138980587	-0.0543682725	0.0016782389	0.0091850936	0.0306735338	-0.0012418334	0.0356359649	-0.0622349115	0.0027762649	0.0328568631	0.0108489075	-0.0356545945	0.0112446452	0.0522204839	-0.0152926681	-0.0516935319	0.011669118	-0.0363524293	-0.0152554842	-0.0562539174	0.0175246698	0.0096678964	-0.0436496387	-0.0105150448	-0.0115222697	-0.0560732485	-0.0174780122	-0.0010009835	0.0216383158	0.0699634492	-0.0035727913	-0.0464255479	0.0136563692	0.0141984092	-0.0177393703	-0.0415916848	-0.0087740476	0.0342750302	0.0065263335	0.0012038352	0.011825697	-0.0253188708	-0.0173686202	0.0437739194	0.0211301985	0.0116391463	0.0039565818	0.0160638797	-0.010630374	0.0047679743	-0.0055326306	0.0569327526	-0.000866685	-0.0087270833	0.0269447877	-0.032897662	0.0512118295	-0.065174795	0.0548223668	-0.0149537457	0.0424223509	-0.0874891083	0.0039425188	-0.0176856346	-0.0459942771	-3.22101e-05	0.0464761893	0.0583845632	-0.0439777407	-0.012526253	0.028311823	-0.0008743367	0.0013563185	-0.0306277359	0.0354978466	0.0131429688	0.0026300896	0.0075457584	0.0647700698	0.0630387328	-0.0570249432	-0.0880427323	-0.0159011609	-0.0222611315	-0.0008107799	0.0111392674	-0.0014483483	0.0477772198	0.0173613082	-0.0195890996	0.0809471814	-0.0514497342	-0.047853894	0.0832799786	-0.0579397138	-0.0688576551	0.0212327163	0.0532579151	-0.0179471724	-0.0192062161	0.0198970157	0.0649745344	0.0467207387	0.0708526977	0.0181056291	-0.0558029084	-0.0607276924	0.0393581516	0.0692699407	0.0088506782	0.0044044601	0.0365366145	0.1061644994	0.1301094053	0.0200609008	-0.0235243148	0.0316184688	-0.0069695671	-0.0656403739	-0.0374233049	0.067609578	0.0297404678	-0.0494846348	-0.0318406201	0.0551088376	0.0094047312	-0.0255984167	0.0065413515	8.9913e-05	-0.0131718198	-0.082673131	0.0668755764	-0.0084311779	-0.035083506	-0.0963557846	0.0135248696	0.0051180886	0.006797838	0.0438420396	0.0149396085	-0.0766660336	-0.0461761545	0.0643903191	-0.0747177407	0.0326407341	-0.0066992176	0.0397595465	-0.2096554667	0.0268077244	0.0979958711	-0.0337394554	-0.0357936576	-0.1895692865	0.208878127	0.0233052149	0.0741461744	-0.0688056416	0.003535151	-0.0431276542	0.0140224705	-0.032765119	0.0097956151	-0.0234324735	-0.0278682952	-0.0043263933	0.0106745854	-0.0358966634	0.0944815634	-0.0205313097	0.0143743736	8.91188e-05	0.005987201	-0.0482870021	0.1117750655	-0.0332285814	-0.0245602046	0.031984218	0.005408429	0.0360691826	0.0143745218	0.0385746879	-0.0307044156	-0.0145107898	-0.0085328503	0.0167673248	0.0512708625	-0.0290606586	-0.0050006186	-0.031319488	0.0030453436	-0.0076214725	0.0499827257	-0.0250937714	0.0372423754	0.0586648321	-0.0203406964	0.0302296177	-0.0197824524	-0.0087734446	-0.0368414832	-0.0290349562	0.0439395411	0.0305328049	-0.0033078477	0.0263647861	-0.0231310229	0.0531266596	-0.0237292107	0.0328431247	-0.0251568858	0.0050154271	-0.0884921491	-0.0006884201	0.0342676039	-0.0229540165	0.006188133	-0.0283510318	0.0145667482	-0.0453501478	-0.0419393169	0.0220873002	0.0131931668	-0.0052305508	-0.0245407382	-0.0034974008	-0.0613594739	-0.0113596119	0.0100172934	0.0118414761	0.0415984856	0.0692926353	-0.0018708616	0.0343475532	0.0215582328	0.0325751354	-0.0177257899	-0.0520822336	-0.0114509749	0.0676508165	-0.0515037352	0.0834710923	-0.0229206509	-0.0279966944	0.0745913435	0.0249046575	0.0083571919	-0.0449522592	-0.0390603988	0.0477203172	0.0186533765	0.0146073971	-0.032470711	0.0053177897	0.0173309146	-0.0148808312	-0.0378064219	0.0274253449	0.0181716826	-0.0013453517	-0.0499833924	-0.0222393258	0.027962844	0.032305058	-0.0088711694	0.0571828838	-0.0630989012	0.0189315256	0.0644353302	0.0092979106	0.0013887136	-0.0398204205	0.0400862781	-0.0033590853	0.1347025644	-0.0277729295	-0.0433553706	0.0349156569	-0.0081676961	0.0393627317	-0.0332708148	0.0465258297	-0.0602957539	0.032359979	-0.0312682141	-0.0255260388	-0.0190309992	0.0128588745	0.0197231175	-0.0458463233	0.0126968777	0.0630538989	0.0630455975	0.0630317626	0.0630123954	0.0629874977	0.0	-0.0410133	-0.0090493	0.00168209077689	8.188983049000005e-05	0.0430839	-0.0101394	0.00010280743236	0.00185622243921	0.260839	-0.009113	0.068036983921	8.304676900000069e-05	-8.937639999999998e-05	0.0002586486	7.988140876959996e-09	6.689909828196003e-08	-0.00126841	-0.000555352	1.6088639281e-06	3.08415843904e-07	0.000362125	-6.055300000000003e-05	3.666665809000003e-09	1.31134515625e-07
