global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	c_comp_cor_54	c_comp_cor_55	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
5533.980338910385	n/a	n/a	30624938.391446702	13389.170399416957	n/a	179269883.98462322	n/a	5268.681328296661	n/a	27759002.939141877	n/a	6355.062323275808	8232.319192338835	n/a	n/a	n/a	n/a	-0.0354925579	-0.0504778964	0.0137127932	-0.0862521659	-0.0600505908	0.0023873618	-0.6539852593	0.1801570598	0.0261247138	-0.0223976641	0.0856954086	-0.0844294835	0.0312125285	-0.0772554499	0.023152211	-0.067071427	-0.0362401619	0.012595217	-0.0119868401	0.0364516143	-0.0492668824	0.0438507263	-0.1394540339	0.061455892	-0.0412531585	0.0383063377	0.0003213782	-0.0025558242	0.0677583082	-0.1050313146	0.10940101	-0.0122505149	0.0024127833	-0.0243326545	0.037802443	-0.0622838074	0.0371969568	-0.0519254459	0.0069958474	-0.0430026522	0.0621382527	-0.0268807497	-0.0297884208	0.0438214805	0.0025798967	-0.0269563296	-0.0174727965	0.0694890744	0.0433449763	-0.001284511	-0.0332353634	-0.0013761816	0.0144093318	-0.0093904493	0.0085767476	-0.0432684848	0.029199963	-0.0302848071	0.099275108	-0.0183711644	0.0306074701	-0.008149338	0.017983043	-0.0275760062	0.0461559567	-0.0368222946	0.0432930701	0.0041540929	-0.0114371201	0.0675103854	-0.029026675	0.0227998016	-0.0182625672	0.0561632046	-0.0685530034	0.0176647388	-0.0133232391	0.0776790067	-0.0693289329	0.0305548775	-0.0154963347	0.0455481151	0.0959205023	-0.0351728878	0.0250065416	0.0123212313	-0.0472517265	-0.0315296261	0.066619667	-0.0260220847	-0.0080283022	0.0023114072	-0.049374559	0.0354921781	-0.0120210331	0.0494604859	-0.029951028	0.0162861432	-0.0717820393	0.0031581149	-0.039417952	0.0515052866	-0.0286655342	0.0476591586	-0.0076157218	0.0052615475	-0.0018625395	0.0245357724	-0.1103696546	0.0424901543	-0.0254525039	0.0369991029	-0.0177951213	0.0082185571	-0.025833082	0.0392736572	-0.0013840984	-0.1022041533	0.0367921383	-0.00461448	-0.0115551594	0.0060711011	0.045274811	-0.0163868021	0.0058737661	0.0222769144	-0.01751248	-0.0350908808	0.0368867372	-0.0449591995	0.0414867972	-0.0062836194	-0.0385510274	0.08020686	-0.0023684512	-0.0481333117	0.0023881046	0.0056212162	0.0419945456	-0.0123087316	0.0521719576	-0.0625303801	-0.0005084331	-0.0128526519	-0.0144181903	0.1045025374	0.0936232652	-0.0399408343	-0.0024993793	0.0279512039	-0.0178871039	-0.0421546483	0.0053954427	0.0243660066	0.0042998041	0.0891514496	-0.0479285625	0.0125421216	0.0523800074	-0.0065536307	-0.0270024658	-0.0406534057	0.0423637613	-0.065218068	-0.0132955169	-0.0075157746	-0.000396649	0.053532322	0.005375807	-0.0869992141	-0.029988622	0.0504353124	0.0933856259	-0.0621398943	-0.0982600198	0.0035137347	0.0677542403	-0.0114092624	-0.0642839205	-0.0879451614	0.0001293463	-0.3933793368	0.4713216077	-0.0823875001	0.2322118247	-0.0408672653	0.0908935798	-0.0680086175	0.0645268291	-0.052943688	-0.0017221462	0.0072087449	-0.0020813181	0.0092807163	-0.0351161075	0.0480788695	-0.0252366067	0.0181381811	-0.0208449691	0.0619545878	-0.0247913592	0.0938242141	-0.0135067514	0.0095316128	0.0182572955	-0.08497925	0.0135462698	-0.0134431831	-0.0407924797	0.0408129213	0.0419547857	0.021731995	-0.0050822001	0.0052244024	-0.020312618	0.0246623909	-0.0237127515	0.0685686119	-0.0337663191	0.0293927587	-0.0038866587	0.004181328	-0.0405487075	0.0119529713	-0.0073215911	0.0303392865	-0.0117733076	0.033016018	-0.0762967767	0.0465110411	-0.011290588	0.0022650485	-0.0541391768	0.0196447083	-0.0147601744	0.0164806342	0.021662769	-0.0147700907	0.0805462082	-0.0322197378	0.0262736595	-0.025139526	-0.0200864001	0.0003805263	0.020849842	-0.004679205	-0.0011798514	0.0180770088	-0.0541409744	0.0027163233	0.0036221602	0.010550919	-0.067003862	0.0889738465	-0.0120382613	-0.0015667219	-0.0125331872	0.0177516162	-0.0324603336	-0.0274421527	0.0470121845	-0.0014764801	-0.0211416154	-0.0068066665	0.0237558494	0.0299582691	-0.0044754333	-0.0435776941	0.0335877373	0.0195411291	0.0146727244	-0.0545768683	0.0654906714	0.0043307663	0.0091255403	-0.0475880551	-0.0158186809	0.0550383058	0.0145075875	-0.0041261757	-0.0271589429	0.0456035254	0.0147598114	0.0306765509	-0.0025125998	-0.0282445379	0.0313926033	0.0074615826	0.002595654	-0.0235703498	-0.0587498362	0.023241933	0.0057316209	0.0151340977	-0.0325361378	-0.0713424459	0.1176999536	0.0143905978	0.0379703436	-0.0508794371	-0.0250991912	0.0720743971	0.0720725975	0.0720695981	0.072065399	0.0720600002	-4.52375e-05	n/a	2.04643140625e-09	n/a	0.012197	n/a	0.0001487668089999	n/a	0.00551768	n/a	3.0444792582399995e-05	n/a	0.0	n/a	0.0	n/a	-0.000452414	n/a	2.04678427396e-07	n/a	-0.000172802	n/a	n/a	2.9860531204e-08	0.0
5504.904492600954	-29.07584630943165	845.4048386096904	30303973.472658165	13097.032172840938	-292.1382265760185	171532251.73643062	85344.74342698112	5268.898361377938	0.2170330812768952	27761289.942531124	0.0471033583685434	6308.289145957397	8152.635192413931	1.221462	45.056675	0.1226507175	0.0701807	0.028664263	0.0599438149	0.0087725208	-0.0302905318	-0.0458968603	0.0681995945	-0.3826648017	0.1445830345	-0.0159507795	0.014345692	0.0720867601	0.0252958139	0.0227246838	0.0404356442	0.0641959313	-0.0120988562	0.0757179504	-0.0175597481	0.0353567855	0.0933042714	-0.0214920127	0.0205458376	0.100017943	-0.0379287854	0.0428550005	0.0222083388	-0.0526952056	0.0686783797	0.0442669487	0.0583207871	-0.0781251245	-0.0026133558	0.0624604616	-0.0058336206	-0.1013009151	0.0327517329	-0.0105147777	0.0369297101	0.0814490516	0.0469020755	-0.0562182362	0.033521554	0.0092914506	-0.125270238	0.0225431633	0.0286624227	0.0633297997	-0.0993356877	-0.0837234339	0.016043566	0.0596933243	-0.0436347546	-0.0737955685	0.0102653953	-0.0663231547	-0.0107880014	0.0205249163	-0.0451860191	-0.0202158317	0.067237164	0.0066645764	-0.0374899517	0.0349598584	-0.0120488407	-0.06356724	-0.0458589091	0.0041337983	0.1046582001	-0.0398077215	0.0782373543	-0.0425001695	0.0132252245	-0.005342193	-0.0817651891	-0.0679724479	0.0261749056	0.0086892107	0.0032558691	-0.0413922626	0.0062766911	-0.0078979176	0.0672845232	-0.031877326	-0.0680082516	0.0399749618	0.0114858546	-0.0247480915	-0.0299900438	-0.093381226	0.0133070625	0.0054708472	0.0031921466	-0.1172072377	0.1142029481	0.0539782541	0.0190777297	-0.0875151566	0.0794956471	0.0035173956	0.0571100462	-0.0389192773	-0.0981264463	0.0334694997	0.0429978415	-0.0700423074	0.0882031223	-0.0089470167	0.0348955214	0.0127000621	0.0213571598	0.0485712764	0.0249743281	0.0340314425	0.0556841166	0.0579169809	0.0625191604	-0.058824177	-0.0246084503	0.0179422469	0.0082917537	0.0086809639	-0.0167434895	0.0161903969	0.0774346541	-0.0065606794	-0.0502104413	-0.0132193165	-0.0067085169	-0.004197799	0.0412372824	-0.006151881	-0.0254631606	0.0268404616	-0.0042411363	0.0010580215	-0.0588556222	0.0548280698	0.0075128869	0.0076056881	-0.097529185	0.0101185629	-0.0648805227	0.0382841283	-0.139341109	-0.1166799548	-0.0795715383	0.0333903445	0.0260632789	-0.0448763083	-0.0103370593	-0.0497132878	0.1315890488	-0.0986086902	-0.005844204	-0.053851707	0.1046315066	0.0447447115	0.002760203	-0.0173240099	-0.0817330935	0.0045886128	0.0280851353	-0.0785931635	-0.0088797024	-0.0421557791	-0.0676167132	0.0570459906	-0.0259393973	0.029054496	-0.0365625064	-0.1051067601	-0.1087508343	-0.0468890273	-0.0691323959	-0.0487895212	-0.0588421513	-0.07743151	0.0031665744	-0.0662610782	-0.0481801442	0.0180452808	-0.2059782917	0.2620416809	0.0471044471	0.1837475335	-0.0099379026	0.0385325479	-0.0130313695	0.0428816637	-0.0201290502	0.0225047667	-0.0332920042	0.0143017429	0.0536529182	0.0106576339	-0.1071401851	0.0272423501	-0.0663482005	0.0188992974	-0.0106276944	0.0014928328	-0.0236126815	0.0088965308	-0.0038329989	0.0161846513	0.0430305926	0.0173253753	-0.0461718555	-0.0090962924	0.0054262078	-0.0759867371	0.047202545	0.0249706582	0.0632051133	-0.021900845	-0.066589508	-0.0010750737	0.0701812621	0.0496851083	0.0016864521	-0.0223578506	-0.068830486	0.0339448894	0.0046708657	0.0853705125	-0.0403066986	-0.0191802774	-0.0421227256	0.0766574499	-0.0233396408	0.0570488555	0.0123821864	-0.0363007478	-0.0405478665	-0.0889875689	0.0032083601	0.0624781312	0.0786694163	-0.0471023334	-0.0141241949	0.0437597673	-0.0302562448	0.0190790726	-0.0713985189	-0.0142211946	0.0381984603	0.0205374394	0.0873789462	0.0251306502	0.0129391686	0.0047824532	-0.0304324339	0.0630931675	0.0041315976	0.0221702586	-0.0006635831	0.0612094858	0.0413425132	0.0175467996	0.0526158429	-0.0460658013	0.0705686819	0.0305195463	-0.096506777	-0.0386350025	0.0163414091	-0.0851876089	0.0929652444	0.0028866262	0.0239315794	-0.0193417457	0.0432754499	0.0411671937	-0.0518209716	-0.0788178578	0.0247244038	0.0556585283	0.0137232625	-0.0190726296	0.0630728281	0.0272891216	0.0139594469	-0.0465047305	0.0348173629	0.0108902761	-0.0919906617	-0.118060369	-0.0794159211	-0.0605656625	0.0286466174	0.0859320891	-0.0807299875	-0.0230879864	-0.0477244232	-0.0436565112	-0.0186472689	-0.0633219628	-0.051044894	0.0146047817	-0.0122254621	0.0221736181	0.0720695981	0.072053402	0.0720264112	0.0719886298	0.0719400635	0.00229386	0.0023390975	5.2617936996e-06	5.471377114506249e-06	0.0622783	0.0500813	0.00387858665089	0.00250813660969	0.050244	0.04472632	0.0025244595359999	0.0020004437007424	-0.000223714	-0.000223714	5.0047953796e-08	5.0047953796e-08	-0.000255235	0.000197179	6.5144905225e-08	3.8879558041000014e-08	-0.000261989	-8.918700000000001e-05	7.954320969000001e-09	6.863823612100001e-08	0.0
5492.273230128096	-12.631262472857998	159.54879165823073	30165065.234381706	13009.876362194094	-87.15581064684375	169256882.95957664	7596.135329508482	5269.040702459424	0.142341081485938	27762789.924174104	0.0202609834785864	6298.656468630459	8064.244920849363	1.135033	41.868515	0.05217043	0.0282289	-0.0054905994	-0.059461577	0.0157654911	-0.0826704587	-0.0176220143	0.089547057	-0.2970927434	0.1703223626	-0.0368065097	0.0097337845	-0.0052395267	-0.0593631722	-1.11972e-05	0.0521296317	0.0172256064	0.0096451366	0.0271260481	-0.007651064	0.0508246973	0.0009643246	0.0587228202	-0.0069606932	0.0398837621	-0.004616367	0.0099121173	-0.0014215775	-0.0278622373	0.0190181346	0.037385701	0.04921971	-0.0088199891	0.0446356005	-0.0369983257	-0.0009326955	0.0541649032	0.0287869227	0.0157414003	0.0449648148	-0.0393756529	-0.0618207424	0.0150876614	0.0228452787	0.0279451222	0.0445470291	-0.0923758792	-0.0253309196	-0.1091835083	0.0590221623	-0.0153192207	0.0440944823	-0.0261099364	0.0951002716	0.063601117	-0.0176076603	0.0586739395	0.0217484678	-0.0235971486	0.0574656811	-0.0363048931	-0.0821795981	-0.0412026032	-0.0278775317	0.0045129255	0.0281754515	-0.0136586247	-0.043019353	0.0545966354	0.0675041038	-0.066699958	-0.0306218536	-0.0121124658	-0.0111139881	0.0497084778	0.0259995132	-0.0865979251	0.0288838515	0.0559699019	-0.0467424273	-0.0279929755	0.0703337542	0.0138186638	0.050307969	-0.0987091626	-0.1474769893	-0.0785833866	0.0632875619	-0.0401500623	0.0566544955	-0.0345918537	0.0539679128	-0.0255232736	0.0126332602	-0.0837985351	0.0737117692	0.0146747753	-0.0606421761	0.0943742514	0.0533480212	-0.0488628016	-0.0046259369	0.0551887311	0.0350473942	-0.0321320734	0.019459358	-0.0401557793	0.0988449799	0.0420476287	-0.0693066855	-0.0062873663	0.1028679583	0.0060691683	-0.0044787794	-0.029976771	0.0657286526	0.002819205	-0.0284720147	0.1034703506	-0.0085432019	-0.0745102968	-0.0620954838	0.0174855803	0.0623122389	0.0022747756	0.0336781497	0.0394748801	-0.1076896193	-0.0113012649	0.0133332395	0.0052570126	-0.0848749199	0.0218380538	-0.0398108317	-0.0015050153	0.0814358113	-0.002345672	0.0383615838	0.04387346	0.0641614328	-0.0305891533	0.0060405088	-0.0414708182	-0.018064579	0.0289577817	-0.0808144785	0.0274493801	0.0233395047	-0.1090491309	0.008577628	-0.0582837911	-0.0040200475	-0.0008344459	0.0111121177	0.0760307492	0.0518268892	0.0386959824	-0.0158161483	-0.0239996204	-0.0684580884	-0.0629668123	0.0296754373	0.0817753747	-0.0651770313	-0.0368922885	-0.0217863366	-0.0131827264	-0.0167312604	-0.0683657299	-0.0191363946	-0.0303542127	0.0537677686	-0.0401143631	-0.0244145215	-0.0726105467	-0.0311798379	0.0044119717	0.017465006	-0.020348755	0.0325045591	-0.0484315832	0.0362516274	0.0998982356	-0.169576295	0.1853167754	0.0221692931	0.1525704404	0.0416039499	0.0650295279	-0.0633501911	0.086384309	0.0233538704	-0.0505345911	0.0143561436	-0.0658922126	0.0147240575	-0.0107293809	-0.0203787677	-0.0346003363	0.0313989762	0.0020608156	-0.0253507604	-0.0088194714	-0.0997536323	-0.0038767349	-0.0489375428	-0.0726990745	0.0303926909	0.0105149402	0.041426746	0.0612528336	-0.0199696012	-0.0024291449	-0.0612554903	-0.0077635971	0.0319174213	0.0122527086	-0.0277872316	0.0432494373	-0.134296657	0.0080678616	-0.0310553032	0.0310962492	-0.1243812141	-0.000336884	-0.0175499251	0.0127117978	-0.0107852801	-0.0199795533	-0.026851378	0.1166133174	-0.0795649459	-0.0105850118	0.0097367266	-0.0358612528	0.0251930004	0.0994165609	-0.0356949165	-0.0018883723	-0.0479903023	0.033406074	0.0142091076	-0.0164131747	0.0239483585	0.0648202862	0.0365202499	-0.0082223151	-0.0475251039	0.0258756794	-0.046922733	0.0652199561	-0.0513865828	0.0590430953	-0.026899997	0.1168581806	-0.0701807157	0.004898676	-0.0184062106	0.0109698868	-0.05003894	-0.0019007356	-0.0123662513	0.0404174468	-0.1149278431	-0.0250500242	-0.0088048548	-0.0505510567	0.022657725	-0.0469198162	0.0248911196	-0.0998633141	-0.0283868215	-0.0350997831	0.0039028325	-0.0088548862	-2.93599e-05	-0.016884119	-0.0278984617	-0.0123942648	-0.1010631783	0.033095041	-0.0583683703	0.0121511039	-0.0524061362	-0.0224974981	-0.1185651593	0.0006633132	0.0152007548	0.0148385891	0.068716925	0.0009285394	0.0363108982	0.0783834364	0.0006978547	-0.0112520261	-0.0568638512	0.0448836903	0.023556221	-0.0551826065	-0.0285530489	-0.0361455864	0.109616138	-0.033350077	0.0720600002	0.0720150162	0.0719400635	0.0718351734	0.0717003896	0.00253309	0.00023923	6.4165449481e-06	5.72309929e-08	0.0410099	-0.0212684	0.00168181189801	0.00045234483856	0.0585742	0.0083302	0.00343093690564	6.939223204000005e-05	-0.000409017	-0.000185303	1.67294906289e-07	3.4337201809000016e-08	-0.000480929	-0.000225694	2.31292703041e-07	5.093778163600001e-08	-0.000226334	3.5655000000000024e-05	1.2712790250000015e-09	5.1227079556e-08	0.0
5501.326422462513	9.053192334416964	81.96029144394605	30264592.40648419	12871.142792768644	-138.7335694254507	165666316.7918402	19247.00328552635	5281.508520885956	12.467818426532176	27894332.256190963	155.44649631697527	6294.326656408784	7915.312346398247	1.206294	44.497154	0.12494428	0.0775581999999999	-0.0208759716	0.0560383416	0.000821625	-0.0203844686	0.0522574897	-0.0306955218	-0.1864198683	0.0676942742	0.0022167597	-0.0805161135	0.022371228	0.0335564869	-0.0222612956	0.043923333	-0.036687488	0.0412254032	-0.0307904682	0.0642012951	0.096587993	-0.0670816344	0.0218507816	-0.1053194793	0.091070115	-0.0281553916	-0.0196620823	-0.048273183	-0.0002644104	-0.042471929	-0.149974994	0.1146321221	-0.0407256806	-0.0665884927	0.005843819	0.0212137438	0.0093161592	0.0327436917	0.0037973184	-0.1146340714	-0.009731138	0.1827790539	-0.0437759703	0.0139917599	0.0019684848	0.0086477187	0.0699247958	0.1028115626	0.0226158567	-0.0382367476	0.0353135674	-0.0704953035	0.0840339689	-0.0436211328	-0.058606046	0.0082385326	0.0214926745	0.0553322711	-0.023915323	-0.0486946741	-0.0362851816	0.0255682575	-0.0420544057	0.0550680597	0.0072718659	-0.059318337	0.0682819414	-0.0178954632	-0.0013680544	0.053518465	-0.0193138157	0.0483277666	-0.0730372429	-0.037588662	0.0187704503	0.0430517603	0.018655007	-0.0124333524	-0.057753908	0.0027405576	0.0090967839	-0.0741193836	-0.0573121956	0.0040576003	-0.0100128043	-0.0074411531	-0.010855073	0.0782040217	0.0407755219	0.0140476525	-0.0852905041	0.1241565743	-0.0335783723	0.0823157868	0.0484508441	-0.1411091742	0.0176473315	-0.0029815755	0.0463030854	-0.0004933639	0.0486337783	0.0202909246	-0.0161598153	-0.0834703149	-0.0334800421	0.0136092805	0.0094667042	0.0229245238	0.0031227809	0.0359338041	-0.037671872	0.0452051742	0.0005722022	-0.0966755986	-0.1027521862	0.052550232	0.0372337351	-0.0103904448	-0.004877506	-0.1002307774	0.0190901685	0.0319757506	-0.0134972287	0.061301521	0.0106081481	-0.0556171923	0.0288579448	-0.0203312969	0.0428862029	0.0103912126	0.0116417898	0.0123268304	0.0175631725	-0.0496917873	0.047067623	0.0001673601	-0.0789620763	-0.0201453633	0.0217733023	-0.0288610654	0.0182257584	0.081867216	0.0189196068	0.0183738483	-0.0405838394	0.048386175	0.0178272956	0.0345641682	0.0750778456	0.0048805796	-0.0438697417	0.0900407602	-0.0952407533	-0.0699233191	0.0272589081	-0.0114051869	0.0756073581	-0.0539220603	0.1082223713	-0.0435047477	0.1199987593	0.0297855897	0.0206684659	-0.0098866734	-0.0014327718	0.0148747444	0.0038910379	-0.0487563463	-0.1054209267	-0.0351427305	-0.0075616398	0.0003196186	-0.0919462494	0.0696475786	-0.0304385132	-0.0589310476	-0.0951293333	0.1162067323	-0.0515758176	0.0336579681	-0.0307854405	0.0362608277	-0.0441514778	-0.1115920499	0.1375344542	-0.0065065116	0.0379766426	0.0137801908	-0.0584678277	-0.0470532681	0.0055817785	-0.0273019131	-0.0075256839	-0.074880157	0.1175522927	-0.0179105723	0.0123512216	-0.0424422477	-0.0392619621	0.0402008014	-0.0666561091	-0.0819559192	-0.0114860343	-0.0372635341	0.022141288	0.0674331098	-0.0410581827	0.0913968501	0.0720764818	-0.0009617736	0.0616977118	0.0021784434	0.0765165483	0.0513927662	-0.0800432547	0.0319591166	0.0837200647	0.1028439393	-0.068167648	-0.0208433756	-0.0215370487	-0.029475633	-0.0136371034	0.0372059148	0.0605223899	0.0188474253	-0.0520753389	0.028278917	0.0587994739	0.1052527661	0.0202011361	-0.0708023624	0.0810738831	0.0009418132	-0.0429130818	0.0487459233	0.0759780382	0.0607499446	-0.0015968516	0.0091725726	-0.007622159	0.0153391604	0.0101460658	0.0425609696	-0.0832675823	0.0675369786	0.0276275171	-0.0601342476	0.0384479518	0.00829573	0.0488188503	0.0178128621	0.0502094406	0.0448881198	0.0222531063	-0.0793665525	0.0254391555	-0.0060718935	0.0174637538	0.0499012575	0.0399163627	0.0582576596	-0.0038067324	0.0036869096	0.036234319	0.013236037	-0.0120658211	-0.0188820833	0.1037013164	-0.0110307439	0.0234884021	0.0509224417	0.0825411319	0.0256379116	-0.0717638681	-0.0211604851	0.0719432798	0.1168899107	-0.0656303708	-0.02838594	-0.0059983299	-0.1208394371	0.0686950334	0.0181939337	0.0137655424	-0.014713344	-0.0073845464	0.0595180288	0.0318852012	0.0206199269	-0.0317657915	-0.067041938	0.0385887557	0.0050816823	-0.0372660346	0.0218620259	0.0545349111	0.0144708388	0.0353046712	0.0218831675	-0.0667414128	-0.0272995166	0.0110388724	0.0720456043	0.0719574502	0.0718106065	0.0716051931	0.0713413775	0.00343432	0.0009012299999999	1.17945538624e-05	8.122155128999997e-07	-0.0256148	-0.0666247	0.00065611797904	0.00443885065009	0.0272971	-0.0312771	0.00074513166841	0.00097825698441	-0.000105848	0.000303169	1.1203799103999998e-08	9.191144256100004e-08	-0.000271106	0.000209823	7.349846323600001e-08	4.4025691329e-08	-0.000236167	-9.833e-06	9.668788899999998e-11	5.577485188899999e-08	0.0
