global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
4386.339645542287	n/a	n/a	19239975.48605604	11658.38448511888	n/a	135917928.80286062	n/a	4216.367950741713	n/a	n/a	17777758.69604187	4972.102269450106	6495.918312564151	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0014316	n/a	2.04947856e-06	n/a	0.112987	n/a	n/a	0.012766062169	-0.219986	n/a	0.0483938401959999	n/a	0.000235509	n/a	5.5464489081000014e-08	n/a	-0.000343427	n/a	n/a	1.1794210432900002e-07	0.000999228	n/a	n/a	9.98456595984e-07	0.0	0.0	0.0
4371.398762278476	-14.940883263810974	223.22999270282688	19109127.138849795	11462.022794467612	-196.36169065126887	131377966.54089512	38557.91355542462	4193.731565151514	-22.636385590199097	512.4059525881734	17587384.440548163	4923.463319124097	6391.225686933425	1.035959	51.228279	0.13163487	0.0733145	-0.0523161868	-0.0053300662	-0.1023565921	0.0765694418	-0.0889118666	0.033798959	0.0372847396	-0.0475288695	0.0719211549	-0.1649409505	-0.148588502	0.0391869865	-0.162487407	0.2591996668	-0.2043594055	0.1042109258	-0.0028766127	0.1445216513	-0.0935888344	0.0831473665	-0.0151751083	0.1159628161	-0.1548086147	0.1313771052	-0.0591137289	0.160787927	-0.0386176344	-0.0553789584	0.0707151639	0.047411983	-0.0272697683	-0.0139389083	0.004652052	0.0788028795	-0.0198700746	-0.064354238	0.0552340685	-0.0047973584	-0.0117189712	-0.0037464571	-0.0240731381	-0.1138044061	0.0864456742	0.1421903249	-0.0935696741	0.0433737176	-0.0527822893	0.0523114582	-0.1399678718	0.2359943935	-0.2786196723	0.0766300113	-0.1651101576	0.0921947428	-0.1282050254	0.0952924235	-0.2261434758	0.193037401	-0.08062889	0.0241940732	-0.0134979114	0.1692090808	-0.1394274238	0.0206239601	-0.0555929186	0.0516934078	-0.0268173721	-0.0793316465	0.1231230675	-0.0173637963	-0.0972737177	0.0319210898	0.0209413906	-0.0054804558	-0.0349125549	0.0423816109	0.0624045779	-0.0424056198	-0.0629558748	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.00669572	0.00526412	4.483266631839999e-05	2.77109593744e-05	0.104607	-0.0083799999999999	7.022439999999997e-05	0.010942624449	-0.153186	0.0668	0.0234659505959999	0.00446224	0.000953173	0.000717664	9.08538767929e-07	5.15041616896e-07	-0.000559396	-0.000215969	4.6642608961e-08	3.12923884816e-07	0.00108941	9.018200000000008e-05	8.132793124000011e-09	1.1868141481000002e-06	0.0	0.0	0.0
4340.373971663229	-31.024790615247184	962.5376327199298	18838846.213891637	11323.191310802527	-138.8314836650843	128214661.46103384	19274.18085664857	4184.122315138939	-9.609250012575105	92.3376858041746	17506879.54804363	4895.168707676232	6312.766840500128	1.010554	49.971951	0.0851358949999999	0.042598	-0.059251012	-0.0456462109	-0.0856717616	0.0482014435	-0.0905843981	0.0511150659	0.0068893932	-0.0464719413	-0.0673890236	-0.0342760598	-0.05313593	-0.1414921398	-0.0207729417	-0.1299454542	-0.1400012533	-0.0708116755	-0.1023618849	-0.0015327012	-0.1062885334	-0.0412093977	0.0458106119	-0.1557896628	-0.0404344319	-0.2299097274	0.0097542006	-0.0160906579	-0.0173855402	-0.1284407428	-0.1170164652	0.166770735	0.0042439381	0.0814608753	-0.1515436591	0.0812160897	0.0180457455	0.0183212976	-0.0063538723	0.1725791989	0.1763997843	0.072506837	0.1520473702	0.1580462213	-0.0100430443	0.0726339438	-0.0679424248	0.064890675	-0.0218975688	0.0043989506	-0.0599808073	-0.0477588112	-0.016862799	0.0611976409	0.0482790541	0.1048523223	0.0361320432	-0.1877652809	0.0327572284	0.1498297456	-0.0839687478	-0.0261330169	-0.1153348022	-0.1544630364	0.0079867171	0.1559026237	-0.0359396349	-0.057029396	0.0239054485	0.0602822752	-0.0462529967	0.2667181982	-0.0396547677	0.1663802519	0.0149414495	-0.0454294346	0.1412484024	-0.0456457816	3.40571e-05	-0.1177328882	-0.0586691622	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.000547075	-0.0061486449999999	2.99291055625e-07	3.7805835336025e-05	0.123434	0.0188269999999999	0.0003544559289999	0.015235952356	-0.142869	0.0103169999999999	0.0204115511609999	0.0001064404889999	0.000330742	-0.0006224309999999	1.0939027056400001e-07	3.87420349761e-07	-0.000700198	-0.0001408019999999	1.9825203204e-08	4.90277239204e-07	0.0008557779999999	-0.0002336320000001	5.4583911424046765e-08	7.323559852838289e-07	0.0	0.0	0.0
4348.767765058715	8.393793395485773	70.45576756610058	18911781.07441377	11316.609153943153	-6.582156859374663	128065642.74310996	43.32478892141293	4204.340067213311	20.217752074372584	408.7574989407969	17676475.40077523	4916.231539293894	6271.8412066286455	0.903608	44.683506	0.13181878	0.0738806	-0.0423218765	-0.0301864291	-0.052026448	0.0027452176	-0.05951447	0.0318483307	0.033598162	0.0075572198	0.1884809689	-0.0416859053	0.1363410705	0.0342486104	-0.0288456968	0.0522821998	-0.001135723	-0.2230694729	-0.0505203142	-0.000956729	0.1286977904	0.1214968755	-0.0252017075	0.1354016336	0.008394345	0.0399654114	-0.0532485748	0.0287084725	-0.0093233013	-0.1175550551	-0.1095544555	-0.0531553126	-0.0026117319	0.1197098196	-0.0355602744	0.0701222565	-0.0082596621	0.0088610604	-0.0192194879	-0.0627319742	-0.166797079	-0.0499237103	-0.0595667755	-0.0522062996	-0.0491337047	-0.1800048345	-0.0607535408	0.0411747072	-0.0144696313	0.0716076339	0.0837232972	0.1384441185	-0.0882550197	0.0092588561	0.0622406084	-0.045019223	-0.0138423104	-0.1107693835	-0.1429195904	-0.1604500404	-0.0812344736	-0.1623174166	0.0908581833	0.1075197582	-0.0517170989	0.0102172399	-0.10039024	0.0155493284	-0.0093664817	0.0911419489	-0.0636788576	0.109038656	-0.0311261591	-0.0416584308	-0.1101735548	0.0785155668	0.0008405157	0.1115475464	-0.0460093183	0.0852258953	0.0535976755	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.00664728	0.006100205	4.41863313984e-05	3.721250104202501e-05	0.0810216	-0.0424124	0.00179881167376	0.00656449966656	-0.0903785	0.0524904999999999	0.00816827326225	0.0027552525902499	-2.61745e-05	-0.0003569165	6.8510445025e-10	1.2738938797225004e-07	-0.000700198	0.0	0.0	4.90277239204e-07	0.000596381	-0.0002593969999999	6.728680360894813e-08	3.55670297161e-07	0.0	0.0	0.0
4346.661747447591	-2.106017611124116	4.435310178364929	18893468.34672414	11301.578359475609	-15.030794467544183	127725673.41536738	225.92478232555683	4202.824790035825	-1.515277177486496	2.296064924611441	17663736.215739675	4902.86608357958	6346.974187255982	0.864896	42.769173	0.027235265	0.0155144	-0.0411943546	-0.0378778374	-0.0664083284	0.0205961841	-0.0585318421	0.0371255513	0.1706859423	-0.013266495	0.214478678	-0.1260946363	0.029291123	-0.0379487682	0.0501526036	-0.0688795495	0.1249053502	0.1499045205	0.038681219	-0.1608357799	-0.0061302238	0.0921104807	0.123902045	0.0828187333	0.020376907	0.0458910714	-0.0665788617	0.0597963194	0.166038093	-0.0146712427	-0.0715480603	-0.0459316635	-0.1075292746	0.0836816214	0.0580453387	0.0277004088	0.0449308453	-0.1086335646	-0.0545545021	0.0131859933	-0.0266931882	0.1332881521	-0.1347440467	0.1103579425	0.0217812742	0.0815607035	-0.0517552865	0.0482439362	-0.0160573671	0.1304376198	0.1826814677	0.0955935316	-0.0493800898	0.1715542498	0.0752958725	-0.0399920201	0.0806309165	0.0835141662	0.0643463904	-0.0185095063	0.2682190394	-0.0935741877	0.0220464553	0.0270749367	-0.0353464452	-0.043813855	0.0552199822	0.0479847331	0.0482887192	0.0978629435	0.0097564304	0.0384874575	0.0097524116	-0.0906010015	-0.0324249851	0.0751016771	-0.0611834739	0.0687442439	-0.1426779203	0.0058181451	0.0683817844	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.00216593	-0.00448135	4.6912527649e-06	2.00824978225e-05	0.0948486	0.013827	0.000191185929	0.00899625692196	-0.0951795	-0.004801	0.00905913722025	2.3049601e-05	-6.76728e-05	-4.14983e-05	4.57960785984e-09	1.7221089028899995e-09	-0.000700198	0.0	0.0	4.90277239204e-07	0.000637401	4.102000000000001e-05	1.6826404000000006e-09	4.06280034801e-07	0.0	0.0	0.0
4323.201591302372	-23.460156145218207	550.3789263580196	18690071.999039367	11223.35802590772	-78.22033356788779	125963765.37770724	6118.420583471634	4191.549078728282	-11.275711307542224	127.14166549103555	17569083.679387912	4892.027997286894	6205.366442388816	1.019966	50.437393	0.06856054	0.0327073	-0.032944362	-0.0379752872	-0.0345510015	-0.0263233512	-0.0375690452	0.013801582	-0.0096894645	0.0483126768	0.0576099608	0.2628794857	0.0220048475	-0.0047874951	-0.0544158108	0.0278295293	-0.0047635161	0.0841975708	-0.1759380233	0.16687619	0.04675574	-0.1631438233	-0.1230107568	0.003060171	-0.0014606862	0.0512389192	0.1782384015	-0.1278195477	0.094725373	0.0268849064	-0.1118426876	0.0816747682	-0.1378762831	0.0162778323	-0.1231447038	-0.006833384	0.063701628	0.0163331262	-0.1265285946	-0.058773353	-0.0860900073	-0.1440703422	-0.0404400021	0.0044336891	0.1287526159	-0.0812013156	-0.0310931413	0.03743802	-0.0040907951	-0.0293600912	-0.1104779612	0.1200887807	0.1388145705	-0.1607838697	0.1353714416	-0.1448492566	-0.068749589	-0.0678444726	0.1088218579	0.0893263431	-0.0813317238	0.1260855964	-0.0136282883	0.0992504196	-0.0155420829	-0.1844449144	0.0244095034	-0.0415046895	0.1227070358	0.0235166738	-0.0205798921	0.152789843	-0.0064389179	0.0411841538	0.044733108	-0.2125839812	-0.0851196147	0.0491928883	-0.0519424854	0.118766818	0.0054676715	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	-0.00567977	-0.0078457	3.22597872529e-05	6.155500849e-05	0.0911483	-0.0037003	1.3692220090000026e-05	0.00830801259289	-0.0717925	0.023387	0.0051541630562499	0.000546951769	0.000253134	0.0003208068	6.407682195600001e-08	1.0291700292624003e-07	-0.000658336	4.186199999999993e-05	1.7524270439999941e-09	4.33406288896e-07	0.000327519	-0.000309882	9.602685392400001e-08	1.0726869536100001e-07	0.0	0.0	0.0
4335.194658944255	11.99306764188259	143.8336714627712	18793912.7309388	11285.58255696467	62.22453105694876	127364373.6500652	3871.892265257181	4201.403534385947	9.854455657664404	97.11029630887396	17651791.658750728	4904.608674714399	6262.231573860331	0.915525	45.272797	0.1020721799999999	0.0549617	-0.0354005155	-0.0383861189	-0.0282194221	-0.0223076884	-0.0436060043	-0.0230506538	0.067463225	0.0622608745	0.0031268839	-0.1106240323	-0.0107540367	0.0411134847	-0.0269108335	-0.1346453301	0.1533839413	-0.0717059251	0.0433527085	0.0710368075	-0.0511064572	-0.2160882336	-0.0438065186	0.0031966523	-0.1150690326	0.0493160852	-0.1440253263	-0.0906221053	0.0533621096	0.111492422	-0.0164487338	-0.008280052	-0.0222179127	-0.0033101801	0.0689390115	-0.0309086355	0.0533150291	0.3322929952	0.0093924017	-0.0295940935	0.1020637667	0.1139837805	0.0646351162	-0.0388429911	-0.2221687223	0.0064213142	-0.0388588561	0.0006073004	-0.0052576103	0.0944281608	0.0573922187	-0.0155608449	-0.0208274942	0.0282534164	-0.0062779693	-0.0083054572	0.092174185	0.0285715898	0.2426887178	-0.089606596	-0.0655221148	0.0258707827	-0.0959925251	0.0739639595	-0.0738615266	0.0647650008	0.1588244905	0.1244578841	-0.0213525482	0.0695124636	-0.0423332979	-0.0494554974	0.0589658817	0.0181369661	0.1186903057	-0.1442710661	0.1659906337	-0.0178395542	0.1714901464	0.0850109699	0.1701566333	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	-0.00386289	0.0018168799999999	1.49219191521e-05	3.3010529344e-06	0.0657698	-0.0253785	0.00064406826225	0.00432566659204	-0.0321004	0.0396920999999999	0.00103043568016	0.0015754628024099	0.000196025	-5.710900000000001e-05	3.8425800625e-08	3.261437881000001e-09	-0.00112886	-0.0004705239999999	2.21392834576e-07	1.2743248996e-06	0.00050358	0.0001760609999999	3.0997475721e-08	2.535928164e-07	0.0	0.0	0.0
4330.916939770694	-4.277719173561309	18.298881327854048	18756841.53919275	11232.357650299433	-53.22490666523663	126165858.3842402	2832.8906895231507	4179.751407378773	-21.65212700717348	468.814603934771	17470321.827484835	4879.147570757983	6261.893340972659	0.992002	49.054562	0.03328721	0.0143776	-0.0160788454	-0.029887377	-0.0200506577	-0.0033083609	-0.0263656118	0.0217111159	-0.0966191249	0.0328979956	-0.0148634034	0.0862573871	-0.0931516036	-0.0646060763	0.0519434242	-0.0255409089	0.1098910151	-0.041903879	0.0167218606	0.0122085621	-0.1580574146	-0.1783139237	0.0866602216	-0.0642781187	0.1319863356	-0.1080652835	-0.1098608762	0.0244862751	-0.0475880435	-0.0450803099	0.0790888173	-0.0766525157	-0.0358555526	0.0628897611	-0.0281872314	0.2910519044	0.0203503246	0.0076395599	0.2377985879	-0.0826871634	0.0039226106	-0.2260095132	-0.1770382261	-0.0616709426	-0.005539191	0.0793591225	-0.0187491265	0.0238160477	0.04242111	-0.0525063246	-0.0493410488	-0.0250342415	0.1693559038	0.0390935565	0.0074989211	0.1017406495	0.000269132	-0.0479563489	0.1446637704	-0.05367579	0.0399955898	-0.0098241209	-0.1785623408	-0.0470870247	0.1290920705	0.0720468798	-0.006120767	0.1784894228	-0.0101499377	-0.032513824	0.0341169607	0.0377304457	0.0094447092	-0.1111026217	-0.0771583343	-0.0062883076	-0.0231688564	0.2514097702	0.1201568831	0.0531622943	-0.3499200034	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	-0.0117597	-0.00789681	0.00013829054409	6.23596081761e-05	0.060749	-0.0050208	2.5208432640000055e-05	0.0036904410009999	-0.0382708	-0.0061703999999999	0.00146465413264	3.807383616e-05	0.000330743	0.0001347179999999	1.09390932049e-07	1.8148939523999995e-08	-0.00105761	7.124999999999992e-05	5.0765624999999885e-09	1.1185389121000002e-06	0.000581596	7.801599999999998e-05	6.086496255999997e-09	3.38253907216e-07	0.0	0.0	0.0
4305.472278049907	-25.444661720786826	647.4308100852744	18537091.537056256	11208.116314949308	-24.241335350125155	125621871.32943285	587.6423395572275	4192.572070432316	12.820663053542376	164.36940113246652	17577660.565769114	4888.116351375645	6168.625894965368	1.006539	49.773418	0.0705958499999999	0.0420517	-0.0145353463	-0.018057297	0.012392764	-0.0454462711	-0.0097387592	0.0080746067	-0.0471379625	0.0654335613	-0.0820846582	0.0109676321	-0.0328007123	0.1700377498	0.0382540578	0.0985325132	-0.0248188436	-0.0248026419	0.0657629699	-0.1108144942	-0.17580443	0.111828997	0.0493626663	-0.0076161105	-0.0088372502	-0.1054227821	0.0737357148	0.0947924776	0.060705577	-0.0042414753	0.0328933819	0.083723506	0.0390666684	-0.2022084118	-0.1495964949	-0.0395913034	-0.0019455728	0.0049934347	0.0645931094	0.1347452822	-0.1394419277	-0.0641481561	0.0353692121	0.1934980069	-0.0279081361	-0.1208876665	-0.0103347485	0.0043790111	0.0236617462	0.0024213144	-0.0168450178	-0.0477660755	0.0496821884	-0.066684873	-0.1945196587	0.030839729	-0.058491767	0.0610422907	-0.1313635822	-0.0042672034	0.0314143216	-0.1232169549	-0.1278815406	-0.1101116618	0.0252946597	0.0671544646	-0.0429998806	-0.0400418205	0.0867778007	0.0012400889	0.0007879597	-0.1357358105	0.0955481529	0.0048501951	0.0768645883	-0.0849201087	-0.0026921687	-0.0865275842	-0.3114306308	0.0993131594	-0.1208143019	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	-0.0120845	-0.0003248	0.00014603514025	1.0549504000000007e-07	0.053162	-0.0075869999999999	5.756256899999994e-05	0.002826198244	0.00177425	0.04004505	3.1479630625e-06	0.0016036060295024	0.000645243	0.0003145	4.16338529049e-07	9.891025e-08	-0.00114408	-8.646999999999995e-05	7.477060899999991e-09	1.3089190464e-06	0.000529786	-5.181000000000001e-05	2.6842761000000006e-09	2.80673205796e-07	0.0	0.0	0.0
4330.469398271913	24.997120222005837	624.8560193934129	18752965.209369503	11253.752914976523	45.636600027215536	126646954.6713426	2082.699262044049	4192.990325666423	0.4182552341071641	0.1749374408580387	17581167.871132214	4891.951862079965	6225.603952578414	0.901944	44.601223	0.0347852	0.0228545	-0.0092100883	-0.0187611366	0.0066758388	-0.0307666013	-0.0073030568	0.0132571313	0.0077997745	0.1793132341	-0.0789901192	0.097901979	-0.0881479117	-0.0828453833	-0.0231322688	-0.1621801179	0.1224845761	0.0198425372	0.1291030075	0.1077439209	0.0275096773	0.0717962907	0.0558223862	0.1553616094	0.0568730879	-0.0765927254	0.1070839641	-0.0125052461	-0.0605327615	-0.0642509094	0.0915372914	0.0532146788	-0.0015937108	-0.0635463092	-0.1255440777	-0.0327193703	0.02087964	-0.2291898393	-0.1563503387	0.1161834042	-0.0814404676	0.0831710512	0.090743831	-0.2136689589	-0.1134771328	0.1239234821	-0.0075313814	-0.0034060859	0.0098239589	0.1120069542	-0.064691574	-0.0312558368	0.1921385453	-0.0324589309	-0.0401461214	0.2158756002	0.0962606997	0.0616741912	0.1512277311	-0.0308690597	0.0426394443	-0.0224035488	0.0575642036	0.0985083493	0.0214085043	-0.0452875166	-0.0919255299	-0.1546080751	0.0681142814	-0.0744901998	-0.0022308576	0.0321644762	-0.0436882254	0.0624504182	-0.125121886	0.0076366857	-0.043969281	-0.0178156057	-0.214948568	-0.1239920167	0.1426314364	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.0100962	0.0019883	0.00010193325444	3.9533368900000005e-06	0.0532286	6.659999999999999e-05	4.435559999999999e-09	0.00283328385796	0.0150884	0.01331415	0.00022765981456	0.0001772665902225	0.000330743	-0.0003145	1.09390932049e-07	9.891025e-08	-0.00115345	-9.37000000000008e-06	8.779690000000153e-11	1.3304469025000005e-06	0.000594239	6.445300000000001e-05	4.1541892090000024e-09	3.53119989121e-07	0.0	0.0	0.0
