global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
5090.552273374039	n/a	n/a	25913722.4479536	9887.782571925836	n/a	97768244.18968032	n/a	4919.840169998178	n/a	24204827.2983277	n/a	4928.304933558972	7431.224568040453	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00110391	n/a	n/a	1.2186172881000002e-06	0.107852	n/a	n/a	0.011632053904	0.0486921	n/a	n/a	0.00237092060241	0.00150997	n/a	2.2800094009e-06	n/a	0.000719802	n/a	n/a	5.181149192039999e-07	0.000982451	n/a	n/a	9.652099674010002e-07
5065.163093328832	-25.389180045207468	644.6104633679611	25655877.162020497	9675.5154778747	-212.26709405113616	93615599.76259288	45057.319216913886	4912.404692635659	-7.435477362519123	24131719.86422884	55.28632360853433	4920.806099278586	7264.227331960092	1.154017	43.911366	0.1401663699999999	0.0608157	-0.0739203778	-0.0095195405	0.0164620739	-0.0546583596	0.001384634	-0.0371398437	-0.0705593746	0.14354884	-0.0942203107	0.0218496864	-0.0049823932	0.2752433012	-0.2103903265	-0.0878099109	0.0041312338	-0.0455137889	-0.0165806167	0.2363321656	-0.0796963238	-0.0824289845	-0.077192957	-0.0610081914	0.0238007014	-0.0090020729	0.0100309266	0.0904958387	-0.1021901062	0.0074849754	-0.0374496199	-0.0176221554	0.0120001331	-0.0421993992	0.0201755012	-0.0016715288	0.0350490132	-0.0622372713	0.0148018689	-0.0116279621	0.0619172194	-0.0306211561	0.0087989264	-0.1199223192	0.0305730904	-0.064474466	0.0225929704	0.0655541926	-0.0057340386	-0.0125843024	0.026620735	-0.0411478921	0.0354040849	0.0066963556	-0.0763042279	-0.0171444898	-0.0355128272	0.0706555665	-0.1056837285	0.0089403277	-0.0946382556	0.0305440838	-0.0085477677	0.0250642082	-0.0118122836	0.0815709009	-0.0827654752	0.0116270451	-0.0827512647	0.022299001	-0.0471584291	0.0596633431	-0.0071595398	0.0432975547	-0.0496345858	0.0305432831	-0.0665984887	0.0097432802	-0.0498067832	0.0289776259	-0.0353073894	0.0194651821	0.0004433161	0.1337270267	-0.0163437401	0.110435574	-0.0529204383	0.0417338515	-0.0127959388	-0.0257968483	0.0652155959	-0.0633508324	-0.0332839993	0.0999065021	-0.0683021013	0.0191834244	0.0561878842	-0.0297747418	-0.0088176299	0.0548705831	-0.0187204073	-0.0037043299	-0.0351951502	0.0009865135	0.0139297213	-0.0046165414	-0.0921832283	0.0314397182	-0.0166267285	-0.0506474183	0.0059715008	0.0345108209	-0.0675763499	0.0538524157	0.0600617965	-0.0638030471	-0.0231516376	0.0554483023	-0.0063140574	-0.0276580324	0.0934903546	0.0082309765	-0.0272769692	-0.0354614676	0.0149952006	0.0430760693	0.0299968638	-0.0313672677	-0.0147727127	0.0458038907	0.0460114292	0.0358408762	0.0273539572	-0.0040067364	0.0061435482	0.1142439456	-0.0513554793	0.0095101906	-0.0079821856	-0.0187581574	0.0109811261	-0.0640533677	0.0319531301	-0.0013041123	0.0695949064	-0.037376432	0.0340584505	-0.0199558873	0.0800035203	-0.0379470115	0.0741961612	-0.055049354	0.0572320087	-0.0113575031	0.0178413802	0.0317767882	-0.0272329221	0.0331167972	-0.0178932945	-0.0337246146	0.0904166673	-0.0342995872	-0.0510338495	-0.0026073098	0.0033527774	-0.0367120817	0.0080133403	-0.1175461862	0.0756665909	-0.0709549722	0.0251919525	-0.0233251868	0.0251045875	-0.0191252234	0.0291569643	-0.0671096172	0.0534025342	-0.0820154709	0.0973253971	-0.0543407053	0.0198836926	-0.0188244266	0.0080552619	-0.0478553681	0.0327786406	-0.0087460129	0.024538621	-0.0712808041	0.0718147766	-0.020599242	0.0125641232	-0.1129010568	-0.005481684	-0.1038965125	0.0928066384	-0.053214685	0.033986824	-0.0114565429	-0.0693972713	0.0188231798	0.1421994247	-0.0722755383	0.0247718858	0.010941068	-0.016039134	-0.0137839602	0.0556208187	-0.0022725529	-0.0543920568	0.0079675756	0.0080768822	-0.0456447763	-0.0045390483	0.0923992842	-0.0609784082	0.0297215834	0.0228962719	0.0121897127	-0.0174241427	-0.0258251919	0.0366530578	-0.0051036775	-0.0653981706	0.0803418853	-0.0355960048	-0.0080917747	-0.0292160538	0.0832906642	-0.0236672413	-0.0656713713	0.0320407078	0.0344258949	-0.0277210722	-0.0160436355	0.0097189447	0.0163962223	0.0166151974	-0.0077232161	-0.0361143632	-0.043126887	0.0721681798	0.0721663684	0.0721633495	0.072159123	0.0721536891	0.0	-0.00442516	-0.00552907	3.0570615064900006e-05	1.95820410256e-05	0.147929	0.040077	0.001606165929	0.021882989041	0.0209094	-0.0277827	0.00077187841929	0.00043720300836	0.000609306	-0.000900664	3.71253801636e-07	8.11195640896e-07	0.000340914	-0.0003788879999999	1.4355611654399996e-07	1.16222355396e-07	0.000926451	-5.600000000000006e-05	3.136000000000006e-09	8.583114554010001e-07
5066.184687489136	1.0215941603046303	1.0436546283685229	25666227.287749395	9627.70201718106	-47.81346069364008	92692646.13163224	2286.1270235022653	4905.935993162623	-6.468699473035485	24068207.96900853	41.844072872449566	4914.726227769539	7254.181069979424	1.028116	39.120708	0.18245174	0.123896	-0.0719897841	-0.039124432	0.1415026646	-0.026725904	0.0315828598	-0.0757633644	-0.105982318	0.1523787171	-0.0616174607	0.0787246143	0.0360640855	0.1654358977	-0.0559627332	-0.11773057	-0.0883947706	-0.0591203108	0.0334456145	0.1708843004	-0.1354395575	-0.0799573474	0.0174019218	-0.0744654977	0.0453004411	0.009153428	0.0640627149	0.112301027	-0.0582471619	-0.0135828477	-0.0302195594	0.0187342661	0.059027728	-0.0641896324	0.0041622045	0.0474936042	0.0643017234	0.0712417976	-0.039579662	0.0399029167	-0.0040086963	-0.1114175476	-0.0371971144	-0.0572083088	-0.0129718566	-0.0206114563	-0.1111181774	0.0427005257	0.0831587931	0.0004547159	0.0013701105	-0.0209287132	0.0056935776	0.0746662018	0.0170028066	-0.0187877652	-0.0267675264	0.0489733995	-0.0426647801	-0.0672990183	0.0251118294	0.0335898523	-0.104437017	-0.0321659871	-0.0119351474	0.0311649451	-0.0389921568	0.0665993611	-0.0329453381	0.0050104046	-0.0527226773	0.0093925669	-0.0150533081	0.0028030986	-0.0013245569	0.0256739352	-0.0571455549	0.0409406835	-0.016411413	0.0495781077	-0.0675389045	0.0067092872	0.0073507525	0.0104632088	0.0936187389	0.1010750713	0.0461116219	0.0454874121	-0.0240669008	-0.0105618061	0.0870065433	0.0136392947	-0.0764201371	0.0276965743	0.0499771054	0.0175128497	-0.0089049512	0.0957106756	0.0574207261	0.0023100497	0.0130455715	0.034054308	-0.0328977487	-0.0978643653	0.0037136287	0.0573362828	-0.0042435356	0.0330379438	-0.0212331213	-0.0178008141	-0.0382122037	-0.0072746082	0.087749107	0.092712369	-0.0301466358	0.015272821	-0.0616381769	0.0731062897	-0.0629165869	-0.0432987483	0.0128314904	0.0992779914	0.0340204038	-0.0187053729	0.0378111539	0.0063961404	0.0548498614	-0.0253341589	-0.0123880913	-0.0449962522	0.0392545953	-0.049154124	0.0485542441	0.0053833653	0.0595954134	0.1253287336	-0.0239818294	0.03847342	-0.0023353287	0.0059647548	-0.0593546196	-0.0702045744	0.0191448584	0.0597628919	0.0597521545	0.0349689273	-0.0800883189	0.0401430944	0.0054643909	-0.1051669466	-0.0152641391	-0.0621357538	0.0084309782	0.0331461482	-0.1062461452	0.0309180515	-0.1004938783	-0.010630153	0.0120364514	-0.0050119068	-0.0075880328	0.027993767	-0.0616093191	0.0213792722	-0.0121583187	-0.0215056399	-0.0763615293	-0.0463314821	0.0342133438	0.0350590178	0.073469124	0.0809257389	0.0424743276	-0.0068340653	-0.0632284728	-0.0456485321	0.0184011996	-0.0304625026	0.0740066423	-0.0110899628	-0.015985866	-0.0003322948	0.0270394057	-0.0501398355	0.0028055095	-0.0074808858	-0.0043476202	-0.0369335279	0.0965418736	0.0093474347	-0.0117773615	0.0100461291	-0.0829244416	-0.0965106365	-0.0007041863	0.0028391848	0.0285351323	-0.0070632967	-0.0941236314	0.0299313526	0.0375309003	0.0314766778	-0.0814742795	0.0081268965	0.0082235596	0.0279408349	-0.0697145286	0.0049577283	0.0140298728	0.068938317	0.0010364266	-0.0807158147	0.055438512	0.0017577899	0.0363139431	0.0323591	0.0141175963	-0.021922194	0.0166110911	0.0426672551	-0.0702236744	0.0794735055	-0.0546771352	0.0013095034	-0.019607144	-0.0271831295	-0.1137843097	-0.0384082681	-0.062779942	-0.044744429	0.0027596833	-0.0476550692	-0.014216548	-0.0302893649	0.0493471201	0.0261939632	0.0063575157	0.0565761275	0.0176993681	0.0051046916	0.0721633495	0.0721470478	0.072119881	0.0720818532	0.0720329701	0.0	-0.0194022	-0.01497704	0.0002243117271616	0.00037644536484	0.0262721	-0.1216569	0.01480040131761	0.00069022323841	0.0142203	-0.0066891	4.474405881000002e-05	0.00020221693209	0.000963437	0.000354131	9.28210852969e-07	1.2540876516100005e-07	0.000539896	0.000198982	3.9593836324e-08	2.91487690816e-07	0.00069699	-0.000229461	5.265235052100001e-08	4.857950601e-07
5062.958029996155	-3.2266574929808485	10.411318577009457	25633544.01350255	9581.53976338751	-46.1622537935491	91805904.237376	2130.953675300038	4927.534296335226	21.598303172602755	24280594.24155989	466.4866999356622	4934.514424211213	7289.109484264457	1.073089	40.831974	0.2141727	0.143713	-0.0572301616	-0.0505030297	0.0164288347	-0.0059696738	-0.0312270593	-0.1132089222	-0.0575056049	0.1442929054	-0.0590057327	-0.0068798163	0.0251604539	0.1612717941	-0.0204085093	0.0086668999	-0.0915298963	-0.0443813556	-0.0717539501	0.1370752378	0.0111627936	-0.0266815461	-0.0052354236	-0.0296855443	0.0249730534	-0.016478685	0.0371594257	0.0361561048	0.014765509	0.03836977	0.067325597	-0.0221878072	0.0198642207	-0.0700920708	0.0141104367	0.0179249044	-0.0140707547	0.026609932	0.0283848753	0.0032023122	-0.0189708683	-0.0963075875	-0.137834099	0.0178290314	0.0087741551	0.0162193493	-0.0222460305	-0.0303583736	0.0074969018	-0.0436668056	-0.0571026051	-0.018110914	0.0020740107	-0.1145984302	0.0006388103	0.037212308	0.0048882214	-0.0086878179	0.0282106485	-0.0599908752	-0.0477839773	-0.0351069596	-0.0146157841	0.0029693046	0.0522630271	-0.0251503079	0.044996103	0.0089870583	-0.0264616986	0.0030837771	0.087176434	-0.0564280428	0.0289205595	-0.0313719395	-0.0491545894	0.0241080646	-0.0045178497	-0.0437179315	0.0494649465	0.0054536732	0.0187271277	0.0812867241	0.0445058705	-0.0054198454	-0.0433715961	-0.0322343156	-0.0107988918	-0.0313613351	-0.0455333279	0.0087888773	-0.0035515343	0.0153401505	-0.0263980375	0.0531325097	0.0291398547	-0.0438250981	-0.0323393579	0.035960184	-0.0239765044	-0.1205220673	0.0292603272	-0.0372102682	0.0535069403	0.0598721514	-0.0464961992	0.0610191284	-0.0247118513	0.0458927861	0.0563871024	0.0237472089	-0.1075895973	0.0007798078	-0.0360230063	0.1057820857	0.0926873532	0.009580491	0.0196713853	0.0170124446	0.0172601684	0.1243708736	0.0041814282	0.0338711657	-0.061821337	0.0476507603	-0.0615579796	0.0825325516	-0.0037431241	0.020766963	-0.0169143081	-0.0486742934	0.0337552282	-0.0229817413	0.0281662703	-0.0169268094	0.0461590411	0.0506964626	0.023197553	-0.0521813596	0.0822314514	-0.0192340502	-0.0185094737	-0.0545641041	-0.0003137008	0.0468331396	-0.0258278902	0.0292159745	0.0108973065	0.0177502949	-0.0028767396	-0.0471484999	-0.1262322214	-0.0932677883	-0.0149687803	0.007096326	-0.022066434	-0.0200564	0.0075098447	0.0206977971	0.0738190136	-0.024654888	0.0319184469	0.0046469676	0.0998949518	-0.0156765906	-0.0247993025	0.0324196257	-0.025133569	0.0428704411	0.0638978877	0.0025867827	-0.0359695277	-0.0084767986	0.0332400985	0.0508643125	-0.0343150904	0.0323177338	0.0128455275	-0.0253343439	-0.0686587649	0.056925655	0.0269618936	-0.0037053652	-0.0455310401	-0.0282110208	0.07481566	-0.0239757559	0.0565103297	0.0354031105	-0.0348603285	-0.0072457095	-0.088518586	0.0007161718	0.0502651565	0.017876689	0.0261016788	0.0225684699	0.0397403128	0.013589489	-0.0045855353	-0.0203256561	-0.0087969188	-0.0135220731	-0.0427413987	-0.048532348	0.0576585573	0.0176278307	-0.025695301	0.0593483794	0.1058959633	-0.0236969659	0.0530874109	0.0710797714	-0.0023108752	0.0832097332	0.0406383748	-0.0115035285	0.0178875638	-0.0279059512	-0.0681625182	0.1134474466	-0.0114887214	-0.0619670515	-0.0922207422	0.0234769439	-0.0418677004	0.0526777176	-0.0091279125	0.0266046744	0.1026665574	-0.0296875269	0.0817439699	-0.0057073801	0.0957349325	-0.0665743122	-0.026303062	0.0485767143	-0.0267341302	0.047851256	0.022724174	0.059654827	0.0721536891	0.0721084116	0.0720329701	0.0719273963	0.0717917343	0.0	-0.019312	9.020000000000208e-05	8.136040000000376e-09	0.0003729533439999	0.165176	0.1389039	0.01929429343521	0.0272831109759999	0.0487086	0.0344883	0.00118944283689	0.0023725277139599	0.000492054	-0.000471383	2.42117138916e-07	2.22201932689e-07	0.000197473	-0.000342423	1.17253510929e-07	3.8995585729e-08	0.00069699	0.0	0.0	4.857950601e-07
5057.09337096142	-5.8646590347352685	34.39422559370201	25574193.36262194	9536.13544063007	-45.40432275744024	90937879.14204088	2061.5525250618057	4938.446065417615	10.911769082388671	24388249.54103872	119.06670450737334	4946.107756029992	7227.083466598993	1.080556	41.116108	0.0684583499999999	0.0426406	-0.003049393	-0.0565117962	-0.0166068026	-0.0063609319	-0.0500670272	0.0183714462	-0.0468803911	0.1036365937	-0.0764738099	-0.0027324441	-0.0271261367	0.0849012026	-0.0843581465	-0.053087587	-0.0123737409	-0.0725692071	-0.0878064549	0.041169546	0.0546591305	-0.0580485129	-0.0346995066	0.0131230193	-0.0555754384	-0.0678255552	-0.0333732696	-0.032502096	-0.0876974602	0.0371813133	-0.0472135502	-0.0732731843	0.0221964946	-0.0142958669	-0.0370451202	0.0325897134	0.0221548136	0.0349936941	-0.0351793866	0.0735888382	-0.0427614783	0.0022880795	-0.0144936948	-0.0074111398	0.1055304052	0.0132492057	0.0665679208	-0.0162692328	0.0245636537	-0.0499266201	-0.0561231833	0.0415547794	-0.0244967264	-0.0233556052	-0.0076444654	0.0253102754	-0.0698694368	0.0281517324	-0.0069948439	0.0984754198	-0.0636377774	0.0007934239	-0.0233242879	-0.0102467698	-0.0782674901	0.0477805075	0.0172248729	0.0324158931	-0.0227869483	-0.0605639473	-0.0310778588	-0.0256349822	0.0021512685	0.005736197	0.0059149224	0.0104143801	-0.0538455938	0.0597095448	0.0552892526	0.0074292584	0.0626828793	0.0073550122	-0.0261382641	0.014248532	0.0304338124	-0.073788036	-0.0621802012	-0.0509785424	0.0703923881	-0.0010612679	0.0150364	0.0015012184	-0.0964661298	0.0031462284	-0.0138239343	0.0597241062	-0.0673281911	-0.0320375192	0.0432092968	0.0792024007	0.0023550021	0.035684833	-0.0725294071	-0.0174216937	-0.0395902015	0.1340653911	-0.0255326965	0.0302602253	-0.0163612657	-0.0072497803	0.0071876365	-0.0008172136	-0.0549313736	0.0049202791	-0.0339258285	-0.0129714322	-0.0504283677	-0.064384548	-0.0184035453	0.0407822506	0.03349799	-0.0281507893	-0.003237908	0.0807502745	-0.0536385414	0.0384837048	0.0703889387	-0.0108083304	0.0292058949	-0.0177688665	0.0395288061	-0.0243893594	-0.0610565211	-0.0576509014	-0.042686394	0.0032176255	-0.0886669668	-0.0312958874	-0.0286681221	-0.0720142252	0.0059411076	-0.0343558187	-0.0294307835	0.0025462509	0.0265135529	-0.0025631506	-0.0582195816	0.0704434203	-0.0554372629	-0.0158267352	0.0109530226	-0.0122540871	0.0366136427	-0.088662635	0.0575771297	-0.0246365666	-0.0038126559	0.0241010409	0.0670603466	0.0328665654	-0.0038412631	0.0190365027	0.0357369908	-0.0291934404	-0.0678882127	-0.055882373	0.100045195	-0.0253030349	0.0419065472	-0.0379462958	-0.0073258737	0.023021034	0.0518019852	-0.1003615263	-0.0155457311	-0.0034993624	0.0684698659	0.0181037415	0.0282967425	0.0244702031	-0.0027423161	0.0070595192	0.0250944886	-0.0738795434	0.0313962559	0.0056165213	-0.0394522484	0.0190086115	-0.0388332335	0.0397270332	-0.0079170828	-0.0241358485	-0.0310330065	0.096262259	0.023927802	-0.0295748683	-0.0800997293	0.0063443211	-0.0342492386	-0.0339133563	0.0619156204	0.0394213163	-0.0056607793	0.052062017	0.0800769551	0.0167928973	0.0197484261	-0.0332956101	-0.0702365611	0.0449535242	-0.0478400111	-0.0809846924	0.0201877288	0.0887177173	0.0963492593	-0.0189965018	0.0202012178	-0.0212389085	0.0161553687	-0.0031025088	0.0081533495	0.0165851614	-0.000794342	-0.0040646832	0.0789916555	0.0022455513	-0.0252486985	0.0490889338	0.042907296	0.0090344638	-0.0051072182	0.0094369785	0.0686293224	-0.0273985967	0.0645334667	0.0695781179	0.0510532972	-0.0472899235	0.0253894899	0.0495244675	0.0721391992	0.0720504702	0.0719026694	0.0716959178	0.0714303851	0.0	-0.019364	-5.199999999999996e-05	2.703999999999996e-09	0.0003749644959999	0.130502	-0.0346739999999999	0.0012022862759999	0.017030772004	0.0277777	-0.0209309	0.0004381025748099	0.0007716006172899	0.00044162	-5.0434000000000026e-05	1.950282244e-07	2.5435883560000027e-09	0.000403068	0.000205595	4.2269304025e-08	1.62463812624e-07	0.00069699	0.0	0.0	4.857950601e-07
