Subject ID,File Name,Dimension,Data Type,Intent Name
10223,sub-10223_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10043,sub-10043_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10198,sub-10198_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10391,sub-10391_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10738,sub-10738_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10296,sub-10296_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10186,sub-10186_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10422,sub-10422_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10382,sub-10382_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10150,sub-10150_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10024,sub-10024_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10154,sub-10154_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10059,sub-10059_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10085,sub-10085_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10166,sub-10166_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10188,sub-10188_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10130,sub-10130_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10078,sub-10078_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10108,sub-10108_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10438,sub-10438_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10008,sub-10008_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10234,sub-10234_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10137,sub-10137_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10030,sub-10030_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10318,sub-10318_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10652,sub-10652_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10185,sub-10185_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10320,sub-10320_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10054,sub-10054_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10080,sub-10080_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10303,sub-10303_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10142,sub-10142_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
12042,sub-12042_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10035,sub-10035_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10203,sub-10203_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10094,sub-10094_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10007,sub-10007_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10026,sub-10026_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10416,sub-10416_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10014,sub-10014_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10069,sub-10069_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10319,sub-10319_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10010,sub-10010_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10321,sub-10321_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10028,sub-10028_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10125,sub-10125_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10074,sub-10074_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10003,sub-10003_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,86
2.697675,512,
10136,sub-10136_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10041,sub-10041_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10716,sub-10716_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10221,sub-10221_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10017,sub-10017_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
10363,sub-10363_task-sharedreward_acq-mb1me4_echo-1_bold.nii.gz,80
2.700000,512,
