TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,2,1,2,1,1.700000e+00,1.0,0.0,2.4000183e-06,15.505359,19.506107,19.51168,2.0,20.350864,0.8391843,20.45136,3.2608156,23.714432,5.0,23.714584,24.721203,5.209522,24.721397,25.723484,--
2,2,3,1,3,2,2.550000e+00,1.0,1.0,--,--,--,25.72525,2.0,26.250702,0.5254506,26.351065,4.4245496,30.777433,9.0,30.77755,31.785028,6.059777,31.785194,33.78838,--
3,3,4,2,1,3,8.500000e-01,1.0,2.0,--,--,--,33.978935,2.0,34.40064,0.421706,34.50099,2.828294,37.33145,2.0,37.33158,38.338898,4.3599644,38.339054,41.340424,--
4,4,1,1,1,3,2.550000e+00,1.0,3.0,--,--,--,41.34449,2.0,41.86738,0.5228889,41.967762,4.427111,46.39747,1.0,46.397587,47.402157,6.057668,47.402325,50.403515,--
5,5,1,1,1,2,1.700000e+00,1.0,4.0,--,--,--,50.405197,2.0,50.934143,0.5289445,51.034546,3.5710554,54.608376,3.0,54.60849,55.61349,5.208292,55.61364,57.61545,--
6,6,6,2,3,2,1.700000e+00,1.0,5.0,--,--,--,57.802982,2.0,58.735073,0.9320883,58.835423,3.1679118,62.005497,8.0,62.005615,63.011616,5.2086315,63.011765,65.01306,--
7,7,4,2,1,2,8.500000e-01,1.0,6.0,--,--,--,65.19843,2.0,65.72038,0.5219534,65.82076,2.7280467,68.55246,3.0,68.552574,69.55816,4.359728,69.55831,71.55956,--
8,8,3,1,3,4,8.500000e-01,1.0,7.0,--,--,--,71.56244,2.0,72.18599,0.6235523,72.28637,2.6264477,74.91424,7.0,74.91437,75.91952,4.357079,75.919685,79.92107,--
9,9,5,2,2,2,2.550000e+00,1.0,8.0,--,--,--,80.1075,7.0,80.75007,0.6425722,80.85043,4.307428,85.15944,5.0,85.15956,86.16572,6.058217,86.16587,88.16723,--
10,10,6,2,3,1,8.500000e-01,1.0,9.0,--,--,--,88.35098,2.0,90.1172,1.7662227,90.21763,1.4837773,91.703415,6.0,91.70353,92.70953,4.35855,92.70969,93.71146,--
11,11,3,1,3,4,1.700000e+00,1.0,10.0,--,--,--,93.714424,2.0,94.85308,1.1386563,94.95348,2.9613438,97.91644,6.0,97.91656,98.920654,5.206228,98.92082,102.922264,--
12,12,2,1,2,1,2.550000e+00,1.0,11.0,--,--,--,102.924,7.0,104.38382,1.4598191,104.48421,3.490181,107.97648,5.0,107.9766,108.98204,6.0580387,108.98219,109.98327,--
13,13,6,2,3,1,8.500000e-01,1.0,12.0,--,--,--,110.169556,2.0,111.21744,1.0478827,111.31788,2.2021172,113.52249,9.0,113.52261,114.52723,4.357679,114.527405,115.528755,--
14,14,1,1,1,4,8.500000e-01,1.0,13.0,--,--,--,115.53174,7.0,116.668655,1.136914,116.769035,2.113086,118.88396,9.0,118.88407,119.888535,4.3567953,119.88869,123.89007,--
15,15,4,2,1,2,8.500000e-01,1.0,14.0,--,--,--,124.07977,2.0,124.917404,0.8376307,125.017815,2.4123693,127.432335,2.0,127.43245,128.43678,4.357007,128.43694,130.43857,--
16,16,5,2,2,2,8.500000e-01,1.0,15.0,--,--,--,130.62505,7.0,131.56699,0.9419338,131.6674,2.3080661,133.97751,5.0,133.97763,134.98225,4.3571987,134.9824,136.98459,--
17,17,6,2,3,1,8.500000e-01,1.0,16.0,--,--,--,137.16852,2.0,137.8,0.6314908,137.90038,2.6185093,140.52042,9.0,140.52054,141.52553,4.357016,141.52568,142.5276,--
18,18,4,2,1,3,2.550000e+00,1.0,17.0,--,--,--,142.71198,2.0,143.336,0.6240185,143.4364,4.3259816,147.76373,3.0,147.76385,148.76884,6.056863,148.769,151.77042,--
19,19,5,2,2,3,1.700000e+00,1.0,18.0,--,--,--,151.95686,2.0,152.48398,0.5271217,152.5844,3.5728784,156.15855,5.0,156.15868,157.16333,5.206474,157.1635,160.16655,--
20,20,2,1,2,3,2.550000e+00,1.0,19.0,--,--,--,160.1694,2.0,161.4167,1.247294,161.51707,3.702706,165.22075,5.0,165.22087,166.22444,6.05503,166.22458,169.22693,--
21,21,3,1,3,2,8.500000e-01,1.0,20.0,--,--,--,169.22865,2.0,170.2669,1.0382527,170.36728,2.2117474,172.58041,8.0,172.58054,173.58496,4.356306,173.58511,175.58664,--
22,22,3,1,3,3,8.500000e-01,1.0,21.0,--,--,--,175.5884,2.0,176.73373,1.1453499,176.83414,2.10465,178.9409,7.0,178.94102,179.94714,4.358757,179.94731,182.94847,--
23,23,6,2,3,1,1.700000e+00,1.0,22.0,--,--,--,183.13304,7.0,184.28395,1.1509093,184.38435,2.9490907,187.33546,4.0,187.33559,188.34023,5.207188,188.3404,189.34157,--
24,24,6,2,3,1,1.700000e+00,1.0,23.0,--,--,--,189.52682,7.0,190.05006,0.5232532,190.15045,3.5767467,193.72908,3.0,193.72919,194.73346,5.2066426,194.73361,195.73555,--
25,25,1,1,1,3,2.550000e+00,1.0,24.0,--,--,--,195.7384,2.0,196.56874,0.8303396,196.66913,4.1196604,200.7905,1.0,200.79062,201.79564,6.0572376,201.7958,204.79745,--
26,26,6,2,3,2,1.700000e+00,1.0,25.0,--,--,--,204.98378,7.0,206.13394,1.150176,206.23434,2.9498239,209.18547,3.0,209.1856,210.19022,5.20644,210.19037,212.19241,--
27,27,6,2,3,1,2.550000e+00,1.0,26.0,--,--,--,212.38086,7.0,213.41667,1.035816,213.51704,3.914184,217.43387,2.0,217.434,218.43755,6.0567,218.4377,219.43954,--
28,28,2,1,2,4,2.550000e+00,1.0,27.0,--,--,--,219.44238,2.0,220.2836,0.8412135,220.38399,4.1087866,224.49458,5.0,224.4947,225.5004,6.0580215,225.50058,229.5021,--
