global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
3574.586853065492	n/a	12777671.170108655	n/a	10264.818494148563	n/a	105366498.7178144	n/a	3434.1139934619714	n/a	11793138.92009133	n/a	3809.577353533785	5926.551380821406	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.064693	n/a	0.004185184249	n/a	-0.0344299	n/a	0.00118541801401	n/a	0.0425655	n/a	0.00181182179025	n/a	-0.00226324	n/a	5.122255297600001e-06	n/a	-0.000180709	n/a	3.2655742681000006e-08	n/a	0.00259114	n/a	6.7140064996e-06	n/a
3581.4571470788123	6.87029401332029	12826835.296361906	47.200939829464616	10288.141281996315	23.322787847751897	105845851.0383168	543.9524329912435	3430.038979913851	-4.075013548120296	11765167.403728452	16.605735417363963	3799.908908647141	5923.232723252507	1.107331	49.880596	0.07139119	0.0409422	-0.1147326737	0.1157772979	-0.0805410145	0.0113493453	-0.1461383427	0.1820966384	-0.1949326401	0.011252278	-0.0077224749	0.181491251	-0.1312421729	0.0263377059	-0.0376750137	-0.0099493814	0.1467018973	0.221127522	-0.1546370102	0.0692995443	-0.162620662	0.079116348	-0.0384388409	0.0462204103	-0.0136855668	0.1454898358	-0.0095717557	0.0377315879	-0.0120949204	0.003028517	-0.0603693364	0.1289717709	-0.2149238688	0.029739093	-0.00926802	-0.032033446	0.0244107634	-0.0182752158	0.210531207	-0.1009450362	0.0160874936	-0.1457371546	0.1651232219	-0.1623861333	0.0495609653	-0.1420550743	0.086028569	-0.0651273476	-0.0968511745	0.1316161278	-0.1054358682	-0.1275491434	0.0608562265	0.0959626236	-0.021801067	-0.1369400442	0.0649189539	0.0041695111	0.1071044274	-0.1130134083	-0.0796811067	-0.0719177929	0.0546709028	0.0036313726	0.1616289361	-0.0716802116	-0.0710147738	-0.0533038105	-0.0542983602	0.0100157765	-0.0638672471	-0.0075250433	0.1583950204	0.0411134992	-0.0074432005	0.017498555	-0.219187109	0.0713675304	-0.0566884872	0.1224463521	-0.1854756492	0.0104280246	-0.0616896736	0.1850919662	-0.0203555749	-0.0607517831	0.0703465023	0.0611007135	-0.0921410094	-0.035642965	0.1220838846	0.0370444734	-0.0309153772	-0.0232503647	-0.0641018269	0.0715006575	0.1704625878	-0.0249776736	-0.1232781767	0.0989951026	0.1347746602	0.0848314518	-0.0341796798	-0.0929907533	-0.0322436192	0.1466261977	0.1465634515	0.1464588945	0.1463125564	0.1461244791	0.0	0.0769423	0.0122493	0.00592011752929	0.00015004535049	0.00263604	0.03706594	6.948706881600001e-06	0.0013738839080835	0.043131	0.0005655	0.001860283161	3.19790250000004e-07	-0.00234185	-7.860999999999979e-05	5.4842614225e-06	6.179532099999967e-09	-0.0	0.000180709	0.0	3.2655742681000006e-08	0.00276203	0.0001708899999999	7.6288097209e-06	2.9203392099999978e-08
3593.7341956263167	12.277048547504364	12914925.46881393	150.72592103777902	10308.5189266546	20.37764465828513	106265562.46119612	415.2484018193367	3439.35281701105	9.313837097198755	11829147.799881844	86.74756147315577	3805.490270581816	5923.590970516792	1.177217	53.028648	0.07638786	0.0408883	0.1349904975	0.0092110623	-0.0863118701	-0.1534785132	-0.0837469557	0.2223842265	-0.0377225165	0.1851429763	-0.1178777911	0.1317759719	-0.0561603001	0.0060619715	-0.0859775302	0.0149076821	-0.1995378082	0.0117293989	-0.1689617751	-0.0246647249	-0.0764658981	-0.1234392176	0.0901297339	-0.0872216148	0.1469238156	-0.2832399341	0.1561051486	-0.0446131032	0.0726523584	0.1354267523	0.0181805671	-0.076226906	-0.2223662218	-0.0206813265	-0.0251989553	-0.1244995181	-0.0726700305	-0.0267083372	0.1176844262	-0.0772106824	-0.0305584004	0.0120800892	0.18180828	0.0184086703	0.0033507108	0.037238408	0.0088671663	0.080767324	0.0251371308	0.0105882388	0.0935392697	-0.1074825897	-0.122024945	-0.0028192606	-0.0996741508	0.143408898	0.0568359826	-0.0505102302	-0.0021868541	0.1382850978	0.1428279394	0.0463327479	0.0444584303	0.0992907006	0.0009244796	-0.1819128134	0.091954045	0.0591278808	-0.0336268434	0.0734847173	-0.105495597	-0.123274664	0.0627202439	-0.0321347556	0.0663054014	0.0104543607	-0.1408374273	0.0291335645	0.0559494759	-0.0143686184	0.0135685148	-0.0886162842	-0.10659497	0.057894026	-0.0049268716	0.1075025664	0.1124241003	-0.0104929638	-0.0259855814	-0.0209317238	-0.140120552	-0.0068509381	-0.1791511922	0.0539399685	-0.0253446465	0.0176566558	-0.1802730711	-0.0145239099	0.0250175441	0.0676780495	-0.0185458145	0.2043190831	0.0741760455	0.1274131161	-0.0725163478	0.1464588945	0.1458947161	0.1449560281	0.14364524	0.1419657166	0.0	0.055928	-0.0210143	0.0031279411839999	0.00044160080449	0.0129633	0.01032726	0.00016804714689	0.0001066522991076	0.0381137	-0.0050173	0.00145265412769	2.5173299290000024e-05	-0.00296462	-0.0006227699999999	8.788971744399999e-06	3.878424728999999e-07	-0.0	0.0	0.0	0.0	0.00258422	-0.00017781	6.678193008399999e-06	3.161639610000001e-08
3586.352791036069	-7.381404590247712	12861926.341772202	54.48513372493	10309.1186430148	0.5997163602005458	106277927.19575532	0.3596597126921907	3443.91629457157	4.563477560519914	11860559.444015572	20.825327445368785	3814.965458584852	5890.2360144470895	1.132129	50.997608	0.0571204549999999	0.0276957	-0.0863145339	-0.1372575162	0.0225838916	-0.0740385819	-0.0629011433	0.0988571079	0.0526147665	0.1152326057	0.0274682709	-0.0265803954	-0.050569079	-0.0487258807	0.1191176395	-0.098515221	0.0034870796	-0.0302876956	0.0374770682	0.1249277307	0.0393421037	-0.0881231675	0.0869640386	-0.0068674576	-0.0192932307	0.0624905269	0.0589680192	-0.0442929887	0.0580292236	0.1328337335	-0.0112060965	-0.17795893	-0.0087191912	-0.1056039437	0.0257739993	0.0372049688	-0.067280754	0.0043527996	-0.1449167392	-0.0356492616	0.0111329764	0.097123555	-0.0226956205	-0.0217539435	0.0825384551	-0.0699414665	0.1692050779	0.1776500631	-0.1431898187	0.0267008311	-0.0370992664	0.0701663024	-0.0807517638	-0.1813643828	-0.1155860711	0.0207124055	0.0060150975	0.0948292246	-0.0412369067	-0.0051920598	-0.0673233208	0.0260529783	0.0721377335	-0.1540723617	-0.160722776	-0.1142695113	0.2304305455	-0.0178228565	0.0841376367	-0.0458854006	-0.0507751854	0.0774407212	-0.0799533118	0.0022312774	0.0333459236	-0.1375941979	0.122005319	-0.0397479167	0.1006492885	0.0523487518	-0.0068325078	0.0023002431	0.0206261602	0.0670714951	-0.1294960748	0.0025737656	-0.0091495742	0.2473019768	0.0837750785	-0.0107069709	-0.1394028874	-0.1204164368	-0.053229136	-0.1080649511	-0.093431166	-0.1278404249	-0.0647792693	-0.0582615191	0.0022667058	-0.1708522702	0.130421596	-0.0139251325	0.0715094539	0.1861984134	-0.0638270518	0.1461244791	0.1445602966	0.1419657166	0.1383592329	0.1337665517	0.0	0.0482209	-0.0077071	0.0023252551968099	5.939939041000002e-05	0.013095	0.0001317	0.000171479025	1.7344890000000062e-08	0.0509456	0.0128319	0.00259545415936	0.00016465765761	-0.00253337	0.0004312499999999	6.4179635569e-06	1.8597656249999981e-07	-9.34151e-05	-9.34151e-05	8.72638090801e-09	8.72638090801e-09	0.00237989	-0.0002043299999999	5.6638764121e-06	4.175074889999998e-08
3591.9344631209988	5.581672084929778	12901993.187356338	31.155063263684337	10321.605638060531	12.48699504573051	106535542.94764297	155.9250452720983	3436.893890022196	-7.022404549373732	11812239.611271905	49.31416565506489	3808.571094294805	5905.864374622941	1.138724	51.294697	0.125965445	0.063715	-0.0359813861	0.0410701965	-0.2723094079	0.0827075479	-0.033411947	0.0664620175	0.0078083396	0.1358984349	0.0680558345	0.0015605188	0.1377075643	-0.0753945101	-0.1193951003	-0.1157079263	-0.0054115236	-0.0347224115	-0.1456636793	0.016799818	-0.1211348493	0.0653007024	-0.2157324121	-0.0332904064	-0.0059506757	-0.005049582	-0.0927476904	0.0018441896	-0.1691012124	-0.0089518786	0.1161893928	0.1164882934	0.0072429647	-0.2553295031	0.127671872	0.1033985963	0.1332080295	-0.134995885	-0.0591362105	-0.0198226989	-0.1539366562	-0.0754472064	-0.057482153	-0.0531354808	0.0500653349	-0.0344045898	-0.144981899	-0.0538716444	-0.0926770826	0.0914603437	0.0247505334	0.1070953922	0.1603389079	0.0621133329	-0.1193989839	0.0319901805	-0.1947803807	-0.0439044463	-0.0713179429	-0.1681990299	-0.0688862721	0.1589538652	0.0346657918	-0.0304782643	-0.1620245394	0.1489101611	0.0101384044	0.0920610628	0.0998884005	-0.0372815038	-0.0141100989	0.142275131	0.0371751982	-0.0021358576	-0.1760274978	0.0998024792	0.0967348052	-0.0522086229	-0.0036180508	-0.059581828	-0.1567063333	-0.0667215579	0.0858929507	-0.0573610652	0.1414781152	-0.1694020985	-0.0565281964	0.0612703774	0.0822672839	0.0810738823	0.0993648775	-0.2723466064	-0.1146353255	0.0100407197	0.0128303868	0.0834269383	0.118959449	-0.0120979987	0.0098476624	-0.0166437402	-0.113760828	-0.1540508585	-0.0519761158	0.0233447774	0.0008858344	0.145623333	0.1425662815	0.1375186448	0.1305509005	0.121760336	0.0	0.0359941	-0.0122267999999999	0.00129557523481	0.0001494946382399	0.0142553	0.0011602999999999	0.00020321357809	1.3462960899999989e-06	0.0215529	-0.0293927	0.00046452749841	0.00086393081329	-0.00219514	0.00033823	4.8186396196e-06	1.1439953290000009e-07	-0.000713058	-0.0006196429	5.084517113640001e-07	3.8395732352041e-07	0.00167405	-0.0007058399999999	2.8024434025000003e-06	4.982101055999999e-07
3574.5330998237414	-17.401363297257376	12777286.881735526	302.8074446031361	10306.387828498158	-15.217809562373075	106221630.07141498	231.58172787665345	3444.2902682328263	7.396378210630246	11863135.451843357	54.70641063468588	3822.720121545938	5931.554045823814	1.172104	52.798313	0.07180649	0.035529	0.1396958257	0.1402368837	-0.0470858684	0.0677804875	-0.2079171752	-0.1582857684	0.1805803693	-0.0949688164	-0.1355164288	-0.0890985476	0.0498417336	-0.0291894942	-0.1044758086	0.1950608212	0.0302785609	-0.1508664102	0.1194112092	0.1228907095	-0.0106146303	0.0053184384	0.0632580797	0.0736279764	0.1062621095	0.0401968121	0.1832144513	-0.0823366808	0.0952187442	-0.3045616403	0.0021404211	3.07397e-05	0.0382032805	0.1143896411	-0.1761121054	-0.1573084011	0.0750167222	-0.0818678497	-0.0473359109	-0.092962925	0.0501303702	-0.0902079517	0.0324048814	0.0544358762	0.0176119974	-0.0158464772	-0.2070371891	0.2215536741	-0.0176984135	-0.156151987	0.0981149947	-0.0405554214	0.0267676216	0.037160122	0.2275891715	0.0220516378	-0.0824689291	-0.0353542584	0.0905288699	0.2351247972	-0.0914837724	-0.0336187477	-0.109070215	0.0183305379	-0.0513153436	0.1198054191	-0.073835561	-0.077912985	-0.1864071938	-0.0557030395	0.1992297066	-0.1662610472	0.105987622	0.0442299138	0.0984125637	0.106569098	0.1256106684	0.0915749919	0.0495052597	0.0153353417	0.0502408173	-0.0892179644	-0.2466505815	-0.1297584977	0.1086299573	-0.0378809061	0.1574077479	0.0503993263	0.0956382935	-0.0285322595	0.115415171	0.1328454386	0.088414785	-0.0164645713	0.3090765201	-0.0616229358	0.005673911	0.0164078635	0.1033357439	-0.087077178	-0.040110515	-0.0360689982	0.0295169249	-0.0396230898	0.0404484513	0.1449560281	0.1399217693	0.1316604456	0.1203625908	0.1062887712	0.0	0.0281217	-0.0078724	0.00079083001089	6.197468176000003e-05	0.00480171	-0.00945359	2.30564189241e-05	8.937036388810002e-05	0.0160511	-0.0055018	0.0002576378112099	3.026980324000001e-05	-0.00165764	0.0005375	2.7477703696e-06	2.8890625e-07	-0.000491394	0.000221664	2.41468063236e-07	4.9134928896e-08	0.00145364	-0.00022041	2.1130692496e-06	4.8580568100000046e-08
3559.463537955148	-15.06956186859361	12669780.678032178	227.09169491137047	10261.22715677401	-45.160671724148415	105292782.76291645	2039.4862705762985	3430.8690902249937	-13.421178007832625	11770862.714261277	180.12801911793005	3802.3414243647576	5805.551276262907	1.284229	57.849083	0.06288004	0.0355131	-0.043329656	-0.1818630068	0.1822018482	0.1039233363	-0.1311222738	0.0071299765	-0.0249164502	-0.145871156	0.1458044949	0.012139243	0.051519959	-0.0780928666	0.2786195289	0.0760316207	0.0961134154	0.1055688972	-0.0878698173	-0.1614581765	-0.0244974695	0.034526175	-0.0826391686	0.0495651584	0.2107404095	0.1576079312	0.1048321536	-0.0582710271	-0.1113995703	-0.0740684103	-0.0384821789	-0.033284886	0.0928977041	0.0598886258	0.2429547876	0.1060065284	0.0202026002	0.2715629049	-0.0072188997	0.0553021714	-0.0228484135	-0.0131999153	0.0074608798	0.0132932819	0.0349685747	-0.077545059	-0.1433299028	-0.1219484132	-0.0517040485	-0.0525069351	-0.1764423034	-0.0224906422	0.0014914168	-0.0526803739	0.0276829475	-0.0458036104	-0.0739129274	-0.0167438779	0.0575303514	0.084937518	-0.0209714717	-0.1403192536	-0.0553858852	-0.1061528621	0.2664304818	-0.0921285869	-0.0912138881	0.0462204473	0.0968617896	-0.0112571155	-0.0918994047	0.040224221	-0.1652605157	-0.2627054597	-0.1680895742	-0.042974545	-0.0402741087	0.0409861417	-0.0278349464	0.1430265347	-0.0449448372	0.0807463295	0.0678079064	-0.1048693004	0.0732642061	-0.0271218153	-0.0194958084	0.0523622938	-0.183986929	0.0103945343	-0.0045936309	0.0251938026	0.1238616108	0.0863481391	0.147233658	-0.0018385001	-0.0061464679	0.0200235029	-0.1143042012	0.0482415858	0.2355742092	0.0278314604	-0.0271878518	-0.1681350347	0.130685216	0.1441233256	0.1366388261	0.124451232	0.1079800393	0.0877921846	0.0	0.0360097	0.007888	0.0012966984940899	6.222054399999999e-05	0.0130433	0.00824159	0.00017012767489	6.79238057281e-05	0.0495689	0.0335178	0.00245707584721	0.00112344291684	-0.00157086	8.677999999999984e-05	2.4676011396000003e-06	7.530768399999972e-09	-0.000426251	6.514300000000004e-05	1.81689915001e-07	4.2436104490000045e-09	0.00134091	-0.0001127299999999	1.7980396281000002e-06	1.2708052899999981e-08
3587.690765611391	28.22722765624303	12871525.029653247	796.7763811573714	10316.942360581808	55.71520380779839	106439299.67156734	3104.183935344512	3446.469437136721	15.600346911727229	11878151.581117503	243.3708237662373	3818.417838110363	5906.851098852492	1.237985	55.766006	0.0570838599999999	0.0260449	-0.1518026468	0.0712922494	-0.0853329286	-0.1070665201	0.0581688777	0.0572931414	-0.0046976706	-0.0542988833	-0.053132621	0.0376448386	0.0589379069	-0.0172728077	-0.0859196845	-0.1250024194	0.0421013144	0.0170914653	-0.0227957505	0.0593785145	-0.047724305	0.1773505929	0.1008400529	-0.0586714317	0.0009163771	-0.0886893857	-0.0596212138	-0.0380517651	-0.0077506068	0.0210145436	0.0292121642	-0.1052563028	-0.0712860212	0.0662056899	-0.0078730089	0.0208661805	-0.049624464	-0.1599981783	-0.0147078986	0.178906024	-0.1044614584	0.0339706812	0.1544161834	0.1370132935	0.0389263643	0.1315628717	0.0943183256	0.0322305986	0.1940054711	-0.0731396599	-0.0569216151	-0.0200735868	-0.0838581263	0.1510752419	-0.0425808773	0.0030246417	0.1688294637	0.0235147832	-0.0610483055	0.0482799646	0.0064416159	-0.1645963431	-0.1184734062	-0.1161020824	0.004012758	0.0638592367	-0.0334292981	-0.1010905068	0.0004762711	0.0146393249	0.0178457907	0.0321156089	0.1476036137	0.0241341056	0.0170668208	0.0565679837	0.0404561367	-0.2213101959	-0.0453334846	-0.0042083276	0.0686894827	-0.1734492145	-0.0788758451	-0.1044983205	-0.1843339429	0.1572327127	-0.0660566648	-0.1396815605	-0.1040010434	-0.0772604964	-0.0747012264	0.0966134455	-0.0019992553	0.1127383693	-0.10923116	0.0839425421	-0.014812405	0.0980031491	0.0064460952	-0.1194810647	0.0857728478	-0.0881437623	0.0275720867	-0.0836790203	0.0870108814	0.1431261759	0.1327324313	0.1159649805	0.0936289832	0.0667969964	0.0	0.0218545	-0.0141552	0.0004776191702499	0.00020036968704	0.00491344	-0.00812986	2.41418926336e-05	6.609462361960002e-05	0.0327607	-0.0168082	0.0010732634644899	0.00028251558724	-0.00147009	0.00010077	2.1611646081000004e-06	1.0154592900000005e-08	-0.000379189	4.7062e-05	1.4378429772099998e-07	2.214831844e-09	0.00155289	0.0002119799999999	2.4114673521e-06	4.4935520399999946e-08
3576.5617378167144	-11.129027794676404	12791793.864414517	123.85525965467994	10297.161580205158	-19.78078037665	106031536.6088532	391.2792723092617	3440.000901211996	-6.468535924725074	11833606.200339343	41.84195700945887	3815.281521494363	5884.097492727747	1.161506	52.320915	0.0400428999999999	0.0252951	0.1362375593	0.0467756109	0.0874403696	-0.1331938219	0.0521155199	0.048898777	0.1417423478	-0.0665881835	-0.0029266771	0.0534215171	0.0616678509	0.0539121535	-0.0324181245	0.1473504222	-0.0053117246	-0.1170229489	0.1210085856	-0.0667631598	-0.0385844652	0.1376889457	-0.0616582099	-0.0929621811	0.0218539093	0.1243555022	-0.0145275361	0.0235956461	0.1946030955	0.0377634825	-0.0391984914	-0.0494186344	0.1205119487	0.0394230924	-0.2031888701	0.0083833487	-0.1399364276	-0.0962217271	0.08758	-0.0090525608	0.0403933999	-0.0013236337	-0.0009832992	-0.1103202351	-0.1727796539	0.1193813774	0.0806285689	0.0045860883	-0.0031123474	0.1050725097	-0.0764654189	0.1889559387	0.063910688	-0.1580075664	0.1336008821	0.0143082727	-0.0732210218	0.0013863282	-0.0031483157	-0.1421595416	0.1551147793	0.2449955914	0.0040699163	-0.0197757594	0.0050367424	0.0049319331	0.0845005678	0.0604412385	0.0240028238	-0.0513943197	0.1638157758	-0.0711286484	0.0771376275	0.0197578965	0.1150059883	-0.0484489386	-0.0681952693	-0.0406853869	0.001260194	-0.1676355711	0.0017275716	0.0137249978	0.0517681551	0.238467277	-0.0491160797	-0.0165638783	-0.0063521632	0.0068630645	0.0785410219	0.0863288363	-0.0497210586	-0.1234354961	0.1856579382	-0.0266575672	-0.0080370954	-0.0942782653	-0.1322842591	-0.1471076065	-0.0433876845	0.2199135744	-0.1370682592	-0.1254111618	-0.091128682	0.0775947104	-0.1609836498	0.1419657166	0.1282204088	0.1062887712	0.0775710461	0.0439007383	0.0	0.0140433	-0.0078111999999999	0.00019721427489	6.101484543999999e-05	0.00668434	0.0017709	4.468040123560001e-05	3.1360868100000023e-06	0.0315818	-0.0011788999999999	0.00099741009124	1.389805209999992e-06	-0.00136366	0.00010643	1.8595685956e-06	1.1327344900000004e-08	-0.000312481	6.670800000000001e-05	9.764437536099998e-08	4.449957264000002e-09	0.00114039	-0.0004124999999999	1.3004893521e-06	1.701562499999999e-07
3576.5561164413266	-0.0056213753878182	12791753.654053863	3.159986125076891e-05	10258.797005208333	-38.36457499682547	105242915.99407144	1471.840614687046	3430.5973728123404	-9.403528399655444	11768998.334346931	88.42634636312646	3799.168443978636	5847.447525492084	1.135551	51.151752	0.0359602199999999	0.0204906	0.0592135785	-0.1382647828	0.0556054012	0.0227369847	-0.013449961	-0.0431854775	-0.0696809423	-0.0440682941	-0.133084057	-0.0936615372	-0.0852654637	0.017769458	0.1497926187	-0.0529778128	-0.1069468233	-0.0587655121	-0.0996309242	-0.1636937512	0.140300153	0.0469302565	-0.0582076714	0.1252237163	-0.0321216509	0.0310817617	0.0676745108	0.0918987671	0.1744415387	0.0316048493	-0.0212254255	0.2669384035	0.0883921897	0.1144879211	0.1437231612	-0.0318093256	0.1517783368	0.1670568813	-0.1346601338	0.0486197782	0.0311069029	-0.0208562823	-0.1513593112	-0.0400090901	-0.0343725492	0.0386631642	0.1306884125	0.0034634723	0.1484505713	-0.1809624191	0.1666646417	0.0717539517	-0.0619090215	-0.0899306955	0.0087717801	0.0333310497	0.175519654	-0.0454287307	0.0093210879	-0.04739557	-0.0148629087	0.1389009201	-0.093045653	0.0086312694	-0.0552533264	0.0518923141	-0.1522502328	0.1019509494	0.0284358486	-0.0666244397	-0.0700705948	0.0046540688	-0.2640719576	0.0165555565	-0.1225003649	0.1087944392	0.1293663234	0.0585971045	-0.0123657675	-0.0002408974	-0.0056782715	0.0737231377	-0.0183257791	-0.0445303618	-0.0295933458	0.1881473052	-0.1225755791	-0.1113645497	0.1623286565	-0.0808891174	-0.0160035301	0.1330151251	-0.0402786764	-0.1355313988	-0.0247255597	-0.0090473664	-0.1137414469	-0.1458425071	0.0242639877	0.0756856206	-0.075845331	-0.087008347	0.0937720341	-0.0865529218	0.0290971113	0.1406432718	0.123123346	0.0955218954	0.0600989683	0.0197550473	0.0	0.00513658	-0.00890672	2.63844540964e-05	7.93296611584e-05	0.00371734	-0.002967	1.38186166756e-05	8.803089000000002e-06	0.0421193	0.0105374999999999	0.00177403543249	0.0001110389062499	-0.00161185	-0.0002481899999999	2.5980604225e-06	6.159827609999997e-08	-0.000335271	-2.2790000000000017e-05	1.12406643441e-07	5.193841000000007e-10	0.00114039	0.0	1.3004893521e-06	0.0
