global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	t_comp_cor_09	t_comp_cor_10	t_comp_cor_11	t_comp_cor_12	t_comp_cor_13	t_comp_cor_14	t_comp_cor_15	t_comp_cor_16	t_comp_cor_17	t_comp_cor_18	t_comp_cor_19	t_comp_cor_20	t_comp_cor_21	t_comp_cor_22	t_comp_cor_23	t_comp_cor_24	t_comp_cor_25	t_comp_cor_26	t_comp_cor_27	t_comp_cor_28	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	c_comp_cor_30	c_comp_cor_31	c_comp_cor_32	c_comp_cor_33	c_comp_cor_34	c_comp_cor_35	c_comp_cor_36	c_comp_cor_37	c_comp_cor_38	c_comp_cor_39	c_comp_cor_40	c_comp_cor_41	c_comp_cor_42	c_comp_cor_43	c_comp_cor_44	c_comp_cor_45	c_comp_cor_46	c_comp_cor_47	c_comp_cor_48	c_comp_cor_49	c_comp_cor_50	c_comp_cor_51	c_comp_cor_52	c_comp_cor_53	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
3935.511329916033	n/a	n/a	15488249.427897464	9963.411614187837	n/a	99269570.99373308	n/a	3905.7859849668016	n/a	n/a	15255164.16036309	4279.159365474446	5639.276586343206	n/a	n/a	n/a	n/a	-0.0238627311	0.1565871173	0.1188483667	0.0363506851	0.0203287604	-0.0531714926	0.0503190835	-0.0595170595	0.1075651351	-0.0424132283	0.0294251172	-0.0005162555	-0.0173811389	0.1775569537	-0.0060003741	0.0250547015	-0.0594412923	0.0400371035	-0.0061278817	0.0392522384	-0.0336716246	0.0265657541	-0.0168274828	0.1797034088	-0.1612446765	0.0278613732	-0.0114277308	0.000160091	-0.0178304738	-0.3241944015	-0.3514230742	0.3371350469	0.2575964163	-0.101642572	0.1326277163	-0.026061567	0.1454990987	-0.0937637601	0.0043957507	-0.0407812429	0.0559381514	-0.0028957533	0.1252002799	-0.0293418497	0.0443596641	-0.0071206837	0.0660429588	0.0651993115	-0.0123717401	0.0084078982	-0.0066688546	0.0171434744	-0.0384921189	0.0775131389	-0.0143812957	0.0143026837	-0.0184980031	0.0039917598	-0.0318672406	0.0243518458	-0.0022243408	0.0147229963	0.036889266	-0.0417849498	0.057901582	-0.0401750712	-0.0637883414	0.0062903613	0.0316507679	-0.0038856628	-0.0152292575	0.0282142429	0.0343724323	-0.0322798674	-0.046254373	-0.043210418	0.0490992307	-0.0187475363	0.0366909071	-0.02058461	0.0190692878	-0.0360696818	0.0310622831	0.20489878	-0.0166010867	0.0154697868	-0.0562378545	0.0277752849	-0.0044809705	0.0455629703	-0.0007184654	0.0255874577	-0.0508297769	0.0299141482	-0.0151031594	0.0385394122	-0.0458998483	0.0997641054	-0.0082908155	0.0191481141	-0.0247597108	0.0582387649	-0.0252587505	0.0159413333	-0.0176031348	-0.0315982523	-0.0155607098	0.0420548951	-0.0353531808	0.0527556524	0.0086512179	-0.0190850802	0.0447717686	-0.0953413315	0.0854742867	-0.0223518624	0.0919369934	-0.0506884157	0.0996664848	-0.0142071181	0.0676845588	-0.0314613221	0.0129211097	-0.0200564925	0.0133482157	-0.052049153	0.0218668382	-0.0160833724	0.0858816554	-0.0357851976	0.0248791649	-0.0712790066	0.0494759692	-0.0665778944	0.0017824792	-0.0150597953	0.0274982471	-0.0082532864	-0.1145844804	0.0460219685	-0.0082153835	0.0535501698	-0.0220342624	-0.0350736099	0.0383750954	-0.0430379607	-0.0294928407	0.0444756393	-0.0057882482	-0.0050767337	-0.0119875879	0.0349838416	-0.0713241508	-0.0300419034	0.066178969	-0.0294084001	0.0034352669	0.0260116742	0.0019443214	-0.0115136264	-0.0389885414	0.0026770514	0.0439553523	-0.0602336259	-0.0753218787	0.0401896958	0.0422435187	-0.0200884122	-0.0014531286	-0.0229017143	0.0091732634	0.0256778255	-0.027475302	-0.1089639523	0.0980691334	-0.0404650356	-0.1050227443	0.0309467491	0.0269128906	0.0097222557	-0.0140706248	-0.0347795045	0.0427583055	0.0508439912	-0.0358987939	-0.0110413592	-0.0064953715	0.0325420141	0.07998097	-0.0638190299	-0.0326211901	-0.0072854434	0.1058579928	-0.0407549122	-0.0413197342	-0.0130548462	0.094665575	0.0072458715	0.0614413929	-0.0490092381	-0.0722225447	0.0418925285	0.0116864293	0.0067471039	-0.2169522468	0.0966489343	-0.0602150736	0.202115996	-0.1818529986	0.0791408459	-0.0138970174	0.0883013343	-0.2254470219	0.1305247933	0.0078600928	-0.0814406766	0.0122467401	-0.1196971808	0.0101382332	-0.0427593882	0.0652912002	-0.0277032457	0.0124313185	0.159078602	-0.0444441078	0.0450526387	-0.0623774997	0.0172543874	-0.0862324623	-0.0432285489	0.051181517	0.0184051104	-0.0876775705	0.0476597653	0.0065905576	-0.0652318197	0.0238598904	-0.0298149659	0.0128678536	-0.0077597269	0.0348943731	-0.0036845306	0.0028164828	-0.015641194	0.0183251176	-0.0514082819	0.0609391001	-0.0675956677	0.0851162316	-0.0623833962	0.0497833078	-0.0508942551	0.0741719841	-0.0406710107	0.0822643889	-0.0208362301	0.0012923185	0.0132846453	-0.0804745016	0.0390860221	-0.0607162426	0.001829258	-0.0429699688	-0.0398880076	0.0380274746	0.0460511861	-0.0267993623	0.013235909	0.1166380317	-0.0254572691	0.0343890783	0.0053986103	-0.035101444	0.0860345847	-0.0237907772	-0.0115207468	-0.0084904825	0.0998241228	-0.0087369512	-0.0093297682	-0.0030985745	0.0133061518	0.0602559099	-0.1021479326	0.0264565452	0.0127433546	0.0755950307	-0.0531160466	-0.0862771316	0.0170251263	0.0247674228	-0.0330573281	-0.0397930373	0.0399241402	-0.0150661449	-0.0639729704	0.0434974661	0.0040048339	0.0254590629	-0.0259785921	-0.0502668764	0.0030646737	0.0165370145	0.1032117097	-0.0344250948	-0.0536305672	0.0426568297	-0.0727506068	-0.0021333736	-0.0177341838	0.0286041581	0.0779307035	-0.0776906957	-0.082569491	0.0374234583	0.0543899094	0.0695858285	-0.0364383184	-0.0385801659	-0.0514317994	0.0372993729	0.0537166562	-0.0223036921	-0.0145363102	-0.002224629	0.0720743971	0.0720725975	0.0720695981	0.072065399	0.0720600002	0.164069	n/a	n/a	0.026918636761	0.100593	n/a	0.010118951649	n/a	0.0698046	n/a	n/a	0.0048726821811599	-0.000565708	n/a	n/a	3.200255412640001e-07	-0.00097404	n/a	n/a	9.487539216e-07	9.22814e-05	n/a	8.51585678596e-09	n/a
3927.997183061386	-7.514146854647151	56.46240295320368	15429161.87013818	9811.903654297354	-151.5079598904831	96273453.32121377	22954.66191017624	3899.516180436721	-6.269804530080819	39.31044884542196	15206226.441487793	4262.128792700793	5635.166905571608	1.106681	67.328079	0.12351486	0.0770512	-0.0870981284	0.1590041499	0.1137955561	-0.0207023755	-0.0092807512	-0.0564678233	0.1146001282	-0.0970304396	-0.0078490282	-0.042439662	0.0772030182	0.0026356116	-0.0186998141	0.0163889308	-0.057631854	0.0529268205	-0.0735057072	0.1228171322	-0.1291422115	-0.0199716888	0.0004011814	0.0369882696	0.0785631834	0.0624761231	-0.0234705385	0.0223840905	0.0250590789	0.1331427311	0.0562031237	-0.2688137602	-0.2292234713	0.1364170168	0.1111424497	-0.0592292963	0.125143991	-0.0242978642	0.0746551437	-0.0697665554	0.0065323807	0.0556296087	0.0431059155	-0.0297426168	0.0946028897	0.0379436093	-0.0194204515	0.0561938253	-0.0026289591	-0.03664997	-0.0393434858	-0.0284785242	-0.0074991953	0.0667809446	0.0412256083	-0.0040729637	-0.1094378909	-0.0469566045	-0.0581633207	0.0576446966	0.0223396444	-0.0438579929	0.0238865223	-0.0338561879	-0.1277199334	0.092304161	-0.0151855356	0.0253336155	0.0326216639	0.0427513878	-0.0210719551	-0.0341433448	0.0268091997	-0.0312959095	-0.0636103946	0.0366504756	0.1070915747	0.0411651049	-0.0012987436	-0.0094841098	-0.0296475427	-0.0337661096	0.0535512401	0.0331597384	-0.0167391426	0.215774468	-0.0116598953	0.0152338795	-0.0409481797	-0.0165117722	0.0078036632	0.0632663121	0.0149168125	0.0282631042	-0.0101888972	0.0053740005	0.0551477118	0.0086606163	0.0020101208	0.0276915844	-0.0551451245	0.0052515486	0.0207225296	0.0264519879	-0.0799674977	0.0271742942	-0.0167820387	-0.0014463616	-0.0663184408	-0.0058055963	-0.0170015877	0.0119213976	0.029565642	0.010128028	-0.0215922295	-0.0481391176	0.0529526054	0.0048043528	0.0859126169	-0.0569888138	-0.0175171826	-0.062906172	-0.0117795944	0.0261368154	0.04869805	0.06181523	0.0100130182	-0.0464671072	-0.0173373152	0.0369900017	-0.1283332134	-0.0319827803	-0.0985509703	0.0451630396	-0.0427950296	0.0105413662	0.0301114437	-0.0545911699	-0.027400889	-0.0827428909	-0.0504615806	0.0386233617	-0.0061003085	0.0509736917	0.0047729395	0.0298871681	-0.0202245059	-0.0354227157	0.0139224413	0.001649444	-0.002768832	-0.0973891949	0.0126877057	0.0045577924	0.0109384338	0.0907837743	0.041749074	-0.07072937	-0.1230620985	0.0046912085	-0.0668833638	0.024561509	-0.0735335318	0.0502686307	0.0039551451	-0.0364617576	0.070968198	-0.0561274805	-0.0245660777	-0.0552117766	0.0261027636	0.039092881	-0.0169809946	0.0111276574	-0.0304210073	-0.0759688631	-0.0306488192	0.0684555935	0.0830765456	-0.0066816104	0.0180964954	0.0598348872	0.04672037	-0.0501031246	-0.0079827763	-0.0292987229	0.046266271	-0.0681059884	0.0048988763	-0.0415409435	0.0352613276	0.049744678	-0.0155980585	-0.06182934	-0.0383081173	0.0634619131	0.075308635	-0.0723232158	0.0469959296	-0.0009313522	-0.0632662407	-0.030082326	-0.0408013174	0.0367675175	0.0153799039	0.0114107171	-0.1898101147	0.089045714	-0.0203362336	0.1442635891	-0.0980918358	0.0265592973	-0.0071051782	0.075924448	-0.1514797799	0.0442809921	-0.0147885599	-0.0605422389	0.0063467044	-0.0232343175	0.0020971046	-0.0662264517	0.0354063558	0.0116759521	0.0453564303	0.0926065068	-0.0859095007	0.048792066	-0.0033056888	0.0106605793	-0.0378877133	-0.0477776142	-0.0073628407	-0.0304050323	-0.0355609105	-0.0124289968	0.0294755785	-0.0369425441	0.0315438255	0.0032255435	0.0145051415	-0.0201135498	0.0175882201	0.0931003466	0.0095179692	-0.0168605519	-0.0411957988	0.0100630758	0.0056378816	0.0599709277	0.0083662877	0.0545950001	-0.022869529	0.1196434833	0.1039653237	0.0855253497	0.0199071157	0.0549742947	-0.0471368301	0.0072022837	-0.0168203176	0.0598224224	-0.0183621213	0.0182515624	-0.021245135	-0.0647530536	0.0414905537	-0.023211688	-0.01287282	0.0503818214	0.0028538196	0.0265098485	-0.0372036832	0.0515334385	0.0161310671	0.080915509	0.034041218	0.0604149021	0.0061701575	0.010297598	0.0649506321	-0.0161311447	-0.0237484274	-0.0300712877	-0.018098643	0.0795242647	-0.0184089968	0.0958871205	0.0028144481	-0.004182053	0.0416426163	0.0150771439	0.0825305515	0.0776502872	-0.0326311956	0.100979876	0.0027605982	0.0145292255	-0.0195461327	0.040185624	-0.0705403095	0.0160749084	0.0140489782	-0.0059125289	-0.0068965729	-0.1082717641	-0.0799406134	-0.0174796817	0.0464187272	0.0328851394	0.0227797489	0.0623725363	-0.0133233237	-0.0202769083	0.0201517696	0.0075774364	-0.0490803756	-0.0181220978	0.004359631	0.0043678408	-0.022123897	-0.0038778087	0.0882760272	-0.0393621718	-0.037056351	0.0519534642	0.0841503453	0.0720695981	0.072053402	0.0720264112	0.0719886298	0.0719400635	0.165734	0.0016649999999999	2.7722249999999995e-06	0.0274677587559999	0.166758	0.0661649999999999	0.0278082305639999	0.0043778072249999	0.0741222	0.0043176	1.864166976000004e-05	0.00549410053284	-0.0012846	-0.000718892	5.168057076640001e-07	1.6501971600000002e-06	-0.000839077	0.000134963	1.8215011368999995e-08	7.040502119290001e-07	-8.12088e-05	-0.0001734902	6.59486919744e-09	3.009884949604e-08
3922.196360135766	-5.800822925619741	33.64954661439557	15383624.287462251	9738.498531911571	-73.4051223857823	94838353.65604384	5388.311992471678	3920.2567673001126	20.74058686339185	430.1719434379028	15368413.12156233	4280.819630677616	5606.768580200127	1.114936	67.830238	0.1074619349999999	0.0737419	-0.1156445818	0.0937847075	0.1485517266	-0.0078753467	-0.0360821125	0.0232536097	0.0106518823	-0.1075683894	0.0170114569	0.0293451475	0.0209856857	-0.0443289401	-0.0359928552	0.1429377029	-0.0931817358	-0.0116149357	-0.0490668856	0.0471911928	-0.0508393028	0.0437299596	-0.0275191243	0.0166132623	0.0533357434	-0.0247126951	0.0302192443	0.0428919129	0.002965294	0.0039809045	-0.065488284	-0.2270962429	-0.1465667656	0.0636488595	0.1160292521	-0.0566366617	0.0863716345	-0.0126818567	0.0055964858	0.0157329665	0.0541098104	-0.0742399106	-0.0282430145	-0.0647550844	-0.0604122878	0.018348305	0.0084575824	0.0475014232	-0.036846038	0.0753473185	0.0428025863	-0.0418465288	-0.0618651538	0.0227079807	0.0395885966	0.002473965	0.1372388538	-0.009235554	0.0618788107	-0.0418201793	-0.0115933112	0.0408774535	-0.0068315679	0.0133231587	0.0422617088	-0.0037091408	-0.037459029	0.0491790878	0.0787227132	0.0001450248	-0.0097906785	0.0103227937	0.0718361137	0.0088828283	-0.0200627642	0.0146048475	-0.0003976253	-0.0555538571	-0.0824828561	0.1019549768	0.0089008569	-0.0490521797	-0.0994348762	0.0076200663	-0.0481027109	0.2228331716	-0.0133350476	-0.0586843337	0.0524076707	0.006267177	-0.0235893407	-0.1083423638	0.0726124844	0.0200602846	0.0747836964	0.0614563416	-0.0245335805	-0.0447337675	0.0472136628	0.0267084295	0.0207843736	0.0034840407	0.04280054	0.0616665638	0.0205784815	-0.0286193634	-0.0724275037	0.0468136754	-0.0152630144	-0.0594598412	0.0066013663	-0.005908964	-0.0161790061	0.0151940405	0.0028675593	-0.070753208	-0.0482662285	0.0149642704	0.0066981378	-0.0265544876	-0.0586791645	-0.033675489	0.0973491318	-0.0631527181	-0.0942521503	-0.0033717425	-0.0072542723	-0.0609674586	0.0091566878	-0.0633252392	-0.0354190911	0.0526556295	-0.0482869051	0.0484376224	-0.069646749	0.0263040191	0.0256541465	-0.0735499094	-0.017934218	0.0697696175	0.0881346824	-0.0587009857	-0.0251697546	-0.0428156671	0.0266938403	0.0392867531	-0.0345989323	-0.0247275402	0.0532251707	-0.0529883139	0.0248550417	0.0127762731	-0.0027426777	-0.0039134622	0.0084408952	0.0191592281	-0.084931716	0.0091956698	-0.0591265393	0.0687344951	-0.014490969	-0.0096179433	-0.0313585658	-0.0468512524	0.0282716494	0.0494772412	0.0796036777	0.0159504188	0.0001955542	0.0146205913	-0.0495355559	0.0460571728	-0.0047681514	0.0013349788	0.0438449039	0.012113441	-0.023614372	0.1147458448	0.0533972599	0.01739667	-0.0377019896	0.0170095264	-0.0475387593	0.1044070055	-0.0114811182	-0.1268312347	0.019388625	0.021902935	0.0015374495	-0.071011525	-0.0703568096	-0.0207483626	0.0765924248	0.0512197136	-0.0392180514	-0.0043804192	0.0503158856	0.0045317836	-0.0430578467	-0.0447442337	-0.0235401776	0.1153161766	0.0031044668	-0.0616318587	-0.0229392209	0.0420021975	-0.1910535064	0.0822453326	0.0566908284	0.0743722314	-0.1237616371	-0.0406369615	-0.040027545	-0.0743580731	-0.0454983734	0.0370442067	0.0985407842	-0.0584995396	-0.0596509848	0.0213753252	-0.014793616	-0.0722096158	-0.0355818458	-0.0367069877	0.0112255882	0.0748297217	0.0023821888	0.0566782019	0.019967197	-0.0127410315	0.04176542	0.0131250204	-0.0748091818	0.0119833924	-0.0277837785	-0.0231051405	0.0306735129	0.0284916301	-0.0353935331	-0.0241205243	-0.0609463803	0.1004594665	-0.0945563648	0.0415323493	0.0899777793	0.0242258053	0.0129064021	0.044300191	-0.0166641267	-0.0440467856	0.0806555926	0.0405918692	0.0114441978	0.0292898272	-0.1126343301	-0.0055034077	0.0158732622	0.0273744741	-0.038628949	0.0077104391	0.0551782773	0.0306173562	0.022466315	0.0567016177	-6.29812e-05	-0.1245375415	-0.00127376	-0.0528122416	0.0804680996	-0.019708092	-0.0880574795	0.0199671034	0.0667377733	-0.0096561543	5.095e-06	0.0281838147	0.045833452	0.0268262133	0.0681831523	-0.0214373833	0.0558020756	0.0805230996	0.0248222785	0.007125985	-0.0096119638	0.0336715184	-0.0758953364	-0.0814957315	-0.0110935115	-0.0164219783	0.0521297142	0.0019523576	-0.0158283964	-0.0124010485	-0.0312636218	0.0231494468	0.0045696136	0.0089888088	0.0687305711	0.0770965866	-0.0759138685	0.0368840909	0.0103078663	0.0425676837	0.0033702141	-0.0602061235	0.0544142675	-0.0039221636	-0.0293222651	0.1514270024	0.0087634323	0.0131503431	-0.0619606202	-0.0756724751	0.0288905756	-0.0557163969	-0.0093970761	0.0357656036	-0.0453495652	-0.07245755	0.0232407528	0.0448624433	-0.1324113199	0.0361219021	-0.0553718897	-0.0319142106	0.0017644285	0.0720600002	0.0720150162	0.0719400635	0.0718351734	0.0717003896	0.17686	0.0111259999999999	0.0001237878759999	0.0312794596	0.09664	-0.0701179999999999	0.0093392896	0.0049165339239999	0.074741	0.0006188	3.829134400000033e-07	0.005586217081	-0.00134046	-5.585999999999981e-05	3.120339599999978e-09	1.7968330115999997e-06	-0.000505344	0.000333733	1.1137771528900001e-07	2.553725583360001e-07	4.11809e-05	0.0001223897	1.6958665248099995e-09	1.4979238666090002e-08
