global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
7562.540984692326	n/a	57192026.145151176	n/a	20609.035839215736	n/a	n/a	424732358.2220787	6918.828266515141	n/a	n/a	47870184.58152891	8626.973279645184	11432.081030436728	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0633936	n/a	0.0040187485209599	n/a	-0.00291854	n/a	8.517875731599999e-06	n/a	-0.00120012	n/a	1.4402880144e-06	n/a	-0.000819913	n/a	n/a	6.72257327569e-07	0.000755322	n/a	5.70511323684e-07	n/a	-0.000292371	n/a	8.5480801641e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7472.689842301459	-89.8511423908667	55841093.4792354	8073.227788943803	20096.9981293019	-512.037709913835	262182.61637380463	403889333.8091641	6898.58037519877	-20.24789131637135	409.9771027595864	47590411.1930776	8600.287749681915	11524.842966047992	1.565341	50.732151	0.10441617	0.0529644	-0.0790656985	0.1104208064	-0.0122811408	0.1342982566	-0.0119822406	0.1350214774	-0.1976039973	-0.157570612	0.1601189322	-0.3454276476	0.0743927114	-0.1504020552	0.2690888202	0.002395619	-0.0215653206	0.0610050368	-0.2331847266	0.0116931316	-0.1806597037	0.0059714452	-0.0831468493	-0.1391763224	0.0358695811	-0.081192381	0.0914051747	-0.109071815	0.0766502882	-0.1489932129	-0.0013761668	0.1510895834	-0.1356167068	0.0907262249	-0.0944953518	0.0806938684	-0.0219858112	0.1688147054	-0.0626589138	0.0444316477	-0.0581859373	0.1489912893	-0.048555028	0.1391025135	-0.0989464525	0.0608268552	-0.074537972	0.0940644237	-0.134817037	0.1252116195	-0.082738609	0.1981137953	-0.1500390744	-0.0155501981	-0.1286922724	0.2098358438	-0.0594671098	-0.0782693038	0.0154402627	0.0644070027	-0.0696339256	-0.0362073086	-0.0358059948	0.0383296733	0.0052188023	0.0882519076	-0.0667211174	-0.0228704603	0.0586926513	0.0357529305	0.0822601326	-0.0468978998	-0.003212663	-0.0957931588	0.1166755058	-0.123373757	-0.1347501787	0.1605504991	-0.3321557256	0.0579982938	-0.1275189064	0.0064817658	-0.1772255049	0.0377511359	-0.1050923923	0.1510767562	-0.0775924018	0.1284829025	-0.0239046429	0.0479634256	-0.0650660536	0.2316996	-0.1220409792	0.2588583429	-0.0623921066	0.0874775995	-0.0696551473	-0.0052705785	-0.0972530835	0.0607461582	-0.0855691345	0.0546629821	0.0839073766	-0.0338224237	-0.0310010614	-0.0144345728	0.0397755859	0.064011297	-0.0709070005	-0.0349463922	-0.047710428	0.0525720703	0.0528020392	0.081209662	-0.0427743975	-0.0498845032	-0.0409740297	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.0563894	-0.0070041999999999	0.00317976443236	4.905881763999993e-05	0.0367162	0.0396347399999999	0.0013480793424399	0.0015709126148675	-0.0209369	-0.01973678	0.00043835378161	0.0003895404847684	-0.000511533	0.00030838	9.509822440000003e-08	2.61666010089e-07	0.000494642	-0.00026068	2.44670708164e-07	6.795406240000002e-08	-0.000100622	0.0001917489999999	1.0124786884e-08	3.676767900099999e-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7427.409445956546	-45.28039634491324	55166411.077884525	2050.3142931524326	19879.043257734786	-217.95487156711533	47504.32603983774	395176360.84289086	6868.225683377696	-30.35469182107317	921.4073155523268	47172524.03780902	8538.221505352743	11130.37004765685	1.280744	41.508446	0.057692835	0.0300788	-0.069108659	-0.1155098118	-0.0134826264	0.1173167466	0.0608225097	-0.0868919258	-0.1482354137	-0.0474304992	0.1000356827	-0.0088835609	0.0913376519	-0.0456587218	0.2065840559	-0.1936213794	-0.1226745662	-0.0499985565	-0.0272061564	-0.0512042368	-0.0060098075	0.0315901563	-0.0634021	-0.1840915355	-0.0166484631	-0.0592043108	-0.0568097018	-0.0656683053	-0.1431771244	0.1766703987	-0.0432577364	-0.0064097094	0.0299911277	-0.0694525202	0.0140807072	-0.1283412928	-0.0131287169	0.0808317012	0.0587215073	-0.0812467344	-0.0065699795	-0.0845327292	-0.0761136848	0.0228283757	0.081892745	0.0936154263	-0.1298234848	0.0680756115	-0.0680051857	-0.0331568137	-0.0391358101	0.1324913524	-0.0490728269	-0.0506347761	0.0690915034	-0.0057314114	0.0452792736	0.0432658081	-0.0640284216	-0.0790166396	0.054059858	0.0645961069	0.1208674881	0.0532413004	0.0813449381	0.1422015199	0.0092664826	0.0826823273	0.1722225318	-0.0047901723	0.0197006257	-0.0008751853	0.1575389258	0.0549133991	-0.0329286656	-0.0200731305	-0.1062810049	-0.0799754194	-0.0970773929	-0.0902456988	0.1106417784	0.0791112185	-0.0914541811	0.1309793655	0.0045633748	0.1093176033	-0.0571651101	0.0146332213	-0.0808945062	-0.1809696474	0.0011755461	0.0313240945	-0.1056549774	0.0116836685	-0.0781999742	0.0806986851	0.0247181769	0.0211351938	0.0516936537	0.0077493677	-0.0308236907	0.0916710747	-0.0030680785	-0.0356475565	0.1195632178	-0.08827195	0.0073523017	-0.0147270368	0.0784263735	0.0455444678	0.0082146608	-0.1228547593	0.1207693632	0.0042863735	-0.016681491	0.049964154	0.0145255687	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.0502188	-0.0061705999999999	0.00252192787344	3.807630435999998e-05	0.0133372	-0.0233789999999999	0.00017788090384	0.0005465776409999	-0.00343609	0.01750081	1.1806714488100002e-05	0.0003062783506561	-0.000485915	2.5617999999999984e-05	6.562819239999992e-10	2.36113387225e-07	0.000494642	0.0	2.44670708164e-07	0.0	8.66085e-05	0.0001872305	7.50103227225e-09	3.505526013025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7447.239336205475	19.829890248929587	55461373.73072617	393.2245472845927	19850.78990796448	-28.25334977030434	798.2517732431563	394053859.9701445	6861.49423115148	-6.731452226216788	45.31244907383896	47080103.08412504	8542.199467928162	10974.735700343885	1.540574	49.929436	0.039346945	0.0188805	-0.0794720627	0.0178022539	0.0765742673	-0.1033453269	-0.0055741567	0.0812225033	0.0054599715	-0.0495488546	-0.0073417431	-0.1403437337	-0.1098435727	0.0366747448	-0.0300106881	0.0170682467	0.0419329203	0.1827775117	0.0003133294	-0.0459087093	0.1901927091	0.0293994285	-0.1154475051	0.0552018229	0.003361204	-0.0168249665	0.0242765756	-0.0932624866	0.0192871052	-0.1336126747	-0.0579812013	-0.1228519092	0.1152626667	0.0376949489	0.0246164132	0.0517285103	-0.0691775296	-0.0464475041	0.0641527015	0.1953619566	0.020334239	-0.0523438116	0.0902301399	0.0012836583	-0.1229835054	0.0221749181	0.0184872264	0.0011127125	0.056391637	-0.0786794072	0.0096056672	-0.0351058608	-0.0089681261	0.0570742936	-0.132839471	-0.058908913	0.0722013664	0.1497608776	-0.0374118759	0.0179789327	-0.0400212519	-0.0994807095	-0.0144655317	0.0188957032	-0.1818434918	0.0793096185	-0.143362758	-0.0459176469	-0.0083219833	-0.0119804876	0.0028356401	0.154744535	-0.0766001183	0.0657170011	0.0812131696	-0.0744389103	0.1426219663	0.0721387813	0.0125190905	-0.183242821	-0.0523731602	0.0177636935	0.007119727	-0.0174654277	0.1488891767	-0.09076529	-0.0466870457	-0.0204389434	0.0401050735	0.1338582427	-0.0674221549	-0.0758994727	0.0970947758	0.0359535002	-0.0572739946	-0.126348706	-0.0622809039	0.0435645597	0.0178017154	-0.0327966978	0.0175736724	0.0165024388	0.060395157	-0.0201118049	-0.0224820157	-0.0267683527	0.0183100036	-0.2069726953	-0.1335602549	0.0370973159	-0.0576175742	-0.0106325349	0.1901856262	-0.03495635	0.0669257384	-0.0364499935	-0.0769214781	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.0528546	0.0026358	0.00279360874116	6.947441640000003e-06	0.0201853	0.0068480999999999	0.00040744633609	4.689647360999999e-05	0.00275003	0.00618612	7.5626650009e-06	3.82680806544e-05	-0.000217617	0.000268298	7.198381680400002e-08	4.7357158689e-08	0.000494642	0.0	2.44670708164e-07	0.0	-0.000118632	-0.0002052405	1.4073551424e-08	4.212366284024999e-08	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7442.853097213	-4.386238992475228	55396062.226693146	19.239092499110104	19798.99290068893	-51.79700727555246	2682.9299627036344	392000119.8815306	6877.3472206858405	15.85298953436086	251.3172771765549	47297904.793875255	8537.347693311878	11402.084002005908	1.598502	51.806885	0.06767948	0.0367808	0.0887047515	0.1659618285	-0.0521908232	-0.0677427894	-0.0372984437	0.0615057513	-0.0664528827	0.0075447166	0.0155212051	0.0300068707	0.0497193306	-0.0431713349	-0.0845085425	0.1466079829	0.0854555283	-0.0728106683	-0.1127787978	0.0146515496	-0.0535091867	-0.102001572	0.0654742547	-0.0643280298	-0.090065514	0.0018557921	0.0023095549	-0.0324574	0.0064210046	-0.0526889736	-0.0370832831	-0.0863078763	-0.0274453964	-0.0179117502	-0.0128842896	-0.1203051136	-0.0742429627	0.0840210529	-0.1828827557	0.1479936369	-0.0145966745	-0.059008089	-0.0723605098	-0.1518670506	0.097413586	-0.0034501016	-0.0473184169	-0.0530966644	0.0130386019	-0.1037873616	-0.0026332904	-0.0112730057	-0.0987448771	0.0294481285	-0.0953333607	-0.0656741026	0.0839466955	0.1212474539	0.0250737315	-0.1085736063	-0.0799830833	0.1453272263	-0.0993956218	-0.0992219082	0.0007020336	-0.1276576819	0.0916691835	-0.0442968002	-0.1053952901	-0.2083163725	0.1494012856	-0.0777815472	-0.0511509463	-0.0538591404	-0.0118506243	0.0342965051	0.0446308884	-0.0880771052	0.001998413	-0.0057942648	-0.031804853	-0.0205518399	-0.0653522097	0.1540515859	-0.1184366998	-0.1689142138	-0.1359839722	0.088291324	0.0157633988	-0.0176862366	0.0833706575	-0.0074018348	0.0621513346	-0.0993420502	-0.0162077243	-0.0738263554	-0.0176757885	0.1019231241	-0.1348753424	-0.0962268689	0.139905509	-0.0462806888	0.0688585013	0.0280121306	-0.1162333485	-0.089162394	-0.1331255485	-0.0585623973	0.1012071194	-0.0290147441	0.1734128637	0.0421248409	-0.0475110208	-0.0610666339	0.0811081374	-0.0059873204	-0.149199509	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0460058	-0.0068488	0.00211653363364	4.690606144000003e-05	-0.00762275	-0.02780805	5.81063175625e-05	0.0007732876448025	-0.0136693	-0.01641933	0.00018684976249	0.0002695943976489	-0.000102557	0.00011506	1.32388036e-08	1.0517938249e-08	0.000494642	0.0	2.44670708164e-07	0.0	-0.000335638	-0.0002170059999999	1.1265286704399999e-07	4.7091604035999994e-08	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7430.018784351834	-12.834312861165929	55205179.13582111	164.71958661828913	19793.582847570684	-5.410053118244832	29.268674742230637	391785921.9436444	6882.141811782702	4.794591096861041	22.98810378609916	47363875.91748769	8534.413765825062	11190.940285731638	1.120991	36.330894	0.0874881499999999	0.0513877	0.1340867291	-0.0528664012	0.0259302465	-0.0437184786	0.0787466838	-0.0209686906	-0.1457600611	0.0251538005	-0.077579482	-0.0125379811	0.1110189717	-0.0052927638	-0.0710934571	0.0294334692	-0.0484337932	-0.1191403999	-0.0088601191	-0.0730481879	-0.0360154258	0.0708416489	-0.0446477787	0.0964020016	-0.020900588	-0.0164254866	-0.1759041402	-0.0835859448	0.1206615751	0.0088774975	0.0027057779	0.0833541753	-0.0152436112	-0.1606108792	-0.0422381745	0.0609339275	0.1707168023	-0.044914447	0.07249339	-0.0411018076	0.0225727144	-0.1320631295	-0.1307866144	-0.1254924555	0.0507256014	0.0667638517	-0.1497961909	-0.0367181369	-0.0543276879	0.0364867078	0.1342403542	0.0271875819	0.0839753643	-0.0678118516	-0.0534431729	0.0127117198	-0.1281858892	-0.0362277476	-0.0293286597	-0.1037815596	-0.047520853	0.2091302994	0.1090383052	0.12268759	-0.0192733216	-0.0131870923	-0.0095305715	-0.0156458387	-0.178526876	0.0150497766	-0.0906527191	-0.1211480639	-0.0615369285	0.0720472509	-0.0496162376	-0.0165924975	-0.061577498	-0.1148093024	0.0441902637	0.1417824747	0.019301367	-0.0342809743	0.0479947561	-0.0700959775	0.0532829255	0.1222201272	-0.0089323972	0.0605432937	-0.1490922479	-0.0746690143	0.0407803191	-0.063725314	-0.0535097712	-0.0045827002	0.093125535	-0.1439081322	0.0887349955	0.1366991884	0.0141935221	0.1526250377	-0.0172630774	0.0605489772	-0.0368673409	0.1905749194	0.0288858985	-0.106192149	-0.108285038	0.0965982192	0.0848641777	0.166968957	0.1384353315	0.0922641263	-0.0122560809	-0.0685596866	0.0039529746	-0.0141925083	-0.015996078	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0424737	-0.0035320999999999	0.00180401519169	1.2475730409999974e-05	0.0328502	0.04047295	0.00107913564004	0.0016380596817025	-0.0115376	0.0021317	0.00013311621376	4.544144890000001e-06	-0.00041804	-0.000315483	9.952952328900001e-08	1.747574416e-07	0.000494642	0.0	2.44670708164e-07	0.0	0.000175907	0.000511545	3.0943272649e-08	2.61678287025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7451.883570252296	21.86478590046136	55530568.7445961	478.0688624730137	19775.592922689066	-17.989924881618208	323.6373972462659	391074075.4439099	6887.538821492153	5.397009709451595	29.12771380391479	47438191.01756152	8555.136072595944	11282.29351221886	1.175437	38.095478	0.049528125	0.0257408	-0.0425166707	-0.0969867576	-0.0011165914	0.1038064725	-0.0548027612	0.1471709872	-0.1002692451	0.0156969561	-0.0234018384	0.0252280463	0.014571122	0.0851396398	0.0521004081	-0.0952656873	0.0754355836	0.0930481448	0.0788264967	-0.0004198069	0.0025967569	0.0382067452	-0.1389372387	0.0795963013	0.0282537073	0.002567181	0.0382222569	-0.0946250038	0.015733902	0.0526026864	-0.0376188176	0.0516207862	-0.0176914166	0.1198834783	-0.0206062113	-0.0987231745	0.002142213	-0.0441224177	0.1154347317	0.1754510732	-0.0826953225	0.2491911074	0.0083620517	0.0002412605	0.1744301307	-0.1351201731	-0.0022198707	0.0488690408	0.1218033557	0.1365155205	0.1120839233	-0.1012982765	0.005762708	-0.1158010428	0.0166223882	0.0224872365	0.006761759	-0.143118136	0.0327153644	-0.0101418647	-0.04889579	-0.1116388595	-0.1105435566	0.0310801789	-0.0192877821	-0.0053502588	0.0054362412	0.0076976916	0.1451748457	0.0122096751	-0.0453072309	0.1131642547	-0.0150251657	0.0538412402	0.0504391693	-0.0169527657	0.0487233501	0.1104366091	-0.0809336267	-0.0083748815	0.0429389794	0.0013289112	0.2630579777	0.0178838406	0.1335291282	-0.1378260133	-0.0316552106	0.0934959534	-0.1111388861	0.1616238928	0.0622819813	0.0646518151	-0.1331958794	-0.1165399618	-0.0220132325	0.0982960408	0.0629615167	-0.1704702673	-0.0163990963	0.1347070302	-0.0216879531	0.0329300223	0.0859406407	0.0456655935	-0.1221631035	0.1140310095	0.0572427285	0.0315452769	-0.0443859379	-0.096985597	-0.0220378175	-0.0359429625	0.0242410302	0.1064214924	0.0588875226	0.0613745145	0.1052222701	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	0.0408591	-0.0016146	0.00166946605281	2.6069331600000025e-06	0.0127247	-0.0201255	0.00016191799009	0.00040503575025	-0.0115461	-8.499999999999827e-06	0.00013331242521	7.224999999999706e-11	-0.000174509	0.000243531	5.9307347961000004e-08	3.0453391081e-08	0.000316438	-0.000178204	1.00133007844e-07	3.1756665616e-08	4.20515e-05	-0.0001338555	1.76832865225e-09	1.791729488025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7420.95792033166	-30.92564992063581	55070616.4553332	956.3958230137214	19728.54257005894	-47.05035263012542	2213.73568261915	389215391.93862784	6871.273030454922	-16.265791037230883	264.5759580668605	47214393.05905717	8517.575856669124	11222.125472523212	1.188417	38.516171	0.040206225	0.0184229	0.149448465	-0.0005952214	0.0034087547	0.0385270289	-0.011176847	-0.0787548908	-0.1044200369	0.0211032331	0.0008246349	0.115687128	0.0548004627	-0.0108021606	-0.1314071444	-0.0456306964	-0.0097132144	0.0031255128	-0.017746556	0.0671049346	-0.0369467539	-0.0559277696	-0.0134902607	-0.0421559469	-0.1132139247	0.0285447122	0.0099258224	-0.0564874417	-0.0102808543	0.0748335858	-0.0044628613	0.0158190958	0.0503115273	0.1360406043	0.0161397499	-0.2083481299	0.0080569616	-0.0221314784	-0.0231986614	-0.1405314696	0.0240186644	0.1219975183	0.0330029817	0.059601101	0.008118284	-0.0575588166	0.0545626705	-0.0261750217	0.0927205314	-0.0233751876	0.0100040187	0.0066796847	0.1102589112	0.0581161529	0.1640767975	-0.0121941384	0.0858521609	0.0936119019	-0.0170026433	0.1466731657	0.1153543549	-0.0979278168	0.1040330406	-0.0697552487	-0.0717108621	0.0940065562	0.1899624025	-0.096805657	0.0513840359	0.1226540078	-0.0604435681	-0.1838333658	0.0062058622	0.0971772232	-0.0920340454	0.0599590126	-0.0019791814	-0.0128359142	0.05156489	-0.0161305879	0.0011062044	-0.0696112085	0.1204750545	0.1386248447	-0.0774803918	-0.0245474738	0.0251958642	-0.1392815618	0.0321805164	-0.0384582559	0.0383984162	0.0364167445	-0.0991586376	-0.0816960795	-0.1480642776	0.0816378271	-0.0039760117	-0.1961226758	0.090274822	-0.1263055079	-0.0327936805	0.0930227825	-0.0367464881	-0.0832341072	0.1503172299	0.2090690228	0.1299245309	0.0309423095	0.0100851186	-0.011800397	-0.0038795693	-0.1311341792	-0.1357045769	-0.0719171983	-0.0317629148	-0.1663691672	0.0293161744	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0344804	-0.0063787	0.00118889798416	4.0687813690000014e-05	0.0177563	0.0050315999999999	0.0003152861896899	2.531699855999999e-05	-0.0115376	8.499999999999827e-06	0.00013311621376	7.224999999999706e-11	-0.000400229	-0.00022572	5.09495184e-08	1.60183252441e-07	0.000494642	0.000178204	2.44670708164e-07	3.1756665616e-08	0.000213876	0.0001718245	4.5742943376e-08	2.9523658800250004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7428.749948213437	7.792027881777358	55186325.79308114	60.71569851039574	19777.08646297148	48.5438929125412	2356.509539104268	391133148.9638498	6867.051867135647	-4.221163319275547	17.818219767997356	47156401.34593117	8525.960682744566	10874.007767189782	1.619942	52.501724	0.03796421	0.0203689	0.0311396222	0.0119125588	0.051432553	-0.2104434249	-0.0484733842	-0.0170395034	0.0574642987	-0.009234796	-0.1032490638	-0.0276506967	-0.0013221329	0.0351421003	-0.0378972641	0.1506405249	-0.0494287277	0.0163002717	-0.0583340361	-0.1183222277	0.0119671418	0.1424314301	0.1297124782	0.0307504844	-0.061227118	0.0527468771	-0.012277589	0.2056785709	-0.0632058154	-0.1142652673	0.0141586489	-0.0111225455	0.0311337728	0.0045677811	0.0209433366	0.2333679045	0.1024410422	0.0581196613	-0.1162830848	-0.0066842396	0.0895542955	0.0127352599	0.096225315	-0.0613302531	-0.0996377928	0.0232317223	0.0876563345	0.0230449307	0.0487332768	0.0321734381	-0.0104449505	-0.0110997637	-0.0140583877	0.1791829103	0.0315679966	-0.0359713157	-0.0459769106	-0.039047601	-0.0099267043	0.238110997	0.0903842635	-0.0728637153	-0.0520087963	-0.0590575101	0.0589758496	-0.1387728857	0.003708239	-0.1275162353	-0.0452794026	0.0812418459	-0.0665754805	-0.0605676562	0.1055080777	0.0174867069	-0.0197591622	-4.7378e-06	0.0677197678	0.030688494	0.1214971388	0.0807222015	-0.115557158	-0.0624156274	-0.1084852647	-0.1351513783	-0.0435236769	0.0921191117	-0.0063967099	-0.0306063957	0.0970804843	0.0696329681	-0.0342274828	-0.037742651	0.0209734914	-0.0010927168	0.0675547233	-0.1242783123	-0.0813692394	-0.048789278	-0.0823473357	-0.0805989526	-0.1394790952	-0.1025715634	-0.0890933885	-0.0191458544	0.0926096243	0.0648588801	-0.0121121894	0.0761406064	-0.1125118225	-0.0903893588	-0.053717309	0.106966278	-0.1580302875	-0.0294496361	0.0393069472	-0.0077572327	-0.0991743443	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	0.0362215	0.0017410999999999	0.0013119970622499	3.031429209999984e-06	0.0078362699999999	-0.00992003	6.140712751289844e-05	9.840699520090196e-05	0.00675083	0.01828843	4.55737056889e-05	0.0003344666718649	-0.000244267	0.000155962	2.4324145444e-08	5.9666367289e-08	0.000494642	0.0	2.44670708164e-07	0.0	0.000209545	-4.330999999999996e-06	4.3909107025e-08	1.8757560999999967e-11	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
7421.442980898759	-7.306967314678332	55077815.91873146	53.39177133777747	19745.675182575585	-31.41128039589603	986.6685361096022	389891688.4157814	6888.435901851148	21.384034715501	457.276940713752	47450549.17391183	8539.570392560854	10802.822215027163	1.32138	42.825455	0.0438192999999999	0.0212313	-0.148921496	-0.0512318624	0.0004216426	0.097386886	-0.0978594071	-0.0430229166	0.3786264608	-0.0437079917	0.0092263851	0.0597660742	-0.0780644892	0.0817127065	0.1529404893	-0.0372869014	0.0258756657	0.0115644339	0.0639452527	0.1275288037	0.0558047189	-0.0311734637	0.0287343922	0.1364267756	0.115875911	-0.0287805821	0.0026345726	0.0301987485	-0.0218922598	0.0768398855	0.0475541832	0.0689134547	0.0337212964	-0.0014414769	0.0923287566	0.0339976365	-0.0902452	-0.1617517513	-0.0017846336	-0.1768998493	0.0005378722	0.0126109135	-0.0943976675	0.0209185634	-0.043492373	0.0779178765	0.0980354563	-0.1208436005	0.0786240244	0.0181693651	-0.0358250935	-0.0903497869	0.0492029845	-0.0752973505	-0.0324367672	-0.2586115452	-0.0802072983	-0.1026912272	0.1507876378	-0.0920847305	-0.0099245517	-0.0204025923	0.0306477841	-0.150453808	-0.1487700633	-0.0412152812	-0.0165460754	0.0840781185	-0.0350595412	0.0142690368	0.0495433084	0.0464853669	0.0340658174	-0.1832434377	-0.0627700615	0.0081401327	-0.0592572364	0.0720938966	0.0341705581	-0.0273796142	0.126297257	-0.0100893495	-0.0182101446	-0.1056112787	-0.0596495434	-0.0501469084	0.2113339397	-0.102482548	-0.1167634019	0.0021026049	0.0530612359	-0.1224631224	0.1171886772	-0.0132733413	0.0688916803	0.004671864	0.140589003	0.0927503501	0.0597909802	0.0965489557	0.0747927862	-0.2156655127	0.0135815572	0.0439803244	-0.1066445539	0.1080537484	0.1106706068	0.0078600363	-0.0136962917	-0.0320637919	-0.0546240846	0.0214975198	0.0249747595	-0.1775573268	-0.0823377272	-0.0957696718	-0.0776612011	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	0.0325278	-0.0036936999999999	0.00105805777284	1.3643419689999957e-05	-0.00254451	-0.0103807799999999	6.474531140099999e-06	0.0001077605934083	0.0147127	0.00796187	0.00021646354129	6.339137389689999e-05	-0.00017093	7.3337e-05	5.378315569000001e-09	2.92170649e-08	0.000173611	-0.000321031	3.0140779321e-08	1.03060902961e-07	0.000250836	4.1291e-05	6.2918698896e-08	1.7049466809999994e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
