global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
5715.997167377545	n/a	n/a	32672623.61746812	15083.387013555928	n/a	n/a	227508563.8007076	5345.12969728029	n/a	n/a	28570411.48074769	5378.554945245702	9708.82533791455	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.0295377	n/a	0.00087247572129	n/a	0.00914973	n/a	8.37175590729e-05	n/a	-0.00367468	n/a	1.35032731024e-05	n/a	-0.000287941	n/a	n/a	8.2910019481e-08	0.000298697	n/a	n/a	8.9219897809e-08	1.3234900000000002e-23	n/a	1.7516257801000006e-46	n/a	0.0	0.0
5653.924093936666	-62.07307344087894	3853.066446396751	31966857.659997556	14758.113199731615	-325.27381382431304	105803.05395981386	217801905.21609253	5322.98933228423	-22.14036499606027	490.1957621587709	28334215.431611717	5356.188929477619	9411.435736217578	1.359978	46.805611	0.24870362	0.137786	0.0100771537	-0.0239178421	0.1415400074	-0.0865867514	0.0330495998	-0.0087657147	0.0221260903	0.0478136383	-0.0455367243	0.2799291158	-0.2636376152	0.25603759	0.0603265236	-0.0041220624	0.2820601513	-0.2497618158	0.0866697426	-0.0793732085	0.1164948178	-0.0413305458	0.0149928333	0.0428776089	-0.0188467016	0.1054420719	-0.1993991321	0.1077417032	-0.1327608308	0.0565392475	-0.1033043252	0.0245974595	-0.057426032	0.0284021599	-0.0314093942	0.0002951779	0.0775677671	-0.0825460865	0.1990737635	-0.0799791136	0.034894666	0.0537473883	-0.0191714582	-0.087434802	0.0176783402	0.0074260073	-0.0171155901	-0.1561246936	0.1479978057	-0.0092294345	-0.0500813251	-0.0838721325	0.0999536803	-0.1263421688	-0.0168557346	-0.0199876671	-0.1131264568	0.0797722177	0.0353087897	-0.0734327353	-0.0204346957	-0.0128645231	0.1456438509	0.0607295594	0.0345992865	-0.0705679456	0.1254608868	-0.0361197609	0.0473375139	-0.0253826984	0.0115687776	-0.0598590025	0.2584962815	-0.0723367203	0.0873032505	-0.0278955401	0.0466198949	-0.1239261591	0.0160605139	-0.018794361	0.009913295	-0.0352207589	0.1042183632	-0.1703059362	0.0328720903	-0.0372068818	-0.1253742505	0.0685811169	-0.1146617583	-0.0182710284	-0.0426086246	0.052705641	0.036507458	-0.1982544441	0.0418973599	0.1153398884	-0.0295668119	-0.114283575	0.1103362939	0.0628112565	-0.0482800442	-0.0817836372	-0.0494904214	-0.1101577287	0.0343273792	0.0621211551	-0.0259605099	-0.0196015405	-0.029257844	0.1159726292	0.0469091316	-0.114579236	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	-0.0059174	0.0236203	3.501562276e-05	0.00055791857209	-0.105952	-0.11510173	0.011225826304	0.0132484082489929	-0.00454307	-0.0008683899999999	2.06394850249e-05	7.541011920999994e-07	0.00119477	0.0014827109999999	2.1984319095209994e-06	1.4274753529e-06	0.000822068	0.000523371	2.73917203641e-07	6.75795796624e-07	-0.000176182	-0.000176182	3.1040097124e-08	3.1040097124e-08	0.0	0.0
5732.4206042636415	78.49651032697511	6161.70213351291	32860645.984186333	14912.341775219777	154.22857548816137	23786.45349710749	222377937.2209649	5389.841694996439	66.85236271220947	4469.238400204815	29050393.49712209	5419.702545013975	9626.092969687325	1.389433	47.81934	0.37026397	0.200843	0.0854152738	-0.0337221311	-0.0324543599	0.0341988625	-0.0040128092	-0.2028344786	-0.0726360792	-0.1439771296	-0.1049886362	-0.2501168122	-0.1203366526	0.2462996294	-0.1294470436	0.4140011593	0.0916767813	-0.1204955081	-0.0186417508	0.0542813234	-0.4318337181	-0.0347510585	0.0589565174	0.0098681638	-0.021230275	-0.0833590205	0.0235208427	0.134563779	0.0410895357	0.0643375916	-0.000285217	0.1558374595	-0.0099948493	-0.0551705777	-0.0042161439	0.1579430724	-0.0636901449	-0.0905177563	-0.074777685	-0.1190441385	-0.0963336169	0.0056178244	-0.0635888858	-0.0051630248	-0.0457446823	0.1245094989	-0.0653340235	0.0380256919	0.2273582483	-0.0732828492	-0.0119103641	0.0435005131	0.0435872154	0.1389835373	-0.1167696773	0.0025121178	0.0385127413	-0.0325237461	-0.0415398615	-0.0814677719	0.0486729119	0.0782928758	-0.10576874	-0.0135662187	0.0422745483	0.0392609357	-0.4346898203	0.0136575927	0.0441269599	0.0188895767	0.0494651513	-0.03775642	-0.077997833	-0.0740566977	-0.0985616648	-0.0868525226	0.0733635548	-0.0482012864	0.1220042341	0.1525109742	-0.0295612911	0.1732876524	0.0088246566	0.0377625973	-0.136418422	-0.0916052262	-0.0292313936	0.0928013098	-0.0824965903	0.0358830028	0.0472284764	0.1186063158	-0.0533923008	-0.0704456482	-0.1489542213	0.1130058324	-0.0614313061	0.0522065722	-0.0424182919	-0.0942319388	-0.1003987362	0.0552757879	0.1285746065	0.0181190725	-0.0484999772	0.0869297072	-0.0798982337	0.0402442879	-0.0590375307	-0.0679693891	0.0210100972	0.0747681128	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	-0.0478682	-0.0419507999999999	0.00229136457124	0.0017598696206399	-0.170839	-0.0648869999999999	0.0291859639209999	0.0042103227689999	0.11262	0.11716307	0.0126832644	0.0137271849718248	-0.0008968669999999	-0.0020916369999998	4.37494533976858e-06	8.043704156888207e-07	0.000723833	-9.8235e-05	9.650115225000004e-09	5.23934211889e-07	0.000559208	0.0007353899999999	3.12713587264e-07	5.407984520999999e-07	0.0	0.0
5655.836385766934	-76.58421849670776	5865.142522751476	31988485.22256517	14916.306309552809	3.964534333032134	15.717532477790549	222496193.9204049	5329.773540947951	-60.0681540484884	3608.183130792933	28406485.99778886	5362.2176648309405	9609.176564897622	1.530967	52.690434	0.4170562	0.237876	0.1002785699	0.0591046991	-0.1263378385	0.1374427196	0.0380941512	0.0576571134	0.0711971379	-0.1123218858	-0.0721527182	-0.112172848	0.1104945201	-0.1057831326	0.1096605679	-0.171686834	0.0416319179	0.0593634317	0.1350272693	0.0672045261	0.0493406304	0.0036340859	-0.1090837352	-0.065610368	0.1023152159	-0.1055285183	0.0724618355	0.067070523	-0.1840290468	-0.0227309147	-0.023221735	0.163414028	-0.0673542355	0.0761438722	0.0114018277	0.103502268	0.1131993954	-0.004393345	-0.1115789304	0.1369672303	0.0410318431	0.1129812891	0.0245156915	0.0203455079	-0.0866120252	0.0996813542	0.0168240578	-0.0738882666	-0.0689777845	0.1249040978	0.0732548636	0.1549138378	0.0668982838	0.0671997956	-0.0217726589	-0.1095785949	-0.0524972037	0.0877932046	-0.1823404322	0.1184432217	-0.2186534393	0.0890624362	-0.0690209742	0.0759326717	-0.1162358412	0.0451214765	0.0497467389	-0.0179921169	-0.0682012892	0.1025978635	-0.0985052882	-0.0590788734	-0.1047561309	0.0142243677	0.0724991181	0.0887083271	0.1145847363	-0.1906692434	0.017899223	0.0911015905	-0.0823693651	0.0540139133	0.1738439694	0.0848421527	-0.0350669451	0.1485584904	-0.0287988786	-0.016894132	0.0492384818	-0.0182304577	0.0612043711	0.1269973913	-0.0277311836	-0.0128588646	0.0533498298	-0.1162769611	0.1637776111	0.1182659851	0.054677071	-0.1323621935	-0.0260711422	-0.0417350909	0.0314443092	-0.162478197	-0.1284480154	-0.1805330138	0.0518309126	-0.2203036844	-0.0113585908	-0.0267754284	-0.0701293162	0.0711313711	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	-0.0255248	0.0223434	0.00065151541504	0.00049922752356	0.0335999	0.2044388999999999	0.00112895328001	0.0417952638332099	0.0221785	-0.0904415	0.00049188586225	0.0081796649222499	-0.000409813	0.0004870539999999	2.3722159891590266e-07	1.67946694969e-07	-0.000427611	-0.001151444	1.325823285136e-06	1.82851167321e-07	0.000201058	-0.0003581499999999	4.0424319364e-08	1.2827142249999997e-07	1.0	0.0
5649.55034002185	-6.2860457450833565	39.51437110928057	31917419.044441007	14754.015199820426	-162.29110973238312	26338.404298168414	217680964.51653212	5336.090980249662	6.317439301710692	39.91003933079888	28473866.949501798	5368.8719061602005	9506.042825585046	1.185679	40.806854	0.0902734699999999	0.0467804	0.0696083017	-0.0268073049	-0.0634381259	-0.0232504024	-0.1253771677	0.1058458529	0.0210978239	0.0564713434	-0.0388530369	-0.0165478241	-0.0314703716	-0.0638262262	0.0616082676	-0.0366803105	0.0059090311	0.0303474886	0.1538626619	0.0697912285	0.080304062	0.1992229213	-0.1360907033	0.0942514441	-0.1048826883	0.136344154	-0.0722734865	-0.0565005196	-0.1554121011	-0.0885692881	0.0951810161	-0.0713667272	0.0483185003	0.0021546249	-0.0545892638	0.0029574354	-0.0209721678	-0.1392586917	-0.056642686	0.1073908391	0.0528497125	-0.2789290651	0.1119530814	0.0341701287	0.046485241	-0.0433244281	-0.0255591745	0.1014738666	-0.070221491	0.0662773781	-0.0693374647	0.0021521157	-0.0396725706	-0.1503038944	0.1105370664	0.0867985207	-0.0002677684	-0.029791215	-0.0342311822	0.0588415284	-0.0634669916	-0.0807834938	-0.0897757297	0.0331108805	-0.0924790548	0.0121336243	0.0746614923	0.0915806022	-0.2546106771	-0.0957999047	0.0641596149	0.0166713592	0.166722246	0.0199772148	0.0922105371	0.1358791449	0.067188132	0.055639492	-0.0368176326	-0.008021779	-0.0528473885	0.0241830188	-0.0787094034	-0.0637337864	-0.1302737324	0.0645583263	0.1337634641	-0.2526858173	-0.0342170725	-0.036935164	-0.0929245388	-0.1007207817	0.0368385496	0.0554018404	-0.0793651766	-0.1127991937	-0.0332580093	-0.0162116624	0.0629901903	0.1234583334	0.12039152	0.017233673	-0.0875049343	0.041632749	-0.056694575	-0.0759342103	0.0383017994	-0.0417465669	0.0868519329	-0.0311107438	-0.0689834477	0.0406855271	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	-0.0293054	-0.0037805999999999	0.00085880646916	1.4292936359999989e-05	0.00779803	-0.02580187	6.08092718809e-05	0.0006657364954969	0.0625752	0.0403966999999999	0.0039156556550399	0.0016318933708899	-0.000126418	0.000283395	8.0312726025e-08	1.5981510724e-08	-0.000533476	-0.0001058649999999	1.1207398224999992e-08	2.84596642576e-07	0.000217684	1.6626e-05	4.7386323856e-08	2.76423876e-10	0.0	0.0
5681.497264664487	31.946924642636983	1020.6059941223264	32279411.16839005	14652.202196845505	-101.81300297492088	10365.88757477125	214687029.21724424	5340.985575642968	4.89459539330619	23.957064064174176	28526126.919226244	5373.960711698295	9439.360050373316	1.271167	43.74905	0.0806745199999999	0.0355392	-0.0872876034	-0.1648517718	-0.0574935256	-0.1519897466	0.0618110395	-0.1013966228	0.0861190479	0.1608304358	0.0211957379	-0.1063839533	-0.0304795589	-0.0256306508	-0.1551934702	-0.0162460391	-0.037416956	-0.0195796456	-0.10328733	0.1174332356	0.0628458397	-0.0084480083	0.0980318214	0.1061204201	-0.0444549583	0.0971962129	-0.198903009	-0.0403431395	0.0601859116	-0.0345854474	0.0281162924	0.1093515762	0.0474308128	-0.2065659563	-0.026104948	0.0169064839	0.0655408028	0.0257902869	-0.0215114875	-0.0032951865	-0.0601140768	-0.163771167	-0.0692997699	0.0646922693	0.0773221848	0.1536544438	-0.064920747	-0.0281732372	0.0495481997	-0.0312913866	-0.0488703229	-0.0224030255	0.0803044987	0.1325149713	-0.0635279911	-0.0309364042	0.0844802645	0.1262117226	0.1272089077	-0.0058413198	-0.116947585	0.0610528745	0.0387026511	-0.0038496545	-0.1084737295	0.0345923926	0.0532208787	-0.0275714106	0.0026224525	-0.1339168109	0.0503403917	0.0243561701	0.1948615597	0.0809181951	-0.152942584	-0.0151088369	0.0114301139	0.0414036193	0.1459545462	0.1317634758	0.0811298725	-0.0144368688	0.0153627834	-0.0160881519	-0.0241639396	-0.0734113769	0.1185329573	-0.0817415513	-0.1139969866	0.1062953061	-0.0402214177	0.0902320206	-0.0376002344	0.041616244	-0.0441899717	0.0427669848	-0.0032725542	-0.1235063699	-0.0247631077	-0.107658357	-0.1014635089	0.0525192717	0.0774143383	-0.0990544588	0.1802685781	-0.0283497581	-0.0186101309	-0.1194811679	-0.0593874944	0.0285615291	-0.0604787461	0.0621937085	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	-0.0253685	0.0039369	0.0006435607922499	1.549918161e-05	0.0280286	0.02023057	0.00078560241796	0.0004092759625248	0.0735709999999999	0.0109957999999999	0.0054126920409999	0.0001209076176399	0.00026823	0.000394648	1.5574704390399998e-07	7.19473329e-08	-0.000831369	-0.000297893	8.874023944900002e-08	6.91174414161e-07	2.6469800000000003e-23	-0.000217684	7.006503120400002e-46	4.7386323856e-08	0.0	0.0
5677.421646775724	-4.07561788876319	16.610661175206527	32233116.55527757	14723.685147183862	71.48295033835711	5109.812189076029	216786904.31340265	5350.739264791598	9.753689148629746	95.13445200809768	28630410.67978253	5380.626800882369	9386.957520437509	1.272182	43.78397	0.0210498999999999	0.0123567	-0.1570042476	0.0964733697	0.1030698276	0.0491380263	-0.0425642312	0.0842689134	0.0079732362	0.0016956065	0.1933284231	-0.0747045909	-0.0229408411	0.006789972	0.0072425076	0.0694503804	-0.130754039	0.0402183221	0.1631048585	0.0330056671	-0.1212184499	-0.0566485246	0.0408747444	0.0608295205	0.2384325287	-0.1219873341	-0.0165121406	0.0533784086	-0.0527973369	0.0662867983	0.0761619018	-0.0019466142	-0.0291708246	-0.0169254924	0.0685995236	-0.0915464837	-0.0693125341	0.0095364013	0.0098757306	-0.0932858628	0.0556030725	-0.0272661842	0.0731464895	0.2088885647	0.0514922751	-0.076433364	0.1267135281	-0.0211405142	-0.0435959	0.0500356506	-0.1078395334	-0.1654495704	-0.0210685299	-0.0526178486	-0.0030829706	-0.0258968034	-0.0131946753	-0.0611785686	-0.020935413	0.0983384198	0.0526560109	0.0252320383	0.0712693943	0.0284911173	0.0827198644	0.0207108953	-0.1237042748	-0.0108466362	0.1267695963	-0.0057296097	-0.2392344469	-0.107505534	-0.0463664265	0.0246679038	-0.011355631	-0.033658895	0.1141613074	-0.0135749094	-0.0132804049	-0.0422829717	0.0455628217	-0.0176639261	-0.0384214908	-0.0051108173	-0.0144970015	-0.0807061511	-0.0167003824	-0.064953844	0.1770976286	0.1383996581	-0.1365725255	-0.1361646543	-0.0718832156	-0.0690498258	0.0188363186	-0.0519016662	-0.0120442676	-0.132785065	-0.0426845701	0.0596747223	0.0237914923	-0.0565290262	0.0208945519	0.0611649649	-0.0817075716	-0.0877349338	-0.0170596366	0.0470413742	-0.0150551685	0.038752287	0.0863950805	-0.0293166765	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	-0.0254082	-3.970000000000015e-05	0.00064557662724	1.576090000000012e-09	0.0323529	0.0043242999999999	0.0010467101384099	1.869957048999997e-05	0.0823587999999999	0.0087877999999999	0.0067829719374399	7.722542883999998e-05	0.000259771	-8.458999999999995e-06	7.155468099999989e-11	6.7480972441e-08	-0.000681866	0.0001495029999999	2.2351147008999983e-08	4.649412419560001e-07	0.0	-2.6469800000000003e-23	0.0	7.006503120400002e-46	0.0	0.0
5678.428637129193	1.006990353468609	1.0140295719788344	32244551.7869689	14679.235043039827	-44.45010414403441	1975.8117584155048	215479941.4488085	5349.07254006574	-1.6667247258574207	2.777971311784494	28612577.03888535	5382.734200083477	9467.24492502202	1.136311	39.107784	0.0353018699999999	0.0198009	-0.0970678328	-0.1055981249	-0.010615129	-0.0174572685	0.0246731283	0.0348938811	-0.0816795626	0.1242579922	0.0188290981	0.0392974402	0.0870387695	0.0143221918	-0.1040637708	-0.0498732215	-0.0327718455	0.0157435742	-0.0550417393	0.04456529	-0.1664665058	-0.0501542219	0.0930885108	0.2540242111	-0.0680711527	0.0042380119	0.0875433333	-0.1142205989	0.1018403906	0.0357723703	-0.0503160962	-0.0207440251	-0.0399235051	0.0867646517	0.0710772031	-0.075919253	0.0366594617	-0.015661901	0.1318503715	0.0085678094	0.0258205219	-0.0138515532	0.117775877	-0.0183484044	-0.1317118156	-0.0416216876	0.1216298452	-0.0220154681	-0.0296383584	0.0336832356	0.1310195714	0.0793675173	-0.2115701467	-0.0406967796	-0.1897879861	-0.0263613412	0.1099028768	0.0423064357	-0.0101600754	-0.0054710957	-0.0283057828	-0.2455516522	-0.1764279651	-0.0162297611	0.1157343917	-0.0959068956	-0.17703168	-0.0352059756	0.0762552001	-0.2534661505	0.0292420833	-0.0205498196	-0.0760976954	-0.0223445508	0.0271885372	-0.0613655135	-0.2006657578	-0.0005129144	-0.0880282674	-0.0702652501	0.0045741086	-0.0085351419	0.0246009395	-0.1351223787	0.0386783719	-0.0148792601	0.0662207852	-0.0357975021	0.1045761858	-0.0977762303	0.0146373413	-0.00368624	-0.0344301666	-0.0387525341	0.0724955327	-0.0295290289	0.0914228712	0.2141137045	-0.1119651786	0.1846765818	-0.0835249803	0.0356478449	0.1430210818	-0.0271768994	-0.0096412292	-0.0085846531	-0.012050859	0.0103000562	0.2548296997	-0.1617431503	0.0816999588	-0.1239658275	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	-0.0253895	1.8699999999999967e-05	0.0006446267102499	3.4968999999999877e-10	0.0155198	-0.0168330999999999	0.00024086419204	0.0002833532556099	0.0748368999999999	-0.0075218999999999	0.0056005616016099	5.657897960999997e-05	0.000280039	2.026799999999999e-05	4.1079182399999954e-10	7.842184152099999e-08	-0.000799964	-0.0001180979999999	1.3947137603999992e-08	6.39942401296e-07	8.01974e-05	8.01974e-05	6.431622966760001e-09	6.431622966760001e-09	0.0	0.0
5658.48292698165	-19.94571014754274	397.83135328978943	32018429.03494282	14811.823995014707	132.58895197487982	17579.830185796985	219390130.05929345	5340.818872299393	-8.253667766347462	68.1230315972431	28524346.22670936	5374.24384504923	9510.52835502659	1.165277	40.104679	0.02818613	0.0149655	0.0805558274	0.0282111146	0.0318379922	0.1242200177	0.1258605875	0.0518820694	0.0557636267	-0.0366046514	-0.0773305812	0.0805742212	0.1628650457	-0.0082583888	0.0033402658	-0.0345367842	0.0284499983	0.0175679445	-0.0746598818	-0.2605578243	-0.0390949121	0.0194603846	-0.1735888754	-0.0758672018	-0.0718845286	-0.0653535403	0.1118495147	-0.1660875903	0.0697899907	0.0004881516	-0.0844575623	-0.1359457426	0.0243539024	0.0619453728	-0.0204158231	-0.0067983835	0.0566375338	0.0838798892	0.1402636718	0.1489043288	-0.0111444829	0.0484324012	-0.0250857152	0.0143184572	0.0290911182	-0.0087491518	0.1076002846	-0.00968569	-0.2309036205	0.0302922634	0.1397260377	0.1361418244	0.0450385135	0.0807620589	-0.0107498588	0.0573212381	-0.0050785973	-0.0481033579	-0.0558748072	0.0476602891	-0.0447375315	0.1099914437	0.1045452222	-0.0572131997	0.0470849818	0.0657530946	-0.033487723	-0.003290184	-0.1127977757	0.1079228657	0.033061208	-0.0324734496	-0.1162993357	0.0275193081	0.1045939799	0.0095508212	-0.2071367245	0.0817497838	-0.0929313314	-0.0986426043	0.0073824183	-0.0558538634	-0.0005458488	-0.0644525768	0.1937816076	0.1287403855	0.0307311827	0.0324503537	-0.0130967202	0.0006735063	0.0037591416	-0.0108038968	-0.0593497346	0.1410841807	0.170320027	-0.0928326977	0.1038154172	0.1020992768	0.0620002688	-0.1066861922	-0.03849298	0.0924882182	-0.0338376424	0.0441635179	-0.0308738782	-0.0375040737	0.124178685	-0.0189113718	-0.1268327275	0.028748257	0.0455687537	0.0903723583	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	-0.0253708	1.8699999999999967e-05	0.0006436774926399	3.4968999999999877e-10	0.00590724	-0.00961256	3.4895484417600004e-05	9.240130975359998e-05	0.0761383999999999	0.0013014999999999	0.0057970559545599	1.6939022499999925e-06	0.000499434	0.000219395	4.8134166025e-08	2.49434320356e-07	-0.000845439	-4.547500000000001e-05	2.0679756250000012e-09	7.147671027210001e-07	0.0	-8.01974e-05	0.0	6.431622966760001e-09	0.0	0.0
5662.366603756417	3.883676774767082	15.082945290865243	32062395.555335984	14790.63936779061	-21.184627224096403	448.7884306239264	218763012.90803745	5334.099184003833	-6.719688295559536	45.15421078947982	28452614.10479036	5366.48380393735	9458.768003151	1.132466	38.975471	0.06631877	0.0345611	0.0470235141	-0.0933253968	-0.002377467	0.0180501351	-0.0850794898	-0.0609498489	-0.0993811254	0.040909694	-0.0315384016	-0.0574502662	0.0776490895	-0.0441735754	0.0303024931	0.068450613	-0.0384199614	0.1411918487	-0.170812366	-0.242957711	0.0425322731	-0.0171117035	0.0143069978	-0.0710487145	-0.0763549887	-0.0786601029	-0.0763625863	-0.0676942666	0.0314449922	0.0154767078	-0.0477065054	-0.0167475113	0.0095794605	-0.0283948927	-0.0618464235	0.0680751899	-0.0411752637	-0.1102797492	-0.0563245857	0.0908655099	-0.0594756959	-0.0454263273	-0.1196939841	-0.1267890249	-0.1002510037	-0.0925143957	0.0842307638	0.1183444775	-0.0134476813	-0.1017035341	0.024731234	0.0130351615	-0.0553069774	0.0646517315	0.1274029526	-0.0173559423	0.0122766247	-0.1191914003	0.1751422192	0.0140982125	0.1716541273	0.0005824595	-0.1040819313	0.0386131617	0.0333921214	0.0659980541	0.0458117091	-0.0206530531	-0.0043521394	0.0680072116	0.1010766635	-0.0748492967	0.0092437696	0.0683986755	-0.023304677	-0.0066962622	-0.0616989622	0.0440618062	0.0974039549	0.0199955339	-0.0184710297	0.0378469978	-0.0337471947	-0.0006933714	-0.082532828	0.076396081	0.0431446105	-0.003852127	-0.1052431942	-0.0511052269	0.1837962365	-0.1206589958	-0.0453548931	0.0062342815	-0.0185326428	-0.0005606922	-0.1044396588	0.1152714633	-0.0762029011	-0.0791128079	0.1194623173	-0.0506866736	-0.0368917015	0.2310428029	0.0668583886	0.0285655723	-0.1696754617	0.0998459328	0.0686163503	-0.0184965416	0.0161587368	0.0431020902	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.0137516	0.0116192	0.00018910650256	0.0001350058086399	-0.0122383	-0.01814554	0.00014977598689	0.0003292606218916	0.0746596	-0.0014787999999998	0.00557405587216	2.1868494399996787e-06	9.43564e-05	-0.0004050776	1.6408786202176e-07	8.903130220960001e-09	-0.000916482	-7.104300000000002e-05	5.047107849000001e-09	8.39939256324e-07	0.000225384	0.000225384	5.0797947456e-08	5.0797947456e-08	0.0	0.0
