global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	w_comp_cor_118	w_comp_cor_119	w_comp_cor_120	w_comp_cor_121	w_comp_cor_122	w_comp_cor_123	w_comp_cor_124	w_comp_cor_125	w_comp_cor_126	w_comp_cor_127	w_comp_cor_128	w_comp_cor_129	w_comp_cor_130	w_comp_cor_131	w_comp_cor_132	w_comp_cor_133	w_comp_cor_134	w_comp_cor_135	w_comp_cor_136	w_comp_cor_137	w_comp_cor_138	w_comp_cor_139	w_comp_cor_140	w_comp_cor_141	w_comp_cor_142	w_comp_cor_143	w_comp_cor_144	w_comp_cor_145	w_comp_cor_146	w_comp_cor_147	w_comp_cor_148	w_comp_cor_149	w_comp_cor_150	w_comp_cor_151	w_comp_cor_152	w_comp_cor_153	w_comp_cor_154	w_comp_cor_155	w_comp_cor_156	w_comp_cor_157	w_comp_cor_158	w_comp_cor_159	w_comp_cor_160	w_comp_cor_161	w_comp_cor_162	w_comp_cor_163	w_comp_cor_164	w_comp_cor_165	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
5321.189862700853	n/a	28315061.554910325	n/a	12880.501212272118	n/a	165907311.4793435	n/a	4976.2937343796775	n/a	24763499.330826435	n/a	5002.578873839879	8542.341154281048	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.00642479	n/a	n/a	4.12779265441e-05	0.0364528	n/a	n/a	0.00132880662784	0.0271422	n/a	n/a	0.0007366990208399	0.000168277	n/a	n/a	2.8317148729e-08	-0.000191325	n/a	3.6605255625000003e-08	n/a	0.000140735	n/a	1.9806340225e-08	n/a
5290.216925584799	-30.9729371160538	27986395.119743887	959.3228335950232	12522.22951344031	-358.27169883180795	156806231.98727554	128358.6101838297	4961.737932681902	-14.555801697775678	24618843.312614474	211.8713630649693	4988.69445584136	8377.76126962578	1.151432	43.851826	0.10374184	0.060084	-0.022439152	-0.002348789	0.032334217	-0.0089749408	0.1120388184	-0.0847751072	-0.0195802427	0.4251771173	-0.1086097702	-0.094701659	-0.0536278831	0.0606527892	-0.0159845011	0.0709383381	-0.0325291597	-0.0694380809	0.0571137431	0.0438743008	-0.0510413162	0.0646906159	-0.0142988192	0.1303851683	-0.0259219441	0.1476639024	-0.0083188738	0.0250578655	-0.0429923752	-0.0092245081	0.0128902381	-0.0426672421	0.037366471	-0.048168886	0.0398264483	0.0291125116	-0.0209347697	0.0115145519	-0.016997058	0.01919043	-0.0223335659	0.0438112671	-0.0415394015	0.008863208	-0.015287898	-0.0251700571	0.032938678	-0.031265924	-0.0562100562	0.0512853603	-0.0177658774	0.092835683	-0.0083506425	0.0004900026	-0.0178638206	0.0182831211	-0.0046289998	0.1300907609	-0.0146399195	0.016131485	-0.0247066063	0.0225182797	-0.0075584639	0.0512887492	-0.0327886213	0.0081716366	-0.026037897	0.0004217499	0.021485601	-0.027945878	0.0547420618	-0.0622459206	0.0019223045	0.0162373715	-0.0404742059	0.0207765565	0.0347140803	-0.0266288822	0.0346859938	0.0286127132	-0.0024945719	-0.0029376539	0.0147617915	-0.057750669	-0.0055366179	-0.0035921195	-0.0014594677	0.017764099	-0.0316391092	-0.000982921	0.080508567	-0.0567954909	-0.064304781	0.0166680774	0.0175223897	-0.0084349788	-0.0010946242	-0.0068323154	0.0140628885	0.0053330151	-0.007334414	-0.0061539712	-0.01342633	-0.0217147257	0.0438509862	-0.0517277585	0.0194757396	-0.0065608988	0.0243186606	-0.0397567319	0.0359713401	-0.0645406622	0.0013767113	-0.0069968809	0.0373936397	-0.0308582228	0.03764281	-0.0746237442	0.0564833071	-0.0222003381	0.0572454785	-0.0015897097	0.0041789212	-0.0289006693	0.0054514565	-0.0395596911	0.0095655394	-0.0247157004	0.012788253	-0.0019153187	0.0273360595	-0.0457799276	0.0322612362	-0.035474679	0.0425019534	-0.0161460616	0.0423182449	-0.001598739	0.0303454165	-0.0563670352	-0.0178201843	0.0263794579	-0.0188087268	0.007844986	0.083300088	-0.0106665862	0.0285127263	-0.0903200095	0.0087849881	-0.0050556722	0.0082575588	0.0043148496	-0.0258368707	0.022923243	-0.0204664129	-0.0047177273	0.0349135893	-0.0337318177	0.0117014344	0.0033207105	-0.0299611485	0.0017466731	0.0204401962	-0.0418931842	-0.0135807231	0.0836335992	-0.06784516	0.020287282	0.007549938	0.0017910584	-0.0495078398	0.0293839434	0.0354894994	-0.0349424962	-0.0297373189	0.0199950413	-0.0266571304	-0.0662874249	0.078622532	-0.0113895516	-0.0038003588	0.0724424529	-0.0325388845	-0.0354675157	0.0440588856	-0.0443234355	-0.0007593051	-0.0165893537	0.0722797589	-0.0251251116	-0.0621926931	0.0338058933	-0.0531539458	-0.0205473418	0.027247142	-0.0056418393	-0.0032113782	0.0423681441	0.0037679951	-0.0635305946	0.0294298378	0.036821314	-0.0224614245	0.022673185	-0.0104314487	0.0221918266	-0.013200131	0.0631684425	-0.0091335937	0.004248646	-0.0250061362	0.0085381196	0.0022722025	0.0552657907	-0.03451655	0.0732129089	0.0191788901	-0.0818590969	0.0037337271	-0.0279285902	0.0260568744	-0.0248735135	0.0302599506	-0.0368471287	0.1064657098	-0.0332613367	0.032044021	-0.0015042995	2.96745e-05	-0.0497484326	0.0215502288	0.0029132562	-0.0074817009	0.0318352669	-0.0298253334	0.0005368268	0.0761845858	-0.0349946271	0.0261413834	-0.0246101187	0.0311181504	-0.023159814	-0.0311843719	0.0478268993	0.0101720492	-0.0423970313	0.0452065453	0.0083169101	0.0101616021	-0.030976433	0.0340759424	-0.0133127942	-0.0002805262	-0.0306009588	0.011645287	0.0135671421	0.0611924908	-0.0538307954	0.0575778374	-0.0146400491	-0.0317509993	-0.0120912549	0.0272681516	0.0045961166	-0.0071873722	-0.0348139631	0.0003399041	0.0093855736	0.0285887947	-0.0063108466	-0.0029278019	-0.0409813658	0.0679391711	-0.0083184042	0.0283619314	-0.0328155209	0.0237761286	-0.0127836714	0.0426221969	-0.0420357328	0.0265387465	-0.0142138891	0.0484929752	-0.027543094	0.0396328818	-0.05449484	0.0257097681	-0.0115398401	0.006036074	-0.0694864217	0.0282989225	-0.0375809873	0.0023414847	-0.0552333844	0.0167521592	-0.0033574512	0.0248259916	-0.051511644	0.0515239081	-0.0150602564	0.0427247383	-0.0161916792	0.0395286221	-0.0091580916	0.0138451931	-0.0072049325	0.0256459978	-0.0474186435	0.0613827579	-0.057611699	-0.0273820668	0.0419834856	-0.0888533449	0.0074510396	-0.018325832	-0.0189062065	0.055344303	-0.0013708328	-0.0038852516	0.0029233429	-0.0376269927	-8.58569e-05	-0.0357206944	0.0364769163	-0.0272604087	0.0115099326	-0.0604087159	-0.0066831956	0.0384906341	0.020941697	-0.0644163418	0.0285875028	-0.0306513908	0.0661539042	0.0216301178	-0.0312718493	-0.0070393883	0.029959107	0.0444146294	-0.0345470239	0.0784285603	-0.0039984403	-0.0171508377	0.0201903612	0.007472676	-0.0476085554	0.0487814922	0.0312075695	-0.0212509633	0.0723192844	0.0731434547	-0.018447177	-0.0140674586	0.0627114037	-0.0181938366	0.0032049535	0.0373714127	0.0757164576	-0.0150620849	0.0857077274	0.0036203974	0.0248695372	-0.0036142393	0.0532622319	0.0532618353	0.0532611743	0.0532602488	0.053259059	0.0	0.00202685	0.00845164	7.14302186896e-05	4.108120922500001e-06	0.0937654	0.0573126	0.0032847341187599	0.00879195023716	0.0280875	0.0009453	8.935920900000058e-07	0.00078890765625	-0.000334997	-0.000503274	2.53284719076e-07	1.1222299000900003e-07	-0.000287962	-9.6637e-05	8.2922113444e-08	9.338709769e-09	0.0	-0.000140735	0.0	1.9806340225e-08
5283.30288521919	-6.914040365609253	27913289.37696542	47.803954177274136	12530.23819886324	8.008685422930284	157006869.3202515	64.13904220345603	4966.562872136204	4.824939454301784	24666746.76288181	23.280040737678	4992.261563485273	8352.74544684627	1.166826	44.438095	0.03807995	0.0225162	0.0173535264	0.0554027575	0.083424858	-0.1090785444	0.0516884071	-0.0387908707	0.0826769701	0.4276040209	-0.1524066718	-0.1076116739	-0.0682031063	0.0585327874	0.0544839205	-0.0145300298	-0.026241414	-0.0173345383	-0.0532525216	0.0455614216	0.0088003351	-0.0182637446	-0.0178240557	-0.0148395903	0.0861291194	-0.0296271684	-0.0107658468	-0.0256799556	-0.0347981963	0.0004237885	-0.0056406241	0.0516626138	0.0705294899	-0.0317036029	0.0618357812	0.0267749174	-0.0244756709	0.0346980426	-0.0528427211	0.0287314706	0.0286857175	-0.0230899008	-0.0165534157	-0.0610185178	0.0033948891	-0.0065106187	-0.0253775668	-0.0350563533	-0.0362271564	0.0376599092	0.0029243075	0.0136983991	-0.0086355483	-0.0120344393	-0.0318466452	-0.0219838369	-0.0030269985	-0.0141999911	-0.064117648	-0.0009448496	0.020756273	-0.0260685768	0.0118808072	-0.0518646399	0.0314897927	-0.0506304901	0.0336745914	-0.0401062039	0.0675385122	0.0334565065	0.0474224692	0.0141571783	0.0371716508	-0.0220076272	-0.0149474723	0.0793990782	0.0718411058	0.0045305471	-0.0183838597	0.0505968369	-0.0100408011	-0.0180352957	-0.0309477374	0.0004047015	-0.0700962778	0.0012389498	0.0862431816	0.0609388256	0.0265856273	-0.0697182344	0.0251840991	-0.0378129956	-0.0211839039	-0.0268926749	0.0352211008	-0.005232299	0.0716925005	0.0504986684	-0.0284584463	-0.0148573385	-0.0103716154	0.0089579667	0.0339715887	-0.0100026647	0.0320107016	-0.007302498	0.0876778874	-0.0706134171	0.028826297	0.0229805705	-0.0316866909	-0.0330765421	0.0548452778	-0.0205136179	0.1092314191	-0.0034279189	0.0009037381	-0.0043886641	0.009541606	-0.0865052461	-0.0205076642	-0.0339806784	-0.0268165796	0.0277050463	0.0258891364	-0.0669123588	0.0450824926	0.0216903541	-0.0029641204	-0.0738206893	-0.0109642559	0.0202332948	-0.0058573298	-0.0525707019	0.0602463308	0.0180523583	-0.0647314614	0.0468458308	-0.0060944569	0.0425985946	0.0172824973	-0.0001197003	0.0141485865	0.0516319596	0.0305755254	0.0026301238	-0.0049731027	0.0480492788	0.0449521901	0.0114765313	-0.0457845654	-0.0303365482	-0.0034851063	-0.0509448731	0.0526945525	-0.0012283641	0.0143116611	-0.0086051823	-0.0564103855	0.068357562	-0.0108813601	0.0253079404	-0.0970698979	-0.0209938352	-0.0159084608	-0.002202395	-0.015181461	0.0367349971	0.0241699966	0.0263261518	-0.0448862163	-0.0097659356	-0.0142357785	-0.0191427276	-0.07041916	0.0495637832	0.0090805134	-0.0439048871	0.010127278	-0.0264606252	0.0562947254	0.0469885784	-0.0171335223	-0.0318447216	0.0362107032	0.0400908596	0.0106922747	-0.008524751	0.0523284642	0.0255944034	-0.0104142999	-0.0461584714	-0.0113677837	-0.0201769615	-0.0065142779	-0.0474337087	0.0105614975	-0.0458671781	-0.0404012443	-0.0688948606	0.048562232	0.0170198762	-0.0233965756	-0.0026883734	-0.0494932315	0.0386385114	0.035221695	0.0224757841	0.0233966117	-0.0465289672	0.0239089431	-0.0065364602	-0.0394205126	0.0274251825	-0.0263271086	0.0433721566	0.0229965101	-0.0105756334	-0.0141179535	0.0162288025	0.0108546807	0.033732221	-0.0314101712	0.0687108641	0.0084078971	-0.0279473499	-0.0209435729	-0.0127039587	-0.0082472539	0.0530397568	-0.0392960576	-0.0544060387	0.037392401	-0.0143730576	0.0038946208	0.0288390199	0.0439277854	-0.0089800158	-0.003640877	0.02761457	-0.0327890306	-0.0155173546	-0.0822388118	0.0355572106	0.0001770317	0.0119886535	-0.0429891632	0.007006627	0.057093372	-0.0296581075	0.0277316979	-0.1557627224	-0.0212923449	-0.0234495687	0.062476504	0.0198960881	-0.0045806348	-0.0247583282	0.0641201811	0.0434441691	0.0139619047	-0.0658181186	0.0200232158	0.0477581581	-0.0345171698	-0.0044588476	-0.0392092587	-0.0482885509	0.027945333	-0.0478844353	0.0187177394	0.0456460708	0.0266688467	0.031056977	-0.0640146874	0.0090951603	0.0371161316	-0.0634952361	-0.0295889862	-0.0632948754	0.029228226	-0.0460715859	0.0422777339	0.0384626	0.0252882769	0.0184464965	0.0441220475	0.0421891157	-0.0188808456	-0.0505148802	-0.0293797492	-0.0491351271	0.0771685636	0.0356218308	-0.0511740932	-0.0400802321	0.0172124099	-0.0565524884	-0.0127866672	-0.0393640951	-0.024164953	-0.0776699459	-0.0480052816	0.0037994353	0.0033346182	-0.0310115261	0.0094011049	-0.0237803218	0.0283129874	0.0123017747	-0.0024004795	-0.0127185065	0.0058569207	0.0496678275	-0.0072596135	-0.0228940972	-0.0243923935	-0.0171816979	-0.0691465684	-0.057483188	0.0285604084	-0.0558894013	0.0130619535	-0.0404037667	0.0259139859	0.0735949055	-0.0204036284	0.0504360076	-0.0270921884	0.0725510542	0.0277076274	-0.0144702995	0.0191295113	-0.0025398644	0.0205334519	-0.0454125621	-0.0553539425	-0.0129854603	0.0646379188	-0.0181365866	0.0344587466	0.0424613699	-0.0507065793	-0.0063694033	-0.0210359946	-0.028814446	-0.0150520944	-0.0006736601	0.0043397305	0.0774059863	0.0107456851	-0.0522467037	-0.0513610579	-0.0017164361	-0.0176743123	0.0450104163	0.0325964007	-0.0132007148	-0.0532911701	0.0145072629	-0.0094838708	0.01583192	-0.0457309872	0.0532611743	0.0532576048	0.0532516558	0.0532433276	0.0532326205	0.0	-0.0013498	-0.00337665	1.14017652225e-05	1.82196004e-06	0.0937054	-6.0000000000004494e-05	3.6000000000005393e-09	0.0087807019891599	0.006139	-0.0219485	0.00048173665225	3.7687321000000005e-05	-0.000529993	-0.0001949959999999	3.802344001599999e-08	2.80892580049e-07	-0.000229062	5.89e-05	5.2469399844e-08	3.4692099999999994e-09	0.0	0.0	0.0	0.0
