global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	w_comp_cor_81	w_comp_cor_82	w_comp_cor_83	w_comp_cor_84	w_comp_cor_85	w_comp_cor_86	w_comp_cor_87	w_comp_cor_88	w_comp_cor_89	w_comp_cor_90	w_comp_cor_91	w_comp_cor_92	w_comp_cor_93	w_comp_cor_94	w_comp_cor_95	w_comp_cor_96	w_comp_cor_97	w_comp_cor_98	w_comp_cor_99	w_comp_cor_100	w_comp_cor_101	w_comp_cor_102	w_comp_cor_103	w_comp_cor_104	w_comp_cor_105	w_comp_cor_106	w_comp_cor_107	w_comp_cor_108	w_comp_cor_109	w_comp_cor_110	w_comp_cor_111	w_comp_cor_112	w_comp_cor_113	w_comp_cor_114	w_comp_cor_115	w_comp_cor_116	w_comp_cor_117	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	cosine00	cosine01	cosine02	cosine03	cosine04	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
4526.601340030745	n/a	n/a	20490119.69156813	11576.052634239197	n/a	n/a	134004994.59067623	4331.401160914361	n/a	n/a	18761036.016770277	4369.172808908046	7918.389265412059	n/a	n/a	n/a	n/a	-0.0471964925	-0.0481224833	0.0514586906	-0.0561264771	0.0095873025	-0.0640763446	0.1542318768	0.1425139213	-0.0470585283	-0.0185748241	0.1346098609	0.2122146207	0.1371223616	0.0652712918	0.0685358652	0.0084696915	-0.0296582636	0.0201840359	-0.0759854578	0.0450065398	-0.0167632057	0.022410511	0.0172146195	-0.0216598293	0.0181046093	-0.1003985138	0.0522506396	-0.0342134853	0.0081707153	-0.0066096633	0.0070319762	0.0132757725	-0.058393438	0.02950817	-0.0576990025	0.0183701965	-0.0280595862	0.0226090503	-0.0402494263	0.0209334877	-0.1118664332	0.018204727	-0.1435035002	0.0261769898	-0.0710804762	0.0325560795	-0.0364247873	0.0063671206	-0.0290287068	-0.0064973278	0.0419103934	0.0318579688	-0.0083467742	-0.0698749082	0.0305587736	-0.0419223794	0.0103889506	0.046600119	-0.0134374885	-0.0988731473	0.0080122881	0.033020743	-0.0228239644	-0.0716363127	0.0469384742	0.0046467148	0.0008590319	-0.0675999018	-0.0472556194	0.0391181121	0.0289186528	-0.0643777332	-0.0646856795	0.0535660473	-0.0511769871	0.0358626492	-0.0347542759	0.0256934901	-0.0598829878	0.0186998576	-0.0262896084	0.0522091504	-0.0071184526	0.0071687169	-0.0368779347	0.0766399566	-0.0927769297	0.0416542734	-0.0197108939	0.0597977545	-0.0695356479	0.0040682061	-0.0678986583	0.116344165	-0.0438896408	0.0307650191	-0.0127338505	0.028900575	-0.0042560807	0.0388668237	-0.111735004	-0.032890696	0.0444014923	-0.0721503878	0.1049837852	-0.03033924	-0.0070681354	0.0318630644	-0.0564838161	0.0831891097	0.014453617	-0.0209897192	-0.0123241326	0.0447909652	-0.0006792959	-0.0053990248	-0.0265057774	0.0680017448	-0.0398315335	-0.0079859098	0.0586268831	-0.0624188282	-0.0251039611	0.0681492674	-0.0128559824	-0.0038773066	0.0208781275	-0.0069110376	-0.0323694748	0.0087004941	0.0435754095	-0.010351699	-0.0102558768	0.0937921595	0.0340369635	-0.0232048496	0.0657318472	0.0507380123	-0.0368010569	0.0095719378	-0.0365098221	-0.0445379126	0.0636684356	-0.0581249172	0.0126362954	-0.0443424908	0.040629699	-0.0056412282	0.0450652563	-0.0012429432	0.0377540519	-0.0022009546	0.0075294213	-0.0431621187	0.0630740022	-0.0504965872	0.0352265972	-0.0062474138	0.1591997875	-0.0393592039	0.0570091881	-0.0630465085	0.0530096816	-0.0746295122	0.0121508267	-0.0266252101	-0.0500416917	0.0143164111	-0.0300063898	-0.0061745945	0.0702182126	-0.0496448535	0.0224739123	0.021078457	-0.0622186129	-0.0498318371	0.0676908094	0.026630219	0.0504374474	-0.0486953875	0.0195975292	0.0379821735	-0.019080507	-0.0148823973	-0.024871714	0.0334243397	0.0103637453	0.082960982	-0.0493400495	-0.0321484587	0.0359657139	-0.1072527002	0.0140908005	-0.0014500055	0.0314660782	-0.0223924023	0.0159309011	-0.0512584704	0.006837373	-0.0267396812	0.0381522005	-0.0034664848	0.0183768566	-0.1155487836	0.0182549301	-0.0409825732	0.0812079143	-0.0653538485	0.0590365996	-0.0501488176	0.0464460142	-0.0466840413	0.0488223436	-0.0821013503	0.0615867985	-0.0282698185	0.0318405129	-0.0405732467	0.0868378477	-0.0672725185	-0.0839208077	0.0633347632	-0.0704933119	0.0274484779	-0.0270421356	0.0509499926	0.0076455433	-0.0701704405	-0.0090152234	0.02882868	-0.0420500777	-0.0500816244	0.0275003227	-0.0096599744	-0.0022174846	-0.0550572883	0.0446460335	-0.0161065338	-0.0621507109	0.0451403287	-0.0362589696	0.0701883248	-0.0350683336	-0.0377563539	0.043824933	0.0064633665	-0.0208341915	-0.0016262888	0.0458671223	0.000386401	0.0424186831	-0.0222779272	0.0629937729	0.062992855	0.0629913253	0.0629891837	0.0629864303	-0.000984604	n/a	9.69445036816e-07	n/a	0.0868252999999999	n/a	0.0075386327200899	n/a	0.0368805	n/a	0.0013601712802499	n/a	-0.00106343	n/a	n/a	1.1308833649e-06	-2.6469800000000003e-23	n/a	n/a	7.006503120400002e-46	0.000151023	n/a	2.2807946529e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0
4521.519460289703	-5.08187974104203	25.82550170241341	20444138.229778484	11549.574976391264	-26.47765784793228	701.0663651121697	133392682.13528328	4325.385951505261	-6.015209409099953	36.1827442353246	18708963.62947907	4365.939238730244	7861.049185683607	1.201616	44.144039	0.077145329	0.0427541	-0.017836363	-0.0945792567	-0.0096003599	-0.0546849664	-0.0404901561	-0.0045294914	0.1246129877	0.1408550718	-0.0819851309	-0.0854358334	0.1016034314	0.2253717037	0.1078550417	0.0468950508	0.0415906181	-0.018044005	-0.0088055268	0.0022187885	-0.0414103762	0.0577960641	-0.0111251792	-0.0032019987	0.034904582	0.0669547624	0.0379656903	0.0321664366	-0.0448430391	-0.0443540504	-0.0517984388	-0.1020595135	-0.0593931946	-0.0701093866	-0.0471637353	0.0701501705	0.060357105	-0.0064063058	0.0020699435	0.0132019981	-0.0980224355	0.0380777556	-0.0471346888	-0.0162156822	0.0140552208	0.160514462	-0.1221306721	0.0432010759	0.030124126	0.0437053832	0.0238528647	0.0695638707	0.0480128389	0.0878918761	0.0003055265	-0.013963695	0.0607709796	0.1133831062	-0.0836320489	-0.0153285624	0.0493341795	0.1212063626	-0.1295743917	0.0171282305	-0.0681254678	-0.0311504242	0.009200719	-0.0256059334	-0.030715826	-0.0284605993	-0.0531405057	0.0001183145	0.1010659235	0.0256124133	-0.0330151105	0.0242076176	-0.0463223735	-0.018611437	-0.0567195082	0.094832072	0.0077404537	0.0494480693	-0.0107646468	-0.0118140573	-0.0450718331	0.0485619326	-0.0838105632	-0.0534430559	-0.0554782142	0.0644196494	-0.068383229	-0.0320769335	0.0055221357	0.0560764933	-0.0574612022	0.0301345734	0.0111476625	0.1105280751	0.0226243004	0.0214841179	-0.008141266	-0.027159165	-0.0169509901	-0.0046223344	-0.001246307	0.0261214111	-0.0583227393	0.0037671954	-0.103711427	-0.0246199339	0.0219617494	0.0683022662	0.0003338588	0.0165090516	-0.0269641831	0.0049834941	-0.0300506935	-0.0047304568	0.0351674683	0.0097019039	0.0135757945	-0.0685313802	0.0475226969	-0.0009367199	-0.0454256788	0.0450547126	0.0092203375	-0.0247712242	0.0203694804	0.014446458	0.0536819007	-0.0779107118	0.0034324296	0.0272195656	0.00355993	0.0421925922	0.0142544849	-0.0060552173	0.0431792874	0.0685070096	-0.0138166813	-0.013555906	0.0553764511	0.0870776287	-0.0313176024	-0.0230095195	0.0177809294	0.0064319933	-0.0712814842	-0.1104940187	-0.0406162096	0.0720904983	0.0186258996	-0.0252062078	-0.1031446706	-0.0014967245	0.0147004983	-0.0119350492	0.040365204	0.0508259727	0.1024455064	-0.0881187354	-0.1291210311	-0.1130949486	0.0786226272	-0.007541146	0.009393505	0.002307101	0.0468705668	-0.0414078741	-0.0697888624	0.0677065509	0.0693153186	-0.051102615	-0.0687037044	-0.0417161737	0.0905935138	0.0233909707	-0.1394630836	0.0077668206	0.1226585735	-0.0573226378	-0.0819619505	0.0335312786	0.0095566116	0.0135321622	-0.0027030377	0.0141870278	-0.0102944635	0.101506152	0.0154791884	0.0174367409	0.0229383568	0.0205712902	-0.0028566245	-0.0035395579	0.072653736	-0.0123932808	0.0022966297	-0.1119723953	0.0225625767	0.0625101026	-0.0175677286	0.0818838045	0.0221607648	-0.1146826947	-0.0279452421	0.0492117765	0.0491480807	0.0107320199	0.0120694441	-0.0419016747	-0.0050752704	0.0543550278	-0.0070875421	0.019220846	0.1010981773	-0.0094620434	0.0182156071	0.0257237252	-0.0274293014	-6.58404e-05	0.0224990717	-0.0202735596	-0.0332041497	0.0568502999	0.1111612494	-0.0559497768	-0.0200694089	-0.0277430098	0.0106690645	-0.0032782874	0.0083497081	-0.0379679005	0.0213586349	0.0022516437	-0.0582946184	0.0056822092	-0.0211482106	0.0276891954	-0.0546813459	-0.0102847674	-0.0307225671	0.0417778763	-0.053998745	-0.0212389908	0.0041379316	0.0175770659	-0.0162669943	-0.030974592	-0.0596502523	-0.0187714138	0.0104690928	-0.0151076868	0.0629913253	0.062983065	0.0629692986	0.0629500274	0.0629252529	0.00474956	0.005734164	2.25583201936e-05	3.2880636778896e-05	0.0966033	0.0097780000000001	0.00933219757089	9.560928400000208e-05	0.0604322	0.0235517	0.00365205079684	0.00055468257289	-0.00160448	-0.00054105	2.927351025e-07	2.5743560704e-06	-6.95563e-05	-6.95563e-05	4.838078869690001e-09	4.838078869690001e-09	0.0	-0.000151023	0.0	2.2807946529e-08	0.0	0.0	0.0	0.0	0.0	0.0
4508.510639396195	-13.008820893507618	169.22942103936035	20326668.18554869	11431.080365816752	-118.494610574513	14040.972735205483	130669598.32976124	4320.134000854016	-5.251950651244442	27.58298564310692	18663557.78533493	4361.990268984973	7828.080588868211	1.135851	41.728012	0.039086255	0.0230865	-0.0174569737	-0.0484902502	-0.0452623823	-0.0497962798	-0.0267121549	0.0633494686	0.0912957667	0.1175925276	-0.1017874364	-0.0543805162	0.0307759339	0.1235264788	0.1096430824	0.0050643786	0.0875056803	0.0081315227	-0.0293622019	0.0035920023	-0.019689098	0.0585459447	0.0548724802	0.0130173038	0.0178227484	0.0710050221	0.0652705498	-0.0130224012	0.0476087114	0.0354620455	0.0583338413	-0.0259960333	-0.0381397522	-0.0382407288	-0.0003743204	0.0195683185	0.052909469	0.018458993	-0.0541479628	0.0394439309	-0.0537424893	-0.0159005235	-0.0659480567	0.0410223748	-0.0330817251	0.0310277247	0.0161466411	0.0880283243	0.0126328895	0.0192820222	0.073500541	0.0259725962	0.0078314987	-0.0584248577	0.0071129745	0.0876125147	0.1028179726	0.0931205357	0.0273350454	-0.022327157	-0.0031148202	-0.0356989839	-0.1026005883	-0.0340843119	0.0469256325	-0.0023506855	-0.1189611378	-0.0170781213	-0.0048785551	0.0218542595	-0.0053154211	0.0917419751	0.0406395491	-0.1449701804	-0.0124550126	-0.0086309762	0.0043997685	-0.062709722	0.0849036941	-0.086246769	0.019064403	0.0240979032	0.0689968907	0.068417791	0.0127870618	-0.0001032308	-0.004425184	-0.0453002067	-0.0279628049	-0.0754629315	-0.0843704644	0.0025033626	0.0734443415	0.0272510887	0.0413545815	0.029327199	0.0158915801	-0.0554535225	0.0325475502	-0.0326557771	0.0028056724	0.0505222773	-0.0098497755	0.0212758006	0.0115326457	0.0073561493	-0.0238890494	0.0487494386	-0.0028972302	-0.0675838093	-0.0439703058	0.0055140963	-0.0334487134	-0.0371232593	-0.0256022902	-0.0390949867	0.0054044397	0.0069589732	-0.0699511207	-0.0058545931	0.0334305444	0.0046111862	-0.0127861589	-0.0045118888	-0.0126899368	0.0517384174	-0.01748111	0.0165498594	-0.0058709233	-0.0522071415	0.055114498	0.0923034077	0.0359311925	0.0708341648	-0.0284812127	0.0976029383	0.0297462961	-0.0039230893	0.0157312021	0.0553101519	0.0243004911	0.0344937204	0.0978730945	0.0725906304	-0.0354258557	-0.0664974953	-0.0090953823	-0.0299995637	0.0751114993	-0.025345521	0.0030847897	0.0364030776	-0.0277411882	0.0092560869	-0.0584718765	-0.0143591132	0.0400433661	0.001894367	0.0264612766	0.0378794372	0.0820604567	0.0451341171	-0.0026669274	-0.0241016849	-0.0279159124	-0.0676989927	0.013687944	0.007650074	0.0621345708	-0.0791539552	-0.0582450075	-0.0436538231	-0.0371915786	0.0512536944	-0.1020194746	-0.105128522	0.0036990955	-0.0339795169	0.0078698949	0.0211803098	0.0645824371	0.0994822753	-0.0222375266	-0.002617251	0.0510369936	0.0777120716	0.0668254534	0.04663561	0.0891627209	0.0502160351	0.0217283487	-0.1774318781	0.0251432975	0.0072270425	0.0651056024	0.0193865954	-0.0383470956	0.0477100194	-0.0808420719	0.0162330399	-0.0194868511	-0.0809690573	0.0206169027	-0.0016213207	-0.0053506324	0.0540196645	-0.0285685757	-0.0176481102	0.0623992177	0.0418204107	-0.0650539538	-0.0023255804	-0.0407065361	0.010094032	-0.0019206456	-0.0047827426	-0.0254899195	0.0122458115	-0.0240822104	0.0460917608	0.0265407497	-0.0302453056	-0.0147725938	-0.0355615026	0.0453000601	-0.0385398996	0.0603614412	0.0338652455	0.0098970962	-0.0060363772	0.028378527	-0.0129456055	-0.0118474736	0.0104134519	-0.0341926917	-0.0459115967	0.0464470967	0.0203826389	-0.0376628733	0.0180177209	0.0127484668	0.0235355163	-0.0219430848	0.0476569087	0.0330851011	-0.0202365755	0.0697248973	0.0268279863	0.0170657306	0.0549712102	-0.0652306617	-0.0742146775	-0.0561970995	0.0209240802	0.0629864303	0.0629634865	0.0629252529	0.062871739	0.0628029577	0.00355567	-0.00119389	1.26427891489e-05	1.4253733320999998e-06	0.0951376	-0.0014657	0.00905116293376	2.148276490000001e-06	0.0790533	0.0186211	0.00624942424089	0.00034674536521	-0.00172032	-0.00011584	1.341890560000002e-08	2.9595009024e-06	-0.0	6.95563e-05	4.838078869690001e-09	0.0	0.000170715	0.000170715	2.9143611225e-08	2.9143611225e-08	0.0	0.0	0.0	0.0	0.0	0.0
4499.612693009905	-8.897946386289732	79.1734498932865	20246514.387095854	11338.301963594226	-92.77840222252598	8607.831918964814	128557091.41764466	4313.898307722988	-6.235693131028711	38.88386882435865	18609718.609375257	4355.518969633022	7730.154953157436	1.072789	39.411312	0.04730745	0.0221978	-0.0201895471	-0.0646602751	-0.0263866594	-0.0135598318	-0.0203198206	0.055288776	0.0907887856	0.069995652	-0.0797037097	-0.0661510741	0.0207999538	0.1030322854	0.0846322422	-0.0112951491	0.0652142814	-0.0281581349	-0.0291352294	0.0188733378	-0.0109833621	-0.0121964537	-0.0195649751	-0.0395072633	0.0146996431	0.0002810858	0.0188194071	0.0252747252	0.0457095667	0.0339415083	-0.0559219054	-0.0299255725	0.0489541183	-0.0131374977	-0.0238672009	0.0185654356	0.0118649393	-0.0313258728	0.0160996919	0.077724579	-0.0463897937	0.100666939	-0.0144038477	-0.0279624462	0.0420874642	0.0314595404	-0.0255737297	-0.0362472186	0.0106618559	-0.0523178852	0.064520315	-0.0258527378	0.0446372575	0.0398576403	-0.0058562641	-0.0783479899	0.0290694486	-0.0239467812	0.0038419678	0.1070981783	-0.0110258469	-0.0659892923	-0.0127118484	-0.0423229441	0.0169578842	-0.0859623701	-0.0464982443	0.1008687898	-0.0262050014	-0.0034956159	0.0286395543	0.0549392204	-0.0599063006	-0.0316894743	-0.0448967232	0.0299896234	0.024611103	0.005058206	0.0006900813	-0.0448709315	-0.041361687	0.0127801968	-0.0317806881	-0.0257718087	-0.0546555253	-0.0521352457	-0.0024750803	-0.0904381615	-0.0483012147	-0.0246431314	-0.0099257451	0.0147053365	0.041020647	-0.0626720832	0.0352012714	0.064852043	-0.0421879981	-0.0404347685	-0.0785197442	0.0447150911	-0.0391324857	0.0261049935	-0.0338197628	0.0945780164	-0.0711582538	0.1031581684	0.1037214351	-0.0173103336	0.0031096839	0.0491818143	0.0416151892	-0.0286909332	-0.0363361704	-0.0439046797	0.0131424365	-0.0506190869	-0.0419037367	-0.066088863	0.0310559431	0.0010404551	-0.0480006595	-0.0465120454	-0.0158303406	-0.0112877011	-0.0525884622	-0.0360594135	0.046293556	-0.004242696	-0.0526523411	-0.00408769	0.0285036524	0.0033905372	0.0904356013	0.0223360643	-0.0362217443	0.0118719527	0.0291926897	-0.0176116217	0.0089449292	-0.0136878337	0.0001594594	-0.0226289665	0.0201673634	0.0406938219	-0.0503702655	-0.0358163223	-0.0705292419	-0.0276460419	-0.0418648788	-0.019875619	-0.0222629643	-0.0449557094	0.0158905821	-0.0050680995	-0.0374965009	0.0255278418	0.0293291708	-0.0781658119	-0.002492629	0.0573001255	0.0163748708	-0.0896546495	-0.046160216	-0.009074813	0.0451910173	0.0404155706	0.0246536485	0.0246175555	0.0217581059	0.0550174275	-0.0158900326	-0.0230841528	0.0961269626	-0.0122346155	0.0486059181	0.0008170064	-0.0260912667	-0.019846949	0.1423434437	0.0053354888	0.0307809194	0.0448383042	-0.0313636273	0.053212016	0.0295350749	0.0915180872	-0.0569432254	0.053038674	0.0079792983	-0.0365031359	-0.0207250242	-0.0726555321	-0.056079699	-0.0268034261	0.0526352684	0.0399300808	-0.0217827776	-0.0080553404	0.0566661392	-0.0033375341	0.0231558974	0.0085812877	0.0098803401	0.0691016747	0.0027723045	0.0720712666	-0.0377165403	0.0062911455	0.038444962	0.0182668352	-0.0593963954	0.0774889918	0.0411614759	-0.0646304289	0.0224145057	-0.0520168074	0.0257181083	-0.0805059768	0.0110514368	0.030426195	-0.079418028	-0.0948393658	0.0275758765	0.042798117	-0.0955801739	-0.046065628	-0.0994768479	0.0176204524	-0.0202341585	-0.0122339507	0.0323620122	-0.0176318578	0.0277354033	0.0671949514	-0.045096257	0.0093540381	-0.0622487056	-0.0103772171	0.0345493775	-0.0041217054	-0.0229488852	-0.0222956931	-0.0598384848	-0.0408700504	-0.0270667135	-0.0036373656	0.0080647159	-0.010482732	-0.0533301014	0.0863381671	0.0203821243	-0.0418220466	-0.0179422404	-0.0393632838	0.0629790879	0.0629341224	0.0628592037	0.0627543673	0.0626196633	0.00354065	-1.5020000000000136e-05	1.2536202422499998e-05	2.256004000000041e-10	0.0852311	-0.0099064999999999	0.00726434040721	9.813874224999998e-05	0.0644743	-0.014579	0.0041569353604899	0.000212547241	-0.00194137	-0.0002210499999999	4.8863102499999993e-08	3.7689174769e-06	-6.43736e-05	-6.43736e-05	4.14396037696e-09	4.14396037696e-09	0.0	-0.000170715	0.0	2.9143611225e-08	0.0	0.0	0.0	0.0	0.0	0.0
