TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,1,8.500000e-01,1.0,0.0,2.299901e-06,63.81595,67.815735,67.99939,2.0,69.65613,1.656735,69.756584,1.593265,71.351875,3.0,71.35202,72.360146,4.36075,72.36033,73.36243,--
2,2,1,1,1,2,2.550000e+00,1.0,1.0,--,--,--,73.36918,2.0,74.10605,0.7368695,74.20645,4.2131305,78.421875,3.0,78.422,79.42674,6.057565,79.42689,81.427986,--
3,3,5,2,2,3,8.500000e-01,1.0,2.0,--,--,--,81.6146,2.0,83.17216,1.5575552,83.27253,1.6924448,84.967445,5.0,84.96757,85.97335,4.3587484,85.973495,88.97545,--
4,4,4,2,1,2,8.500000e-01,1.0,3.0,--,--,--,89.15969,7.0,90.20637,1.0466754,90.30677,2.2033246,92.51194,6.0,92.51206,93.51808,4.358391,93.518234,95.52007,--
5,5,6,2,3,3,2.550000e+00,1.0,4.0,--,--,--,95.704506,2.0,97.05589,1.3513885,97.15628,3.5986116,100.75693,9.0,100.75704,101.76256,6.058052,101.76272,104.76474,--
6,6,5,2,2,3,1.700000e+00,1.0,5.0,--,--,--,104.947556,2.0,105.888985,0.9414247,105.98939,3.1585753,109.150085,5.0,109.15021,110.154945,5.207389,110.1551,113.15729,--
7,7,3,1,3,2,1.700000e+00,1.0,6.0,--,--,--,113.16033,2.0,114.82246,1.6621203,114.92285,2.4378796,117.36244,6.0,117.362564,118.36712,5.206788,118.36726,120.36862,--
8,8,2,1,2,3,8.500000e-01,1.0,7.0,--,--,--,120.370285,2.0,122.33941,1.9691281,122.4398,1.2808719,123.72299,5.0,123.723114,124.72771,4.357422,124.72785,127.72986,--
9,9,3,1,3,4,1.700000e+00,1.0,8.0,--,--,--,127.73163,7.0,129.18916,1.4575446,129.28954,2.6424553,131.93405,2.0,131.93417,132.94014,5.208512,132.94028,136.94159,--
10,10,5,2,2,1,2.550000e+00,1.0,9.0,--,--,--,137.12552,2.0,138.47238,1.3468635,138.57277,3.6031365,142.17825,5.0,142.17838,143.18346,6.0579453,143.18361,144.18475,--
11,11,6,2,3,1,1.700000e+00,1.0,10.0,--,--,--,144.3696,2.0,145.50677,1.1371858,145.60715,2.962814,148.57199,7.0,148.57211,149.57768,5.2080903,149.57784,150.57991,--
12,12,1,1,1,2,1.700000e+00,1.0,11.0,--,--,--,150.58275,0.0,153.05505,2.4723141,153.15544,1.6276858,154.7853,999.0,154.78542,155.79018,5.207441,155.79033,157.79257,--
13,13,1,1,1,2,2.550000e+00,1.0,12.0,--,--,--,157.79424,7.0,158.83922,1.0449818,158.93958,3.905018,162.84752,9.0,162.84764,163.85199,6.0577574,163.85214,165.85413,--
14,14,2,1,2,2,2.550000e+00,1.0,13.0,--,--,--,165.85576,7.0,166.88924,1.0334876,166.9896,3.9165125,170.9079,5.0,170.90802,171.91266,6.0569124,171.91281,173.91402,--
15,15,6,2,3,1,8.500000e-01,1.0,14.0,--,--,--,174.10094,2.0,175.23892,1.1379828,175.3393,2.1120172,177.45387,6.0,177.454,178.4589,4.3579535,178.45903,179.46045,--
16,16,1,1,1,2,8.500000e-01,1.0,15.0,--,--,--,179.4632,2.0,180.7053,1.2421201,180.8057,2.0078797,182.81494,2.0,182.81506,183.8201,4.356911,183.82025,185.82246,--
17,17,6,2,3,4,8.500000e-01,1.0,16.0,--,--,--,186.0091,7.0,188.17368,2.1645844,188.27408,1.0854157,189.362,2.0,189.36212,190.36765,4.3585463,190.36778,194.36967,--
18,18,6,2,3,4,8.500000e-01,1.0,17.0,--,--,--,194.55606,2.0,195.9056,1.3495392,196.00603,1.9004608,197.90785,8.0,197.90796,198.91232,4.356274,198.91248,202.91399,--
19,19,6,2,3,4,1.700000e+00,1.0,18.0,--,--,--,203.09967,2.0,204.35541,1.2557344,204.45578,2.8442657,207.30229,8.0,207.30241,208.30632,5.2066565,208.30647,212.30766,--
20,20,4,2,1,3,2.550000e+00,1.0,19.0,--,--,--,212.48917,7.0,214.45575,1.9665782,214.55614,2.9834218,217.54205,7.0,217.54218,218.54704,6.0578647,218.54718,221.54858,--
21,21,4,2,1,1,8.500000e-01,1.0,20.0,--,--,--,221.73187,7.0,223.38913,1.6572597,223.48958,1.5927403,225.08438,7.0,225.0845,226.0881,4.356242,226.08826,227.08992,--
22,22,1,1,1,3,2.550000e+00,1.0,21.0,--,--,--,227.09282,0.0,229.56406,2.4712472,229.66446,2.4787529,232.14497,999.0,232.1451,233.14957,6.0567536,233.14972,236.15092,--
23,23,1,1,1,3,2.550000e+00,1.0,22.0,--,--,--,236.1526,2.0,237.50569,1.3530949,237.60608,3.596905,241.2054,3.0,241.20552,242.21,6.0574102,242.21016,245.21196,--
24,24,4,2,1,1,2.550000e+00,1.0,23.0,--,--,--,245.39601,2.0,247.25505,1.8590477,247.35541,3.0909524,250.4469,4.0,250.44702,251.45209,6.0560875,251.45224,252.45401,--
25,25,4,2,1,3,2.550000e+00,1.0,24.0,--,--,--,252.63777,7.0,254.08894,1.4511768,254.18932,3.4988232,257.69,9.0,257.69012,258.69424,6.0564613,258.69437,261.69598,--
26,26,3,1,3,1,8.500000e-01,1.0,25.0,--,--,--,261.69885,2.0,263.0556,1.3567504,263.15598,1.8932496,265.05197,9.0,265.0521,266.05673,4.357898,266.0569,267.05835,--
27,27,1,1,1,2,2.550000e+00,1.0,26.0,--,--,--,267.0603,2.0,268.2056,1.1452929,268.306,3.804707,272.1123,4.0,272.11243,273.11734,6.0570316,273.1175,275.11893,--
28,28,2,1,2,3,8.500000e-01,1.0,27.0,--,--,--,275.1206,2.0,276.2575,1.1369061,276.35788,2.1130939,278.47302,5.0,278.47314,279.47867,4.358057,279.47882,282.48093,--
29,29,3,1,3,1,8.500000e-01,1.0,28.0,--,--,--,282.48257,0.0,284.95364,2.4710612,285.05402,0.7789387,285.83508,999.0,285.8352,286.83905,4.356476,286.8392,287.841,--
30,30,3,1,3,4,1.700000e+00,1.0,29.0,--,--,--,287.84265,7.0,288.67194,0.8292834,288.77234,3.2707167,292.0455,3.0,292.04562,293.05,5.2073417,293.05014,297.05194,--
31,31,3,1,3,1,1.700000e+00,1.0,30.0,--,--,--,297.0536,7.0,298.30518,1.2515928,298.40555,2.8484073,301.25595,3.0,301.25607,302.25998,5.206388,302.26013,303.26212,--
32,32,3,1,3,1,1.700000e+00,1.0,31.0,--,--,--,303.26376,2.0,304.30557,1.0418087,304.40594,3.0581913,307.46655,6.0,307.46667,308.4705,5.2067084,308.4706,309.47208,--
33,33,6,2,3,4,2.550000e+00,1.0,32.0,--,--,--,309.65903,0.0,312.13046,2.471424,312.23083,2.4785757,314.7119,999.0,314.71204,315.71704,6.058012,315.7172,319.7191,--
34,34,4,2,1,2,1.700000e+00,1.0,33.0,--,--,--,319.90387,2.0,321.25546,1.3515792,321.3558,2.7484207,324.10632,3.0,324.10645,325.11087,5.206998,325.11102,327.1128,--
