onset	duration	trial_type	response_time
4.194019	1.862254	guess_rightButton_face	1.862254
9.246035	1.007549	outcome_stranger_punish	n/a
14.261763	1.144525	guess_leftButton_computer	1.144525
18.463625	1.006084	outcome_computer_reward	n/a
23.663866	1.343706	guess_leftButton_face	1.343706
27.017099	1.005204	outcome_stranger_reward	n/a
30.027254	1.447810	guess_leftButton_computer	1.447810
33.379614	1.004565	outcome_computer_reward	n/a
37.387369	0.935434	guess_rightButton_computer	0.935434
41.589079	1.006390	outcome_computer_reward	n/a
44.599489	1.342253	guess_rightButton_computer	1.342253
47.951339	1.004775	outcome_computer_reward	n/a
51.959219	1.047265	guess_leftButton_computer	1.047265
57.011739	1.004044	outcome_computer_reward	n/a
59.210009	1.446879	guess_leftButton_face	1.446879
62.563833	1.003476	outcome_stranger_reward	n/a
65.757309	1.149387	guess_leftButton_face	1.149387
69.109559	1.003780	outcome_stranger_reward	n/a
74.117804	1.355196	guess_rightButton_computer	1.355196
77.469954	1.005525	outcome_computer_punish	n/a
80.479219	1.660842	guess_rightButton_computer	1.660842
83.831559	1.004480	outcome_computer_punish	n/a
88.029745	1.460235	guess_rightButton_face	1.460235
93.082619	1.005600	outcome_stranger_punish	n/a
95.279019	1.044358	guess_rightButton_face	1.044358
100.331459	1.004240	outcome_stranger_punish	n/a
105.529759	0.726679	guess_rightButton_face	0.726679
108.882579	1.004580	outcome_stranger_reward	n/a
110.891349	1.247818	guess_leftButton_computer	1.247818
115.944709	1.004900	outcome_computer_punish	n/a
118.953009	1.754653	guess_rightButton_computer	1.754653
124.005669	1.005550	outcome_computer_reward	n/a
127.200369	0.938805	guess_rightButton_face	0.938805
131.402459	1.005320	outcome_stranger_punish	n/a
134.595179	1.044611	guess_rightButton_face	1.044611
138.797629	1.005580	outcome_stranger_neutral	n/a
140.808459	1.764416	guess_leftButton_computer	1.764416
145.861669	1.004890	outcome_computer_neutral	n/a
147.869859	1.452971	guess_rightButton_computer	1.452971
152.072909	1.003700	outcome_computer_neutral	n/a
157.079659	1.343924	guess_rightButton_computer	1.343924
161.281789	1.004440	outcome_computer_punish	n/a
164.476309	0.932080	guess_rightButton_face	0.932080
168.678609	1.005910	outcome_stranger_reward	n/a
171.689309	1.549592	guess_rightButton_computer	1.549592
175.041679	1.005020	outcome_computer_punish	n/a
177.050409	1.355905	guess_rightButton_computer	1.355905
180.403649	1.005520	outcome_computer_reward	n/a
185.602359	1.037056	guess_leftButton_face	1.037056
188.954549	1.004500	outcome_stranger_neutral	n/a
194.150639	1.138686	guess_rightButton_face	1.138686
197.503679	1.004860	outcome_stranger_reward	n/a
201.693719	1.762522	guess_rightButton_face	1.762522
205.897069	1.004580	outcome_stranger_punish	n/a
210.089859	1.349676	guess_rightButton_face	1.349676
214.292089	1.004850	outcome_stranger_reward	n/a
218.483269	1.555990	guess_rightButton_face	1.555990
222.686559	1.005000	outcome_stranger_punish	n/a
226.881139	1.458247	guess_rightButton_face	1.458247
231.083559	1.004170	outcome_stranger_punish	n/a
234.278009	0.944591	guess_rightButton_face	0.944591
239.330099	1.004490	outcome_stranger_neutral	n/a
244.339459	1.034550	guess_rightButton_computer	1.034550
248.543629	1.006030	outcome_computer_punish	n/a
252.552859	1.252818	guess_rightButton_computer	1.252818
255.906089	1.004610	outcome_computer_neutral	n/a
260.106459	0.832583	guess_leftButton_face	0.832583
264.309039	1.005190	outcome_stranger_punish	n/a
269.318859	0.837180	guess_rightButton_computer	0.837180
274.371299	1.004420	outcome_computer_punish	n/a
276.565959	1.140123	guess_rightButton_face	1.140123
281.618089	1.004470	outcome_stranger_neutral	n/a
283.817279	1.254961	guess_leftButton_face	1.254961
287.169459	1.005430	outcome_stranger_reward	n/a
289.178919	1.660253	guess_rightButton_computer	1.660253
294.231359	1.004500	outcome_computer_punish	n/a
298.425759	1.346643	guess_rightButton_face	1.346643
301.778359	1.004220	outcome_stranger_punish	n/a
305.786919	1.452062	guess_leftButton_computer	1.452062
310.839559	1.003970	outcome_computer_punish	n/a
312.846659	1.459288	guess_rightButton_computer	1.459288
317.899039	1.004850	outcome_computer_punish	n/a
322.093889	1.244687	guess_rightButton_face	1.244687
326.296259	1.005500	outcome_stranger_neutral	n/a
329.306019	1.049872	guess_rightButton_computer	1.049872
333.509089	1.003810	outcome_computer_neutral	n/a
336.705679	1.050206	guess_rightButton_face	1.050206
340.057909	1.004670	outcome_stranger_reward	n/a
345.067799	1.037825	guess_leftButton_computer	1.037825
348.420559	1.005100	outcome_computer_punish	n/a
353.429059	1.242699	guess_leftButton_computer	1.242699
358.481589	1.005070	outcome_computer_reward	n/a
363.677239	0.627955	guess_rightButton_face	0.627955
368.729699	1.003930	outcome_stranger_reward	n/a
373.921839	0.950248	guess_rightButton_face	0.950248
378.973379	1.005250	outcome_stranger_punish	n/a
380.983419	1.455954	guess_leftButton_computer	1.455954
385.186359	1.005280	outcome_computer_reward	n/a
389.195089	0.727335	guess_leftButton_computer	0.727335
392.547999	1.003660	outcome_computer_reward	n/a
395.740809	1.247873	guess_rightButton_face	1.247873
400.792809	1.005400	outcome_stranger_reward	n/a
404.802599	0.837105	guess_leftButton_computer	0.837105
409.004259	1.005500	outcome_computer_neutral	n/a
413.012759	0.942733	guess_leftButton_computer	0.942733
417.214899	1.004510	outcome_computer_reward	n/a
422.409159	0.729645	guess_rightButton_face	0.729645
427.461459	1.005200	outcome_stranger_punish	n/a
